date,open,high,low,close,volume
2023-12-26,1475.05,1482.45,1458.0,1462.25,340961
2023-12-27,1469.9,1500.4,1464.15,1488.65,524590
2023-12-28,1519.0,1519.0,1490.0,1501.7,334827
2023-12-29,1514.95,1538.0,1498.7,1532.25,287792
2024-01-01,1538.0,1565.0,1528.0,1561.2,238095
2024-01-02,1565.15,1583.15,1552.45,1575.45,397197
2024-01-03,1583.15,1583.15,1564.0,1567.7,152707
2024-01-04,1575.5,1584.2,1562.2,1571.2,108469
2024-01-05,1571.4,1578.95,1561.55,1566.05,81430
2024-01-08,1569.95,1574.95,1536.85,1552.45,98841
2024-01-09,1560.0,1578.8,1550.0,1552.75,75988
2024-01-10,1563.95,1577.0,1553.0,1568.7,129654
2024-01-11,1579.0,1591.4,1573.85,1578.75,101951
2024-01-12,1596.5,1614.5,1575.45,1591.55,163805
2024-01-15,1599.9,1625.0,1596.3,1613.0,116034
2024-01-16,1613.0,1613.0,1557.1,1568.85,481337
2024-01-17,1568.85,1569.3,1522.1,1529.65,548356
2024-01-18,1534.0,1534.0,1485.0,1501.15,604765
2024-01-19,1513.85,1513.85,1473.95,1488.8,183222
2024-01-20,1496.2,1540.0,1496.05,1525.65,60704
2024-01-23,1540.0,1540.0,1481.5,1502.15,451298
2024-01-24,1490.05,1510.0,1466.0,1493.7,323592
2024-01-25,1493.5,1524.95,1493.5,1508.25,432558
2024-01-29,1529.9,1529.9,1497.05,1516.25,83606
2024-01-30,1510.0,1520.2,1483.55,1494.3,94236
2024-01-31,1496.4,1498.0,1467.4,1476.55,120508
2024-02-01,1497.95,1515.0,1480.25,1504.85,204257
2024-02-02,1510.0,1522.65,1481.3,1484.05,170784
2024-02-05,1486.15,1491.95,1434.45,1438.5,205650
2024-02-06,1454.75,1455.0,1418.0,1447.0,145851
2024-02-07,1454.55,1469.95,1433.4,1438.45,115807
2024-02-08,1439.4,1447.15,1410.0,1418.05,293751
2024-02-09,1420.15,1428.95,1404.1,1408.5,116109
2024-02-12,1426.75,1426.75,1370.0,1385.45,220942
2024-02-13,1392.35,1419.95,1370.3,1412.25,114010
2024-02-14,1402.2,1454.2,1389.15,1436.85,132013
2024-02-15,1448.95,1450.1,1416.15,1420.2,141315
2024-02-16,1426.0,1426.6,1403.3,1422.75,334036
2024-02-19,1437.0,1454.8,1428.85,1442.25,117924
2024-02-20,1450.0,1450.0,1431.2,1437.55,190517
2024-02-21,1444.7,1449.9,1434.3,1443.15,256381
2024-02-22,1450.7,1469.9,1445.9,1460.1,112011
2024-02-23,1461.15,1480.0,1455.0,1467.7,97409
2024-02-26,1474.9,1475.0,1453.35,1466.55,207119
2024-02-27,1455.6,1470.6,1445.0,1459.65,367166
2024-02-28,1488.4,1499.0,1464.7,1474.5,240082
2024-02-29,1456.15,1484.85,1439.05,1454.9,240055
2024-03-01,1454.9,1454.9,1425.2,1436.9,121758
2024-03-02,1443.8,1457.45,1436.9,1454.35,9118
2024-03-04,1450.1,1454.3,1425.05,1431.7,70715
2024-03-05,1404.6,1404.6,1321.0,1358.1,11978601
2024-03-06,1375.95,1425.0,1356.15,1387.3,1116500
2024-03-07,1420.0,1440.0,1404.65,1414.8,420272
2024-03-11,1414.8,1418.0,1380.0,1390.1,159924
2024-03-12,1379.5,1391.3,1357.0,1379.05,202091
2024-03-13,1380.85,1393.45,1331.0,1339.65,209892
2024-03-14,1339.65,1395.3,1321.55,1378.9,178906
2024-03-15,1360.1,1406.9,1350.0,1364.45,258800
2024-03-18,1377.3,1381.5,1368.0,1378.3,156874
2024-03-19,1378.05,1381.0,1360.0,1371.0,105561
2024-03-20,1375.0,1375.0,1336.0,1351.25,161127
2024-03-21,1375.0,1375.0,1345.05,1349.2,99603
2024-03-22,1341.95,1363.7,1339.15,1356.1,258322
2024-03-26,1341.1,1350.45,1319.0,1325.15,341297
2024-03-27,1325.15,1331.8,1310.1,1323.4,399758
2024-03-28,1324.9,1335.0,1307.0,1315.65,722342
2024-04-01,1339.3,1434.7,1330.2,1418.55,420785
2024-04-02,1430.05,1430.2,1398.0,1415.45,254883
2024-04-03,1420.0,1424.95,1391.0,1395.55,425529
2024-04-04,1435.0,1486.25,1420.0,1452.15,1122431
2024-04-05,1499.8,1620.0,1490.0,1598.55,5509973
2024-04-08,1610.0,1680.0,1602.05,1626.0,1371037
2024-04-09,1626.05,1628.8,1562.3,1584.0,370161
2024-04-10,1595.8,1596.7,1568.0,1579.5,205243
2024-04-12,1551.0,1635.0,1551.0,1568.95,473713
2024-04-15,1538.2,1559.2,1498.0,1549.95,337101
2024-04-16,1540.0,1555.0,1531.15,1541.95,137559
2024-04-18,1539.1,1595.0,1523.05,1529.0,248470
2024-04-19,1523.6,1564.4,1504.05,1548.35,171601
2024-04-22,1579.0,1579.0,1542.2,1549.05,118701
2024-04-23,1550.0,1626.0,1550.0,1607.25,443332
2024-04-24,1607.3,1645.95,1600.65,1638.2,327799
2024-04-25,1638.4,1640.0,1594.6,1605.4,181527
2024-04-26,1665.45,1689.3,1600.0,1610.05,1049121
2024-04-29,1624.95,1638.95,1596.0,1619.7,238136
2024-04-30,1635.75,1635.75,1616.05,1624.1,134423
2024-05-02,1625.0,1628.0,1593.0,1597.35,311886
2024-05-03,1600.0,1604.95,1566.0,1586.05,137496
2024-05-06,1594.0,1599.85,1553.0,1564.4,121051
2024-05-07,1562.0,1601.0,1545.25,1593.6,173793
2024-05-08,1600.0,1604.0,1574.4,1592.7,158997
2024-05-09,1599.95,1626.0,1535.5,1550.8,317512
2024-05-10,1550.8,1617.7,1513.4,1599.65,433357
2024-05-13,1607.65,1620.0,1554.95,1580.85,128456
2024-05-14,1609.4,1609.4,1551.4,1560.2,233749
2024-05-15,1561.0,1592.7,1548.55,1577.3,238308
2024-05-16,1586.8,1597.45,1574.6,1589.8,82778
2024-05-17,1592.45,1602.0,1575.3,1597.05,186883
2024-05-18,1597.05,1606.45,1577.0,1581.2,20726
2024-05-21,1575.0,1614.95,1561.7,1611.5,219914
2024-05-22,1619.95,1627.5,1598.3,1602.05,278280
2024-05-23,1602.05,1619.2,1599.4,1609.6,115066
2024-05-24,1620.0,1646.45,1608.75,1619.25,228937
2024-05-27,1638.5,1683.15,1621.6,1628.15,333752
2024-05-28,1636.25,1643.5,1585.0,1588.65,95174
2024-05-29,1580.0,1583.0,1555.1,1574.05,477710
2024-05-30,1574.05,1581.4,1554.0,1564.8,68109
2024-05-31,1565.0,1628.65,1562.7,1596.8,460493
2024-06-03,1672.4,1673.9,1606.0,1625.2,187627
2024-06-04,1601.35,1618.9,1460.95,1525.2,202341
2024-06-05,1535.0,1572.05,1491.9,1550.35,106774
2024-06-06,1589.3,1657.0,1586.0,1632.3,255958
2024-06-07,1632.3,1705.0,1620.75,1674.95,364602
2024-06-10,1719.95,1741.7,1675.0,1735.3,298064
2024-06-11,1766.7,1894.0,1741.0,1847.7,1820148
2024-06-12,1869.5,1934.0,1850.0,1907.45,886997
2024-06-13,1915.45,1920.95,1822.15,1837.6,396746
2024-06-14,1840.0,1868.0,1825.0,1853.8,217615
2024-06-18,1873.0,1927.7,1848.0,1900.45,401918
2024-06-19,1914.95,1978.95,1897.25,1935.75,685347
2024-06-20,1940.95,1950.0,1874.55,1891.05,207599
2024-06-21,1892.4,1920.0,1876.05,1914.7,184381
2024-06-24,1934.75,1934.75,1873.05,1879.4,182360
2024-06-25,1885.55,1902.6,1840.0,1855.15,445309
2024-06-26,1855.15,1879.0,1840.05,1869.5,173441
