date,open,high,low,close,volume
2023-12-26,1236.35,1236.35,1214.95,1221.1,55365
2023-12-27,1228.6,1241.0,1208.85,1230.75,84484
2023-12-28,1218.0,1238.95,1218.0,1222.05,73455
2023-12-29,1222.05,1230.45,1205.0,1222.55,98090
2024-01-01,1231.25,1286.85,1209.6,1280.0,479572
2024-01-02,1284.95,1294.45,1250.05,1265.8,110510
2024-01-03,1263.7,1269.65,1231.5,1246.05,140583
2024-01-04,1257.65,1425.0,1212.2,1398.25,2495732
2024-01-05,1399.0,1500.0,1373.1,1413.15,2544114
2024-01-08,1431.0,1513.85,1420.5,1497.1,1398311
2024-01-09,1518.9,1559.8,1517.0,1540.2,837932
2024-01-10,1535.0,1598.9,1497.6,1587.0,855329
2024-01-11,1576.0,1588.0,1525.05,1546.5,785777
2024-01-12,1545.0,1553.5,1475.0,1492.7,288293
2024-01-15,1492.0,1519.9,1430.1,1449.65,261739
2024-01-16,1448.65,1475.0,1423.8,1434.0,204269
2024-01-17,1400.1,1424.95,1385.5,1398.05,138407
2024-01-18,1398.95,1414.55,1365.0,1388.95,148501
2024-01-19,1402.0,1443.5,1375.1,1400.85,249645
2024-01-20,1422.0,1435.0,1382.0,1386.1,106952
2024-01-23,1405.0,1405.0,1359.1,1373.3,150594
2024-01-24,1360.0,1369.4,1324.0,1353.65,267320
2024-01-25,1359.1,1382.95,1340.05,1345.3,481311
2024-01-29,1350.0,1429.0,1350.0,1418.25,273861
2024-01-30,1418.05,1425.0,1383.0,1388.3,102225
2024-01-31,1390.0,1445.0,1385.05,1425.95,395897
2024-02-01,1425.0,1543.0,1416.9,1515.8,567871
2024-02-02,1526.6,1590.0,1491.85,1547.25,1195279
2024-02-05,1587.0,1587.0,1470.2,1481.35,264714
2024-02-06,1484.8,1516.7,1476.1,1495.0,106247
2024-02-07,1495.0,1534.6,1439.25,1450.55,236467
2024-02-08,1458.4,1487.1,1428.65,1450.65,115632
2024-02-09,1463.6,1469.15,1401.0,1430.85,146439
2024-02-12,1435.05,1437.95,1360.0,1375.15,135304
2024-02-13,1390.0,1396.1,1326.1,1355.95,221878
2024-02-14,1349.95,1438.0,1330.05,1429.65,165391
2024-02-15,1438.0,1445.15,1421.05,1428.85,77449
2024-02-16,1440.0,1454.95,1410.0,1415.15,82309
2024-02-19,1430.0,1476.5,1402.15,1458.1,149748
2024-02-20,1465.0,1478.2,1441.4,1459.3,91215
2024-02-21,1464.35,1485.0,1431.5,1437.1,127958
2024-02-22,1448.55,1456.2,1412.0,1423.1,179417
2024-02-23,1440.0,1447.25,1414.2,1432.8,60264
2024-02-26,1432.8,1507.9,1427.0,1491.6,511407
2024-02-27,1491.6,1499.0,1443.0,1480.2,171311
2024-02-28,1498.9,1498.9,1420.15,1450.35,222312
2024-02-29,1445.2,1445.25,1403.0,1411.05,208114
2024-03-01,1420.05,1474.95,1419.8,1464.75,135126
2024-03-02,1475.0,1485.0,1435.5,1459.35,7873
2024-03-04,1465.35,1467.2,1434.95,1458.65,95275
2024-03-05,1460.0,1496.0,1450.05,1472.95,202805
2024-03-06,1473.5,1482.8,1392.2,1437.15,181457
2024-03-07,1450.15,1547.75,1441.0,1530.25,770305
2024-03-11,1500.0,1537.0,1461.0,1468.1,358820
2024-03-12,1474.95,1480.6,1415.4,1433.3,220430
2024-03-13,1439.7,1451.0,1283.7,1344.55,441785
2024-03-14,1344.8,1448.7,1340.75,1437.1,255607
2024-03-15,1419.0,1425.0,1384.15,1418.3,197853
2024-03-18,1422.95,1428.25,1395.0,1415.05,80627
2024-03-19,1422.2,1434.0,1387.05,1400.15,84906
2024-03-20,1404.15,1430.95,1384.95,1424.35,85154
2024-03-21,1406.15,1465.0,1406.15,1457.05,109970
2024-03-22,1465.0,1487.0,1449.9,1459.3,156722
2024-03-26,1455.0,1474.7,1436.4,1444.5,112680
2024-03-27,1441.6,1510.0,1388.05,1505.95,381940
2024-03-28,1519.9,1684.9,1494.5,1629.9,3549159
2024-04-01,1660.0,1724.5,1630.15,1711.25,669978
2024-04-02,1699.05,1725.3,1660.0,1675.3,443694
2024-04-03,1690.0,1699.0,1661.05,1674.95,215722
2024-04-04,1686.45,1695.0,1654.0,1674.1,186325
2024-04-05,1674.75,1683.95,1661.8,1669.8,116761
2024-04-08,1675.0,1774.9,1675.0,1742.4,1076822
2024-04-09,1740.0,1849.9,1739.55,1831.8,1214306
2024-04-10,1825.85,1891.9,1789.2,1840.75,654854
2024-04-12,1840.05,1842.0,1785.3,1797.65,226558
2024-04-15,1767.35,1775.05,1693.9,1746.5,227252
2024-04-16,1735.0,1804.7,1724.1,1772.9,204929
2024-04-18,1781.0,1835.9,1745.8,1806.7,330252
2024-04-19,1805.0,1859.95,1750.0,1849.5,345043
2024-04-22,1859.0,1942.25,1844.0,1875.0,631769
2024-04-23,1875.0,1930.2,1867.0,1918.75,310958
2024-04-24,1924.85,1939.0,1850.05,1865.05,257364
2024-04-25,1878.95,1987.85,1861.55,1924.25,949916
2024-04-26,1920.0,2006.05,1911.0,1997.3,860919
2024-04-29,2018.55,2032.95,1984.85,1999.5,893152
2024-04-30,2006.5,2020.45,1986.05,1997.15,397474
2024-05-02,2006.05,2055.45,1997.8,2009.65,749384
2024-05-03,2020.0,2033.95,1921.0,1964.25,348339
2024-05-06,1965.3,1999.0,1922.8,1932.0,244839
2024-05-07,1935.0,2029.95,1806.0,1843.3,1688131
2024-05-08,1857.0,2059.95,1851.0,1981.85,2669175
2024-05-09,1970.0,2031.85,1968.0,2000.5,1077482
2024-05-10,1995.0,2022.85,1971.35,2000.55,381553
2024-05-13,2000.0,2000.2,1892.55,1963.45,287374
2024-05-14,1964.0,2021.0,1964.0,1996.7,285548
2024-05-15,2006.2,2125.0,1998.8,2047.95,1143986
2024-05-16,2065.0,2119.95,2052.05,2083.9,343142
2024-05-17,2088.2,2175.0,2067.0,2165.25,492694
2024-05-18,2180.0,2198.0,2170.0,2178.35,27540
2024-05-21,2195.0,2204.85,2142.0,2169.05,308493
2024-05-22,2181.95,2189.7,2122.0,2153.3,179501
2024-05-23,2168.5,2170.1,2047.8,2135.95,136750
2024-05-24,2137.75,2278.85,2130.8,2225.65,615474
2024-05-27,2236.25,2236.65,2152.0,2168.45,188187
2024-05-28,2171.0,2188.95,2111.05,2159.35,173204
2024-05-29,2152.6,2191.4,2143.55,2169.05,129836
2024-05-30,2134.6,2164.6,2050.0,2068.85,232441
2024-05-31,2081.8,2094.95,2000.1,2019.05,258531
2024-06-03,2065.0,2133.2,2048.05,2114.35,270424
2024-06-04,2083.0,2089.55,1691.5,1896.75,592556
2024-06-05,1857.0,1920.9,1774.95,1842.3,755029
2024-06-06,1951.95,2180.0,1917.0,2105.7,1989926
2024-06-07,2046.4,2135.0,2032.05,2120.85,386207
2024-06-10,2129.9,2150.4,2075.0,2090.3,128266
2024-06-11,2082.3,2141.0,2052.3,2104.2,322855
2024-06-12,2110.0,2125.0,2075.0,2081.3,102526
2024-06-13,2091.4,2212.5,2085.3,2181.2,935624
2024-06-14,2197.6,2289.0,2174.55,2245.45,502637
2024-06-18,2258.75,2396.6,2236.0,2358.9,836813
2024-06-19,2317.35,2369.0,2270.0,2289.5,262321
2024-06-20,2295.0,2311.9,2255.05,2273.9,174527
2024-06-21,2283.1,2310.95,2200.0,2217.8,228826
2024-06-24,2221.55,2347.3,2191.6,2329.5,771187
2024-06-25,2333.0,2357.95,2277.25,2290.3,242890
