date,open,high,low,close,volume
2023-12-26,477.8,479.4,470.85,471.75,52595
2023-12-27,471.7,475.0,461.45,465.6,84746
2023-12-28,465.0,474.55,465.0,472.3,88245
2023-12-29,474.25,475.7,468.0,469.35,77555
2024-01-01,472.0,477.0,468.35,474.45,76563
2024-01-02,474.45,475.5,466.0,469.2,71316
2024-01-03,472.9,477.35,466.2,469.25,93426
2024-01-04,471.0,476.75,468.15,471.85,104859
2024-01-05,478.95,480.0,473.05,475.55,120179
2024-01-08,479.0,479.0,470.0,472.15,85037
2024-01-09,472.2,482.85,472.2,476.65,108181
2024-01-10,474.55,478.85,470.65,472.6,58111
2024-01-11,472.6,480.3,469.15,477.75,127821
2024-01-12,480.0,501.0,480.0,498.7,441877
2024-01-15,509.8,511.95,495.0,500.5,283194
2024-01-16,504.0,504.9,490.0,493.95,96441
2024-01-17,493.7,493.7,481.65,483.4,85564
2024-01-18,480.0,486.55,472.0,479.0,89849
2024-01-19,481.0,496.0,478.1,479.4,69284
2024-01-20,484.0,492.4,479.3,489.1,67483
2024-01-23,490.95,492.05,470.0,472.2,94824
2024-01-24,470.9,476.05,463.75,468.65,97058
2024-01-25,470.9,472.2,464.25,467.1,75911
2024-01-29,471.2,480.4,471.0,477.15,271992
2024-01-30,493.45,494.5,475.7,481.9,406858
2024-01-31,482.0,489.6,476.0,477.7,189191
2024-02-01,477.75,479.05,465.95,470.55,142934
2024-02-02,471.0,480.6,471.0,479.75,146667
2024-02-05,479.75,485.1,475.5,479.4,130006
2024-02-06,479.0,490.05,475.7,488.4,140178
2024-02-07,489.8,492.45,486.85,487.9,83111
2024-02-08,487.95,497.85,481.0,485.15,94350
2024-02-09,485.95,485.95,476.7,479.5,89032
2024-02-12,484.8,485.0,469.0,469.7,57226
2024-02-13,469.7,469.7,458.45,463.9,44549
2024-02-14,460.9,468.0,458.6,466.6,39205
2024-02-15,469.9,476.0,467.8,474.8,49231
2024-02-16,474.8,481.0,474.8,479.25,180703
2024-02-19,480.25,485.4,478.5,483.65,71804
2024-02-20,485.9,486.8,479.1,482.15,44028
2024-02-21,483.05,509.4,480.45,495.2,359469
2024-02-22,496.0,497.9,488.4,496.55,104990
2024-02-23,498.0,498.0,493.6,495.15,92225
2024-02-26,495.1,506.0,491.15,505.1,164518
2024-02-27,509.85,528.9,506.0,525.75,782544
2024-02-28,527.95,536.0,514.0,519.85,405251
2024-02-29,522.0,529.7,512.1,526.65,159642
2024-03-01,527.0,530.85,520.0,523.95,93310
2024-03-02,520.0,527.55,518.0,520.05,16906
2024-03-04,520.05,524.7,516.7,520.55,126857
2024-03-05,520.55,524.65,516.0,519.85,70282
2024-03-06,519.9,521.95,506.55,518.2,108372
2024-03-07,518.2,518.2,512.5,516.3,51585
2024-03-11,514.0,530.7,514.0,525.65,224194
2024-03-12,525.65,527.75,501.3,504.95,126745
2024-03-13,504.0,506.95,466.6,471.75,140451
2024-03-14,471.75,488.0,467.1,486.8,61534
2024-03-15,491.15,491.15,472.35,478.85,92755
2024-03-18,483.7,483.7,472.0,474.55,60942
2024-03-19,466.1,470.0,460.0,461.3,612495
