date,open,high,low,close,volume
2023-12-26,1035.5,1047.85,1011.9,1041.6,2391693
2023-12-27,1070.0,1083.0,1047.2,1058.7,2801997
2023-12-28,1063.0,1073.35,1011.55,1022.55,2617618
2023-12-29,1037.0,1058.0,1018.2,1045.75,2752398
2024-01-01,1040.0,1073.0,1036.05,1055.05,676574
2024-01-02,1060.0,1072.0,1034.0,1062.45,2716805
2024-01-03,1150.0,1250.0,1072.0,1183.2,13493682
2024-01-04,1210.0,1219.7,1150.0,1179.8,2693790
2024-01-05,1180.0,1186.85,1155.45,1164.0,1343094
2024-01-08,1170.85,1172.35,1140.0,1143.5,896113
2024-01-09,1151.0,1199.0,1145.0,1164.1,1347686
2024-01-10,1171.0,1184.0,1156.65,1170.3,1302889
2024-01-11,1179.7,1184.0,1154.75,1159.7,689920
2024-01-12,1167.0,1174.45,1150.1,1152.2,729133
2024-01-15,1158.4,1164.65,1127.05,1148.0,3399085
2024-01-16,1148.0,1148.0,1118.95,1126.35,3851854
2024-01-17,1124.95,1128.75,1082.45,1087.15,1456313
2024-01-18,1087.0,1097.9,1040.6,1065.5,1168724
2024-01-19,1070.9,1083.55,1041.05,1050.55,1485408
2024-01-20,1055.0,1150.0,1045.4,1129.05,1689974
2024-01-23,1138.0,1145.65,1050.0,1056.15,2133688
2024-01-24,1059.65,1059.65,1028.5,1036.25,5163858
2024-01-25,1041.85,1077.0,1038.0,1061.8,1505572
2024-01-29,1085.0,1136.0,1074.8,1098.05,3298520
2024-01-30,1096.0,1096.0,1064.0,1072.7,1393051
2024-01-31,1072.95,1081.9,1062.6,1067.85,793833
2024-02-01,1073.0,1088.0,1052.95,1067.7,1320318
2024-02-02,1073.7,1094.35,1046.0,1052.05,1391014
2024-02-05,1051.05,1059.0,1016.0,1022.6,1194592
2024-02-06,1033.0,1054.0,1001.2,1029.0,1134575
2024-02-07,1038.6,1113.95,1029.75,1065.85,4195919
2024-02-08,1074.8,1078.8,1045.0,1049.9,2293556
2024-02-09,1051.9,1077.15,1037.5,1054.7,2739850
2024-02-12,1059.0,1096.2,1045.75,1069.45,3927219
2024-02-13,1078.7,1078.7,1028.0,1044.8,3427849
2024-02-14,1027.05,1064.95,1025.0,1036.95,3245478
2024-02-15,1054.7,1066.95,1042.5,1052.0,3334357
2024-02-16,1056.45,1065.0,1045.55,1061.6,3787369
2024-02-19,1065.0,1084.95,1061.2,1074.45,3007240
2024-02-20,1079.7,1079.7,1061.0,1069.8,2662527
2024-02-21,1075.05,1084.0,1055.05,1064.8,3038030
2024-02-22,1069.9,1069.9,1052.55,1058.9,2172437
2024-02-23,1062.7,1094.75,1055.2,1081.8,3057010
2024-02-26,1084.95,1190.6,1081.0,1176.15,8951837
2024-02-27,1182.0,1186.7,1117.2,1122.7,3235084
2024-02-28,1129.95,1136.8,1068.65,1076.45,2098024
2024-02-29,1083.0,1092.65,1060.0,1064.85,1571955
2024-03-01,1075.0,1095.0,1064.85,1072.4,1335964
2024-03-02,1078.0,1085.95,1074.55,1080.8,121612
2024-03-04,1084.0,1085.65,1062.1,1064.35,661629
2024-03-05,1067.0,1075.6,1060.0,1070.3,688430
2024-03-06,1071.85,1080.0,1045.5,1069.5,2717505
2024-03-07,1074.9,1078.6,1059.0,1069.6,2691523
2024-03-11,1077.0,1087.3,1060.0,1063.75,2901619
2024-03-12,1065.0,1069.0,1027.05,1037.25,2895201
2024-03-13,1039.75,1047.0,915.3,947.95,2854959
2024-03-14,950.0,1065.9,918.75,1054.55,6083924
2024-03-15,1048.05,1077.0,1023.85,1045.85,3987648
2024-03-18,1008.0,1030.95,971.5,1008.85,3008345
2024-03-19,1022.85,1039.2,1000.0,1006.3,3736272
2024-03-20,1024.9,1029.0,997.6,1011.45,3577635
2024-03-21,1030.9,1030.9,1005.2,1008.9,642213
2024-03-22,1012.05,1022.05,1005.2,1015.6,2738168
2024-03-26,1003.0,1064.5,1002.6,1045.9,4087621
2024-03-27,1049.5,1057.5,1005.9,1014.85,3815101
2024-03-28,1030.0,1041.8,1015.2,1026.7,3159446
2024-04-01,1047.1,1125.0,1036.15,1112.0,3995373
2024-04-02,1114.0,1128.85,1090.0,1098.35,1716219
2024-04-03,1098.55,1105.0,1090.0,1094.75,887319
2024-04-04,1103.45,1119.0,1082.2,1102.0,2011840
2024-04-05,1103.0,1109.95,1086.0,1096.3,747341
2024-04-08,1105.0,1117.75,1065.0,1075.85,794510
2024-04-09,1081.25,1088.6,1066.0,1071.25,432564
2024-04-10,1075.8,1076.0,1056.0,1064.25,450543
2024-04-12,1066.15,1097.55,1053.0,1068.9,1283700
2024-04-15,1036.4,1049.9,1012.85,1039.45,1053977
2024-04-16,1038.95,1060.65,1035.55,1051.75,655917
2024-04-18,1059.65,1068.9,1036.05,1038.75,497046
2024-04-19,1021.4,1046.55,1011.4,1040.6,794936
2024-04-22,1054.0,1080.0,1040.0,1042.95,667886
2024-04-23,1048.0,1068.95,1042.05,1050.05,749815
2024-04-24,1055.0,1056.2,1042.3,1047.85,409452
2024-04-25,1045.0,1053.95,1040.85,1050.15,421022
2024-04-26,1055.0,1071.45,1046.5,1062.85,2056765
2024-04-29,1072.85,1072.85,1057.6,1061.0,2795995
2024-04-30,1067.0,1087.3,1060.35,1065.2,3503339
2024-05-02,1065.2,1066.0,1045.6,1052.85,3169241
2024-05-03,1045.55,1068.5,1044.0,1061.55,2666817
2024-05-06,1060.35,1065.95,1032.15,1058.5,2650493
2024-05-07,1058.0,1058.25,1012.35,1021.55,2455096
2024-05-08,1018.1,1030.0,1011.0,1019.5,2094553
2024-05-09,1023.65,1029.85,975.0,980.05,918325
2024-05-10,980.05,999.7,970.5,990.55,745958
2024-05-13,990.95,1020.0,975.0,991.05,710559
2024-05-14,995.9,1056.0,982.85,1022.05,1344326
2024-05-15,1025.0,1039.0,1018.75,1021.65,597368
2024-05-16,1030.0,1035.0,1017.55,1031.0,486016
2024-05-17,1034.0,1042.0,1023.0,1035.15,397731
2024-05-18,1036.95,1047.25,1035.2,1044.6,89541
