date,open,high,low,close,volume
2023-12-26,1228.0,1235.6,1216.1,1225.1,183685
2023-12-27,1237.0,1238.1,1210.0,1217.7,130269
2023-12-28,1221.95,1265.0,1203.85,1252.45,463982
2023-12-29,1245.0,1327.0,1235.0,1306.1,1052833
2024-01-01,1318.0,1336.9,1310.0,1320.1,460112
2024-01-02,1325.0,1334.95,1285.1,1309.6,377951
2024-01-03,1314.95,1325.9,1302.0,1309.5,289884
2024-01-04,1312.0,1328.95,1306.5,1312.95,197981
2024-01-05,1306.55,1323.0,1295.9,1306.35,193273
2024-01-08,1306.0,1313.1,1268.0,1273.55,186922
2024-01-09,1282.0,1307.85,1250.0,1269.55,278700
2024-01-10,1267.0,1282.3,1257.0,1271.65,151708
2024-01-11,1272.95,1295.0,1272.95,1282.55,137573
2024-01-12,1290.25,1315.0,1288.05,1293.9,187035
2024-01-15,1299.95,1324.0,1296.55,1304.2,197525
2024-01-16,1305.0,1324.0,1275.0,1290.05,163618
2024-01-17,1289.0,1314.75,1270.0,1285.7,186814
2024-01-18,1272.9,1292.7,1205.05,1255.7,312568
2024-01-19,1272.0,1283.1,1257.6,1265.25,140672
2024-01-20,1266.0,1285.0,1220.0,1234.3,145021
2024-01-23,1237.05,1249.45,1175.65,1187.2,250096
2024-01-24,1193.0,1232.8,1171.05,1224.8,192595
2024-01-25,1230.0,1242.5,1215.0,1219.65,111560
2024-01-29,1230.0,1240.15,1197.55,1199.75,295763
2024-01-30,1200.0,1216.65,1190.0,1191.65,108305
2024-01-31,1200.0,1246.75,1192.5,1241.0,206514
2024-02-01,1241.0,1241.0,1210.2,1214.2,115056
2024-02-02,1229.95,1248.1,1216.6,1230.6,155999
2024-02-05,1267.0,1270.0,1185.0,1195.0,624456
2024-02-06,1200.4,1236.95,1178.0,1184.25,260516
2024-02-07,1190.0,1194.9,1181.65,1183.5,147771
2024-02-08,1185.2,1194.45,1150.0,1156.45,177730
2024-02-09,1157.0,1165.55,1108.0,1114.25,251374
2024-02-12,1128.9,1144.9,1102.5,1115.95,200241
2024-02-13,1118.95,1139.9,1085.0,1136.0,149988
2024-02-14,1127.8,1140.75,1118.05,1137.9,191204
2024-02-15,1141.2,1190.0,1137.55,1183.2,164538
2024-02-16,1187.0,1198.0,1150.0,1161.9,202819
2024-02-19,1171.95,1187.35,1150.0,1160.05,106795
2024-02-20,1166.4,1172.8,1134.6,1145.85,81169
2024-02-21,1150.0,1163.55,1110.0,1126.7,118684
