date,open,high,low,close,volume
2023-12-26,306.1,306.6,297.35,299.05,823642
2023-12-27,300.8,301.05,293.75,295.65,1032781
2023-12-28,297.2,298.5,291.05,292.25,783006
2023-12-29,293.15,298.0,291.0,295.1,1091211
2024-01-01,297.9,299.6,295.25,298.35,530163
2024-01-02,303.2,309.0,300.3,304.45,2179168
2024-01-03,305.1,310.75,302.0,309.85,2196466
2024-01-04,312.0,315.1,305.3,309.25,3060254
2024-01-05,311.0,322.2,310.5,318.7,2880456
2024-01-08,320.3,321.5,311.1,318.0,2125936
2024-01-09,317.2,323.6,315.85,318.7,1843663
2024-01-10,319.65,323.0,316.9,319.3,1041125
2024-01-11,320.0,323.9,317.5,320.15,856153
2024-01-12,322.0,332.05,321.35,327.95,2676220
2024-01-15,326.0,331.65,323.0,327.95,2053504
2024-01-16,327.85,330.5,314.1,319.85,2526800
2024-01-17,315.9,318.95,310.15,316.25,1142075
2024-01-18,316.25,320.95,307.8,318.7,1315835
2024-01-19,323.3,324.0,315.25,316.55,886994
2024-01-20,320.2,322.95,317.0,318.85,574880
2024-01-23,319.25,320.9,307.5,311.65,971526
2024-01-24,310.7,316.75,302.05,314.65,1356596
2024-01-25,316.0,317.9,312.5,315.95,1054256
2024-01-29,316.1,319.0,310.0,310.9,812321
2024-01-30,312.9,320.0,312.85,316.95,1401717
2024-01-31,318.7,319.7,314.0,318.1,704216
2024-02-01,320.0,321.1,311.75,314.75,615297
2024-02-02,317.0,328.9,317.0,322.95,1365901
2024-02-05,327.8,334.9,323.5,326.55,2413797
2024-02-06,331.0,334.6,321.45,327.3,1677945
2024-02-07,335.25,336.0,321.1,323.25,1901685
2024-02-08,334.0,348.8,332.05,343.35,7955639
2024-02-09,344.0,348.75,334.85,346.2,2699845
2024-02-12,349.8,355.6,336.6,342.7,3558303
2024-02-13,336.7,340.75,317.55,335.15,2263143
2024-02-14,332.25,351.0,329.1,341.45,2626435
2024-02-15,341.95,352.2,337.2,345.3,1374586
2024-02-16,347.05,358.4,341.8,354.25,3507270
2024-02-19,356.2,359.7,344.4,346.15,2444876
2024-02-20,349.0,349.6,342.55,345.25,1629221
2024-02-21,347.8,350.2,336.45,339.7,950031
2024-02-22,340.25,341.95,333.85,339.55,1077625
2024-02-23,348.05,355.0,347.6,350.1,2312143
2024-02-26,353.2,355.95,350.55,354.3,1128952
2024-02-27,354.85,355.9,347.45,348.9,678246
2024-02-28,350.0,351.5,336.5,339.65,919908
2024-02-29,339.65,360.0,332.4,350.0,2707694
2024-03-01,358.0,364.8,351.15,354.65,2996845
2024-03-02,354.65,357.0,348.55,350.35,228762
2024-03-04,350.9,359.95,349.2,358.15,2086864
2024-03-05,358.0,362.35,350.8,354.05,1020764
2024-03-06,351.0,354.9,340.55,348.6,1034787
2024-03-07,351.75,353.7,345.05,347.45,654618
2024-03-11,348.25,348.7,335.0,336.45,1101781
2024-03-12,335.0,335.65,317.1,318.95,2229559
2024-03-13,318.95,321.35,282.0,286.55,3947236
2024-03-14,281.0,306.45,281.0,297.5,2667054
2024-03-15,300.0,305.45,288.8,298.8,1643094
2024-03-18,298.35,302.5,291.0,296.1,1062243
2024-03-19,297.0,300.95,287.25,289.05,723123
2024-03-20,292.0,294.4,282.3,289.6,1297258
2024-03-21,294.0,309.1,294.0,307.5,1165394
2024-03-22,306.7,309.0,297.35,302.7,1354702
2024-03-26,303.6,303.6,294.7,301.25,1218001
2024-03-27,305.4,315.0,304.2,311.15,1450302
2024-03-28,314.4,316.0,309.5,311.35,616973
2024-04-01,314.0,325.9,314.0,324.05,1418690
2024-04-02,324.5,338.45,324.5,330.45,1465087
2024-04-03,329.0,335.05,326.35,328.85,710163
2024-04-04,330.95,333.9,323.0,325.05,754771
2024-04-05,324.95,332.0,324.05,329.75,809718
2024-04-08,334.3,341.05,330.2,337.55,2140766
2024-04-09,339.5,346.0,335.3,343.5,1865090
2024-04-10,346.2,349.0,340.3,345.45,2666768
2024-04-12,346.0,350.0,336.5,338.35,1958635
2024-04-15,329.95,334.9,321.05,332.5,1339530
2024-04-16,330.0,336.5,328.65,333.1,852537
2024-04-18,338.5,343.65,332.15,334.15,802186
2024-04-19,329.9,343.0,325.45,340.35,1124178
2024-04-22,344.95,355.0,344.0,351.3,1570594
2024-04-23,355.0,371.5,353.05,360.05,3338245
2024-04-24,364.0,368.0,358.3,364.1,5436571
2024-04-25,370.15,375.0,357.55,359.4,5142031
2024-04-26,365.0,372.0,360.3,364.15,3085151
2024-04-29,365.1,368.5,358.5,367.65,2725855
2024-04-30,366.95,368.0,361.0,362.9,764092
2024-05-02,363.0,364.0,355.0,359.6,983838
2024-05-03,360.95,362.7,352.0,357.45,924590
2024-05-06,362.6,369.0,356.5,366.9,3060172
2024-05-07,368.7,371.0,353.05,358.75,1673100
2024-05-08,357.95,363.7,350.0,359.2,966391
2024-05-09,368.1,377.3,365.0,365.8,6020903
2024-05-10,368.0,374.0,359.2,368.8,1923800
2024-05-13,369.0,378.0,362.55,372.8,7043458
2024-05-14,376.5,382.0,371.35,374.0,2402907
2024-05-15,375.0,383.0,373.05,381.85,2082810
2024-05-16,383.85,384.7,372.8,376.1,1137607
2024-05-17,377.5,388.0,374.25,385.55,1625196
2024-05-18,387.8,388.15,384.85,385.8,181637
2024-05-21,388.4,392.4,383.7,387.9,1808090
2024-05-22,388.6,389.8,380.25,388.0,2227605
2024-05-23,389.0,390.0,382.7,384.6,606005
2024-05-24,385.0,387.7,379.0,380.45,445648
2024-05-27,383.3,387.2,378.05,382.15,1828957
2024-05-28,382.0,382.0,372.0,375.9,890716
2024-05-29,373.9,378.0,367.6,374.15,536702
2024-05-30,374.1,375.0,369.15,370.45,436395
2024-05-31,372.45,387.0,370.05,385.5,2161562
2024-06-03,406.0,408.4,392.95,398.9,1910120
2024-06-04,396.9,396.9,319.15,335.05,4359100
2024-06-05,345.0,356.0,324.0,355.1,1671712
2024-06-06,359.05,381.4,359.05,378.15,1701467
2024-06-07,378.15,393.2,377.0,390.85,1173438
2024-06-10,392.8,406.95,391.05,400.0,2179677
2024-06-11,404.0,426.55,403.1,423.55,2415313
2024-06-12,427.5,432.0,418.45,420.75,2543339
2024-06-13,422.05,424.9,411.5,414.55,1029398
2024-06-14,414.55,426.7,414.55,424.5,1190208
2024-06-18,430.0,449.4,428.75,442.85,2497944
2024-06-19,445.0,453.0,430.4,441.9,1857054
2024-06-20,443.7,447.0,438.15,439.8,848966
2024-06-21,440.95,447.0,436.85,440.7,1145180
2024-06-24,439.0,451.0,430.6,449.2,1359421
2024-06-25,449.6,450.0,440.4,442.05,1900391
2024-06-26,445.9,449.0,436.0,440.15,1202205
2024-06-27,442.0,446.0,433.15,437.45,578268
2024-06-28,440.0,440.2,428.45,429.7,592473
2024-07-01,434.0,446.6,430.6,443.65,803862
2024-07-02,462.0,489.0,456.35,481.6,7648494
2024-07-03,485.9,495.0,483.6,487.4,1613782
2024-07-04,488.95,498.0,479.15,490.6,1801620
2024-07-05,490.0,520.0,490.0,514.55,2881369
2024-07-08,530.05,552.0,525.85,544.3,3245519
2024-07-09,548.5,548.5,521.0,526.7,1421076
2024-07-10,528.05,529.75,502.2,504.85,2216893
2024-07-11,509.0,517.0,502.05,504.0,1272525
2024-07-12,506.5,508.35,492.55,496.4,652523
2024-07-15,500.0,500.0,484.85,487.35,980778
2024-07-16,488.0,493.2,481.0,482.95,899514
2024-07-18,482.95,486.25,473.7,479.05,1011349
2024-07-19,478.75,495.5,468.05,480.7,1920723
2024-07-22,510.0,540.75,496.6,509.95,7913285
2024-07-23,521.0,526.0,480.0,515.3,3325756
2024-07-24,516.8,535.0,510.9,518.4,1806932
2024-07-25,513.9,518.95,506.2,514.65,872704
2024-07-26,516.0,542.5,510.3,537.25,2045349
2024-07-29,561.4,565.0,540.7,557.8,3894743
2024-07-30,557.8,560.85,548.2,559.1,1100756
2024-07-31,562.1,562.1,550.35,555.1,790958
2024-08-01,550.0,559.5,529.65,533.2,1119041
2024-08-02,525.0,528.95,515.55,521.5,1185201
2024-08-05,501.0,518.95,497.0,500.25,1956390
2024-08-06,500.0,520.3,493.8,499.25,1307091
2024-08-07,511.65,515.25,503.0,509.65,873894
2024-08-08,510.75,532.45,510.65,519.8,1204913
2024-08-09,544.95,544.95,515.05,519.8,1276048
2024-08-12,516.0,528.65,511.3,514.25,742381
2024-08-13,516.2,522.45,506.0,507.55,807329
2024-08-14,510.65,523.6,500.0,519.25,1893925
2024-08-16,523.9,604.4,522.5,586.15,6890740
2024-08-19,590.0,613.8,586.25,607.25,3938774
2024-08-20,607.25,607.25,590.45,593.55,961378
2024-08-21,598.0,616.0,588.75,594.35,1648849
2024-08-22,598.1,606.0,583.8,585.25,1431756
2024-08-23,587.05,603.95,582.25,586.15,1782972
2024-08-26,591.7,636.85,587.3,611.8,3281098
2024-08-27,615.0,627.95,602.1,607.15,1025832
2024-08-28,609.1,619.0,598.85,609.25,1498738
2024-08-29,610.5,614.1,593.35,600.2,1238789
2024-08-30,603.0,610.5,592.0,595.9,1299491
2024-09-02,599.8,606.7,591.2,593.35,731708
2024-09-03,595.2,610.95,593.0,604.4,1048805
2024-09-04,598.85,615.95,595.1,611.75,1165960
2024-09-05,615.0,629.5,612.5,624.5,1568744
2024-09-06,628.8,628.8,609.0,613.4,1015420
2024-09-09,615.4,615.4,594.1,608.6,841009
2024-09-10,611.5,625.0,605.0,609.55,1359182
2024-09-11,611.2,635.0,601.55,619.9,1472445
2024-09-12,627.9,650.0,622.0,637.4,2218597
2024-09-13,641.9,660.0,632.85,645.85,1364312
2024-09-16,650.0,659.95,640.75,647.75,990183
2024-09-17,647.75,663.0,643.8,649.6,1209920
2024-09-18,649.5,680.0,647.35,663.8,2628639
