date,open,high,low,close,volume
2023-12-26,1593.9,1605.05,1580.0,1588.05,429057
2023-12-27,1590.05,1603.3,1578.4,1582.65,1074241
2023-12-28,1586.9,1593.4,1540.0,1543.85,568767
2023-12-29,1545.0,1552.0,1520.15,1536.8,845509
2024-01-01,1553.9,1560.0,1511.15,1528.7,737306
2024-01-02,1500.0,1525.0,1466.65,1504.35,1576938
2024-01-03,1491.2,1499.9,1467.0,1470.15,1060686
2024-01-04,1480.0,1487.6,1432.9,1450.85,1798393
2024-01-05,1457.9,1551.0,1454.15,1523.75,2264237
2024-01-08,1524.05,1547.8,1494.55,1514.2,725066
2024-01-09,1523.8,1545.0,1507.85,1540.15,818319
2024-01-10,1545.0,1572.0,1533.05,1565.95,920486
2024-01-11,1570.8,1578.9,1549.55,1570.1,1713389
2024-01-12,1570.0,1589.0,1535.0,1552.85,477231
2024-01-15,1554.9,1569.9,1537.5,1554.6,412574
2024-01-16,1559.8,1567.75,1538.05,1553.75,304925
2024-01-17,1530.0,1539.0,1501.15,1510.4,760205
2024-01-18,1510.7,1520.5,1477.25,1506.35,647115
2024-01-19,1510.0,1558.0,1510.0,1548.45,472150
2024-01-20,1557.8,1566.05,1531.0,1540.0,115552
2024-01-23,1539.0,1542.85,1478.0,1500.95,849028
2024-01-24,1502.0,1522.5,1479.1,1502.0,459634
2024-01-25,1496.05,1511.5,1483.0,1489.85,557859
2024-01-29,1479.95,1543.9,1471.4,1531.5,1733644
2024-01-30,1530.0,1530.0,1490.0,1499.2,905374
2024-01-31,1490.0,1518.85,1456.6,1503.35,1376291
2024-02-01,1506.7,1511.3,1487.3,1492.3,1189459
2024-02-02,1485.0,1497.8,1470.0,1478.65,492140
2024-02-05,1478.65,1494.0,1420.0,1435.6,1413379
2024-02-06,1428.0,1440.85,1370.65,1402.85,2020568
2024-02-07,1404.85,1412.95,1375.0,1382.9,908891
2024-02-08,1384.95,1414.0,1366.6,1387.95,1079647
2024-02-09,1387.95,1389.0,1326.75,1342.6,912385
2024-02-12,1358.95,1366.0,1338.0,1351.05,491008
2024-02-13,1351.05,1357.8,1314.3,1333.6,548378
2024-02-14,1325.1,1396.45,1305.0,1388.55,1004441
2024-02-15,1388.0,1426.2,1384.55,1418.6,510461
2024-02-16,1423.65,1444.2,1413.95,1433.15,559931
