date,open,high,low,close,volume
2023-12-26,775.0,783.4,770.8,777.25,57689
2023-12-27,778.0,785.0,765.35,769.45,68041
2023-12-28,773.25,777.6,746.5,755.25,76174
2023-12-29,756.0,766.6,753.5,759.4,101064
2024-01-01,760.15,768.95,756.7,765.9,46900
2024-01-02,775.0,820.0,773.4,792.45,2305676
2024-01-03,798.0,824.95,796.05,807.6,644476
2024-01-04,811.9,814.5,798.05,809.15,860880
2024-01-05,813.4,816.75,800.1,811.75,173659
2024-01-08,815.75,815.75,800.55,807.05,98205
2024-01-09,807.95,811.05,792.95,803.65,90722
2024-01-10,805.35,807.1,787.55,800.2,92304
2024-01-11,804.0,842.9,802.0,836.5,1082185
2024-01-12,847.0,885.85,838.1,880.55,1373332
2024-01-15,900.0,965.0,890.05,943.55,2761132
2024-01-16,942.0,949.95,923.0,941.5,533053
2024-01-17,929.0,945.7,905.95,931.4,469435
2024-01-18,921.0,943.95,893.0,940.4,292730
2024-01-19,938.9,945.9,922.8,943.45,251735
2024-01-20,947.95,958.0,928.15,944.85,209604
2024-01-23,949.55,974.0,931.8,943.0,319271
2024-01-24,936.0,993.6,935.95,981.4,633261
2024-01-25,984.9,984.9,938.05,941.7,194531
2024-01-29,941.7,945.25,915.35,921.1,327866
2024-01-30,921.1,932.2,892.0,901.2,365826
2024-01-31,909.3,974.7,905.0,960.5,1067161
2024-02-01,962.05,965.0,933.5,955.55,157337
2024-02-02,962.9,963.85,951.0,957.4,86057
2024-02-05,962.4,1037.95,955.05,965.1,776370
2024-02-06,963.6,1015.0,959.55,985.85,438825
2024-02-07,990.0,1011.05,966.2,977.0,224602
2024-02-08,979.9,999.0,975.0,990.6,132603
2024-02-09,994.8,1008.75,948.0,967.6,275157
2024-02-12,967.5,978.1,944.05,971.35,93032
2024-02-13,967.0,1007.85,947.5,993.55,180840
2024-02-14,993.7,993.7,977.0,980.75,41909
2024-02-15,972.0,1015.0,972.0,1003.85,92197
2024-02-16,1010.0,1012.4,990.55,1003.3,189453
2024-02-19,1003.2,1026.85,987.3,1004.2,96189
2024-02-20,1009.2,1060.5,1001.65,1048.0,485629
2024-02-21,1051.0,1094.0,1030.1,1075.15,449749
2024-02-22,1068.4,1086.95,1062.65,1079.55,187577
2024-02-23,1085.0,1085.0,1042.95,1048.35,145566
2024-02-26,1050.25,1067.4,1030.85,1047.45,183145
2024-02-27,1050.0,1063.65,1036.7,1050.3,66557
2024-02-28,1050.3,1055.45,1014.05,1028.7,81705
2024-02-29,1033.7,1035.0,1012.0,1019.65,143721
2024-03-01,1025.0,1080.0,1018.1,1055.0,101473
2024-03-02,1055.0,1080.0,1034.3,1048.0,7474
2024-03-04,1043.0,1052.35,1001.2,1004.75,78755
2024-03-05,1007.9,1033.0,1001.0,1029.7,170824
2024-03-06,1023.6,1032.45,992.75,998.85,107665
2024-03-07,997.8,1018.4,994.6,999.25,185555
2024-03-11,997.3,999.0,974.4,978.25,106713
2024-03-12,972.4,990.95,950.25,980.35,148399
2024-03-13,992.0,997.95,901.8,919.4,166114
2024-03-14,927.0,939.7,915.25,927.0,112990
2024-03-15,920.0,959.65,920.0,946.75,66709
2024-03-18,951.7,978.9,937.55,963.25,130439
2024-03-19,968.05,968.05,924.25,934.0,119068
2024-03-20,928.3,968.5,928.3,945.45,120261
2024-03-21,957.05,970.0,942.65,965.05,209400
2024-03-22,958.8,967.6,950.0,957.4,51337
2024-03-26,951.7,972.7,947.3,967.5,58691
2024-03-27,958.7,989.0,958.7,984.75,134979
2024-03-28,994.0,997.35,969.6,984.8,141639
2024-04-01,984.8,1027.35,984.8,1008.95,157371
2024-04-02,1014.95,1035.55,989.05,1000.75,176138
2024-04-03,1005.0,1024.75,985.9,991.05,76837
2024-04-04,996.0,1017.0,994.35,1004.45,70095
2024-04-05,1000.0,1049.0,993.4,1008.55,234131
2024-04-08,1013.55,1023.9,998.1,1005.15,151442
2024-04-09,1002.0,1011.85,982.0,990.3,91520
2024-04-10,994.9,996.75,972.6,993.75,77497
2024-04-12,986.0,1004.85,977.75,982.6,92575
2024-04-15,970.0,977.95,950.4,968.55,57393
2024-04-16,960.0,980.0,956.65,965.6,53601
2024-04-18,960.0,960.0,925.1,931.05,174076
2024-04-19,929.95,948.75,913.95,938.35,69069
2024-04-22,940.0,959.85,940.0,952.1,61662
2024-04-23,955.0,955.0,933.5,940.25,57145
2024-04-24,940.4,972.15,940.4,958.0,60861
2024-04-25,961.95,1010.0,955.8,997.5,136404
2024-04-26,1002.5,1010.7,986.75,990.25,274350
2024-04-29,998.0,1015.0,991.0,996.85,109123
2024-04-30,991.0,1009.8,984.75,999.6,43099
2024-05-02,1000.0,1014.65,990.6,994.65,60548
2024-05-03,995.25,1050.8,990.9,1024.3,630919
2024-05-06,1027.45,1034.5,1011.0,1024.1,163854
2024-05-07,1015.0,1036.0,995.3,1021.15,80526
2024-05-08,1018.65,1020.25,1000.0,1003.8,41432
2024-05-09,1006.95,1028.45,971.5,1001.35,347707
2024-05-10,1009.55,1009.55,954.25,975.6,198396
2024-05-13,990.05,994.9,951.05,953.3,54620
2024-05-14,958.1,982.0,955.0,965.2,86264
2024-05-15,973.8,984.4,963.4,968.2,82621
2024-05-16,970.95,975.3,962.55,970.0,63359
2024-05-17,970.0,980.95,958.0,959.9,43212
2024-05-18,965.9,989.95,951.0,967.75,4260
2024-05-21,967.8,969.65,948.05,949.8,85392
2024-05-22,953.65,961.0,941.0,954.95,67330
2024-05-23,957.9,967.75,951.35,960.55,52449
2024-05-24,963.9,965.6,945.0,949.95,58814
2024-05-27,950.0,967.0,942.4,947.85,35711
2024-05-28,952.6,952.6,936.0,937.95,38216
2024-05-29,937.8,956.0,930.7,947.05,43667
2024-05-30,943.1,974.75,935.1,942.4,237906
2024-05-31,947.05,962.15,919.0,923.1,126691
2024-06-03,930.0,940.2,914.05,917.35,61507
2024-06-04,917.35,922.4,823.4,869.55,108163
2024-06-05,874.0,900.5,855.65,892.0,49977
2024-06-06,894.0,900.55,875.25,893.2,126515
2024-06-07,905.0,929.0,893.25,916.0,104402
2024-06-10,924.05,926.95,903.05,907.35,78649
2024-06-11,907.8,909.55,895.0,896.9,79246
2024-06-12,898.0,904.35,890.0,891.25,63373
2024-06-13,893.0,899.95,881.0,882.95,84720
2024-06-14,887.4,910.0,884.7,888.2,154091
2024-06-18,909.9,915.0,864.4,868.0,689684
2024-06-19,882.3,894.95,859.0,862.5,300739
2024-06-20,876.8,876.8,837.8,845.3,270002
2024-06-21,847.9,874.5,847.75,869.15,375657
2024-06-24,869.15,909.5,869.15,902.55,487318
2024-06-25,909.4,923.0,897.05,907.5,220361
2024-06-26,913.0,922.8,896.0,900.15,135127
2024-06-27,902.0,908.5,875.2,879.0,138678
2024-06-28,880.0,900.2,870.2,876.6,221767
2024-07-01,880.5,926.05,880.45,923.5,290449
2024-07-02,928.4,984.0,927.05,973.8,846993
2024-07-03,973.8,981.6,945.05,950.35,246094
2024-07-04,960.5,990.2,955.0,961.65,359680
2024-07-05,965.0,1018.0,965.0,989.05,528915
2024-07-08,998.0,1006.0,977.4,985.85,207930
2024-07-09,986.0,995.4,969.5,973.65,172026
2024-07-10,985.35,1006.45,965.7,985.0,212413
2024-07-11,994.9,1019.5,980.05,999.2,358965
2024-07-12,1006.0,1012.5,981.05,986.55,131494
2024-07-15,993.45,997.7,969.55,981.85,186130
2024-07-16,991.0,1119.0,989.1,1083.45,5770359
2024-07-18,1069.0,1087.5,1046.3,1076.95,672098
2024-07-19,1080.2,1114.1,1039.55,1080.4,806968
2024-07-22,1088.0,1165.0,1081.75,1119.1,2561426
2024-07-23,1119.15,1143.5,1070.0,1084.95,358342
2024-07-24,1072.9,1192.95,1072.9,1175.4,1319516
2024-07-25,1170.0,1218.0,1150.1,1200.95,638987
2024-07-26,1186.1,1224.9,1185.45,1216.35,477497
2024-07-29,1225.0,1255.0,1202.0,1239.05,340680
2024-07-30,1232.0,1233.6,1169.0,1174.0,263816
2024-07-31,1180.0,1190.0,1168.05,1179.55,127950
2024-08-01,1185.35,1225.35,1181.1,1212.5,250733
2024-08-02,1212.5,1252.5,1193.05,1245.05,300661
2024-08-05,1229.9,1234.95,1187.35,1196.3,184835
2024-08-06,1199.2,1231.6,1179.15,1186.65,116887
2024-08-07,1190.85,1225.8,1188.7,1220.3,174370
2024-08-08,1220.3,1284.95,1203.0,1214.0,724102
2024-08-09,1217.0,1220.1,1121.1,1130.35,375702
2024-08-12,1130.35,1134.75,1097.0,1110.8,165856
2024-08-13,1117.35,1129.95,1062.6,1068.15,312670
2024-08-14,1084.65,1093.95,1051.85,1062.15,287862
2024-08-16,1071.75,1097.0,1058.95,1089.45,180781
2024-08-19,1082.0,1090.0,1058.8,1070.95,193508
2024-08-20,1080.8,1087.2,1063.4,1083.8,84547
2024-08-21,1083.8,1129.0,1080.8,1107.25,176169
2024-08-22,1113.1,1133.45,1103.75,1117.6,152198
2024-08-23,1123.5,1126.65,1096.0,1101.25,75146
2024-08-26,1134.8,1157.9,1086.8,1095.55,505146
2024-08-27,1102.9,1107.85,1066.2,1069.15,139454
2024-08-28,1070.0,1081.0,1053.0,1067.15,107467
2024-08-29,1072.5,1072.5,1025.1,1050.05,342248
2024-08-30,1055.05,1083.9,1048.15,1059.1,122834
2024-09-02,1075.75,1079.9,1061.1,1069.9,62934
2024-09-03,1070.0,1080.0,1040.0,1066.85,82008
2024-09-04,1058.0,1134.0,1051.15,1116.2,432870
2024-09-05,1129.0,1170.0,1125.55,1147.15,930631
2024-09-06,1156.0,1174.9,1101.25,1105.7,387938
2024-09-09,1106.85,1218.9,1106.85,1203.35,2964490
2024-09-10,1205.0,1251.4,1168.35,1243.7,1177097
2024-09-11,1239.45,1252.6,1211.5,1247.7,400232
2024-09-12,1240.0,1278.0,1211.1,1216.85,395190
2024-09-13,1220.05,1225.85,1200.1,1208.25,141230
2024-09-16,1225.0,1225.0,1177.45,1181.2,162358
2024-09-17,1205.0,1224.0,1185.55,1200.1,151483
2024-09-18,1210.55,1223.95,1181.0,1189.3,136829
2024-09-19,1185.0,1195.6,1132.55,1145.55,168914
2024-09-20,1160.0,1160.0,1110.05,1114.95,191053
2024-09-23,1125.0,1169.55,1125.0,1165.2,168876
2024-09-24,1176.75,1176.75,1143.1,1162.8,116870
2024-09-25,1162.8,1191.0,1143.1,1182.95,140687
2024-09-26,1170.05,1214.35,1164.7,1195.75,290215
2024-09-27,1195.75,1206.2,1177.0,1194.85,210526
2024-09-30,1200.0,1248.2,1184.75,1205.5,411045
2024-10-01,1204.0,1216.35,1185.1,1191.95,84308
2024-10-03,1189.95,1265.0,1166.0,1241.15,770004
2024-10-04,1244.05,1274.85,1218.65,1242.85,586218
2024-10-07,1261.5,1265.0,1153.05,1217.95,349701
2024-10-08,1206.9,1250.4,1190.0,1246.85,154458
2024-10-09,1257.95,1303.9,1222.2,1230.9,789467
2024-10-10,1240.0,1246.7,1184.4,1190.8,202768
2024-10-11,1190.8,1204.9,1164.0,1171.7,140912
2024-10-14,1172.7,1174.2,1117.55,1126.5,283272
2024-10-15,1131.0,1165.0,1121.0,1149.85,210381
