date,open,high,low,close,volume
2023-12-26,168.3,169.95,167.55,168.95,12825482
2023-12-27,169.95,171.1,168.1,169.2,13576279
2023-12-28,170.05,171.25,169.2,170.35,10480244
2023-12-29,172.35,178.05,170.45,176.6,38292309
2024-01-01,177.55,183.1,176.7,181.0,39354793
2024-01-02,182.55,184.65,174.75,175.45,34044615
2024-01-03,177.15,177.15,173.0,174.75,11113724
2024-01-04,176.45,176.45,174.6,174.95,12256991
2024-01-05,176.05,177.2,173.25,174.5,12044079
2024-01-08,175.55,176.9,172.45,173.2,13359269
2024-01-09,174.5,175.55,172.0,172.35,6590559
2024-01-10,172.85,172.85,168.8,170.4,11158390
2024-01-11,172.6,172.9,170.85,171.65,8627771
2024-01-12,171.85,172.45,170.55,171.7,7613337
2024-01-15,172.55,172.85,170.55,171.35,12534198
2024-01-16,171.35,174.2,169.1,170.4,9460820
2024-01-17,169.25,169.85,165.9,166.45,16212300
2024-01-18,165.85,169.55,163.05,168.6,16760144
2024-01-19,170.4,170.5,166.9,167.4,10379868
2024-01-20,169.35,170.55,168.1,169.5,7393395
2024-01-23,170.0,170.8,163.85,165.3,13224397
2024-01-24,166.05,166.5,162.75,165.65,10547781
2024-01-25,166.05,167.75,163.6,164.8,10840926
2024-01-29,165.8,170.1,163.8,168.75,16590997
2024-01-30,169.8,169.85,167.35,167.7,10850911
2024-01-31,167.7,171.3,166.65,170.95,14225380
2024-02-01,172.25,172.25,168.75,169.8,12127881
2024-02-02,168.25,170.25,163.35,169.1,22676967
2024-02-05,170.95,176.95,168.2,174.3,56970804
2024-02-06,181.9,181.9,171.2,175.0,72074448
2024-02-07,178.0,178.0,172.05,172.85,24524288
2024-02-08,173.55,173.75,168.15,171.05,15164312
2024-02-09,171.15,171.45,164.9,168.5,15647861
2024-02-12,169.4,169.4,165.35,166.4,14119007
2024-02-13,166.85,168.95,164.8,168.0,9548570
2024-02-14,165.95,169.75,165.1,168.7,9320305
2024-02-15,169.55,170.55,168.6,169.55,5903195
2024-02-16,169.85,171.85,168.05,169.25,10827587
2024-02-19,169.4,169.55,166.85,167.25,11146517
2024-02-20,167.7,169.9,166.55,168.0,16854882
2024-02-21,169.45,172.45,165.85,166.35,34084215
2024-02-22,167.75,168.65,161.45,168.05,14645325
2024-02-23,168.55,169.55,166.9,169.05,10916517
2024-02-26,169.25,171.15,166.8,169.05,17724350
2024-02-27,169.0,170.45,167.25,169.05,9973480
2024-02-28,169.05,169.5,163.8,164.35,12160659
2024-02-29,164.4,165.8,162.75,164.95,21249116
2024-03-01,166.05,168.4,165.65,167.0,12067167
2024-03-02,167.15,168.0,167.0,167.45,1087350
2024-03-04,167.05,169.0,165.75,167.1,17740019
2024-03-05,166.95,168.55,166.6,166.95,8299824
2024-03-06,166.95,167.25,164.05,165.75,9408878
2024-03-07,165.75,167.3,165.65,166.1,5632664
2024-03-11,167.0,167.8,164.2,164.65,15018946
2024-03-12,165.05,165.2,162.05,162.35,10111311
2024-03-13,162.55,162.85,154.1,154.85,14467593
2024-03-14,153.15,159.5,152.6,159.15,15289732
2024-03-15,159.35,159.9,155.3,156.9,19074491
2024-03-18,157.25,158.5,154.8,157.7,13639776
2024-03-19,158.0,158.05,155.0,156.85,16013195
2024-03-20,157.1,157.9,155.1,156.6,7987167
2024-03-21,158.45,162.25,157.65,161.9,12691900
2024-03-22,161.85,163.5,161.1,161.7,11280627
2024-03-26,162.3,165.3,162.05,163.65,20210770
2024-03-27,165.3,166.4,163.65,164.05,13066444
2024-03-28,165.75,167.65,164.6,166.3,16280598
2024-04-01,168.05,170.45,168.05,169.7,21306967
2024-04-02,170.05,173.4,169.55,171.55,34582301
2024-04-03,171.7,175.45,171.0,174.25,14248923
2024-04-04,174.0,174.8,172.55,173.0,8582623
2024-04-05,172.8,176.5,171.4,176.0,15436402
2024-04-08,176.1,178.2,175.55,177.2,22040896
2024-04-09,177.2,177.65,175.1,176.05,7282933
2024-04-10,176.3,180.6,176.0,178.5,15885567
2024-04-12,177.9,181.2,177.1,178.35,16842899
2024-04-15,174.15,176.2,172.95,174.85,11891660
2024-04-16,173.35,177.3,172.05,176.2,11464985
2024-04-18,176.5,176.5,169.05,169.7,20636185
2024-04-19,168.0,170.0,166.25,169.35,10957286
2024-04-22,171.0,173.4,170.25,172.7,12831083
2024-04-23,173.0,174.95,172.75,174.65,9131403
2024-04-24,175.5,178.4,174.4,177.6,13300471
2024-04-25,178.0,178.8,177.05,177.7,11988994
2024-04-26,178.0,187.2,177.4,185.0,48050897
2024-04-29,187.2,188.0,184.85,185.35,15675179
2024-04-30,186.75,194.25,185.65,192.65,55035190
2024-05-02,195.85,201.95,194.5,201.35,50511799
2024-05-03,203.75,205.1,200.3,202.3,26107306
2024-05-06,203.7,204.9,200.3,200.85,17426209
2024-05-07,201.55,201.7,192.5,194.1,16416394
2024-05-08,194.5,199.65,192.65,198.35,12219792
2024-05-09,198.9,202.2,194.0,194.65,14749855
2024-05-10,196.0,199.9,194.1,198.3,12391915
2024-05-13,199.55,199.95,190.05,199.35,18601645
2024-05-14,200.05,205.9,199.85,204.55,19216483
2024-05-15,205.2,205.55,200.5,201.4,10515237
2024-05-16,202.8,207.45,202.5,206.65,19482108
2024-05-17,207.35,209.95,206.4,207.85,14071079
2024-05-18,208.9,211.1,208.35,210.6,4135117
2024-05-21,210.95,211.95,209.05,211.35,15423923
2024-05-22,211.85,211.85,206.15,208.2,11330579
2024-05-23,209.65,213.7,206.15,212.35,18192042
2024-05-24,212.75,219.45,207.0,210.7,44277487
2024-05-27,216.0,228.3,212.6,226.7,82852947
2024-05-28,227.75,230.8,224.3,226.85,27423811
2024-05-29,223.0,229.0,221.1,221.65,20861689
2024-05-30,221.65,223.5,218.3,219.75,10163073
2024-05-31,222.0,225.7,219.7,224.0,25224364
2024-06-03,235.0,237.95,231.0,236.5,27249178
2024-06-04,235.0,235.0,192.0,207.75,45845987
2024-06-05,215.35,225.5,205.2,224.15,29006990
2024-06-06,225.4,231.05,223.55,225.7,18592488
2024-06-07,225.7,232.15,224.15,231.45,13365598
2024-06-10,233.9,233.95,228.82,231.42,17582561
2024-06-11,232.35,238.85,230.1,237.96,13553181
2024-06-12,239.0,241.5,237.31,238.04,12247408
2024-06-13,238.9,240.52,235.55,236.79,9109087
2024-06-14,237.0,242.69,235.89,239.84,17009595
2024-06-18,240.6,242.65,238.15,239.24,12642828
2024-06-19,239.0,239.88,231.55,234.01,12166591
2024-06-20,234.01,237.9,233.29,236.86,6600075
2024-06-21,236.9,238.16,234.55,235.65,7688518
2024-06-24,233.6,241.4,231.23,240.3,17966888
2024-06-25,241.0,245.67,240.9,241.86,13089173
2024-06-26,241.6,243.88,239.3,240.19,6266436
2024-06-27,240.19,242.69,238.33,242.16,6615344
2024-06-28,241.3,243.95,240.61,241.89,5963889
2024-07-01,241.9,243.29,235.37,238.78,10772576
2024-07-02,238.9,239.0,233.45,234.52,9422599
2024-07-03,235.3,235.97,226.15,229.47,17206470
2024-07-04,231.3,231.9,226.45,227.11,10961313
2024-07-05,227.0,230.45,226.0,229.56,13557431
2024-07-08,230.0,231.28,224.85,226.05,11746524
2024-07-09,227.25,230.45,227.25,228.28,13237954
2024-07-10,228.5,229.28,221.25,225.97,10970675
2024-07-11,226.0,228.5,225.2,226.94,6829086
2024-07-12,227.9,228.0,223.96,224.26,9394331
2024-07-15,225.0,228.69,223.4,228.2,11695271
2024-07-16,230.7,230.7,227.56,228.41,9385976
2024-07-18,229.5,230.33,225.56,228.33,8461245
2024-07-19,228.33,228.8,223.0,223.95,7812680
2024-07-22,225.15,232.95,222.52,230.7,18930934
2024-07-23,231.29,233.4,219.35,229.63,18414004
2024-07-24,228.0,233.5,227.15,232.5,6724938
2024-07-25,229.81,233.48,224.85,232.43,21033162
2024-07-26,235.1,248.89,235.1,246.38,45804874
2024-07-29,249.0,258.85,249.0,256.35,28698736
2024-07-30,256.4,256.4,251.57,253.59,10302462
2024-07-31,254.0,259.0,252.9,257.09,9627255
2024-08-01,258.45,258.45,246.95,250.2,17612711
2024-08-02,245.75,253.35,244.45,250.15,10065906
2024-08-05,240.0,247.8,240.0,244.0,16265652
2024-08-06,244.35,251.95,242.25,243.15,11070020
2024-08-07,246.35,248.7,244.2,247.3,5262867
2024-08-08,247.25,249.5,245.15,246.3,10675857
2024-08-09,248.0,254.6,247.2,253.1,11598638
2024-08-12,249.95,253.8,249.6,252.05,9417006
2024-08-13,253.35,255.25,251.05,251.7,8115854
2024-08-14,251.5,252.35,245.7,246.45,4645867
2024-08-16,249.05,256.9,248.5,255.95,11252720
2024-08-19,258.0,260.15,255.7,257.5,14623178
2024-08-20,258.1,261.75,256.85,260.0,8623913
2024-08-21,258.45,261.5,258.15,260.25,3577864
2024-08-22,260.2,262.4,259.75,261.75,4207060
