date,open,high,low,close,volume
2023-12-26,398.0,402.9,395.25,399.9,885576
2023-12-27,401.85,406.0,398.35,402.6,288826
2023-12-28,404.8,406.3,401.0,404.7,180264
2023-12-29,406.7,413.5,400.5,409.8,347572
2024-01-01,411.85,412.7,400.5,403.95,155897
2024-01-02,405.05,413.9,403.3,403.55,972360
2024-01-03,401.35,408.95,396.0,398.35,142230
2024-01-04,399.8,404.9,398.55,401.6,139146
2024-01-05,405.0,430.0,405.0,417.45,1563505
2024-01-08,418.5,419.8,406.3,408.7,229197
2024-01-09,410.0,413.2,407.6,408.95,96892
2024-01-10,409.75,411.0,405.0,408.35,143315
2024-01-11,408.65,414.4,401.95,411.4,311152
2024-01-12,413.25,414.9,402.2,404.2,158508
2024-01-15,409.65,410.2,394.0,400.2,836721
2024-01-16,449.0,449.7,422.0,425.15,5351797
2024-01-17,431.5,439.5,427.5,437.2,1209619
2024-01-18,442.0,448.8,430.8,433.9,783603
2024-01-19,437.7,441.0,428.8,434.9,495443
2024-01-20,438.8,439.0,432.0,434.2,240073
2024-01-23,437.0,441.0,420.0,426.5,398494
2024-01-24,430.0,434.2,422.05,430.3,461353
2024-01-25,434.2,437.6,429.05,430.6,138218
2024-01-29,431.0,433.55,422.95,425.1,300072
2024-01-30,427.0,433.45,423.6,431.0,327265
2024-01-31,431.1,444.8,429.1,442.65,569512
2024-02-01,444.6,445.85,429.35,432.1,295044
2024-02-02,436.0,437.75,427.5,428.4,248352
2024-02-05,428.8,431.45,422.7,425.2,365398
2024-02-06,433.0,452.0,428.5,441.25,1517621
2024-02-07,443.0,446.5,432.0,434.45,511927
2024-02-08,441.05,444.45,437.0,440.85,342636
2024-02-09,445.0,448.9,431.95,436.3,360092
2024-02-12,441.85,450.0,437.8,442.45,1163109
2024-02-13,442.45,459.95,441.95,445.15,853401
2024-02-14,442.1,445.95,437.35,440.2,267402
2024-02-15,450.0,478.3,445.85,473.65,2573995
2024-02-16,473.65,486.05,465.65,470.3,956262
2024-02-19,470.4,471.9,461.5,466.5,229554
2024-02-20,475.0,480.0,465.1,475.65,476492
2024-02-21,476.95,485.8,470.25,474.25,529722
2024-02-22,474.75,477.45,468.05,472.85,279733
2024-02-23,475.05,479.05,462.65,465.05,1007148
2024-02-26,469.15,471.75,454.35,455.95,274506
2024-02-27,459.55,481.0,454.05,474.1,1380592
2024-02-28,474.75,495.9,471.45,484.85,1749769
2024-02-29,487.45,487.8,466.7,471.4,627523
2024-03-01,474.5,474.75,446.4,462.05,917075
2024-03-02,464.0,471.0,461.0,467.6,34617
2024-03-04,470.0,470.0,455.95,461.55,605086
2024-03-05,461.95,461.95,452.05,453.3,227811
2024-03-06,453.5,454.95,441.0,445.1,261919
2024-03-07,445.95,452.85,443.55,444.4,138431
2024-03-11,444.4,446.6,428.5,431.0,326610
2024-03-12,434.9,434.9,416.8,420.9,896700
2024-03-13,422.9,431.55,410.5,413.15,555365
2024-03-14,411.0,427.55,411.0,425.1,497923
2024-03-15,425.15,437.0,425.15,433.85,281688
2024-03-18,433.85,435.95,429.65,431.3,146862
2024-03-19,432.4,432.4,423.8,428.35,210944
2024-03-20,426.0,467.95,425.3,437.9,652931
2024-03-21,444.0,449.45,437.05,438.4,260688
2024-03-22,441.85,444.0,433.0,438.65,99791
2024-03-26,441.0,448.0,432.25,437.2,175450
2024-03-27,411.8,419.8,402.2,404.9,10031325
2024-03-28,410.5,415.9,406.15,409.3,1380014
2024-04-01,409.55,411.35,403.25,408.05,1245485
2024-04-02,414.4,414.4,406.5,409.9,758924
2024-04-03,409.75,423.9,407.0,417.9,940094
2024-04-04,424.0,467.4,422.65,458.65,6353905
2024-04-05,462.0,462.05,452.0,456.75,1328132
2024-04-08,480.0,500.0,480.0,484.7,3611664
2024-04-09,500.0,500.0,473.0,474.0,1602883
2024-04-10,476.85,483.7,474.15,475.25,1064458
