date,open,high,low,close,volume
2023-12-26,5329.1,5758.0,5158.2,5644.6,327921
2023-12-27,5644.6,5734.0,5502.0,5563.3,152859
2023-12-28,5550.25,5669.0,5519.05,5601.9,48496
2023-12-29,5607.05,5616.4,5490.7,5526.6,20119
2024-01-01,5500.0,5690.0,5500.0,5645.4,30202
2024-01-02,5612.1,5759.0,5523.0,5698.05,30876
2024-01-03,5698.05,5796.0,5650.0,5686.35,21464
2024-01-04,5686.05,5732.0,5556.9,5586.45,10189
2024-01-05,5586.45,5677.95,5510.0,5563.05,9652
2024-01-08,5570.0,5740.0,5508.0,5667.2,16778
2024-01-09,5739.85,5739.85,5566.35,5652.7,11700
2024-01-10,5652.7,6760.0,5620.0,6641.15,359029
2024-01-11,6629.75,6629.75,6270.0,6294.8,102745
2024-01-12,6297.7,6386.65,6117.15,6252.45,19828
2024-01-15,6260.55,6341.45,6131.0,6194.5,6273
2024-01-16,6154.75,6487.95,6101.0,6289.7,23414
2024-01-17,6289.05,6384.45,6187.55,6321.95,10305
2024-01-18,6319.0,6365.3,6174.95,6314.25,7829
2024-01-19,6300.25,6366.0,6250.3,6298.95,3264
2024-01-20,6300.0,6665.9,6300.0,6514.8,17289
2024-01-23,6567.65,6600.0,6178.95,6324.2,10560
2024-01-24,6399.0,6488.95,6297.7,6412.05,4962
2024-01-25,6430.0,6430.0,6289.35,6301.7,3675
2024-01-29,6394.95,6394.95,6275.55,6318.85,3129
2024-01-30,6300.25,6360.0,6270.3,6349.25,5800
2024-01-31,6400.0,6872.0,6399.85,6616.6,47932
2024-02-01,6616.6,6648.7,6405.0,6497.75,6032
2024-02-02,6425.0,6561.6,6401.55,6475.4,4032
2024-02-05,6460.0,6723.0,6460.0,6656.2,6162
2024-02-06,6669.8,7220.95,6656.95,6927.05,46969
2024-02-07,6835.0,6925.0,6750.0,6783.0,12116
2024-02-08,6920.0,6950.0,6482.65,6569.95,18692
2024-02-09,5905.6,5928.45,5550.0,5722.35,222259
2024-02-12,5722.35,5798.85,5363.85,5443.65,29366
2024-02-13,5452.95,5590.0,5228.45,5404.7,30341
2024-02-14,5439.0,5489.8,5322.5,5358.1,13335
2024-02-15,5369.8,5538.0,5362.25,5510.45,13045
2024-02-16,5565.4,5565.45,5454.0,5503.05,13789
2024-02-19,5500.0,5550.0,5480.25,5500.8,9794
2024-02-20,5520.9,5557.5,5455.0,5477.35,6951
2024-02-21,5515.7,5527.3,5423.3,5496.1,11466
2024-02-22,5499.8,5533.0,5396.1,5501.2,24022
2024-02-23,5519.4,5539.8,5478.15,5507.75,5372
2024-02-26,5507.0,5541.55,5442.5,5461.55,2850
2024-02-27,5461.55,5586.0,5445.0,5571.4,17811
2024-02-28,5578.0,5630.0,5445.15,5512.35,10827
2024-02-29,5524.85,5590.0,5405.0,5516.55,11820
2024-03-01,5521.25,5542.95,5425.0,5449.2,5777
2024-03-02,5487.3,5492.4,5346.0,5450.2,913
2024-03-04,5450.2,5478.95,5397.4,5449.9,24663
2024-03-05,5440.0,5483.9,5373.1,5452.45,16777
2024-03-06,5470.0,5470.0,5355.0,5395.35,15289
2024-03-07,5399.8,5489.0,5328.75,5423.15,8954
2024-03-11,5449.0,5449.0,5310.0,5374.9,7046
2024-03-12,5374.9,5396.8,5135.05,5170.25,30248
2024-03-13,5170.25,5174.7,4993.95,5093.45,39822
2024-03-14,5099.8,5149.95,4785.0,4928.05,13676
2024-03-15,5001.95,5194.7,4928.05,5059.85,27399
2024-03-18,5059.9,5120.0,5020.0,5097.25,3597
2024-03-19,5097.25,5133.0,5022.2,5071.6,4297
2024-03-20,5087.9,5129.95,5008.25,5033.75,10067
2024-03-21,5049.75,5145.0,5025.0,5031.15,4092
2024-03-22,5039.8,5161.55,5018.05,5130.4,6751
2024-03-26,5175.25,5194.7,5025.0,5082.7,5287
2024-03-27,5159.0,5380.0,5082.65,5314.75,43002
2024-03-28,5329.8,5380.0,5255.0,5328.45,7994
2024-04-01,5256.3,5400.0,5150.0,5200.6,9793
2024-04-02,5215.0,5261.9,5096.0,5151.1,7311
2024-04-03,5199.85,5199.85,5061.0,5090.0,8345
2024-04-04,5130.0,5251.4,5039.0,5080.5,147186
2024-04-05,5080.5,5199.0,5073.25,5146.75,7395
2024-04-08,5155.0,5595.85,5124.15,5389.4,73312
2024-04-09,5399.85,5408.4,5281.55,5357.25,8477
2024-04-10,5357.25,5424.0,5337.85,5398.5,20691
2024-04-12,5420.8,5440.9,5291.05,5307.7,5214
2024-04-15,5253.0,5272.3,5122.55,5199.95,25650
2024-04-16,5198.0,5304.9,5168.95,5285.1,5299
2024-04-18,5285.1,5285.1,5186.0,5224.15,13097
2024-04-19,5202.55,5212.9,5130.5,5189.7,22305
2024-04-22,5252.95,5330.0,5192.35,5243.9,4879
2024-04-23,5239.9,5292.0,5202.95,5245.45,3835
2024-04-24,5324.15,5324.15,5245.0,5284.8,2128
2024-04-25,5321.75,5374.0,5288.1,5332.25,3817
2024-04-26,5377.0,5520.0,5335.35,5425.8,11479
2024-04-29,5444.0,5589.0,5430.0,5554.75,17274
2024-04-30,5475.1,5547.95,5301.05,5335.3,65392
2024-05-02,5206.0,5374.5,5100.0,5357.8,57226
2024-05-03,5400.0,5460.0,5320.3,5435.2,24022
2024-05-06,5466.0,5499.0,5352.55,5419.0,10954
2024-05-07,5380.05,5419.95,5172.0,5240.05,23939
2024-05-08,4800.15,5324.9,4800.15,5314.3,61456
2024-05-09,5310.5,5321.9,5071.85,5132.85,10462
2024-05-10,5106.05,5296.0,5068.6,5259.55,9720
2024-05-13,5259.0,5344.55,5140.0,5312.55,6979
2024-05-14,5325.0,5482.5,5311.3,5457.2,6449
2024-05-15,5457.2,5505.0,5405.6,5491.2,6109
2024-05-16,5509.0,5713.15,5472.05,5651.9,17962
2024-05-17,5664.95,5841.05,5500.0,5759.0,18614
2024-05-18,5800.0,5852.0,5725.05,5774.0,1075
2024-05-21,5785.0,5827.95,5724.1,5782.75,8084
2024-05-22,5799.8,5799.8,5675.1,5753.1,4265
2024-05-23,5793.35,5793.35,5633.0,5676.6,5153
2024-05-24,5679.9,6129.95,5650.25,6024.75,71056
2024-05-27,6055.1,6596.0,6041.0,6432.8,164969
2024-05-28,6430.45,6697.0,6278.1,6463.0,108427
2024-05-29,6241.3,6461.9,6241.3,6372.65,21320
2024-05-30,6352.0,6389.95,6259.55,6360.8,8075
2024-05-31,6357.95,6368.3,6140.0,6179.25,8688
2024-06-03,6379.0,6379.0,6055.55,6067.15,8461
2024-06-04,6100.05,6150.0,5468.05,5639.8,23469
2024-06-05,5660.45,6159.4,5609.55,6012.45,14974
2024-06-06,6048.0,6230.0,6008.45,6205.15,6589
2024-06-07,6200.0,6330.0,6167.7,6255.45,7083
2024-06-10,6306.4,6313.65,6185.1,6231.0,4731
2024-06-11,6239.8,6488.3,6219.5,6332.85,11040
2024-06-12,6399.0,6399.0,6303.15,6342.5,3792
2024-06-13,6349.8,6470.1,6259.55,6373.4,6031
2024-06-14,6320.0,6625.0,6320.0,6458.55,14503
2024-06-18,6549.0,6549.0,6380.25,6439.3,4088
2024-06-19,6535.9,6538.95,6302.0,6379.45,16942
2024-06-20,6380.0,6444.75,6345.35,6382.4,2720
2024-06-21,6380.0,6500.0,6330.0,6357.1,16240
2024-06-24,6340.25,6490.0,6252.5,6317.55,11323
2024-06-25,6369.0,6385.0,6277.65,6328.95,7945
2024-06-26,6280.05,6449.95,6069.7,6388.95,12596
2024-06-27,6435.6,6444.0,6280.0,6379.85,7387
2024-06-28,6429.0,6999.0,6206.25,6250.75,26116
2024-07-01,6225.0,6482.0,6150.0,6393.4,9894
2024-07-02,6408.25,6540.9,6300.3,6363.9,16742
2024-07-03,6369.0,6514.9,6350.0,6398.1,15550
2024-07-04,6399.0,7572.2,6398.1,7128.85,458354
2024-07-05,7190.0,7190.0,6849.15,6895.75,65575
2024-07-08,6860.0,6860.0,6725.55,6737.85,16790
2024-07-09,6800.0,6949.0,6696.25,6924.55,23123
2024-07-10,6932.55,6932.55,6720.5,6753.35,8982
2024-07-11,6815.0,6999.9,6741.5,6878.35,14215
2024-07-12,6878.35,6896.6,6700.0,6750.25,6222
2024-07-15,6750.2,6790.0,6575.55,6610.75,8781
2024-07-16,6610.7,6850.0,6551.0,6565.8,15691
2024-07-18,6565.8,6615.55,6431.95,6452.05,13571
2024-07-19,6469.8,6510.3,6307.4,6347.8,7634
2024-07-22,6289.05,6338.0,6230.0,6247.05,11968
2024-07-23,6249.8,7361.95,6225.0,7067.6,354543
2024-07-24,7099.7,7189.0,6875.1,7081.7,117813
2024-07-25,6939.9,7085.0,6888.0,6939.65,22659
2024-07-26,6997.95,7388.6,6946.95,7172.6,65755
2024-07-29,7181.0,7234.35,6975.4,7027.85,18678
2024-07-30,7027.85,7062.45,6953.85,6991.75,9016
2024-07-31,6931.0,7180.0,6931.0,7036.45,19698
2024-08-01,7108.05,7123.7,6968.85,7044.45,7379
2024-08-02,7000.25,7099.0,6925.0,7039.8,9235
2024-08-05,6985.0,6985.0,6701.0,6808.8,17107
2024-08-06,6808.8,7134.9,6808.8,6967.55,20565
2024-08-07,7115.0,7133.0,6995.0,7090.8,7964
2024-08-08,7100.05,7250.05,6540.0,6622.65,79675
2024-08-09,6640.0,6799.0,6625.1,6705.05,29800
2024-08-12,6705.05,6720.0,6501.0,6535.55,8772
2024-08-13,7196.4,7196.4,6525.0,6595.25,40888
2024-08-14,6574.35,6639.8,6464.65,6569.5,10811
2024-08-16,6589.7,6656.0,6531.05,6637.2,6372
2024-08-19,6659.0,6705.05,6596.4,6625.5,4087
2024-08-20,6621.0,6671.85,6520.35,6555.45,4082
2024-08-21,6599.9,6671.45,6540.8,6627.75,5013
2024-08-22,6627.75,6886.5,6565.0,6780.35,16073
2024-08-23,6780.35,6915.65,6780.35,6850.35,12258
2024-08-26,6850.5,6983.95,6829.2,6873.0,6752
2024-08-27,6873.0,6899.75,6727.65,6754.65,10168
2024-08-28,6795.0,6860.0,6719.95,6737.3,3672
2024-08-29,6710.0,6748.95,6632.9,6661.5,4288
2024-08-30,6661.5,6718.8,6534.0,6586.65,6172
2024-09-02,6594.95,6795.0,6367.55,6707.85,13438
2024-09-03,6746.65,6989.0,6714.05,6876.9,23194
2024-09-04,6880.0,7060.0,6844.5,6900.2,16781
2024-09-05,6950.2,7123.45,6867.55,6889.65,20395
2024-09-06,6875.4,7309.9,6845.6,6884.4,67592
2024-09-09,6878.05,6878.05,6719.65,6792.85,7583
2024-09-10,7089.95,7089.95,6802.85,6881.0,41787
2024-09-11,6874.8,6995.0,6846.2,6902.75,8407
2024-09-12,6951.1,6966.4,6801.35,6827.9,10019
2024-09-13,6915.0,6915.0,6771.45,6799.6,4158
2024-09-16,6722.05,6832.35,6722.05,6747.35,5166
2024-09-17,6749.8,6749.8,6603.55,6657.45,6113
2024-09-18,6669.0,6788.85,6619.55,6715.5,4118
2024-09-19,6731.45,6785.1,6529.6,6716.25,6386
2024-09-20,6785.0,6894.0,6680.0,6872.95,7102
2024-09-23,6938.9,6974.95,6721.8,6748.1,7924
2024-09-24,6900.0,8040.0,6851.3,7878.25,1598702
2024-09-25,7635.05,7777.6,7465.75,7528.85,355932
2024-09-26,7533.0,7533.0,7301.0,7340.65,46228
2024-09-27,7300.0,7355.8,7155.55,7185.6,36764
2024-09-30,7150.0,8137.5,7125.05,7970.05,1199287
2024-10-01,7735.05,7925.0,7685.0,7734.5,152228
2024-10-03,7690.0,7880.0,7514.95,7636.75,108059
2024-10-04,7636.55,7699.9,7374.9,7436.7,56222
2024-10-07,7442.65,8139.0,7440.0,7845.55,1116761
2024-10-08,7700.0,7935.0,7661.9,7784.6,153688
2024-10-09,7859.9,8094.0,7802.0,7880.65,89896
2024-10-10,7879.85,7880.65,7704.0,7739.7,31964
2024-10-11,7789.95,7951.0,7722.1,7789.2,60386
2024-10-14,7800.0,7914.95,7613.0,7697.45,41693
2024-10-15,7778.3,7778.3,7575.0,7615.95,25009
2024-10-16,7661.65,7820.0,7592.05,7649.75,35015
2024-10-17,7649.75,7773.85,7520.85,7627.45,22136
2024-10-18,7642.95,7659.95,7306.05,7520.3,33607
2024-10-21,7550.0,7550.0,7311.5,7392.15,20250
2024-10-22,7421.0,7421.0,7170.2,7190.6,17412
2024-10-23,7248.0,7295.0,7075.0,7223.25,17540
2024-10-24,7223.25,7229.1,7110.0,7155.25,7086
2024-10-25,7155.05,7205.3,7025.0,7142.2,22294
2024-10-28,7142.2,7160.75,7038.1,7060.8,8448
2024-10-29,7088.25,7497.45,6955.0,7340.0,14551
2024-10-30,7340.7,7434.15,7281.35,7339.1,10587
2024-10-31,7305.0,7695.7,7243.45,7624.9,42952
2024-11-01,7600.0,7600.0,7460.7,7550.95,3678
2024-11-04,7550.0,7550.0,7215.55,7351.45,11789
2024-11-05,7325.0,7660.7,7232.05,7490.6,21963
2024-11-06,7458.05,7675.0,7425.05,7611.75,17778
2024-11-07,7680.0,7680.0,7480.0,7519.05,7365
2024-11-08,7519.05,7560.0,7261.5,7306.8,11758
2024-11-11,7350.0,7350.05,7215.55,7256.45,16503
2024-11-12,7255.0,7777.0,7216.55,7404.55,129683
2024-11-13,7390.0,7390.0,7095.35,7128.65,22936
2024-11-14,7100.0,7130.75,6680.35,6772.95,66156
2024-11-18,6735.05,6773.5,6359.1,6415.65,33447
2024-11-19,6490.5,6599.95,6453.45,6496.65,29174
2024-11-21,6549.8,6549.8,6220.0,6305.45,19231
2024-11-22,6306.2,6449.95,6294.4,6319.85,11763
2024-11-25,6395.0,6490.0,6309.3,6457.15,14745
2024-11-26,6476.05,6580.35,6392.35,6458.8,28819
2024-11-27,6545.0,6595.9,6460.0,6490.55,9068
2024-11-28,6537.95,6537.95,6442.15,6501.65,8573
2024-11-29,6547.0,6590.0,6462.8,6564.2,9194
2024-12-02,6598.95,6780.45,6585.05,6712.15,14734
2024-12-03,6717.25,6863.95,6420.0,6577.7,21704
2024-12-04,6536.0,6743.6,6526.0,6665.6,11807
2024-12-05,6719.9,6733.65,6583.35,6624.1,14353
2024-12-06,6605.0,6691.0,6590.0,6646.0,6556
2024-12-09,6680.55,6741.55,6586.15,6639.3,9803
2024-12-10,6700.0,6745.0,6620.3,6629.05,4461
2024-12-11,6625.0,6642.45,6595.0,6618.0,5585
2024-12-12,6616.0,6674.0,6555.0,6650.4,5012
2024-12-13,6650.9,6674.5,6500.05,6624.45,6401
2024-12-16,6654.0,6724.0,6585.0,6602.5,4435
2024-12-17,6649.0,6663.95,6500.0,6529.1,4760
2024-12-18,6548.0,6643.9,6442.55,6482.15,5909
2024-12-19,6442.15,6534.9,6378.5,6500.75,5472
