date,open,high,low,close,volume
2023-12-26,1001.45,1008.0,987.0,995.05,1187517
2023-12-27,1012.0,1020.0,991.0,999.1,941495
2023-12-28,1006.4,1011.85,976.0,980.35,2406672
2023-12-29,982.0,995.0,968.0,987.95,2495693
2024-01-01,992.4,1013.9,983.5,1000.95,1726490
2024-01-02,1005.05,1014.9,985.2,1000.9,2907798
2024-01-03,1078.95,1100.95,1032.2,1099.3,17295243
2024-01-04,1140.0,1159.8,1094.1,1115.1,6280871
2024-01-05,1115.4,1117.0,1080.0,1090.55,2558514
2024-01-08,1092.9,1096.0,1062.05,1068.25,2060675
2024-01-09,1070.95,1100.0,1064.35,1067.35,2151595
2024-01-10,1073.55,1082.55,1060.0,1068.95,1731962
2024-01-11,1077.0,1080.0,1060.0,1062.25,854630
2024-01-12,1064.95,1070.7,1055.1,1058.5,946547
2024-01-15,1063.9,1064.65,1036.0,1039.5,1119817
2024-01-16,1041.0,1041.0,1023.55,1026.05,2307540
2024-01-17,1012.85,1019.45,1000.0,1004.1,1250880
2024-01-18,1006.9,1014.7,972.45,983.1,1849733
2024-01-19,1000.0,1007.95,986.05,990.5,852306
2024-01-20,995.25,1059.85,980.5,1048.1,2604323
2024-01-23,1060.0,1068.0,990.1,996.35,1670762
2024-01-24,990.0,1018.0,982.0,1002.2,1122020
2024-01-25,1002.2,1016.9,995.2,1002.95,824946
2024-01-29,1010.0,1053.0,1005.05,1035.7,1816753
2024-01-30,1040.0,1050.0,1018.3,1028.15,2709758
2024-01-31,1030.0,1035.7,1006.3,1012.35,2672010
2024-02-01,1018.3,1029.7,999.15,1004.1,2855495
2024-02-02,1006.05,1014.15,996.0,999.25,2348536
2024-02-05,1003.0,1007.0,985.0,989.05,2482752
2024-02-06,1005.0,1018.55,988.0,994.95,1229019
2024-02-07,1008.9,1072.2,1001.05,1040.05,6750686
2024-02-08,1059.0,1065.0,1016.0,1023.1,3714348
2024-02-09,1029.0,1049.6,1003.2,1023.75,3710884
2024-02-12,1033.7,1061.9,1014.0,1025.25,4800285
2024-02-13,1035.0,1036.95,986.5,1007.8,3440888
2024-02-14,983.0,1027.3,983.0,1010.5,2923474
2024-02-15,1012.0,1033.95,1005.75,1007.45,1426683
2024-02-16,1012.95,1019.1,1003.0,1006.2,910442
2024-02-19,1015.55,1029.0,1010.0,1011.7,1021076
2024-02-20,1017.0,1018.0,1004.0,1012.05,2592693
2024-02-21,1014.95,1046.0,1011.05,1021.05,4637737
