date,open,high,low,close,volume
2023-12-26,7877.0,7955.0,7835.0,7891.4,19122
2023-12-27,7898.95,7980.0,7830.1,7921.35,11177
2023-12-28,7968.95,8188.45,7676.8,7713.25,87310
2023-12-29,7749.9,7819.85,7620.0,7674.6,52509
2024-01-01,7710.0,7799.0,7700.0,7763.65,17080
2024-01-02,7810.0,7848.95,7756.05,7817.75,30786
2024-01-03,7829.95,8220.55,7711.2,8103.4,86219
2024-01-04,8080.0,8246.0,7968.05,8209.95,46150
2024-01-05,8252.0,8275.0,8020.0,8066.1,26527
2024-01-08,8070.0,8128.3,8018.0,8045.8,11458
2024-01-09,8279.95,8312.95,7965.0,8008.35,38473
2024-01-10,8088.0,8136.6,7990.0,8031.95,21386
2024-01-11,8032.7,8108.95,8005.25,8041.15,19415
2024-01-12,8078.0,8117.95,8025.0,8051.55,9367
2024-01-15,8090.0,8250.0,8081.8,8222.8,33759
2024-01-16,8200.0,8209.0,8140.75,8177.35,14829
2024-01-17,8149.95,8150.0,8058.15,8098.75,21311
2024-01-18,8139.8,8139.8,7890.0,7999.35,33821
2024-01-19,8003.5,8500.0,8003.5,8472.8,135675
2024-01-20,8472.85,8568.0,8213.45,8261.55,32340
2024-01-23,8400.0,8400.0,8007.55,8122.2,38548
2024-01-24,8199.85,8230.9,8001.0,8190.95,21964
2024-01-25,8224.1,8224.9,8130.0,8194.7,14926
2024-01-29,8192.05,8380.0,8177.55,8246.55,32525
2024-01-30,8255.0,8327.9,8202.15,8251.65,34625
2024-01-31,8251.65,8393.55,8211.0,8366.3,35250
2024-02-01,8457.0,8457.0,8251.3,8341.9,21348
2024-02-02,8341.9,8485.0,8271.05,8461.45,16462
2024-02-05,8468.8,8520.0,8307.9,8330.35,18949
2024-02-06,8342.8,8479.5,8283.55,8452.45,19163
2024-02-07,8524.0,8719.0,8452.0,8611.85,48763
2024-02-08,8700.0,8724.9,8575.0,8674.05,38780
2024-02-09,8684.25,8784.1,8510.0,8634.05,27292
2024-02-12,8634.0,8700.9,8519.65,8619.6,11036
2024-02-13,8619.6,8790.0,8571.55,8761.8,16594
2024-02-14,8700.15,8878.95,8651.0,8764.4,16425
2024-02-15,8764.4,8825.0,8680.85,8769.1,17982
2024-02-16,8825.9,8925.0,8620.2,8784.75,38842
2024-02-19,8880.0,8974.9,8757.4,8876.25,14418
2024-02-20,8859.0,8898.35,8742.7,8817.5,18070
2024-02-21,8895.0,8898.9,8750.0,8807.8,11657
2024-02-22,8845.5,8845.5,8615.2,8683.9,38170
2024-02-23,8750.0,8800.0,8559.05,8755.8,12322
2024-02-26,8765.0,8869.0,8730.0,8802.2,17937
2024-02-27,8802.25,9140.0,8631.15,8703.0,70693
2024-02-28,8708.15,8820.8,8671.15,8705.3,16018
2024-02-29,8651.0,9348.95,8601.0,9149.6,80740
2024-03-01,9154.3,9288.0,8911.5,8944.35,35724
2024-03-02,9123.2,9249.0,8900.15,9047.65,1446
2024-03-04,9175.0,9175.0,8838.9,8855.6,45298
2024-03-05,8830.0,8860.45,8685.0,8726.15,41517
2024-03-06,8756.95,8756.95,8649.95,8716.1,41202
2024-03-07,8787.95,8787.95,8610.0,8665.15,38774
2024-03-11,8666.25,8747.7,8558.8,8616.15,67923
2024-03-12,8616.95,8662.45,8525.0,8594.15,23669
2024-03-13,8510.0,8581.25,8277.9,8369.0,36711
2024-03-14,8225.0,8300.0,8080.6,8231.0,68591
2024-03-15,8148.7,8299.9,8142.05,8243.75,46749
2024-03-18,8243.75,8243.75,8150.1,8210.3,19087
2024-03-19,8264.6,8318.0,8190.1,8204.6,23350
2024-03-20,8191.05,8194.75,8088.0,8130.15,14503
2024-03-21,8121.0,8219.7,8120.0,8202.65,16304
2024-03-22,8215.0,8447.65,8202.65,8395.05,49514
2024-03-26,8212.0,8435.0,8212.0,8413.2,29115
2024-03-27,8428.15,8509.8,7965.25,8096.3,108749
2024-03-28,8065.1,8344.05,8065.1,8272.75,74053
2024-04-01,8272.7,8464.1,8260.0,8407.55,23249
2024-04-02,8399.95,8447.0,8370.05,8420.5,14963
