date,open,high,low,close,volume
2023-12-26,236.0,237.15,233.1,234.95,6304183
2023-12-27,235.85,240.7,235.85,238.0,8058617
2023-12-28,239.55,240.7,234.9,239.35,12591185
2023-12-29,240.7,243.0,238.1,241.4,4590031
2024-01-01,244.0,245.2,242.15,244.1,6663982
2024-01-02,245.65,247.0,239.55,242.35,8517423
2024-01-03,242.35,258.15,241.0,253.9,33106055
2024-01-04,255.6,263.1,252.7,260.8,20351416
2024-01-05,262.8,262.95,248.05,251.7,26254869
2024-01-08,252.0,252.0,230.95,233.1,57413766
2024-01-09,240.0,240.5,232.9,234.9,23864692
2024-01-10,234.9,235.5,226.6,231.05,13786491
2024-01-11,232.9,236.25,232.0,232.8,10068953
2024-01-12,234.9,235.8,229.5,230.15,9089295
2024-01-15,231.5,233.5,230.0,231.0,7817434
2024-01-16,231.0,233.6,228.2,229.75,7421276
2024-01-17,227.15,229.35,223.25,228.3,17410957
2024-01-18,227.5,230.85,224.1,227.6,9142872
2024-01-19,229.7,231.2,225.65,226.2,7131175
2024-01-20,228.05,234.45,228.0,229.65,10792549
2024-01-23,231.5,232.2,222.2,223.7,12418558
2024-01-24,224.0,226.7,220.25,224.4,11443782
2024-01-25,225.0,226.9,219.15,220.95,14015556
2024-01-29,224.0,226.7,222.15,223.3,10212834
2024-01-30,225.4,227.0,223.0,223.45,5249061
2024-01-31,224.05,229.45,223.1,229.0,10725612
2024-02-01,229.0,229.95,223.5,225.65,8822484
2024-02-02,227.8,232.65,226.95,228.9,11107260
2024-02-05,228.9,228.9,222.0,222.65,12335899
2024-02-06,222.65,223.45,217.35,218.4,10097377
2024-02-07,221.0,222.35,215.65,216.25,11866424
2024-02-08,218.5,219.9,213.1,214.15,10703085
2024-02-09,216.0,216.85,211.3,216.2,10253080
2024-02-12,223.0,223.45,197.7,200.7,50949423
2024-02-13,200.7,202.3,192.8,199.05,16732636
2024-02-14,197.25,201.25,193.3,198.25,13071425
2024-02-15,198.25,199.75,196.65,197.35,9702536
2024-02-16,199.7,204.7,197.7,200.8,13265466
2024-02-19,204.5,205.5,203.25,203.75,7998816
2024-02-20,204.95,205.3,202.1,202.7,5133872
2024-02-21,203.9,204.15,199.75,200.55,7362611
2024-02-22,201.4,204.15,198.3,203.65,6594640
2024-02-23,204.95,209.35,204.45,208.25,13607467
2024-02-26,209.2,209.2,199.7,202.6,26710009
2024-02-27,203.05,204.35,200.75,201.15,8341347
2024-02-28,201.2,202.2,195.9,196.65,9979111
2024-02-29,196.65,197.65,193.1,195.6,19407356
2024-03-01,197.5,200.5,196.5,199.85,7821881
2024-03-02,200.0,201.4,199.9,200.75,952270
2024-03-04,201.1,201.7,198.45,199.0,7532396
2024-03-05,199.9,201.65,197.45,197.95,8212814
2024-03-06,198.0,198.45,193.85,194.9,14535779
2024-03-07,196.7,197.35,194.55,195.05,5189243
2024-03-11,196.0,196.15,190.05,191.8,16936507
2024-03-12,192.15,192.9,188.15,188.7,9664742
2024-03-13,189.3,189.95,176.85,178.7,18229091
2024-03-14,178.7,183.15,173.15,179.65,16837953
2024-03-15,180.5,186.0,179.1,183.15,12223804
2024-03-18,185.0,186.15,180.8,181.35,8657646
2024-03-19,181.85,182.75,179.3,180.45,7297535
2024-03-20,181.5,181.9,177.05,177.85,11378108
2024-03-21,180.0,182.0,179.4,180.45,9616624
2024-03-22,181.0,182.85,180.45,181.75,14713576
2024-03-26,181.35,183.75,180.2,181.75,11903481
2024-03-27,182.2,183.5,179.55,180.85,19522292
2024-03-28,181.3,182.0,179.45,180.0,13334606
2024-04-01,182.75,188.5,181.75,187.85,10421068
2024-04-02,189.0,193.6,187.65,193.1,10760909
2024-04-03,192.0,192.15,189.3,190.5,14292770
2024-04-04,191.95,199.65,191.95,197.95,29229806
2024-04-05,203.0,203.0,196.5,197.35,33590383
2024-04-08,185.1,189.25,179.25,184.95,64195143
2024-04-09,185.15,187.4,182.0,182.7,16386732
2024-04-10,182.5,184.0,180.3,182.65,24579879
2024-04-12,183.0,186.9,182.65,182.95,25930326
2024-04-15,181.95,181.95,175.5,175.95,21581545
2024-04-16,173.1,175.8,172.75,173.85,14970993
2024-04-18,175.75,177.05,173.0,173.3,11637760
2024-04-19,172.0,174.85,170.3,173.55,9249379
2024-04-22,175.75,181.5,175.25,180.8,13392591
2024-04-23,182.4,183.3,181.1,182.85,11422429
2024-04-24,184.1,185.5,183.35,183.85,11165851
2024-04-25,184.0,185.75,182.25,184.6,10608276
2024-04-26,185.0,185.85,183.6,184.2,6869668
2024-04-29,185.0,185.0,182.0,183.9,7473732
2024-04-30,184.0,190.1,183.7,188.3,23333823
2024-05-02,189.05,191.3,188.5,190.75,11938817
2024-05-03,191.65,192.55,186.9,187.6,9237768
2024-05-06,189.1,189.5,184.3,186.85,10021920
2024-05-07,186.85,187.55,180.6,181.15,7781592
2024-05-08,181.5,181.9,179.0,180.3,11433990
2024-05-09,181.45,187.35,180.65,182.8,16614322
2024-05-10,184.0,189.2,182.5,187.05,12941472
