date,open,high,low,close,volume
2023-12-26,215.3,219.05,215.3,217.75,9215256
2023-12-27,218.4,226.15,217.55,224.4,27861855
2023-12-28,226.4,228.35,223.95,225.35,35086844
2023-12-29,225.5,226.05,221.75,223.5,11051281
2024-01-01,224.85,229.15,223.5,226.15,13199707
2024-01-02,226.1,228.2,221.25,223.1,12803886
2024-01-03,222.8,227.85,219.65,225.25,21410875
2024-01-04,225.45,232.5,225.3,230.15,14698523
2024-01-05,231.4,231.8,223.3,227.05,14545656
2024-01-08,223.9,223.9,215.1,215.85,27673291
2024-01-09,219.4,219.75,215.1,215.6,13420799
2024-01-10,215.7,217.4,211.85,216.25,13503894
2024-01-11,217.4,219.8,216.4,218.45,11247115
2024-01-12,219.3,224.65,217.65,222.3,17600195
2024-01-15,223.1,225.65,221.05,223.5,12678381
2024-01-16,223.5,226.65,221.8,223.65,13977706
2024-01-17,221.4,225.6,216.95,217.9,34099113
2024-01-18,217.35,222.6,214.4,220.1,16224153
2024-01-19,221.95,223.9,220.9,223.05,9445978
2024-01-20,223.1,225.9,220.4,224.9,10482470
2024-01-23,226.4,228.15,213.85,214.8,36926359
2024-01-24,215.4,221.4,212.05,221.05,36236660
2024-01-25,220.4,223.75,215.7,219.45,20473287
2024-01-29,220.05,228.15,220.05,226.65,20641625
2024-01-30,227.4,234.8,226.2,229.85,22612702
2024-01-31,231.3,242.4,224.45,240.0,63750711
2024-02-01,242.4,249.85,235.4,248.35,43749140
2024-02-02,251.7,253.4,246.9,247.65,29946219
2024-02-05,250.05,254.9,248.15,249.85,21283536
2024-02-06,250.4,250.7,238.6,242.7,17506394
2024-02-07,245.3,245.3,235.05,237.05,55656306
2024-02-08,240.4,248.7,239.45,245.5,33645402
2024-02-09,245.75,258.9,239.9,255.9,46201039
2024-02-12,258.5,259.8,245.45,247.1,26620786
2024-02-13,247.1,252.9,241.6,252.0,18922366
2024-02-14,247.5,263.4,244.75,260.2,30063655
2024-02-15,262.3,269.4,261.45,268.1,32254489
2024-02-16,268.5,273.15,266.95,268.05,20666587
2024-02-19,268.05,269.4,262.15,263.1,14006706
2024-02-20,262.5,267.2,262.15,265.65,14006722
2024-02-21,265.9,271.9,265.4,267.5,19624058
2024-02-22,267.65,269.35,262.55,268.0,11871556
2024-02-23,268.4,272.55,257.7,261.25,23264484
2024-02-26,261.25,264.8,259.1,261.95,12448638
2024-02-27,261.95,265.5,259.8,262.75,15572873
2024-02-28,262.75,263.85,253.05,254.15,13653858
2024-02-29,253.8,260.0,250.75,257.85,16296464
2024-03-01,258.9,264.6,257.8,263.55,9702235
2024-03-02,263.6,265.4,263.45,264.25,855493
2024-03-04,265.95,268.65,264.5,265.6,11707996
2024-03-05,265.35,271.0,264.65,270.5,14431461
2024-03-06,270.25,276.65,263.7,274.95,32754392
2024-03-07,274.95,276.9,271.6,274.15,10994198
2024-03-11,276.25,278.0,268.9,269.8,18217736
2024-03-12,269.4,271.9,263.25,264.0,12003823
2024-03-13,264.4,265.85,250.8,253.3,20711328
2024-03-14,252.3,256.25,248.0,251.6,13623004
2024-03-15,250.9,253.9,242.55,246.4,17126874
2024-03-18,245.85,250.3,244.6,246.9,10806790
2024-03-19,246.2,248.2,240.9,241.5,11016984
2024-03-20,242.3,245.4,236.2,242.25,17342930
2024-03-21,245.9,249.7,245.4,248.1,10121220
2024-03-22,247.9,253.3,246.05,252.2,11402546
2024-03-26,251.4,256.15,251.4,253.95,8259347
2024-03-27,253.4,256.2,250.1,251.15,19196992
2024-03-28,251.15,258.8,251.15,256.45,11966752
2024-04-01,258.4,260.65,257.5,259.15,7378701
2024-04-02,259.4,264.55,258.8,263.7,10897757
2024-04-03,263.3,268.1,260.15,266.65,18329459
2024-04-04,268.65,269.1,260.75,261.85,14291037
2024-04-05,261.85,263.2,258.55,261.3,11296905
2024-04-08,264.4,264.85,259.4,260.0,15992006
2024-04-09,261.4,262.3,255.9,257.9,10451503
2024-04-10,257.9,264.75,257.75,263.2,15233408
2024-04-12,262.2,264.65,258.8,260.35,11496987
2024-04-15,257.55,258.9,252.4,253.8,11835728
2024-04-16,251.2,251.9,246.4,247.1,11074547
2024-04-18,247.65,255.8,247.65,251.4,13204672
2024-04-19,248.9,250.0,243.5,249.35,9169415
2024-04-22,251.3,254.4,250.2,253.7,9419094
2024-04-23,255.4,255.95,252.1,252.55,14502060
2024-04-24,253.65,254.25,250.85,251.5,8677169
2024-04-25,251.4,261.9,250.9,261.05,23475720
2024-04-26,262.4,265.1,259.75,260.45,14775940
2024-04-29,261.5,266.3,257.4,265.0,22257247
2024-04-30,265.75,277.2,265.0,273.9,39453521
2024-05-02,273.85,276.3,271.4,271.8,12366464
2024-05-03,274.65,274.9,266.65,268.15,19568548
2024-05-06,268.4,268.4,252.1,258.1,34253148
2024-05-07,259.0,260.75,250.2,251.45,17373412
2024-05-08,251.45,258.6,250.5,254.9,31407247
2024-05-09,262.4,264.1,252.35,255.05,33562988
2024-05-10,258.1,259.1,240.75,247.25,39476449
2024-05-13,252.7,254.2,243.95,251.45,31581807
2024-05-14,252.1,255.6,250.0,253.25,12196792
2024-05-15,253.65,260.1,253.15,256.3,19280956
2024-05-16,256.95,259.5,251.45,255.3,15531360
2024-05-17,254.95,257.05,252.3,253.8,13847808
2024-05-18,255.4,255.6,254.0,254.9,903260
2024-05-21,253.9,259.2,252.65,257.9,17185189
2024-05-22,259.4,260.35,254.9,255.75,16912682
2024-05-23,257.9,264.4,257.0,261.65,24738523
2024-05-24,261.35,264.6,260.15,261.35,16509527
2024-05-27,261.9,265.8,258.05,262.95,13764764
2024-05-28,263.4,264.2,255.0,256.7,12897363
2024-05-29,255.3,258.6,254.2,255.8,15041927
2024-05-30,254.15,259.8,253.55,255.25,9840965
2024-05-31,255.8,258.75,253.9,257.3,17253924
2024-06-03,269.4,292.1,269.4,289.35,74818392
2024-06-04,284.4,284.4,230.0,240.65,84878240
2024-06-05,249.4,255.25,228.85,252.4,70386788
2024-06-06,255.0,266.4,253.85,261.3,31690680
2024-06-07,260.75,264.4,259.15,263.2,19749116
2024-06-10,265.8,271.9,264.75,268.8,21735106
2024-06-11,268.9,271.7,266.4,267.2,13094039
2024-06-12,267.3,277.3,266.15,275.8,29504096
2024-06-13,277.4,277.6,273.65,275.1,14322702
2024-06-14,275.4,279.9,274.0,278.65,13911039
2024-06-18,278.65,280.85,277.5,279.7,10174646
2024-06-19,279.4,282.9,275.05,276.35,33193685
2024-06-20,276.4,280.1,276.05,277.6,13675594
2024-06-21,277.6,279.2,271.0,271.75,15165917
2024-06-24,271.9,274.5,265.9,273.0,17778427
2024-06-25,273.4,275.85,271.4,273.05,13386910
2024-06-26,274.4,276.0,271.6,273.35,16075754
2024-06-27,272.4,275.3,269.4,272.25,14743494
2024-06-28,273.0,280.8,272.9,275.4,15270017
2024-07-01,275.25,276.3,271.75,272.15,12001891
2024-07-02,273.0,273.5,264.2,265.0,13960959
2024-07-03,267.3,269.75,263.05,267.85,18643235
2024-07-04,268.05,271.45,265.5,270.15,12965149
2024-07-05,270.0,274.4,268.95,273.8,15355368
2024-07-08,268.0,268.0,261.55,262.35,22806599
2024-07-09,264.3,264.7,261.1,261.7,13578992
2024-07-10,263.5,263.5,254.55,256.55,18117284
2024-07-11,258.7,259.05,255.55,256.7,9469388
2024-07-12,257.1,259.1,250.05,250.6,19538619
2024-07-15,252.6,259.3,250.65,258.55,29164529
2024-07-16,259.8,260.9,256.95,258.2,18989023
2024-07-18,258.2,258.85,254.8,255.45,18903883
2024-07-19,256.0,257.25,248.75,250.6,13018805
2024-07-22,249.7,256.2,246.75,253.0,14680632
2024-07-23,255.1,255.1,243.85,251.1,9028466
2024-07-24,252.0,252.9,246.05,248.95,21869220
2024-07-25,248.25,249.1,244.85,245.35,16680821
2024-07-26,246.0,250.7,244.05,249.7,16144925
2024-07-29,254.0,260.75,251.3,255.9,32691314
2024-07-30,256.55,257.95,254.9,256.25,11358547
2024-07-31,257.4,257.4,251.5,253.65,17796739
2024-08-01,258.1,258.45,250.25,251.25,33759802
2024-08-02,250.0,250.0,242.55,243.7,26445597
2024-08-05,238.35,241.7,231.25,239.95,33533629
2024-08-06,241.55,246.35,238.7,239.5,22617452
2024-08-07,243.0,244.45,239.0,243.4,15128074
2024-08-08,243.5,244.75,240.5,241.35,10738946
2024-08-09,243.2,250.2,242.1,245.85,18588035
2024-08-12,244.0,246.95,242.5,244.85,11628884
2024-08-13,245.05,246.55,241.0,241.75,10527254
2024-08-14,241.9,243.4,238.75,239.45,13196198
2024-08-16,241.5,243.75,240.5,243.45,8039046
2024-08-19,243.9,249.45,243.9,247.35,10533731
2024-08-20,247.35,255.05,246.95,254.35,25268902
2024-08-21,254.85,255.4,251.05,253.4,14318532
2024-08-22,254.35,256.8,253.5,254.1,11102262
2024-08-23,254.1,255.1,251.8,252.5,6941785
2024-08-26,253.25,253.7,251.0,251.4,12148085
2024-08-27,251.6,252.5,250.1,251.2,7571973
2024-08-28,251.2,251.65,248.05,249.85,16568081
