date,open,high,low,close,volume
2023-12-26,112.25,112.45,109.1,109.5,12596950
2023-12-27,110.25,112.2,110.1,110.95,14699470
2023-12-28,111.8,114.1,110.4,113.5,27428060
2023-12-29,113.65,115.0,111.75,112.6,22161483
2024-01-01,113.2,114.2,112.35,113.05,16485079
2024-01-02,113.15,115.0,111.95,114.4,23191028
2024-01-03,114.5,116.95,113.4,116.2,30456365
2024-01-04,116.3,118.95,116.3,118.65,31814561
2024-01-05,119.0,122.4,117.3,118.85,38103338
2024-01-08,119.0,119.95,117.15,118.35,23456985
2024-01-09,119.0,120.2,118.05,118.8,13742428
2024-01-10,118.5,118.5,116.6,118.2,10101844
2024-01-11,120.6,121.85,120.2,121.0,24879727
2024-01-12,121.75,130.1,121.0,129.1,54706093
2024-01-15,129.9,133.2,127.4,130.9,54780976
2024-01-16,130.9,136.9,129.6,134.55,33801884
2024-01-17,131.4,136.3,130.05,132.75,28568989
2024-01-18,132.0,135.1,127.95,134.35,28936853
2024-01-19,135.45,137.4,133.6,135.2,14991995
2024-01-20,136.15,139.0,134.55,137.45,11531215
2024-01-23,138.9,139.7,128.8,131.8,24563193
2024-01-24,131.8,136.85,126.55,133.15,19268806
2024-01-25,133.65,135.9,130.6,131.5,12029308
2024-01-29,132.5,136.65,132.4,135.5,16380958
2024-01-30,136.7,140.0,135.0,138.65,21776835
2024-01-31,139.25,141.4,136.3,138.95,18743903
2024-02-01,139.75,146.2,136.9,145.4,39021958
2024-02-02,146.5,156.25,145.95,151.55,43049310
2024-02-05,147.1,147.1,137.5,138.6,72223881
2024-02-06,139.0,139.6,130.55,133.7,41258558
2024-02-07,136.0,140.3,135.55,137.35,32381185
2024-02-08,139.8,144.8,139.55,141.65,44308819
2024-02-09,142.65,143.1,134.05,137.25,21954850
2024-02-12,138.25,138.4,124.45,128.5,21067330
2024-02-13,128.55,132.95,128.0,131.05,18000556
2024-02-14,128.0,136.25,127.0,135.8,13531486
2024-02-15,136.85,143.45,136.55,142.95,25972974
2024-02-16,146.5,149.5,143.1,144.05,34806902
2024-02-19,145.0,146.0,141.3,142.8,10942695
2024-02-20,144.1,144.35,141.2,141.95,8657283
2024-02-21,142.65,146.45,140.4,141.2,15922241
2024-02-22,141.8,142.3,136.5,139.25,17728329
2024-02-23,140.0,140.75,136.0,136.85,15595124
2024-02-26,137.0,137.8,135.8,136.7,7667258
2024-02-27,136.0,137.7,134.0,135.8,10123884
2024-02-28,136.3,136.7,130.25,132.6,11162257
2024-02-29,132.6,134.25,128.8,131.45,27788093
2024-03-01,134.9,137.2,133.9,136.4,10702960
2024-03-02,137.4,137.8,135.8,137.5,1498903
2024-03-04,138.4,139.95,135.9,139.45,13083002
2024-03-05,138.05,145.2,138.05,143.7,30920424
2024-03-06,143.35,147.0,139.95,145.3,35383879
2024-03-07,144.8,148.15,144.55,145.95,17449961
2024-03-11,147.3,149.45,142.8,143.9,16358360
2024-03-12,144.0,144.65,138.1,140.2,13318583
2024-03-13,140.75,142.1,126.9,128.45,21197858
2024-03-14,127.0,133.5,125.1,130.4,18478220
2024-03-15,130.8,135.6,125.6,134.3,25112860
2024-03-18,134.0,135.25,131.3,133.1,10652375
2024-03-19,133.1,134.7,131.2,133.9,11009392
2024-03-20,134.05,135.6,128.1,131.45,8243643
2024-03-21,134.15,136.25,133.95,134.6,8302052
2024-03-22,135.7,137.7,134.9,135.8,8881966
2024-03-26,135.85,136.95,133.05,133.5,9406196
2024-03-27,134.65,135.0,131.4,131.9,8724839
2024-03-28,133.2,137.85,132.8,137.05,13378241
2024-04-01,134.0,142.7,133.9,140.85,19130984
2024-04-02,140.65,143.0,139.3,140.75,11621470
2024-04-03,140.6,146.25,138.3,145.3,27889662
2024-04-04,147.2,151.3,145.75,147.45,31794824
2024-04-05,147.45,149.5,145.1,148.5,13754759
2024-04-08,148.5,150.7,143.45,144.2,10648467
2024-04-09,145.55,146.5,141.2,141.85,8617456
2024-04-10,142.3,145.4,141.2,144.45,10630745
2024-04-12,143.7,146.2,143.0,143.6,7894694
2024-04-15,138.0,140.75,136.25,138.75,8646073
2024-04-16,137.8,139.9,137.05,138.45,4486047
2024-04-18,138.9,141.95,136.85,137.8,5817755
2024-04-19,135.0,137.5,133.2,135.75,8745605
2024-04-22,139.0,141.9,137.5,141.25,9355760
2024-04-23,142.65,145.3,140.8,144.3,14355630
