date,open,high,low,close,volume
2023-12-26,213.5,217.75,211.75,215.3,22976450
2023-12-27,216.5,217.7,213.65,216.85,12398088
2023-12-28,217.5,224.9,216.9,222.4,45183336
2023-12-29,216.75,218.5,213.8,214.8,17088440
2024-01-01,219.2,219.2,214.85,215.5,7006288
2024-01-02,215.5,219.2,213.55,217.6,9458818
2024-01-03,219.5,222.15,217.0,220.0,15058884
2024-01-04,217.9,218.25,215.0,215.8,17904916
2024-01-05,217.45,219.3,215.1,216.05,8080468
2024-01-08,218.0,221.65,215.2,217.0,18232610
2024-01-09,219.5,221.4,217.3,219.5,12301290
2024-01-10,217.1,217.6,212.05,215.1,15261992
2024-01-11,216.45,220.1,216.1,218.85,15751252
2024-01-12,219.0,220.05,217.05,218.6,11990812
2024-01-15,219.5,221.25,217.3,219.5,10408382
2024-01-16,220.0,229.4,219.75,225.9,42369500
2024-01-17,225.5,228.1,222.6,225.3,22429284
2024-01-18,223.0,229.95,220.0,226.1,19802302
2024-01-19,227.5,232.0,226.5,230.0,12973856
2024-01-20,231.5,232.5,229.5,231.05,7622276
2024-01-23,233.75,233.75,219.55,221.0,18419550
2024-01-24,222.0,228.75,221.15,228.1,15161312
2024-01-25,228.1,233.7,225.0,226.7,21346674
2024-01-29,226.5,240.2,224.2,235.8,27869484
2024-01-30,237.9,248.4,236.1,241.6,44271876
2024-01-31,242.5,245.8,238.8,240.7,20707736
2024-02-01,241.8,247.15,239.05,243.7,14008198
2024-02-02,248.2,275.7,247.5,268.7,77556082
2024-02-05,272.5,283.9,268.0,276.9,45025890
2024-02-06,279.5,296.85,274.85,294.15,45260656
2024-02-07,297.9,299.5,289.15,290.5,28791718
2024-02-08,293.5,307.2,292.7,299.75,37522588
2024-02-09,301.0,301.35,285.65,296.65,29524266
2024-02-12,296.9,298.8,281.4,284.7,17042236
2024-02-13,285.5,287.8,279.7,281.65,12659942
2024-02-14,280.5,304.2,280.5,301.3,47987362
2024-02-15,304.5,318.0,301.05,315.9,51245018
2024-02-16,322.5,333.5,315.45,316.8,55744810
2024-02-19,319.45,322.85,314.9,315.8,24997270
2024-02-20,315.8,321.5,308.1,318.3,20913510
2024-02-21,321.3,323.4,304.5,306.1,17722264
2024-02-22,304.0,304.9,294.9,302.45,27653580
2024-02-23,300.5,304.25,297.1,298.5,12564690
2024-02-26,298.0,306.3,291.55,303.1,23264196
2024-02-27,303.05,305.85,297.65,302.0,14881202
2024-02-28,301.9,302.3,292.55,294.15,12645922
2024-02-29,294.0,295.4,286.7,291.4,20515464
2024-03-01,295.0,303.1,294.0,301.15,15763236
2024-03-02,302.0,304.5,298.7,302.1,625526
2024-03-04,302.1,311.1,299.9,309.7,14804172
2024-03-05,310.0,314.25,305.55,312.05,12317936
2024-03-06,311.0,316.0,302.1,308.7,18258188
