date,open,high,low,close,volume
2023-12-26,868.1,874.2,847.0,859.5,255969
2023-12-27,859.5,914.0,855.6,885.15,1329740
2023-12-28,889.0,902.0,876.2,898.75,418096
2023-12-29,899.9,908.85,888.35,896.75,277863
2024-01-01,898.0,920.0,889.0,894.8,259042
2024-01-02,896.15,902.0,875.0,877.5,229127
2024-01-03,881.3,888.75,863.2,869.35,422705
2024-01-04,872.0,984.9,870.1,922.9,4175600
2024-01-05,928.8,957.85,919.0,941.8,1329868
2024-01-08,940.8,949.85,925.7,939.55,527425
2024-01-09,954.9,1000.0,936.05,945.2,1635500
2024-01-10,954.8,969.85,933.05,940.2,534035
2024-01-11,940.25,958.6,934.05,942.7,389742
2024-01-12,943.1,975.0,937.0,971.75,518497
2024-01-15,976.8,980.75,960.0,971.65,187761
2024-01-16,970.4,985.05,955.45,974.3,395423
2024-01-17,959.95,987.3,955.3,977.3,415999
2024-01-18,970.0,998.0,963.85,991.85,863933
2024-01-19,999.0,1015.3,958.05,968.2,437991
2024-01-20,982.15,986.95,970.0,977.3,361920
2024-01-23,980.2,981.6,912.0,923.95,304042
2024-01-24,934.0,956.15,903.55,950.25,289320
2024-01-25,950.7,978.8,944.05,974.95,180525
2024-01-29,980.0,1010.85,975.1,1007.05,214591
2024-01-30,1015.2,1066.6,976.0,987.2,436488
2024-01-31,996.7,1038.0,991.65,1025.25,371040
2024-02-01,1026.0,1040.4,992.0,1009.45,229954
2024-02-02,1014.0,1049.95,1009.45,1032.1,503262
2024-02-05,1030.0,1065.0,1012.3,1038.15,177448
2024-02-06,1060.0,1076.75,1001.0,1062.2,209332
2024-02-07,1070.0,1108.0,1052.85,1069.3,435929
2024-02-08,1071.95,1072.5,1020.1,1025.55,297857
2024-02-09,1033.0,1033.0,982.05,998.85,213893
2024-02-12,1006.95,1009.45,957.7,973.75,165466
2024-02-13,975.9,978.65,940.85,951.9,359414
2024-02-14,949.8,974.95,942.05,959.7,177472
2024-02-15,959.7,999.6,959.7,986.1,217748
2024-02-16,997.8,1035.05,984.3,1015.6,264844
2024-02-19,1025.0,1028.1,986.0,997.4,100575
2024-02-20,999.95,1009.2,977.15,983.55,273082
2024-02-21,987.9,1018.4,983.35,1005.0,313516
2024-02-22,1037.0,1055.25,983.0,1003.9,714726
2024-02-23,1003.9,1010.0,992.65,1003.5,218074
2024-02-26,1007.95,1011.45,987.95,1001.0,76910
2024-02-27,999.0,1031.0,986.15,1023.6,147048
2024-02-28,1020.8,1028.05,986.0,995.0,123085
2024-02-29,996.15,1060.0,983.0,1000.95,1660829
2024-03-01,1001.0,1012.0,987.0,995.25,129488
2024-03-02,1009.65,1012.5,980.55,1004.95,8208
