date,open,high,low,close,volume
2023-12-26,2333.0,2362.4,2300.1,2310.6,684145
2023-12-27,2322.2,2329.95,2258.0,2266.8,739184
2023-12-28,2277.0,2301.0,2234.0,2243.3,535331
2023-12-29,2244.0,2244.9,2202.0,2221.2,647084
2024-01-01,2225.0,2227.75,2190.0,2203.05,488056
2024-01-02,2214.2,2300.0,2200.5,2235.95,934165
2024-01-03,2238.8,2274.0,2210.0,2253.35,524120
2024-01-04,2255.0,2293.95,2240.0,2277.1,490105
2024-01-05,2287.0,2310.0,2271.9,2303.75,531863
2024-01-08,2309.95,2319.95,2263.75,2275.1,835818
2024-01-09,2288.3,2306.0,2277.5,2301.0,416173
2024-01-10,2300.0,2319.9,2242.25,2259.55,463869
2024-01-11,2265.0,2289.0,2254.1,2255.8,376884
2024-01-12,2266.0,2266.95,2225.1,2237.1,528824
2024-01-15,2237.1,2259.0,2206.25,2238.35,1317601
2024-01-16,2244.0,2320.0,2240.0,2308.75,955213
2024-01-17,2290.0,2355.9,2269.4,2287.0,1131260
2024-01-18,2292.0,2327.75,2260.0,2297.7,709367
2024-01-19,2315.0,2330.0,2245.0,2275.85,515093
2024-01-20,2286.1,2286.1,2233.6,2241.25,222455
2024-01-23,2244.0,2254.0,2100.0,2111.25,930501
2024-01-24,2100.0,2149.65,1980.6,2112.15,1446052
2024-01-25,2112.15,2155.4,2109.05,2121.95,786414
2024-01-29,2132.6,2170.0,2120.1,2128.9,444187
2024-01-30,2139.85,2220.0,2137.0,2187.8,754354
2024-01-31,2209.2,2342.85,2185.0,2323.6,1093722
2024-02-01,2342.7,2508.0,2340.0,2493.45,2616316
2024-02-02,2510.0,2518.4,2437.05,2465.0,1019264
2024-02-05,2480.0,2598.95,2480.0,2561.05,1544810
2024-02-06,2559.0,2559.0,2380.4,2469.35,1642671
2024-02-07,2490.0,2539.95,2432.75,2501.8,798435
2024-02-08,2530.0,2532.0,2450.0,2511.75,555013
2024-02-09,2522.7,2571.0,2407.0,2489.6,765639
2024-02-12,2500.0,2505.3,2325.2,2362.25,547944
2024-02-13,2395.0,2398.0,2292.05,2341.9,417393
2024-02-14,2280.0,2383.3,2275.0,2347.2,304036
2024-02-15,2370.0,2382.0,2315.0,2323.8,389194
2024-02-16,2344.0,2344.7,2300.05,2303.8,271213
2024-02-19,2320.1,2352.1,2292.0,2304.65,593389
2024-02-20,2315.0,2337.0,2294.4,2296.95,241186
2024-02-21,2308.0,2310.9,2190.0,2216.2,559517
2024-02-22,2215.0,2222.85,2159.85,2200.2,468916
2024-02-23,2224.95,2349.0,2207.0,2276.8,901883
2024-02-26,2293.0,2299.0,2251.0,2278.95,329921
2024-02-27,2290.65,2409.1,2280.0,2396.1,1204781
2024-02-28,2410.0,2420.0,2282.65,2337.3,1037689
2024-02-29,2319.95,2380.0,2287.35,2366.85,399885
2024-03-01,2370.0,2385.9,2325.0,2336.45,643126
2024-03-02,2340.6,2361.0,2324.6,2352.45,50156
2024-03-04,2365.4,2366.0,2310.0,2319.55,254066
2024-03-05,2324.3,2324.3,2274.0,2287.0,318889
2024-03-06,2287.0,2330.0,2250.0,2299.05,729870
2024-03-07,2284.0,2299.3,2240.0,2243.85,516836
2024-03-11,2243.85,2243.85,2190.35,2204.1,561381
2024-03-12,2204.1,2204.1,2060.0,2148.55,1180130
2024-03-13,2240.0,2270.0,1972.45,2011.7,1656939
2024-03-14,2012.0,2097.95,1973.6,2048.45,800906
2024-03-15,2054.85,2094.5,2026.05,2082.4,478329
2024-03-18,2077.0,2077.0,2010.0,2035.5,724749
2024-03-19,2040.0,2046.0,1941.05,1956.65,702083
2024-03-20,1970.0,2040.0,1970.0,2033.15,930282
2024-03-21,2086.0,2267.2,2075.05,2243.1,2013072
2024-03-22,2249.0,2274.9,2190.0,2197.8,629614
2024-03-26,2224.0,2325.0,2215.0,2310.2,1231753
2024-03-27,2332.0,2475.4,2317.0,2463.6,2313292
2024-03-28,2488.2,2570.0,2415.75,2515.9,1681440
2024-04-01,2557.4,2724.0,2530.0,2709.9,3093592
2024-04-02,2718.55,2777.1,2671.0,2756.35,1854485
2024-04-03,2740.0,2880.0,2725.0,2861.2,1548894
2024-04-04,2884.0,2936.0,2776.5,2890.2,1603314
2024-04-05,2870.0,2935.0,2850.0,2875.6,887938
2024-04-08,2887.9,2902.7,2770.05,2801.7,790071
2024-04-09,2802.0,2812.8,2733.0,2745.7,531266
2024-04-10,2745.6,2900.0,2695.7,2863.5,1290460
2024-04-12,2860.5,2954.9,2815.1,2828.95,1178900
2024-04-15,2746.7,2868.85,2725.0,2784.25,989946
2024-04-16,2785.0,2854.05,2783.3,2835.75,677174
2024-04-18,2858.7,2895.5,2745.0,2781.1,730376
2024-04-19,2742.0,2800.0,2703.25,2768.55,613565
2024-04-22,2796.2,2870.0,2796.2,2851.3,556708
2024-04-23,2872.3,3247.4,2870.0,3199.85,4064371
2024-04-24,3240.85,3264.7,3070.0,3129.95,2127469
2024-04-25,3136.0,3223.0,3129.95,3147.55,1234851
2024-04-26,3111.0,3229.8,3111.0,3210.35,877286
2024-04-29,2728.45,2894.95,2612.1,2771.25,11245177
2024-04-30,2824.8,2885.0,2778.0,2790.15,2420498
2024-05-02,2872.0,2900.0,2830.0,2858.75,2042181
2024-05-03,2887.7,2894.4,2813.35,2850.75,943429
2024-05-06,2875.0,2875.0,2775.0,2845.2,772761
2024-05-07,2855.0,2855.0,2738.0,2807.45,1027471
2024-05-08,2775.0,2830.0,2770.45,2819.4,554365
2024-05-09,2791.0,2885.0,2700.0,2710.15,1156845
2024-05-10,2712.5,2749.15,2640.05,2650.0,849344
2024-05-13,2675.9,2675.9,2568.95,2597.65,728997
2024-05-14,2610.0,2709.95,2600.15,2682.65,736538
2024-05-15,2717.3,2869.0,2714.75,2840.9,1493504
2024-05-16,2884.0,2884.4,2789.0,2818.35,675571
2024-05-17,2820.0,2845.8,2755.05,2783.0,566484
2024-05-18,2794.3,2819.9,2788.0,2794.25,111719
2024-05-21,2794.0,2794.0,2720.0,2726.3,870542
2024-05-22,2735.0,2755.0,2651.95,2655.85,1100102
2024-05-23,2656.5,2683.95,2607.0,2613.95,941843
2024-05-24,2630.0,2760.0,2616.95,2730.1,1376926
2024-05-27,2736.95,2743.8,2652.0,2703.5,669172
2024-05-28,2710.0,2726.0,2682.05,2702.55,480894
2024-05-29,2690.0,2697.95,2627.35,2637.2,525746
2024-05-30,2640.0,2666.0,2536.3,2554.8,970560
2024-05-31,2572.45,2705.0,2509.4,2693.85,1262556
2024-06-03,2799.0,2820.0,2700.0,2707.9,1154936
2024-06-04,2700.0,2701.0,2425.0,2557.0,1783248
2024-06-05,2565.0,2677.5,2452.3,2662.65,1081168
2024-06-06,2701.0,2737.0,2683.0,2701.15,850809
2024-06-07,2701.15,2708.05,2652.5,2681.8,602909
2024-06-10,2681.8,2718.0,2654.15,2660.7,510420
2024-06-11,2675.0,2689.75,2666.0,2672.4,747784
2024-06-12,2685.0,2719.0,2670.0,2702.85,743207
2024-06-13,2709.0,2748.6,2704.85,2736.2,521303
2024-06-14,2740.0,2777.75,2701.75,2758.9,525154
2024-06-18,2760.0,2764.6,2725.0,2738.35,468350
2024-06-19,2738.0,2738.0,2700.0,2709.25,432583
2024-06-20,2720.0,2720.0,2592.0,2639.45,818172
2024-06-21,2641.0,2670.0,2547.0,2560.2,748696
2024-06-24,2550.0,2550.0,2492.0,2497.95,963273
2024-06-25,2515.0,2545.0,2500.0,2520.55,453837
2024-06-26,2532.0,2556.05,2501.0,2541.1,538178
2024-06-27,2550.0,2565.0,2525.0,2553.8,583469
2024-06-28,2581.0,2642.7,2560.05,2582.55,1100517
2024-07-01,2600.0,2619.75,2570.05,2574.1,583442
2024-07-02,2560.0,2560.0,2483.0,2487.1,1079501
2024-07-03,2495.0,2509.5,2447.0,2457.75,728280
2024-07-04,2458.0,2499.0,2454.0,2457.35,538942
2024-07-05,2468.0,2468.6,2395.0,2405.35,836004
2024-07-08,2410.0,2420.0,2356.0,2380.35,596342
2024-07-09,2390.0,2453.95,2328.0,2336.6,1166229
2024-07-10,2331.0,2384.0,2245.0,2254.25,2301227
2024-07-11,2272.0,2388.0,2272.0,2332.55,2347668
2024-07-12,2362.25,2385.0,2338.3,2363.8,618662
2024-07-15,2380.0,2389.0,2330.0,2371.25,662301
2024-07-16,2370.0,2404.55,2365.0,2371.4,409094
2024-07-18,2365.0,2366.9,2284.0,2300.4,753728
2024-07-19,2286.0,2290.4,2245.8,2252.75,567924
2024-07-22,2220.0,2298.0,2180.0,2208.35,555326
2024-07-23,2206.8,2295.0,2115.0,2226.3,1491065
2024-07-24,2245.0,2435.0,2243.6,2413.5,2155888
2024-07-25,2400.0,2490.5,2361.05,2468.3,1439123
2024-07-26,2473.45,2477.8,2421.7,2447.5,449183
2024-07-29,2466.3,2472.95,2424.0,2440.25,442791
2024-07-30,2440.0,2459.95,2407.75,2412.3,317927
2024-07-31,2375.1,2607.7,2374.0,2556.45,3426971
2024-08-01,2611.0,2660.0,2571.25,2643.25,1808504
2024-08-02,2575.0,2619.0,2556.85,2563.7,736612
2024-08-05,2444.0,2488.6,2340.0,2387.6,1503846
2024-08-06,2435.35,2490.0,2306.1,2317.35,912824
2024-08-07,2380.0,2416.0,2341.9,2398.55,614984
2024-08-08,2657.0,2657.0,2530.0,2599.8,3643222
2024-08-09,2624.95,2681.0,2562.15,2650.5,1773232
2024-08-12,2600.0,2645.0,2566.0,2571.65,651385
2024-08-13,2588.0,2617.8,2544.0,2592.05,623188
2024-08-14,2610.0,2611.0,2525.0,2559.7,416027
2024-08-16,2573.0,2677.0,2542.55,2645.95,1287709
2024-08-19,2671.95,2720.0,2646.0,2676.2,790797
2024-08-20,2683.5,2763.0,2652.0,2703.0,1349232
2024-08-21,2718.0,2754.5,2662.3,2689.9,543111
2024-08-22,2692.0,2750.0,2669.5,2726.85,764611
2024-08-23,2726.85,2800.0,2701.1,2741.65,1397860
2024-08-26,2755.4,2767.0,2710.1,2727.65,384051
2024-08-27,2733.0,2753.45,2681.0,2700.25,490154
2024-08-28,2765.0,2835.4,2741.5,2780.65,1571064
2024-08-29,2784.0,2837.0,2762.2,2811.75,1080089
2024-08-30,2839.0,2850.0,2806.0,2832.65,662020
2024-09-02,2839.5,2839.5,2751.0,2765.1,564639
2024-09-03,2760.1,2778.2,2700.1,2731.95,436496
2024-09-04,2705.0,2815.0,2701.0,2760.35,755257
2024-09-05,2768.0,2895.0,2768.0,2890.6,1531205
2024-09-06,2902.1,2932.45,2805.0,2824.25,722880
2024-09-09,2819.2,2849.0,2741.3,2834.8,555619
2024-09-10,2840.0,2870.0,2813.15,2850.7,444342
2024-09-11,2851.0,2945.9,2828.8,2881.9,730132
2024-09-12,2888.0,2905.0,2831.75,2869.0,384636
2024-09-13,2892.0,2935.5,2874.0,2902.7,754255
2024-09-16,2960.0,3459.0,2955.0,3431.8,10658953
2024-09-17,3420.0,3557.0,3315.0,3333.7,4082276
2024-09-18,3348.0,3945.0,3345.0,3896.15,15631728
2024-09-19,3896.0,3896.0,3575.95,3711.2,6245517
2024-09-20,3735.0,4050.0,3679.05,3984.95,6839594
2024-09-23,4001.0,4200.0,3896.05,3932.35,5203722
2024-09-24,3952.0,4077.0,3911.2,3980.15,2446010
2024-09-25,3993.0,4003.0,3826.1,3837.85,1583459
2024-09-26,3935.0,3939.95,3735.0,3759.05,1910051
2024-09-27,3760.0,3771.6,3625.0,3645.95,975112
2024-09-30,3580.0,3825.0,3579.95,3684.65,2770229
2024-10-01,3745.0,3920.0,3690.1,3858.9,3632990
2024-10-03,3800.0,4235.0,3745.05,3953.6,11222130
2024-10-04,3980.0,4194.3,3851.0,4108.15,7604579
2024-10-07,4190.0,4260.0,3781.05,3826.45,6157156
2024-10-08,3863.85,4275.0,3831.15,4242.65,7024196
2024-10-09,4307.0,4395.0,4160.0,4181.05,5523535
2024-10-10,4219.0,4349.0,4165.65,4216.15,3478960
2024-10-11,4265.0,4550.0,4248.7,4496.45,6486810
2024-10-14,4536.0,4989.8,4535.95,4809.5,12710647
2024-10-15,4860.0,4887.4,4670.0,4752.25,4202290
2024-10-16,4575.0,4625.0,4419.9,4521.85,6307378
2024-10-17,4528.55,4556.8,4200.0,4257.55,3627703
2024-10-18,4237.0,4443.0,4101.0,4274.8,5711214
2024-10-21,4321.0,4459.0,4311.1,4334.4,2799692
2024-10-22,4360.0,4364.0,4051.1,4090.25,2816574
2024-10-23,4110.0,4400.0,4011.0,4273.2,3372193
2024-10-24,4295.0,4379.8,4275.55,4324.95,2014933
2024-10-25,4324.9,4324.9,3993.65,4062.75,2378853
2024-10-28,4120.0,4248.0,4087.1,4165.2,1776346
2024-10-29,4186.0,4300.0,4137.1,4284.05,1580787
2024-10-30,4293.0,4524.0,4258.6,4340.65,3135607
2024-10-31,4365.0,4492.3,4315.1,4465.6,1950878
2024-11-01,4482.3,4524.0,4414.55,4463.65,510955
2024-11-04,4444.0,4560.0,4372.0,4413.65,2157364
2024-11-05,4445.0,4625.0,4402.3,4602.95,2680408
2024-11-06,4648.0,4815.0,4618.45,4684.55,3192252
2024-11-07,4715.55,4897.4,4700.0,4872.05,3209993
2024-11-08,4904.0,4969.0,4650.3,4693.9,3192229
2024-11-11,4675.0,4747.75,4560.0,4623.15,1987606
2024-11-12,4675.0,4783.9,4621.05,4678.2,1810046
2024-11-13,4737.55,4789.0,4451.7,4491.8,3647865
2024-11-14,4499.0,4665.0,4495.0,4547.8,1878541
2024-11-18,4564.0,4740.0,4471.85,4706.0,2507716
2024-11-19,4748.0,4858.0,4693.6,4727.35,2328859
2024-11-21,4740.0,4818.0,4570.0,4695.15,2413902
2024-11-22,4725.0,4784.7,4661.1,4719.95,1531614
2024-11-25,4840.0,4955.0,4587.15,4686.8,12282693
2024-11-26,4598.0,4659.0,4392.0,4431.1,4382423
2024-11-27,4458.0,4499.0,4280.0,4476.25,2985759
2024-11-28,4528.0,4600.0,4470.25,4573.95,1597877
2024-11-29,4613.0,4708.8,4586.5,4670.75,2237538
2024-12-02,4660.0,4687.9,4531.6,4563.85,1579496
2024-12-03,4572.0,4624.0,4492.5,4513.8,1275930
2024-12-04,4536.3,4595.0,4485.6,4572.05,1434495
