date,open,high,low,close,volume
2023-12-26,82.38,82.88,81.68,81.88,17491435
2023-12-27,82.18,83.83,82.08,83.28,26349440
2023-12-28,84.98,86.13,84.68,84.98,71150080
2023-12-29,85.18,85.18,83.98,84.28,20864775
2024-01-01,84.88,85.98,84.38,85.28,21701345
2024-01-02,85.13,86.88,84.83,85.58,33168170
2024-01-03,86.78,89.33,85.63,88.43,97005400
2024-01-04,89.23,90.13,88.18,89.83,43984105
2024-01-05,90.38,90.63,87.93,89.18,34552380
2024-01-08,89.08,89.38,86.63,86.88,29005830
2024-01-09,87.58,88.58,86.63,86.88,28163540
2024-01-10,86.98,87.28,85.38,86.53,26641065
2024-01-11,87.08,88.33,86.83,87.68,21747555
2024-01-12,87.98,89.98,87.38,89.23,45209325
2024-01-15,89.93,90.43,89.28,89.88,17352745
2024-01-16,89.73,91.03,89.03,89.78,26041455
2024-01-17,87.98,89.98,87.28,88.13,33668370
2024-01-18,87.93,88.88,85.08,88.43,34924420
2024-01-19,88.98,90.33,88.73,90.13,32255045
2024-01-20,90.53,93.23,89.63,92.18,25938600
2024-01-23,93.28,93.78,86.83,87.98,67779560
2024-01-24,88.53,88.73,85.38,87.63,104038180
2024-01-25,87.78,90.68,87.48,89.83,61778805
2024-01-29,90.78,92.78,90.38,91.68,44012445
2024-01-30,91.78,93.73,91.18,92.23,30096690
2024-01-31,92.48,93.78,91.13,93.18,33216415
2024-02-01,93.38,97.78,92.63,97.08,77435540
2024-02-02,98.18,101.23,98.08,99.63,70094345
2024-02-05,100.53,102.28,99.08,100.83,41140860
2024-02-06,101.18,101.33,99.63,101.08,25722875
2024-02-07,102.98,108.88,102.78,107.23,93641330
2024-02-08,109.78,112.78,108.18,110.63,116284190
2024-02-09,111.38,111.98,106.43,110.98,76345650
2024-02-12,111.58,111.78,105.08,105.93,51213620
2024-02-13,106.38,107.73,103.68,107.23,44616500
2024-02-14,105.78,110.58,105.38,110.08,41070590
2024-02-15,110.58,115.73,110.28,114.18,80202835
2024-02-16,114.38,114.73,112.03,113.93,45188595
2024-02-19,114.23,114.38,110.83,111.33,30254305
2024-02-20,111.08,111.33,110.23,110.58,23257800
2024-02-21,110.68,113.33,109.58,110.23,56105005
2024-02-22,111.38,113.73,109.48,113.23,40230970
2024-02-23,113.78,116.53,112.43,112.88,82259680
2024-02-26,113.58,113.58,110.78,111.43,40534550
2024-02-27,112.63,113.63,110.23,111.18,53513285
2024-02-28,111.68,111.73,106.33,106.88,62807585
2024-02-29,106.98,110.38,105.63,109.68,48528555
2024-03-01,110.78,112.68,110.38,112.53,36848925
2024-03-02,112.93,115.03,112.78,114.13,9414170
2024-03-04,114.53,115.68,113.58,115.18,34505780
2024-03-05,114.93,117.58,114.38,117.28,55574805
2024-03-06,117.58,118.03,113.78,116.78,44320730
2024-03-07,116.78,117.88,115.58,116.38,29660555
2024-03-11,116.38,117.28,113.63,114.03,31771280
2024-03-12,114.03,114.58,109.78,110.18,43186065
2024-03-13,110.58,111.13,102.68,104.08,61035900
2024-03-14,103.58,107.73,102.58,106.18,46018095
2024-03-15,106.18,107.58,102.73,106.63,47635625
2024-03-18,106.78,107.98,105.78,107.38,25027215
2024-03-19,107.33,107.93,106.03,106.48,21355995
2024-03-20,106.78,107.63,103.88,106.98,30262105
2024-03-21,108.78,110.48,108.38,109.58,27814235
2024-03-22,109.58,112.28,109.48,111.43,29115490
2024-03-26,111.18,111.73,110.23,111.13,24848115
2024-03-27,111.13,111.73,109.23,109.63,22051135
2024-03-28,110.43,114.33,110.38,112.98,51789135
2024-04-01,113.88,114.83,113.43,114.58,19686100
2024-04-02,114.58,115.83,114.33,115.73,18757320
2024-04-03,115.38,119.13,114.78,118.18,43724155
2024-04-04,119.73,119.73,117.23,118.28,38719345
2024-04-05,118.68,120.53,118.03,119.78,40105775
2024-04-08,120.58,120.58,118.18,119.28,19005745
2024-04-09,119.58,119.93,117.53,118.43,18031285
2024-04-10,118.73,120.08,118.28,119.38,23270245
2024-04-12,118.48,120.13,117.78,117.93,23474690
2024-04-15,116.38,117.98,114.28,115.38,30203555
2024-04-16,114.38,115.88,112.83,113.58,31644765
2024-04-18,114.58,115.73,113.03,113.48,25803295
2024-04-19,111.78,113.68,109.33,112.53,47342605
2024-04-22,113.78,117.13,113.68,116.73,52446075
2024-04-23,117.78,117.93,116.63,117.08,26919135
2024-04-24,117.58,117.88,115.98,116.18,24646005
2024-04-25,115.98,120.98,115.78,120.13,57499790
2024-04-26,120.23,121.68,119.58,120.28,29797195
2024-04-29,121.28,121.73,119.63,120.93,39740260
2024-04-30,121.68,122.73,120.58,121.18,40666775
2024-05-02,121.53,122.98,121.38,122.48,21606080
2024-05-03,123.38,123.38,120.58,121.93,19884865
2024-05-06,122.23,122.58,114.43,115.13,65295460
2024-05-07,115.83,116.13,111.18,112.13,43276005
2024-05-08,112.73,116.48,107.58,108.33,114364700
2024-05-09,109.38,110.38,105.18,105.88,65605805
2024-05-10,106.78,108.23,104.93,106.43,38864845
2024-05-13,107.18,107.78,103.18,106.63,52494105
2024-05-14,107.88,110.58,107.48,110.08,46097330
2024-05-15,113.03,116.38,112.78,115.78,58148316
2024-05-16,117.13,117.13,108.58,110.48,83518740
2024-05-17,111.73,111.98,109.98,110.58,39194579
2024-05-18,110.98,111.68,110.83,111.28,5348843
2024-05-21,112.18,113.58,110.38,112.98,35545169
2024-05-22,113.68,113.68,111.68,112.78,32841192
2024-05-23,113.68,115.43,113.28,114.48,35478278
2024-05-24,114.98,115.53,113.68,113.98,29084908
2024-05-27,114.78,114.98,112.48,113.78,34617257
2024-05-28,114.48,115.53,112.03,112.73,30239355
2024-05-29,113.18,115.23,112.28,113.33,39784811
2024-05-30,113.48,114.33,111.53,111.83,34512065
2024-05-31,113.28,116.13,111.18,114.78,285607552
2024-06-03,121.58,125.68,119.23,125.03,93777898
2024-06-04,124.58,124.58,92.98,106.63,200212291
2024-06-05,111.98,113.08,101.48,111.98,105580249
2024-06-06,114.38,117.38,113.28,114.78,52416611
2024-06-07,116.23,116.38,114.78,115.68,40419251
2024-06-10,116.78,119.48,116.78,117.81,43824793
2024-06-11,118.28,119.87,117.53,118.01,37514599
2024-06-12,118.78,120.28,118.28,119.57,39113054
2024-06-13,121.29,121.78,118.18,118.7,62531469
2024-06-14,120.0,120.99,119.3,120.81,32576803
2024-06-18,121.85,122.5,121.32,121.88,33945927
2024-06-19,121.89,122.85,120.61,121.16,45620625
2024-06-20,121.5,122.2,120.93,121.2,19050406
2024-06-21,121.3,121.79,118.5,119.12,32273022
2024-06-24,118.0,121.57,116.21,118.27,44230331
2024-06-25,119.24,119.74,116.85,118.05,36965833
2024-06-26,117.95,119.37,117.21,118.69,21602758
2024-06-27,118.18,119.4,116.84,118.11,28134054
2024-06-28,118.25,121.89,118.25,119.47,43712892
2024-07-01,119.35,120.19,117.9,118.36,20506793
