date,open,high,low,close,volume
2023-12-26,625.5,646.6,625.5,640.1,426067
2023-12-27,643.3,643.3,633.85,635.3,139602
2023-12-28,638.25,638.25,622.6,626.25,313094
2023-12-29,625.0,650.0,624.15,643.75,415526
2024-01-01,643.75,647.95,632.6,633.5,135892
2024-01-02,635.95,635.95,624.1,629.85,163082
2024-01-03,630.0,632.95,621.3,623.9,114519
2024-01-04,628.0,636.0,625.0,630.4,210606
2024-01-05,630.6,636.9,626.8,632.0,58663
2024-01-08,632.0,635.2,620.0,630.4,134057
2024-01-09,630.4,640.3,627.5,635.4,96720
2024-01-10,635.5,641.8,625.25,636.6,96976
2024-01-11,636.6,644.2,636.6,641.15,91268
2024-01-12,641.15,643.8,635.35,642.85,61133
2024-01-15,647.9,648.0,631.0,635.3,81702
2024-01-16,635.05,637.75,632.25,636.2,38423
2024-01-17,630.4,633.95,626.35,628.35,59105
2024-01-18,625.6,632.0,623.0,629.3,71363
2024-01-19,631.0,637.9,629.35,633.65,69610
2024-01-20,634.0,636.6,627.0,628.05,30877
2024-01-23,631.15,639.4,627.0,633.45,132957
2024-01-24,633.45,644.2,630.15,636.85,107858
2024-01-25,640.0,643.25,634.0,641.9,63607
2024-01-29,644.9,674.0,644.1,668.3,513506
2024-01-30,675.0,678.95,668.75,673.05,219458
2024-01-31,671.0,688.25,667.6,671.05,492299
2024-02-01,671.05,674.85,667.4,670.0,103305
2024-02-02,670.2,677.3,639.05,645.2,227117
2024-02-05,644.0,647.05,625.6,635.1,206015
2024-02-06,627.0,665.45,627.0,645.15,397296
2024-02-07,647.9,672.15,647.0,667.35,233523
2024-02-08,672.0,672.95,654.5,662.75,187669
2024-02-09,662.75,665.25,641.0,661.5,86264
2024-02-12,664.4,664.4,638.0,642.85,84353
2024-02-13,643.65,648.8,633.0,634.85,79442
2024-02-14,634.95,659.95,628.25,657.25,83194
2024-02-15,657.25,665.0,651.35,658.6,52129
2024-02-16,654.2,660.95,641.1,647.5,90635
2024-02-19,648.05,652.0,639.6,640.9,102369
2024-02-20,640.9,653.95,638.6,648.4,70220
2024-02-21,651.65,659.0,639.05,643.5,99880
2024-02-22,646.7,648.8,636.0,638.2,46041
2024-02-23,640.0,644.0,633.8,636.75,65724
2024-02-26,638.0,643.95,636.75,639.1,59363
2024-02-27,640.15,651.25,636.8,648.2,66012
2024-02-28,651.05,670.0,629.9,642.2,420429
2024-02-29,642.2,642.2,627.35,629.75,192718
2024-03-01,632.8,648.0,626.1,628.15,94480
2024-03-02,634.85,634.9,625.0,629.15,6142
2024-03-04,632.5,632.5,625.0,626.25,54073
2024-03-05,627.65,630.0,620.5,625.05,80768
