date,open,high,low,close,volume
2023-12-26,926.0,936.3,919.0,925.5,1154586
2023-12-27,930.15,939.1,919.0,927.5,1232490
2023-12-28,931.3,933.0,911.9,916.9,1239726
2023-12-29,920.75,920.9,909.0,912.2,941874
2024-01-01,912.5,919.4,906.0,909.2,909140
2024-01-02,909.2,924.15,904.0,909.55,1113912
2024-01-03,909.55,924.0,909.55,921.6,1270712
2024-01-04,926.0,954.4,920.0,942.5,2519770
2024-01-05,947.1,952.3,936.9,944.3,1337062
2024-01-08,949.35,958.6,932.0,936.9,1533698
2024-01-09,942.0,948.3,928.2,937.15,777076
2024-01-10,937.15,940.0,921.0,930.65,880352
2024-01-11,931.25,934.1,920.0,922.5,787528
2024-01-12,924.5,937.45,915.05,926.45,1029204
2024-01-15,931.6,934.3,921.0,922.9,581208
2024-01-16,923.0,956.1,918.0,940.65,2905304
2024-01-17,930.0,942.4,921.0,923.75,1198282
2024-01-18,922.5,928.0,885.0,910.3,1926370
2024-01-19,924.5,924.5,905.05,910.4,713232
2024-01-20,914.0,918.0,900.0,902.3,578174
2024-01-23,905.0,907.85,862.5,866.7,1409548
2024-01-24,872.5,887.0,858.7,880.75,1055160
2024-01-25,883.25,891.0,871.55,885.1,929178
2024-01-29,885.0,897.5,880.0,882.7,781578
2024-01-30,885.0,887.8,870.0,872.5,958286
2024-01-31,874.5,892.5,867.0,887.5,1505288
2024-02-01,891.45,917.5,878.85,905.5,2423868
2024-02-02,916.9,941.6,911.8,936.9,3480180
2024-02-05,947.5,956.0,904.0,913.8,3241604
2024-02-06,921.5,939.0,907.6,925.2,1768110
2024-02-07,933.45,999.4,924.0,979.0,11945524
2024-02-08,989.0,1022.0,959.5,1000.15,7220258
2024-02-09,1006.0,1033.5,958.05,973.5,5441700
2024-02-12,979.0,979.5,912.5,924.9,2803174
2024-02-13,924.9,950.0,903.7,942.75,2391316
2024-02-14,924.0,953.5,918.85,949.35,1632956
2024-02-15,956.3,958.2,935.8,939.2,1127264
2024-02-16,941.5,953.0,935.05,938.1,1193316
2024-02-19,934.2,941.8,916.0,920.75,1183938
2024-02-20,922.0,933.25,917.5,920.65,972062
2024-02-21,921.0,928.5,893.2,899.8,1137110
2024-02-22,903.5,914.45,896.5,912.3,960784
2024-02-23,917.5,938.85,907.35,929.8,1915276
2024-02-26,929.8,969.25,921.0,950.0,3792446
2024-02-27,956.0,980.0,951.35,957.0,2958844
2024-02-28,961.5,990.0,958.5,965.5,4256638
2024-02-29,967.4,967.4,941.4,958.6,1932328
2024-03-01,962.5,979.0,954.05,959.3,1270656
2024-03-02,961.75,966.5,956.5,964.8,175742
2024-03-04,969.5,972.4,946.1,950.4,1094674
2024-03-05,952.0,953.85,936.8,939.8,784928
2024-03-06,940.0,940.0,905.05,918.4,1361698
2024-03-07,926.5,929.3,912.9,915.3,963714
2024-03-11,915.3,926.9,903.0,905.3,894802
2024-03-12,906.5,910.95,888.05,903.7,1421052
2024-03-13,904.85,912.5,832.8,842.3,2600464
2024-03-14,839.85,867.75,825.0,854.7,1715448
2024-03-15,857.0,878.85,845.05,859.85,1729234
2024-03-18,852.4,867.0,840.55,843.65,1247206
2024-03-19,843.35,854.0,835.0,838.9,804396
2024-03-20,838.9,842.25,811.0,828.8,1388102
2024-03-21,840.5,889.3,838.5,883.05,2995280
2024-03-22,880.0,899.0,877.55,893.7,1354412
2024-03-26,899.0,909.5,888.0,894.45,1511600
2024-03-27,859.3,874.9,837.5,843.0,43990584
2024-03-28,852.5,864.85,852.5,856.0,5991190
2024-04-01,864.5,922.5,863.4,918.85,8609716
2024-04-02,921.5,944.6,904.5,938.1,5473054
2024-04-03,929.3,943.9,922.7,938.2,3078852
