date,open,high,low,close,volume
2023-12-26,48.5,49.4,48.2,48.75,9505023
2023-12-27,48.75,49.95,48.6,49.05,13621213
2023-12-28,49.1,51.4,49.1,50.15,35566709
2023-12-29,50.45,51.4,49.9,50.1,21131430
2024-01-01,50.25,51.4,49.7,50.35,14747454
2024-01-02,50.35,52.2,49.9,51.1,33188408
2024-01-03,51.0,52.95,50.65,51.95,49402075
2024-01-04,52.15,53.2,52.0,52.5,21798368
2024-01-05,52.75,53.35,51.25,51.9,20211613
2024-01-08,51.9,52.0,50.15,50.4,12081310
2024-01-09,50.75,51.45,49.7,49.95,9885109
2024-01-10,49.95,50.4,49.5,50.0,9261372
2024-01-11,50.3,51.15,50.25,50.65,10073713
2024-01-12,50.85,52.6,50.5,51.9,35898322
2024-01-15,52.25,53.8,51.9,52.55,33275996
2024-01-16,52.75,54.35,51.5,53.1,53135534
2024-01-17,52.1,52.7,51.05,51.35,25793885
2024-01-18,51.6,53.4,49.25,52.8,40878518
2024-01-19,53.1,55.0,52.55,54.55,90258328
2024-01-20,54.95,57.5,54.6,56.25,54086912
2024-01-23,57.25,57.5,52.6,52.95,45383881
2024-01-24,53.2,55.1,51.55,54.85,38909793
2024-01-25,54.7,55.45,53.7,54.35,20464938
2024-01-29,54.5,57.5,54.45,56.0,38657218
2024-01-30,56.3,58.7,55.1,56.1,48386782
2024-01-31,56.05,58.8,55.7,57.5,44289077
2024-02-01,57.9,59.95,55.75,59.55,78746142
2024-02-02,61.0,63.45,60.6,62.05,87281980
2024-02-05,62.5,70.3,61.7,64.85,155196600
2024-02-06,65.25,68.85,64.5,66.55,60062362
2024-02-07,66.95,76.9,66.95,74.15,154612545
2024-02-08,76.05,76.4,69.3,69.85,90182075
2024-02-09,70.45,72.4,65.0,68.0,58441930
2024-02-12,68.0,68.2,58.3,59.95,49978373
2024-02-13,59.0,63.95,58.4,63.3,60568781
2024-02-14,60.5,66.2,60.45,65.6,41099283
2024-02-15,65.9,68.0,64.2,67.45,50957276
2024-02-16,68.0,69.0,66.1,66.6,34547539
2024-02-19,66.9,68.85,65.9,66.95,26347802
2024-02-20,67.1,67.55,65.5,65.85,16877805
2024-02-21,66.15,68.4,65.4,65.85,29225281
2024-02-22,66.3,67.35,63.8,66.9,22223256
2024-02-23,67.0,67.35,65.4,65.75,14482044
2024-02-26,65.9,65.9,64.55,64.9,11290843
2024-02-27,64.9,65.45,62.55,63.25,14385725
2024-02-28,63.45,63.85,60.35,61.0,16140826
2024-02-29,60.75,63.0,60.2,62.65,16517287
2024-03-01,62.95,63.95,62.7,63.3,10099243
2024-03-02,63.55,63.9,62.9,63.65,1015332
2024-03-04,63.9,64.15,62.35,62.95,8638680
2024-03-05,62.85,67.95,62.3,67.4,56087283
2024-03-06,67.55,68.15,64.05,65.05,32497838
2024-03-07,65.5,66.3,64.05,64.35,17945402
2024-03-11,64.6,64.7,61.7,62.15,14035590
2024-03-12,62.15,62.75,59.7,60.3,17010763
2024-03-13,60.9,61.4,53.05,54.1,34629026
2024-03-14,54.0,61.5,52.05,60.6,40906348
2024-03-15,59.9,61.7,57.35,59.5,26890962
2024-03-18,59.7,60.75,58.1,58.5,15905678
2024-03-19,58.0,59.35,57.0,57.2,14216161
2024-03-20,57.5,58.25,55.8,56.75,16608753
2024-03-21,58.3,59.45,57.6,57.9,15462631
2024-03-22,58.2,59.8,57.95,59.25,14903892
2024-03-26,59.15,60.0,58.15,58.35,9071528
2024-03-27,58.55,59.4,57.1,57.25,11064222
2024-03-28,57.85,61.65,57.75,59.8,31670415
2024-04-01,60.4,63.7,60.4,63.35,23280709
2024-04-02,63.3,64.2,62.1,63.2,18976772
2024-04-03,63.45,65.9,62.7,65.6,32063126
2024-04-04,66.2,67.0,64.05,65.0,25233168
2024-04-05,65.0,66.35,64.2,65.6,20709251
2024-04-08,65.85,65.95,63.75,63.95,10786579
2024-04-09,64.3,64.9,62.95,64.0,10343663
2024-04-10,64.35,65.5,63.3,65.1,13424740
2024-04-12,64.85,65.45,63.7,63.9,8740422
2024-04-15,61.85,62.95,59.55,61.3,15436241
2024-04-16,60.75,63.85,60.1,62.0,14471808
2024-04-18,62.5,63.85,61.55,61.8,9695748
2024-04-19,61.0,62.5,59.45,62.1,10721240
2024-04-22,62.8,64.8,62.75,64.6,13443977
2024-04-23,64.95,65.05,63.55,63.8,8885969
2024-04-24,64.0,64.5,63.3,63.45,6077659
2024-04-25,63.45,66.5,63.25,65.8,25913001
2024-04-26,66.15,67.0,65.45,66.0,19156664
2024-04-29,66.75,68.6,66.45,68.2,30491686
2024-04-30,68.65,69.75,66.8,67.25,35436655
2024-05-02,67.9,67.9,66.0,66.2,15085713
2024-05-03,66.6,66.7,64.5,65.15,13041002
2024-05-06,65.45,65.45,62.8,63.55,11112535
2024-05-07,63.55,64.15,60.05,60.95,17525168
2024-05-08,61.3,62.7,60.75,62.15,10579525
2024-05-09,62.15,62.8,60.15,60.45,8726840
2024-05-10,61.0,61.3,58.1,60.8,10665307
2024-05-13,60.9,60.95,58.0,59.2,11469041
2024-05-14,59.5,60.75,59.45,60.4,7533528
2024-05-15,60.8,62.1,60.4,60.7,8525938
2024-05-16,61.2,61.4,60.2,60.8,6225201
2024-05-17,61.0,61.75,60.65,61.05,6162276
2024-05-18,61.4,62.4,60.9,62.15,1914657
2024-05-21,62.3,66.2,61.65,65.6,22472609
2024-05-22,65.95,66.2,64.2,65.15,9273845
2024-05-23,65.5,67.2,65.45,65.95,17295289
2024-05-24,65.8,67.1,65.3,65.8,12666549
2024-05-27,66.1,69.2,65.5,68.15,43515664
2024-05-28,68.5,68.7,63.8,65.25,21467635
2024-05-29,64.5,65.85,64.15,64.75,10775963
2024-05-30,64.65,65.45,63.15,63.4,13096152
2024-05-31,64.0,65.35,62.5,64.65,15702898
2024-06-03,68.05,73.0,65.8,72.3,95389337
2024-06-04,72.0,72.0,57.85,60.5,69488360
2024-06-05,62.0,63.85,57.9,61.75,28178521
