date,open,high,low,close,volume
2023-12-26,116.35,120.96,115.57,119.8,11536604
2023-12-27,120.77,123.78,118.87,122.37,14904805
2023-12-28,125.33,128.92,124.94,125.82,30855199
2023-12-29,126.45,129.6,125.72,128.63,14878887
2024-01-01,129.12,134.36,128.63,132.85,16092130
2024-01-02,133.05,133.53,127.56,130.67,8945971
2024-01-03,130.67,133.44,128.24,130.77,8806136
2024-01-04,130.91,132.27,130.18,130.91,5754194
2024-01-05,131.06,135.81,130.91,134.55,20626872
2024-01-08,134.55,135.09,131.01,131.74,5710766
2024-01-09,134.94,137.85,131.4,135.04,15819262
2024-01-10,135.81,138.0,132.51,132.95,10293609
2024-01-11,134.94,136.49,134.02,134.75,6123579
2024-01-12,134.84,137.51,133.53,136.59,7620307
2024-01-15,137.66,137.66,134.94,136.15,4785040
2024-01-16,136.3,139.31,133.48,134.8,9217735
2024-01-17,133.92,137.27,132.17,134.31,7388183
2024-01-18,133.1,138.34,128.15,137.27,11276056
2024-01-19,138.68,141.35,136.93,139.45,12392887
2024-01-20,133.97,136.88,131.54,133.97,11025156
2024-01-23,136.88,137.17,125.23,126.79,10496555
2024-01-24,128.63,131.83,126.2,127.56,9592330
2024-01-25,128.82,130.33,128.0,129.41,4206714
2024-01-29,130.81,136.54,130.57,135.04,14397836
2024-01-30,137.56,145.52,136.88,138.97,27034297
2024-01-31,140.38,141.25,137.66,138.92,8359254
2024-02-01,137.27,138.68,134.94,136.01,6343323
2024-02-02,136.3,137.56,132.71,133.68,6498178
2024-02-05,134.36,139.79,132.13,138.29,12812541
2024-02-06,139.36,139.79,134.94,135.72,6082798
2024-02-07,136.35,138.1,133.68,134.6,6165170
2024-02-08,138.34,139.12,134.12,134.7,7023285
2024-02-09,134.89,134.89,129.36,130.62,6146630
2024-02-12,130.72,131.25,113.0,118.68,9033792
2024-02-13,116.5,121.16,114.89,120.09,7826770
2024-02-14,118.87,125.18,117.85,124.46,4153611
2024-02-15,125.48,130.57,125.43,129.7,5277064
2024-02-16,130.77,130.86,127.13,128.29,3385817
2024-02-19,128.29,129.36,125.82,126.2,4692223
2024-02-20,126.2,128.15,125.43,126.69,2172350
2024-02-21,127.32,128.29,124.26,124.6,3402895
2024-02-22,125.23,128.05,122.51,126.35,10848629
2024-02-23,126.83,127.13,125.23,125.57,2044573
2024-02-26,125.48,126.45,123.1,125.38,3365663
2024-02-27,125.38,127.85,124.46,126.69,2976160
2024-02-28,127.17,128.24,120.43,125.43,4626074
2024-02-29,125.23,125.67,121.2,123.15,5122564
2024-03-01,123.15,125.52,122.17,123.0,4674159
2024-03-02,123.24,124.36,123.19,124.12,300030
2024-03-04,124.36,129.7,124.36,125.96,7530065
2024-03-05,126.2,126.59,123.29,124.55,3411156
2024-03-06,124.55,126.88,121.06,122.51,4803709
2024-03-07,122.51,124.8,121.16,121.69,3100807
2024-03-11,122.17,122.22,117.27,117.85,3766428
2024-03-12,117.85,117.85,112.9,116.45,5507624
2024-03-13,116.69,117.03,108.15,109.17,7472871
