date,open,high,low,close,volume
2023-12-26,361.0,372.3,359.15,371.15,4919984
2023-12-27,373.45,375.0,361.5,366.45,2908393
2023-12-28,367.0,384.25,366.85,381.45,5140721
2023-12-29,382.95,382.95,371.05,373.4,2677498
2024-01-01,374.9,385.0,373.9,380.15,3629242
2024-01-02,381.8,386.15,374.0,380.1,2746779
2024-01-03,380.1,388.0,378.05,386.7,3311978
2024-01-04,401.2,402.9,385.0,386.65,11227107
2024-01-05,388.0,388.05,368.0,372.8,5687508
2024-01-08,375.9,385.4,368.0,378.45,9722470
2024-01-09,384.0,384.0,378.05,379.35,3631169
2024-01-10,379.45,382.5,372.6,374.45,2781935
2024-01-11,376.5,381.9,375.0,380.2,2406688
2024-01-12,383.05,389.4,380.5,383.75,6797856
2024-01-15,383.8,386.2,380.05,385.65,2730485
2024-01-16,385.85,388.0,384.05,386.8,2969642
2024-01-17,384.3,387.0,382.65,384.95,3089785
2024-01-18,380.55,385.0,359.65,382.6,5071949
2024-01-19,384.0,387.0,369.0,373.3,3114640
2024-01-20,374.9,381.1,372.05,373.1,1363454
2024-01-23,375.5,375.7,349.0,352.0,2329005
2024-01-24,353.5,370.75,352.55,369.35,2288403
2024-01-25,369.35,372.6,364.9,368.6,1533902
2024-01-29,369.9,373.95,366.6,370.75,864466
2024-01-30,373.7,373.7,354.45,357.6,2503486
2024-01-31,357.0,367.8,353.1,366.85,1913486
2024-02-01,368.85,376.45,361.7,362.9,3318544
2024-02-02,364.8,367.8,358.0,359.5,1111636
2024-02-05,359.6,361.55,346.3,347.5,1150588
2024-02-06,348.0,359.8,339.65,358.15,5278699
2024-02-07,360.0,384.5,359.2,377.65,8656320
2024-02-08,374.0,375.0,360.9,362.55,5583317
2024-02-09,363.05,364.15,350.0,362.0,2188635
2024-02-12,362.0,364.15,354.0,354.95,1439280
2024-02-13,354.95,361.0,348.3,358.35,1714558
2024-02-14,351.6,357.65,348.5,355.6,859702
2024-02-15,357.95,366.75,357.0,363.1,1221038
2024-02-16,366.0,372.65,364.7,368.65,1772527
2024-02-19,369.0,370.95,364.5,365.65,826366
2024-02-20,366.8,372.5,365.95,368.9,952842
2024-02-21,370.7,373.6,363.95,366.0,1458692
2024-02-22,366.0,372.0,364.45,371.05,1278308
2024-02-23,372.45,373.3,366.35,367.6,934971
2024-02-26,367.55,367.55,356.25,357.15,1026569
2024-02-27,357.15,360.55,353.55,354.7,764114
2024-02-28,355.0,357.1,342.0,344.85,1010819
2024-02-29,345.0,366.55,341.3,351.05,1847192
2024-03-01,354.0,355.75,349.65,354.25,1411214
2024-03-02,355.2,355.85,351.0,353.55,63324
2024-03-04,353.0,356.9,352.5,354.6,827688
2024-03-05,354.0,361.5,353.0,357.4,1079793
2024-03-06,353.5,359.7,350.0,358.25,1180929
2024-03-07,359.25,378.4,359.25,372.75,6539905
2024-03-11,375.9,378.0,371.05,372.7,2275129
2024-03-12,374.45,374.5,357.65,358.85,1460140
2024-03-13,357.35,365.3,335.2,337.75,1946792
2024-03-14,335.1,349.95,332.05,347.0,1294690
2024-03-15,346.65,350.9,339.5,346.95,779617
2024-03-18,347.0,347.75,341.75,343.95,448220
2024-03-19,343.95,345.8,338.0,340.9,839367
2024-03-20,339.05,343.0,333.85,337.65,986823
2024-03-21,339.0,345.0,339.0,343.85,697485
2024-03-22,343.5,346.5,342.8,343.85,515830
2024-03-26,343.5,347.5,340.1,343.4,975189
2024-03-27,343.75,350.25,342.15,344.0,1202208
2024-03-28,346.3,347.9,340.95,342.0,1412096
2024-04-01,343.0,358.5,343.0,357.45,935237
2024-04-02,357.45,364.5,355.4,362.05,1076316
2024-04-03,358.0,376.0,358.0,374.1,2582068
2024-04-04,376.0,378.0,368.0,369.3,1196791
2024-04-05,369.9,381.95,369.3,380.75,4720050
2024-04-08,383.4,384.0,374.85,377.3,1243718
2024-04-09,377.3,382.0,372.0,374.3,1148808
2024-04-10,374.8,386.7,374.45,381.0,2705366
2024-04-12,379.0,380.85,371.5,373.35,1273107
2024-04-15,365.2,369.9,357.45,365.9,1100255
2024-04-16,365.65,376.15,363.6,373.5,1373840
2024-04-18,375.0,376.15,363.75,365.45,894766
2024-04-19,360.25,371.5,355.0,369.5,1238506
2024-04-22,372.0,374.35,367.25,372.35,633534
2024-04-23,374.3,382.0,369.75,380.4,1419210
2024-04-24,384.6,406.6,383.0,402.2,14988976
2024-04-25,404.0,412.8,402.2,408.85,5368467
2024-04-26,411.95,426.95,411.35,422.85,6127647
2024-04-29,426.2,439.0,424.0,426.7,4754833
2024-04-30,426.75,431.8,422.1,424.4,2119086
2024-05-02,424.4,428.6,415.0,415.4,1735535
2024-05-03,417.7,417.7,400.35,405.7,2809862
2024-05-06,405.7,414.8,399.45,401.15,2040903
2024-05-07,402.9,402.9,384.5,389.05,2062159
2024-05-08,389.0,406.55,384.5,404.7,3562398
2024-05-09,406.9,413.0,385.35,387.0,2636899
2024-05-10,389.1,395.0,382.6,393.35,1164524
2024-05-13,391.85,396.5,382.3,392.3,1392921
2024-05-14,391.8,399.85,388.65,398.75,913130
2024-05-15,401.95,408.0,398.55,400.2,1409942
2024-05-16,401.95,405.0,397.55,403.85,919576
2024-05-17,406.75,408.7,402.75,404.95,985894
2024-05-18,404.95,407.0,388.8,400.75,152086
2024-05-21,399.9,405.0,393.55,402.55,1244004
2024-05-22,402.5,404.25,396.15,397.55,939166
2024-05-23,398.2,401.55,391.5,395.15,905475
2024-05-24,392.25,412.5,392.25,405.95,3593176
2024-05-27,406.0,416.5,405.95,409.15,2515608
2024-05-28,411.5,415.5,401.35,405.65,1103735
2024-05-29,401.95,408.8,400.05,403.9,785073
2024-05-30,402.0,405.4,395.0,398.65,1942596
2024-05-31,400.3,402.6,387.2,389.15,2036222
2024-06-03,404.0,411.0,396.2,407.1,1587585
2024-06-04,407.0,407.1,333.4,351.95,3350553
2024-06-05,357.95,398.35,352.35,390.6,2892490
2024-06-06,391.5,406.45,390.3,402.35,1850692
2024-06-07,402.35,410.15,396.55,407.9,1377333
2024-06-10,410.0,428.0,406.0,425.55,6070009
2024-06-11,428.45,429.6,420.5,423.25,2840002
2024-06-12,426.2,432.5,424.35,427.5,2396298
2024-06-13,429.6,437.0,424.35,434.85,2529158
2024-06-14,436.9,436.9,426.0,426.7,1348065
2024-06-18,427.4,439.9,422.5,438.35,2698236
2024-06-19,451.9,475.85,448.0,467.65,22423725
2024-06-20,470.0,561.15,465.25,557.85,60764962
2024-06-21,559.65,574.35,515.1,517.1,27868970
2024-06-24,503.55,537.0,501.05,521.8,8967004
2024-06-25,515.5,530.0,504.1,506.7,5636480
2024-06-26,505.8,525.9,497.2,520.55,6825961
2024-06-27,515.0,519.0,494.35,498.75,4034057
2024-06-28,502.35,513.85,498.2,506.8,5361805
2024-07-01,507.85,526.3,502.0,523.15,5006457
2024-07-02,525.0,525.9,504.2,508.1,6158511
2024-07-03,510.8,519.7,508.25,515.35,3359771
2024-07-04,516.0,525.65,510.0,518.1,3308605
2024-07-05,519.0,523.85,514.95,517.65,2445253
2024-07-08,522.0,535.85,519.0,534.3,7868256
2024-07-09,542.0,542.7,507.15,512.7,9654876
2024-07-10,513.0,513.45,485.05,500.6,6395142
2024-07-11,503.0,507.4,493.1,496.4,2690880
2024-07-12,496.4,512.9,492.55,504.95,4314361
2024-07-15,506.0,509.6,494.25,507.7,2251829
2024-07-16,509.0,514.0,502.5,505.4,2616639
2024-07-18,505.0,514.9,491.1,511.65,4168152
2024-07-19,515.5,517.4,487.0,490.7,5173265
2024-07-22,485.15,519.3,478.85,509.8,7706321
2024-07-23,510.9,525.9,462.0,486.15,10103574
2024-07-24,490.0,499.25,486.35,494.05,3165242
2024-07-25,492.0,493.0,482.0,487.5,2047038
2024-07-26,489.4,500.5,488.2,495.45,2306721
2024-07-29,498.0,509.5,496.9,504.35,2588139
2024-07-30,504.8,521.35,501.8,516.7,4588136
2024-07-31,520.5,526.6,517.0,518.0,4519725
2024-08-01,520.45,530.0,515.2,521.8,4336360
2024-08-02,518.0,538.5,511.3,525.45,8034271
2024-08-05,515.0,519.85,493.6,497.9,3832213
2024-08-06,509.7,516.15,487.75,492.0,3946675
