date,open,high,low,close,volume
2023-12-26,693.0,695.95,676.25,681.85,603783
2023-12-27,681.0,690.5,674.1,682.55,547472
2023-12-28,686.0,714.4,681.1,711.35,1669429
2023-12-29,695.0,713.8,692.3,696.0,886503
2024-01-01,705.0,709.0,695.05,704.25,634118
2024-01-02,704.25,711.0,693.05,708.2,972406
2024-01-03,713.2,732.65,711.65,723.8,1186962
2024-01-04,724.0,727.25,710.05,713.5,692125
2024-01-05,717.8,736.0,712.65,720.8,965900
2024-01-08,724.0,730.9,713.6,715.6,556821
2024-01-09,723.0,730.9,715.0,717.8,479768
2024-01-10,723.95,745.0,720.0,738.6,1061735
2024-01-11,745.95,868.7,743.45,858.05,10303429
2024-01-12,847.9,849.0,823.55,833.65,2098692
2024-01-15,836.0,908.0,833.65,837.3,3315134
2024-01-16,842.65,859.05,822.2,840.85,1512950
2024-01-17,839.1,873.0,831.9,855.7,1933073
2024-01-18,858.0,878.0,834.45,872.75,1397344
2024-01-19,873.0,896.25,870.05,891.1,1149925
2024-01-20,886.0,891.0,832.55,848.7,630881
2024-01-23,820.0,820.0,761.0,767.9,2889060
2024-01-24,763.05,772.9,741.0,755.1,1023760
2024-01-25,762.0,805.5,761.95,799.95,1384509
2024-01-29,805.0,833.3,803.2,823.85,989577
2024-01-30,829.4,843.8,822.0,837.65,813577
2024-01-31,838.0,857.4,825.0,854.0,644354
2024-02-01,856.0,898.0,856.0,885.65,1224193
2024-02-02,889.0,912.7,874.15,892.85,1322752
2024-02-05,893.0,969.9,892.85,932.35,2074480
2024-02-06,938.0,938.95,891.6,916.65,902995
2024-02-07,925.0,964.95,924.95,943.75,949223
2024-02-08,948.4,979.9,940.05,946.4,950658
2024-02-09,949.0,949.0,875.25,893.15,891230
2024-02-12,890.0,898.65,816.2,824.4,1224878
2024-02-13,824.0,846.0,810.0,840.95,824638
2024-02-14,830.0,907.9,814.6,901.0,1636526
2024-02-15,907.3,999.9,895.85,976.45,5365046
2024-02-16,960.0,981.0,945.0,950.5,1607691
2024-02-19,955.6,1036.3,952.3,990.05,4296301
2024-02-20,990.5,995.35,964.1,969.2,996554
2024-02-21,973.0,986.0,928.05,935.95,897789
2024-02-22,940.95,949.4,915.0,920.7,1040570
2024-02-23,923.55,953.75,923.55,949.1,1053107
2024-02-26,945.1,957.8,937.0,942.5,739619
2024-02-27,944.0,946.9,902.1,914.65,738712
2024-02-28,916.0,966.65,908.2,915.05,1672210
2024-02-29,919.0,922.9,871.4,884.05,1391705
2024-03-01,895.0,923.4,891.3,894.7,668337
2024-03-02,895.5,916.7,895.45,908.7,53939
2024-03-04,910.0,913.9,890.65,893.9,468089
2024-03-05,893.5,932.95,879.55,921.85,1804827
2024-03-06,922.0,944.0,893.3,901.5,1051710
2024-03-07,905.0,922.0,892.6,903.95,763297
2024-03-11,896.0,905.5,882.9,887.9,524847
2024-03-12,887.45,891.45,853.2,860.7,835943
2024-03-13,860.0,860.0,743.05,777.35,1164141
2024-03-14,780.95,857.9,768.05,851.05,1007230
2024-03-15,840.0,885.9,812.85,877.3,1508523
2024-03-18,882.5,885.0,827.55,846.5,653632
2024-03-19,850.0,888.8,825.5,868.2,1697067
2024-03-20,868.2,871.15,842.0,847.7,669188
2024-03-21,857.7,884.7,857.7,865.4,697457
2024-03-22,856.5,889.45,856.5,877.7,756727
2024-03-26,877.7,894.8,860.0,878.1,880850
2024-03-27,885.0,929.7,884.5,913.8,1843186
2024-03-28,924.0,926.85,900.0,906.8,647649
2024-04-01,910.0,948.6,908.25,944.3,741482
2024-04-02,946.95,967.65,926.65,934.1,961384
2024-04-03,938.8,964.95,934.1,951.85,1349597
2024-04-04,956.65,959.2,933.6,940.1,635777
2024-04-05,946.25,955.75,921.3,941.4,722155
2024-04-08,942.1,953.6,923.0,925.85,487882
2024-04-09,929.8,933.85,900.0,903.15,532475
2024-04-10,903.2,920.8,900.55,905.05,382881
2024-04-12,905.1,929.3,885.3,895.8,997388
2024-04-15,899.0,941.0,862.2,926.35,1754812
2024-04-16,917.0,937.1,906.0,911.55,1109425
2024-04-18,922.0,965.0,920.0,930.55,1695301
2024-04-19,920.0,961.95,900.2,942.35,1347513
2024-04-22,950.85,964.85,936.1,941.25,649866
2024-04-23,946.8,950.7,925.0,928.2,524662
2024-04-24,931.1,1098.65,915.1,1075.0,16264605
2024-04-25,1080.0,1097.9,1056.0,1076.2,4112611
2024-04-26,1080.0,1122.5,1047.0,1051.65,4104745
2024-04-29,1065.85,1066.9,1032.05,1040.6,1117785
2024-04-30,1047.0,1055.75,1015.05,1022.85,935481
2024-05-02,1028.2,1035.7,1006.05,1014.5,1000790
2024-05-03,1020.05,1033.0,1012.5,1017.0,703294
2024-05-06,1025.0,1026.0,968.0,971.75,1118682
2024-05-07,980.0,989.0,905.9,913.15,1371550
2024-05-08,914.0,934.6,864.0,894.2,3996373
2024-05-09,895.8,904.5,840.1,848.95,1124133
2024-05-10,860.0,885.9,832.5,856.25,1933367
2024-05-13,856.3,875.0,828.5,866.45,1109398
2024-05-14,870.0,914.8,870.0,907.6,1447692
2024-05-15,912.4,919.7,903.05,905.8,532073
2024-05-16,914.0,924.4,888.6,897.75,909771
2024-05-17,899.9,905.85,875.0,876.35,947484
2024-05-18,884.0,900.0,879.65,897.95,134888
2024-05-21,895.0,908.75,879.5,890.55,670407
2024-05-22,896.35,903.0,882.2,892.45,562493
2024-05-23,898.0,945.5,898.0,939.15,1747906
2024-05-24,941.75,998.0,932.0,974.2,2580965
2024-05-27,979.0,984.0,953.0,972.45,939542
2024-05-28,972.45,976.0,954.05,959.65,560188
2024-05-29,960.0,968.0,945.25,949.1,623389
2024-05-30,949.0,952.0,910.05,918.95,674005
2024-05-31,924.0,926.2,902.0,917.65,744342
2024-06-03,948.0,979.95,932.5,973.25,1156332
2024-06-04,970.0,970.0,794.3,872.3,1563522
2024-06-05,880.0,904.8,858.0,891.9,717652
2024-06-06,903.0,951.75,900.25,939.3,680471
2024-06-07,940.0,957.8,933.5,953.7,436147
2024-06-10,958.5,980.0,952.0,955.4,375594
2024-06-11,960.0,990.95,948.65,969.05,864171
2024-06-12,970.2,998.0,968.6,978.2,633685
2024-06-13,984.15,994.9,975.0,979.85,604920
2024-06-14,985.0,1009.0,981.35,986.95,1186448
