date,open,high,low,close,volume
2023-12-26,348.05,356.05,346.75,350.3,11910267
2023-12-27,351.25,353.45,346.65,349.85,7890042
2023-12-28,351.05,366.75,350.05,365.2,28310022
2023-12-29,365.75,365.95,358.5,360.25,8859317
2024-01-01,362.05,371.05,361.7,366.05,11124690
2024-01-02,371.65,380.1,368.5,376.9,28363847
2024-01-03,379.05,379.05,368.1,368.8,12903439
2024-01-04,372.05,374.05,368.15,369.0,11039940
2024-01-05,371.05,372.75,366.75,368.5,8369460
2024-01-08,370.7,372.9,363.5,364.65,9424716
2024-01-09,367.9,372.2,366.35,369.6,9473743
2024-01-10,370.1,370.1,360.1,366.3,9670366
2024-01-11,369.75,373.15,367.55,368.6,9163771
2024-01-12,370.05,370.05,363.8,365.35,7471050
2024-01-15,366.75,372.15,365.65,368.9,7490747
2024-01-16,369.65,371.2,361.3,366.15,10165133
2024-01-17,366.05,369.6,361.45,363.9,10996538
2024-01-18,365.05,366.8,352.25,359.9,12493835
2024-01-19,364.9,369.15,363.35,367.5,15893456
2024-01-20,370.75,385.75,368.7,383.05,26121433
2024-01-23,387.75,389.05,357.9,359.55,16406737
2024-01-24,364.05,372.05,358.5,366.85,22938994
2024-01-25,371.05,375.95,369.6,373.65,13440949
2024-01-29,377.15,398.95,375.75,397.05,27149058
2024-01-30,400.0,400.05,385.85,386.8,14159072
2024-01-31,389.3,393.4,384.65,390.4,23750822
2024-02-01,393.05,396.15,386.75,390.95,8862155
2024-02-02,395.05,407.15,393.9,404.05,25177075
2024-02-05,407.5,434.25,401.35,424.5,31418925
2024-02-06,429.05,435.25,421.5,432.9,13386526
2024-02-07,438.25,444.8,432.05,436.9,14430152
2024-02-08,439.05,452.85,434.25,443.45,18790158
2024-02-09,446.45,448.05,419.9,440.45,17472069
2024-02-12,441.25,441.7,414.3,417.05,19472346
2024-02-13,428.05,442.1,418.25,436.6,35665854
2024-02-14,435.9,452.25,427.25,450.6,18592696
2024-02-15,453.25,465.5,451.8,461.1,18501875
2024-02-16,466.65,471.85,461.75,464.25,14513583
2024-02-19,467.05,471.7,439.7,445.25,19798448
2024-02-20,442.2,442.2,425.25,430.75,27899165
2024-02-21,435.2,435.2,415.25,417.2,19032050
2024-02-22,422.25,432.25,412.2,429.4,22083710
2024-02-23,432.25,433.85,425.9,428.15,9625544
2024-02-26,428.15,431.5,424.8,426.55,7570244
2024-02-27,426.55,429.55,419.3,425.65,8343526
2024-02-28,424.55,427.1,414.6,418.45,8893614
2024-02-29,428.25,428.25,413.9,420.95,11711699
2024-03-01,422.25,433.05,422.25,430.6,8411615
2024-03-02,431.45,434.25,430.7,432.75,1085461
2024-03-04,436.1,442.25,432.3,439.65,11977226
2024-03-05,440.25,446.0,437.8,444.9,9605493
2024-03-06,446.7,449.2,428.8,445.85,14061966
2024-03-07,445.85,449.65,440.3,442.85,9680802
2024-03-11,445.25,447.1,436.65,438.15,7824738
2024-03-12,438.15,440.05,430.95,433.55,8409613
2024-03-13,433.55,434.15,394.25,401.3,17803423
2024-03-14,403.25,413.1,396.45,411.95,20478918
2024-03-15,411.95,412.3,385.45,399.5,25435001
2024-03-18,400.25,407.75,397.8,406.1,9803914
2024-03-19,401.25,408.85,398.25,403.3,8373676
2024-03-20,404.05,407.05,396.95,403.75,6950340
2024-03-21,408.25,417.8,407.4,416.3,9911230
2024-03-22,415.15,420.45,412.55,416.2,9172888
2024-03-26,418.05,425.2,415.15,420.2,9389403
2024-03-27,424.05,424.05,410.3,413.7,17985246
2024-03-28,414.25,422.7,414.25,418.35,10332853
2024-04-01,420.95,428.05,419.05,426.3,7256592
2024-04-02,426.3,432.55,420.3,427.45,11530800
2024-04-03,427.45,431.25,425.15,429.75,6972648
2024-04-04,434.25,437.75,426.8,433.1,14743020
2024-04-05,433.0,433.1,428.25,431.2,4820138
2024-04-08,433.25,434.7,428.8,431.65,3980972
2024-04-09,432.95,434.55,421.5,424.1,8005012
2024-04-10,426.8,442.85,426.35,440.6,15825331
2024-04-12,439.25,447.7,436.8,439.85,11259294
2024-04-15,433.2,440.05,425.35,435.25,7680715
2024-04-16,433.25,440.65,430.6,437.45,4996845
2024-04-18,439.2,441.05,419.4,422.85,10945138
2024-04-19,420.25,422.85,412.3,419.55,7628287
2024-04-22,425.15,428.75,422.25,427.2,6396926
2024-04-23,430.0,430.0,423.5,425.2,5390120
2024-04-24,425.8,432.95,425.4,428.1,6538090
2024-04-25,427.25,438.25,426.0,436.7,10858594
2024-04-26,438.25,444.7,436.45,440.05,7209435
2024-04-29,442.95,442.95,434.8,437.5,5305655
2024-04-30,440.65,442.65,436.3,438.55,6021793
2024-05-02,441.8,443.8,433.65,438.15,14980896
2024-05-03,442.15,460.05,433.65,458.85,51071947
2024-05-06,463.25,465.7,428.3,444.85,36408390
2024-05-07,447.25,453.75,437.1,440.25,13728379
2024-05-08,440.95,455.65,439.35,448.7,16978094
2024-05-09,449.6,451.95,425.6,427.75,15601338
