date,open,high,low,close,volume
2023-12-26,303.0,304.6,299.2,300.0,1367276
2023-12-27,302.8,303.0,297.6,299.95,3526373
2023-12-28,301.5,301.85,297.0,297.5,1340641
2023-12-29,298.95,314.5,296.1,310.9,6543873
2024-01-01,313.5,317.35,309.6,313.85,2198792
2024-01-02,315.8,316.0,306.35,311.4,2295282
2024-01-03,312.9,320.75,308.8,318.75,3789724
2024-01-04,320.85,323.0,316.35,317.6,2367626
2024-01-05,318.9,321.0,314.7,316.45,1649336
2024-01-08,318.65,319.0,311.1,313.35,1790898
2024-01-09,314.75,317.35,311.15,314.4,2429821
2024-01-10,313.95,324.5,313.1,322.55,4901049
2024-01-11,325.0,326.9,321.4,324.65,5371382
2024-01-12,326.0,326.4,322.4,325.0,1288468
2024-01-15,325.5,327.95,322.2,324.1,1572912
2024-01-16,325.1,325.1,316.4,320.45,1478380
2024-01-17,317.0,321.45,313.35,316.85,1518201
2024-01-18,315.65,316.15,306.6,309.4,2307806
2024-01-19,311.2,315.7,308.65,311.35,1518396
2024-01-20,312.3,314.35,310.0,310.25,527772
2024-01-23,311.45,315.7,299.15,300.25,3535641
2024-01-24,300.9,308.9,299.55,307.7,2253437
2024-01-25,306.55,308.6,301.85,305.1,2052008
2024-01-29,305.3,306.7,299.5,300.9,2067278
2024-01-30,301.65,302.7,293.6,294.65,2948702
2024-01-31,295.1,303.5,294.25,302.95,2914073
2024-02-01,304.25,305.25,300.95,302.25,998750
2024-02-02,303.4,307.45,302.3,304.5,3359976
2024-02-05,304.5,309.9,301.3,302.1,2335471
2024-02-06,300.0,300.0,286.0,288.45,5185768
2024-02-07,292.45,292.45,287.0,288.15,1130014
2024-02-08,289.95,291.9,286.1,287.2,1070373
2024-02-09,288.3,289.15,284.6,286.95,2641404
2024-02-12,288.6,288.6,282.4,283.7,2830640
2024-02-13,285.1,286.0,281.95,285.3,1098969
2024-02-14,282.15,286.6,281.3,285.45,1144133
2024-02-15,285.0,291.55,277.1,283.2,2787589
2024-02-16,283.7,286.25,282.7,284.8,2891658
2024-02-19,286.65,291.75,285.45,290.1,1199875
2024-02-20,288.9,292.0,288.45,290.0,851062
2024-02-21,291.5,291.6,288.25,290.3,3319385
2024-02-22,293.0,294.0,288.6,292.2,4167615
2024-02-23,294.0,297.0,291.65,293.3,6602408
2024-02-26,292.95,293.0,286.3,288.05,1676422
2024-02-27,292.75,296.95,289.75,290.8,2971531
2024-02-28,291.8,295.6,289.65,291.75,5812712
2024-02-29,293.0,293.0,286.5,291.0,4760712
2024-03-01,292.35,297.0,291.25,295.75,2603483
2024-03-02,297.0,302.75,296.0,301.1,587360
2024-03-04,301.75,302.85,297.4,299.4,2551273
2024-03-05,300.95,300.95,293.6,294.65,1150650
2024-03-06,295.2,295.7,288.35,291.3,2981128
2024-03-07,291.5,296.7,289.95,290.65,1938855
2024-03-11,291.9,293.15,288.0,288.8,593630
2024-03-12,289.0,290.8,285.25,286.0,1936402
2024-03-13,287.25,289.4,274.55,277.15,4668709
2024-03-14,277.15,284.3,275.85,279.2,2216147
