date,open,high,low,close,volume
2023-12-26,146.0,150.1,145.8,148.95,3844505
2023-12-27,149.7,149.75,147.05,147.95,3235634
2023-12-28,148.5,150.65,147.7,148.9,4072000
2023-12-29,149.2,150.6,148.05,149.0,3360996
2024-01-01,149.9,152.9,149.25,152.25,4698244
2024-01-02,152.95,153.65,149.3,151.2,3160012
2024-01-03,150.95,154.2,150.7,152.95,3998380
2024-01-04,153.9,154.8,152.5,153.85,2842465
2024-01-05,154.0,154.9,152.25,153.15,3280827
2024-01-08,153.8,153.8,148.75,149.25,3173310
2024-01-09,149.55,151.2,148.0,148.7,3218200
2024-01-10,148.95,148.95,144.2,145.7,4463464
2024-01-11,146.15,148.95,146.15,147.9,1488878
2024-01-12,148.95,150.6,147.8,148.6,2421654
2024-01-15,149.85,153.45,148.35,151.9,3989166
2024-01-16,152.55,153.45,148.5,150.25,3188888
2024-01-17,148.0,149.05,143.4,144.25,4506573
2024-01-18,144.15,145.2,140.45,143.45,3612774
2024-01-19,145.15,145.9,142.9,143.65,2322753
2024-01-20,144.7,144.95,143.6,144.15,1039682
2024-01-23,145.15,145.55,138.7,139.25,2938201
2024-01-24,139.0,140.75,136.75,139.6,3961629
2024-01-25,140.0,142.0,139.35,141.2,1684131
2024-01-29,141.4,144.0,141.4,143.4,2219843
2024-01-30,143.7,145.0,142.5,143.05,1508116
2024-01-31,143.0,145.6,142.75,144.9,2300996
2024-02-01,145.65,145.65,141.6,143.85,2821484
2024-02-02,142.1,145.85,136.85,137.25,14617493
2024-02-05,138.0,139.85,135.2,135.9,8703760
2024-02-06,136.85,136.85,131.85,132.85,13337011
2024-02-07,134.0,134.75,130.85,131.15,11314084
2024-02-08,132.0,135.25,131.65,132.45,7759447
2024-02-09,134.0,134.0,130.55,132.85,5669684
2024-02-12,134.5,134.6,130.4,130.8,4900768
2024-02-13,132.55,135.0,130.1,134.2,6051653
2024-02-14,133.4,136.75,132.35,136.3,3993053
2024-02-15,137.25,137.75,136.3,137.45,2880567
2024-02-16,138.45,141.2,137.8,139.85,6445331
2024-02-19,140.15,140.75,137.35,137.85,3548597
2024-02-20,138.1,138.1,135.5,136.25,4489873
2024-02-21,137.0,137.25,133.3,133.75,5292956
2024-02-22,134.0,135.5,132.95,135.15,2242286
2024-02-23,136.05,136.5,134.5,135.2,1269752
2024-02-26,135.75,136.45,134.4,134.8,2405119
2024-02-27,135.5,136.45,134.5,136.0,4644216
2024-02-28,136.1,138.5,132.95,133.7,4464297
2024-02-29,133.5,136.25,131.45,135.15,4209839
2024-03-01,135.7,137.85,135.6,137.55,2735779
