date,open,high,low,close,volume
2023-12-26,193.8,195.9,185.5,187.55,998657
2023-12-27,189.05,191.3,182.25,183.3,1165700
2023-12-28,184.25,185.95,177.1,179.65,3370192
2023-12-29,179.0,188.5,177.55,185.6,2171178
2024-01-01,185.9,189.6,182.65,186.1,1092731
2024-01-02,187.15,189.7,181.95,185.7,1245544
2024-01-03,185.1,187.4,178.05,179.0,1363761
2024-01-04,180.55,188.85,179.35,185.95,2309107
2024-01-05,187.0,198.3,186.95,196.55,4831277
2024-01-08,198.45,204.9,194.55,196.45,3618911
2024-01-09,199.5,205.35,197.2,200.25,4128111
2024-01-10,201.1,204.0,195.25,200.2,2432407
2024-01-11,201.05,204.5,198.1,202.45,2174477
2024-01-12,204.5,222.65,202.0,222.65,10368431
2024-01-15,242.0,244.9,231.0,244.9,13408941
2024-01-16,245.0,250.4,226.45,233.45,9279031
2024-01-17,233.0,240.75,221.15,226.8,6217153
2024-01-18,228.0,240.95,223.6,237.95,5449687
2024-01-19,242.0,251.55,237.0,247.6,5505748
2024-01-20,249.0,258.5,247.0,251.4,3186654
2024-01-23,254.0,258.0,231.7,239.1,3879850
2024-01-24,235.0,251.7,229.2,248.9,2855421
2024-01-25,249.0,256.8,246.25,249.4,2476777
2024-01-29,251.1,255.2,241.1,244.3,1732715
2024-01-30,246.7,252.8,240.55,242.7,1983205
2024-01-31,243.05,254.0,243.05,252.55,2275360
2024-02-01,260.0,260.0,245.0,251.35,2698082
2024-02-02,254.0,270.0,251.25,264.15,5130772
2024-02-05,271.5,284.4,267.55,273.05,7276649
2024-02-06,281.5,282.0,270.65,273.8,1544629
2024-02-07,276.7,279.15,268.35,271.45,1516835
2024-02-08,272.0,277.4,264.0,267.15,1995412
2024-02-09,267.95,284.8,257.65,275.4,4216850
2024-02-12,275.4,277.9,253.3,256.8,2372766
2024-02-13,259.25,263.7,244.3,262.2,2441100
2024-02-14,253.0,269.7,253.0,267.6,1727068
2024-02-15,270.0,272.8,266.95,268.6,956387
2024-02-16,270.25,273.7,264.0,266.8,954436
2024-02-19,269.4,272.0,262.0,270.55,1489203
2024-02-20,272.0,274.8,266.7,270.4,1211003
2024-02-21,272.05,274.0,260.0,263.85,1947940
2024-02-22,264.85,274.2,262.85,270.55,1471532
2024-02-23,272.5,279.8,270.35,275.85,2182305
2024-02-26,278.5,281.0,271.55,274.0,1725493
2024-02-27,276.5,276.8,266.1,275.0,1758246
2024-02-28,275.2,277.0,261.3,265.95,2240315
2024-02-29,262.0,273.25,256.1,268.15,4779896
2024-03-01,269.75,271.0,262.05,268.25,1586022
2024-03-02,267.5,270.7,265.5,269.25,283155
2024-03-04,271.3,273.4,264.0,268.1,1799897
2024-03-05,266.95,273.1,261.1,272.0,4281091
2024-03-06,272.05,276.3,260.0,273.55,5578225
2024-03-07,269.85,284.9,268.15,282.7,10592115
2024-03-11,282.5,282.5,264.0,267.35,7330437
2024-03-12,266.9,268.65,242.15,250.5,6083336
2024-03-13,250.5,250.5,225.45,225.45,5321211
2024-03-14,215.6,236.9,214.0,232.8,6925680
2024-03-15,230.95,232.7,213.55,219.55,4576817
2024-03-18,220.15,226.0,212.1,215.1,2946066
2024-03-19,214.9,214.9,204.35,204.35,1952771
2024-03-20,195.05,213.9,195.05,205.9,18246771
2024-03-21,210.0,211.5,201.7,204.25,12453638
2024-03-22,205.15,210.5,196.7,198.7,13487517
2024-03-26,200.4,208.6,190.6,199.05,11174446
2024-03-27,201.15,207.0,195.75,198.5,8528692
2024-03-28,202.2,203.35,194.0,196.35,5199068
2024-04-01,200.45,206.15,199.5,206.15,4973620
2024-04-02,208.9,212.0,204.1,205.7,8240835
2024-04-03,204.75,215.5,204.1,209.1,7148002
2024-04-04,211.0,217.4,203.65,213.2,11117076
2024-04-05,215.0,231.95,211.4,229.6,18393243
2024-04-08,231.0,232.5,220.1,221.55,6764789
2024-04-09,223.35,226.6,213.2,214.8,7509126
2024-04-10,215.9,228.0,213.2,225.35,6751509
2024-04-12,223.9,228.7,219.4,220.95,4258375
2024-04-15,216.5,218.1,208.5,210.75,3711831
2024-04-16,208.95,212.35,207.5,209.25,2404649
2024-04-18,211.4,218.0,208.55,209.9,3482240
2024-04-19,206.2,208.0,202.65,206.15,3426367
2024-04-22,210.0,216.8,207.05,215.15,4303969
2024-04-23,217.65,223.8,216.2,221.5,5790073
2024-04-24,223.4,223.5,216.9,217.85,4220716
2024-04-25,218.0,226.3,217.0,221.35,6755522
2024-04-26,222.6,235.65,220.9,231.8,10799203
2024-04-29,235.0,235.95,225.15,234.5,8951152
2024-04-30,234.9,242.45,230.2,235.9,8510700
2024-05-02,237.5,239.0,233.0,234.4,3540774
2024-05-03,235.85,238.7,223.95,228.65,4295325
2024-05-06,229.4,230.2,213.65,214.25,4522382
2024-05-07,214.25,218.75,204.1,204.8,5236458
2024-05-08,204.75,209.3,200.9,204.35,3568068
2024-05-09,205.4,206.85,191.0,193.0,3849678
2024-05-10,195.0,209.3,193.3,207.5,5592136
2024-05-13,205.9,205.9,198.0,199.95,2803892
2024-05-14,201.2,211.15,201.2,209.15,3161431
2024-05-15,210.0,215.0,208.45,210.3,3121796
2024-05-16,212.0,213.9,207.5,210.35,1574962
2024-05-17,211.4,214.7,209.1,210.3,1610495
2024-05-18,210.0,212.2,207.7,209.2,626966
2024-05-21,208.95,220.75,206.55,215.2,5925006
2024-05-22,216.4,216.5,210.0,213.1,2797359
2024-05-23,214.3,216.55,209.4,210.75,2433914
2024-05-24,210.0,212.7,204.4,205.65,2534933
2024-05-27,206.15,209.15,199.55,203.25,2269187
2024-05-28,203.25,205.0,197.0,198.05,1702598
2024-05-29,196.95,201.4,196.0,199.65,1740106
2024-05-30,197.0,197.9,186.45,188.1,3156920
2024-05-31,190.7,205.0,181.5,203.45,6338421
2024-06-03,213.9,214.0,199.25,203.95,4856635
2024-06-04,200.0,200.0,163.2,164.3,9475030
2024-06-05,164.0,180.0,156.8,177.35,5347017
2024-06-06,179.1,198.95,179.1,191.25,4579093
2024-06-07,198.95,201.0,195.45,197.55,3962058
2024-06-10,198.05,199.09,191.85,192.99,2769747
2024-06-11,195.0,200.75,190.36,198.83,3071637
2024-06-12,199.05,206.55,197.43,205.29,4342092
2024-06-13,207.0,207.29,200.6,201.69,1701350
2024-06-14,202.25,206.9,201.7,202.3,2506782
2024-06-18,203.2,204.87,197.14,198.28,2591213
2024-06-19,199.85,199.85,191.65,192.55,2591869
2024-06-20,193.9,205.8,192.5,198.16,5129345
2024-06-21,200.2,204.1,196.6,200.81,2367961
2024-06-24,200.0,200.04,195.0,196.04,2163110
2024-06-25,196.5,198.7,193.0,193.19,1746309
2024-06-26,193.8,197.68,191.3,192.4,3521326
2024-06-27,193.01,193.9,184.99,187.91,2478349
2024-06-28,188.5,194.0,185.15,186.05,2614719
2024-07-01,187.45,206.47,185.4,203.13,8334947
2024-07-02,203.0,207.45,198.75,200.47,4476212
2024-07-03,201.54,209.7,200.6,204.02,4785330
2024-07-04,205.5,207.43,200.01,200.98,2215688
2024-07-05,200.79,225.0,199.88,219.19,17008906
2024-07-08,222.0,228.95,215.41,225.83,9394752
2024-07-09,224.41,225.28,217.05,218.29,4005188
2024-07-10,218.9,220.5,202.6,205.54,6776868
2024-07-11,206.95,213.9,205.3,212.41,3793967
2024-07-12,213.9,218.5,205.81,207.78,3764777
2024-07-15,209.8,212.77,206.1,207.14,2426428
2024-07-16,207.49,210.4,201.98,202.76,2438759
2024-07-18,203.0,211.7,201.95,207.07,3915439
2024-07-19,207.0,207.75,195.0,195.66,3608330
2024-07-22,194.7,198.87,191.25,192.19,2925020
2024-07-23,193.69,195.4,181.0,190.75,3353286
2024-07-24,189.99,204.9,189.05,201.85,4626831
2024-07-25,198.1,209.39,196.55,205.77,4489672
2024-07-26,206.5,209.5,203.15,204.41,3487138
2024-07-29,213.0,217.8,208.35,211.98,8742286
2024-07-30,213.87,223.8,211.06,214.85,8936147
2024-07-31,216.49,217.79,209.98,210.79,2601097
2024-08-01,211.19,212.3,205.0,207.39,3335276
2024-08-02,202.5,218.5,200.26,213.69,6808804
2024-08-05,204.6,208.32,196.82,199.4,5675791
2024-08-06,202.99,208.3,196.0,197.03,3495224
2024-08-07,205.5,208.0,198.74,206.9,3621823
2024-08-08,208.0,209.9,200.5,201.26,2540668
2024-08-09,205.0,206.33,201.8,203.17,1793656
2024-08-12,200.15,203.79,198.29,202.35,1989923
2024-08-13,204.25,208.0,200.15,201.9,3889863
2024-08-14,203.5,203.94,190.91,192.55,2643106
2024-08-16,198.0,200.0,194.5,198.6,1922059
2024-08-19,199.8,202.99,197.5,200.0,2055080
2024-08-20,199.97,205.3,198.45,200.4,2176485
2024-08-21,200.8,212.0,200.2,206.23,4741267
2024-08-22,205.89,210.7,204.4,207.21,2779768
2024-08-23,209.25,209.3,202.9,207.39,2991154
2024-08-26,207.05,208.83,203.01,203.84,1523155
2024-08-27,204.15,205.0,200.51,201.16,1960857
2024-08-28,201.16,203.7,197.12,198.84,1901103
2024-08-29,200.01,200.27,192.55,193.69,1879127
2024-08-30,195.45,199.85,194.82,196.72,1807343
2024-09-02,196.72,197.33,192.71,193.16,1187645
2024-09-03,193.89,195.99,192.25,193.06,1058319
2024-09-04,191.1,194.84,190.92,191.75,1197242
2024-09-05,192.5,195.0,192.0,192.34,1396170
2024-09-06,192.4,193.49,186.26,187.37,1607255
2024-09-09,187.85,193.01,183.62,190.44,1449466
2024-09-10,192.0,199.84,191.5,199.12,3195346
2024-09-11,199.5,199.5,191.9,192.77,1417649
2024-09-12,193.0,194.42,188.95,192.51,1096893
2024-09-13,193.5,194.15,190.45,192.34,1239858
2024-09-16,193.5,195.0,188.0,188.65,1127795
2024-09-17,189.03,191.31,186.0,189.71,1980558
2024-09-18,190.0,191.0,185.0,186.23,1967365
2024-09-19,188.2,189.49,178.6,185.68,2767369
2024-09-20,185.68,197.0,183.2,195.42,4832514
2024-09-23,196.75,201.9,194.55,197.81,2654998
2024-09-24,198.43,199.9,193.95,195.05,1304463
2024-09-25,194.04,194.4,188.6,189.72,1527746
2024-09-26,190.0,194.9,187.8,188.7,1704959
2024-09-27,190.5,195.0,188.7,193.96,2626998
2024-09-30,187.0,192.5,187.0,190.12,1262164
2024-10-01,191.05,194.0,187.5,188.17,1671986
2024-10-03,187.1,187.5,182.01,182.51,1453928
2024-10-04,182.25,187.25,180.2,183.25,1241278
2024-10-07,183.45,184.78,166.0,170.49,3319597
2024-10-08,171.7,173.5,168.95,170.82,2637208
2024-10-09,173.25,176.99,173.25,174.78,1886936
2024-10-10,175.75,196.8,175.45,192.09,9640096
2024-10-11,192.5,205.9,190.1,202.23,11988022
2024-10-14,202.23,204.1,192.4,194.06,4259885
2024-10-15,193.99,196.0,190.1,190.87,1694734
2024-10-16,190.11,191.74,185.41,186.55,2083708
2024-10-17,187.3,187.8,178.0,178.42,2461552
2024-10-18,178.01,179.17,172.92,177.71,2059053
2024-10-21,179.26,180.65,172.0,172.52,1458320
2024-10-22,171.1,172.5,162.95,164.08,1838188
2024-10-23,163.0,174.0,161.01,170.4,2350815
2024-10-24,170.89,171.79,165.35,167.29,1452284
2024-10-25,167.29,168.0,156.8,158.38,2086871
2024-10-28,161.35,161.54,156.12,158.46,2400449
2024-10-29,159.0,163.39,157.25,160.52,1221466
2024-10-30,159.3,170.9,159.3,163.11,2394410
2024-10-31,162.91,165.7,162.31,164.01,1036793
2024-11-01,164.9,166.53,164.89,165.9,441416
2024-11-04,165.9,166.05,160.0,161.47,1169027
2024-11-05,161.15,164.5,160.25,163.74,1168281
2024-11-06,162.6,179.4,162.6,176.3,4621556
2024-11-07,176.21,176.77,172.0,172.58,1646585
2024-11-08,171.24,172.18,165.1,165.83,999273
2024-11-11,164.52,168.64,162.0,164.2,1528530
2024-11-12,164.16,166.8,160.5,161.83,773430
2024-11-13,161.4,161.4,150.91,152.41,1711553
2024-11-14,152.7,164.0,152.7,160.31,2568668
2024-11-18,158.0,160.82,152.11,154.9,1598283
2024-11-19,153.99,162.7,153.81,154.92,1903289
2024-11-21,154.92,160.75,154.25,157.36,2262209
2024-11-22,157.1,161.57,155.86,160.13,1568311
2024-11-25,168.59,168.6,159.5,164.0,2829892
2024-11-26,163.0,165.7,161.8,162.38,825332
2024-11-27,161.16,172.4,161.0,170.32,2997289
2024-11-28,169.91,174.2,168.25,173.49,2275833
2024-11-29,174.0,174.05,171.64,172.96,1140690
2024-12-02,172.0,173.85,170.31,172.46,788131
2024-12-03,172.0,179.8,172.0,178.41,2794338
2024-12-04,179.1,184.5,177.9,183.6,3092760
2024-12-05,183.64,187.2,178.6,181.36,2990353
2024-12-06,182.2,183.0,177.1,177.86,2516406
2024-12-09,177.0,182.1,176.55,179.16,1750045
2024-12-10,177.5,180.35,174.66,178.64,1720478
2024-12-11,178.2,179.59,174.02,174.8,1380621
2024-12-12,173.76,179.8,173.45,174.92,2664342
2024-12-13,174.92,174.99,169.12,171.61,1221002
2024-12-16,170.5,182.5,170.5,178.83,3442235
2024-12-17,178.5,187.2,178.5,181.49,6452438
2024-12-18,182.0,189.0,180.1,183.36,5522717
2024-12-19,180.9,191.8,178.06,190.25,6318336
2024-12-20,192.18,193.32,180.3,181.09,5062841
2024-12-23,183.0,183.79,175.75,176.76,2443787
2024-12-24,178.05,182.0,176.6,178.51,1498552
2024-12-26,178.6,179.3,175.25,176.03,1295782
2024-12-27,176.41,178.25,173.4,174.54,1332300
2024-12-30,175.0,175.7,171.0,171.61,1482162
2024-12-31,171.25,173.95,168.09,173.02,1406056
2025-01-01,173.0,184.5,172.26,181.8,2151144
2025-01-02,181.9,185.49,180.43,181.08,1807770
2025-01-03,180.71,184.15,176.99,177.6,1375724
2025-01-06,178.0,178.15,165.0,166.16,2341849
2025-01-07,167.9,171.5,166.11,169.39,2744121
2025-01-08,170.0,172.32,165.65,167.83,1681214
2025-01-09,169.0,170.5,159.89,162.19,1479859
2025-01-10,163.5,164.65,156.21,158.33,1892224
2025-01-13,156.0,157.24,149.25,150.75,2367890
2025-01-14,151.0,157.55,150.01,156.5,1314714
2025-01-15,156.38,162.69,155.1,157.74,1417885
2025-01-16,160.25,167.05,160.18,164.63,1837965
2025-01-17,164.15,169.3,163.42,167.6,1232179
2025-01-20,166.5,183.0,166.25,177.76,4956380
2025-01-21,177.9,179.15,170.47,171.13,1979437
2025-01-22,171.6,172.1,164.5,167.58,1355621
2025-01-23,166.8,174.53,165.67,168.63,1132004
2025-01-24,168.35,170.17,163.1,164.56,786199
2025-01-27,164.0,164.44,153.3,154.62,2174400
2025-01-28,154.99,162.4,150.11,156.56,2618083
2025-01-29,157.55,161.92,156.9,158.6,1184776
2025-01-30,159.85,162.0,156.1,157.29,1092760
2025-01-31,157.45,159.18,155.11,156.44,1205778
2025-02-01,157.4,159.9,154.79,156.08,1358223
2025-02-03,154.1,156.24,151.57,152.3,1226822
2025-02-04,153.52,162.66,153.52,157.75,1769413
2025-02-05,158.55,161.84,158.14,159.23,1009650
2025-02-06,160.3,163.31,155.65,156.45,1702028
2025-02-07,156.8,157.39,151.69,152.67,1283440
2025-02-10,152.98,153.78,150.05,150.24,883297
2025-02-11,151.06,151.33,142.0,143.02,2877323
2025-02-12,143.4,143.75,131.5,137.84,2305941
2025-02-13,137.84,146.0,137.84,139.24,2076392
2025-02-14,140.5,141.0,127.6,132.22,5185434
2025-02-17,131.9,132.8,126.53,130.19,3314939
2025-02-18,131.0,131.46,121.47,125.55,2542725
2025-02-19,124.3,136.4,124.0,134.0,2931703
2025-02-20,134.0,137.1,132.0,134.38,2323966
2025-02-21,133.99,138.08,129.23,130.15,2016375
2025-02-24,130.1,130.46,126.18,128.13,2219886
2025-02-25,128.48,131.65,124.0,125.17,2752910
2025-02-27,125.35,126.74,117.59,118.65,3070429
2025-02-28,116.98,125.39,115.2,123.45,6831427
2025-03-03,123.0,126.25,115.11,119.58,3253845
2025-03-04,117.05,123.57,117.05,121.24,2957147
2025-03-05,121.99,129.0,121.98,125.78,3415820
2025-03-06,127.04,130.79,126.05,128.26,3187554
2025-03-07,128.45,135.5,128.26,133.82,4043529
2025-03-10,134.0,135.75,125.04,126.17,5528380
2025-03-11,125.61,125.9,120.4,123.15,3787815
2025-03-12,123.5,126.87,119.54,121.88,5186531
2025-03-13,122.95,123.25,117.1,117.79,3022958
2025-03-17,121.25,123.34,116.15,117.44,4272134
2025-03-18,118.21,123.3,118.03,122.43,3518598
2025-03-19,122.75,128.53,122.75,127.24,2877291
2025-03-20,128.24,131.36,126.5,127.0,3970973
2025-03-21,127.7,152.4,127.25,151.61,24093400
2025-03-24,153.6,157.08,149.0,151.72,7935850
2025-03-25,151.05,153.42,145.61,147.58,3591969
2025-03-26,147.06,150.68,143.02,143.71,3705822
2025-03-27,143.7,156.8,143.7,154.44,5791423
2025-03-28,155.0,157.26,150.0,150.63,3317904
2025-04-01,151.0,154.44,150.0,153.12,1154804
2025-04-02,154.78,174.8,149.69,171.16,31521094
2025-04-03,170.0,177.99,169.2,174.96,8030115
2025-04-04,173.7,174.92,166.61,169.81,3993341
2025-04-07,157.1,165.51,151.81,163.44,5495112
2025-04-08,166.98,170.39,161.1,168.32,2458455
2025-04-09,167.0,167.64,160.42,164.44,1604620
2025-04-11,168.8,177.45,166.22,174.48,3701403
2025-04-15,179.55,198.5,176.33,192.22,9406483
2025-04-16,192.0,198.0,188.36,192.3,3703123
2025-04-17,191.8,195.69,189.01,190.01,2035485
2025-04-21,190.05,196.0,182.45,186.04,3788658
2025-04-22,186.95,193.8,185.1,186.18,1497694
2025-04-23,187.5,189.39,182.01,186.37,1333911
2025-04-24,186.8,194.19,183.21,190.16,2987012
2025-04-25,190.02,192.18,175.1,177.35,3154296
2025-04-28,178.65,180.2,174.01,177.33,1212580
2025-04-29,178.0,184.79,175.1,176.02,1553473
2025-04-30,175.91,181.4,172.65,174.14,1616296
2025-05-02,175.0,177.69,172.1,174.78,961184
2025-05-05,176.0,178.0,172.4,175.93,1175215
2025-05-06,177.0,177.59,167.0,167.05,1631609
