date,open,high,low,close,volume
2023-12-26,390.0,397.5,386.1,387.4,986342
2023-12-27,388.95,390.35,381.25,383.35,734369
2023-12-28,387.3,390.0,377.5,384.2,924279
2023-12-29,384.2,393.0,384.2,389.25,1181116
2024-01-01,392.4,393.9,382.55,384.35,644267
2024-01-02,384.95,389.0,381.35,388.55,1000156
2024-01-03,389.95,404.4,389.5,397.0,3135290
2024-01-04,403.5,405.0,397.9,404.0,1886025
2024-01-05,406.95,407.65,401.0,403.25,1811978
2024-01-08,404.8,404.8,400.85,402.15,3337920
2024-01-09,403.0,403.9,395.1,398.45,986752
2024-01-10,400.0,424.0,398.6,422.2,5903849
2024-01-11,425.5,426.4,408.45,412.05,2060879
2024-01-12,412.95,415.65,406.1,410.45,923353
2024-01-15,416.0,416.0,407.1,410.6,957419
2024-01-16,410.15,411.15,403.5,409.75,752562
2024-01-17,406.05,410.45,402.5,403.95,432307
2024-01-18,403.0,405.6,392.0,400.45,1106487
2024-01-19,405.0,405.0,395.85,397.15,750711
2024-01-20,397.0,401.0,397.0,399.7,184661
2024-01-23,401.2,403.55,388.8,390.25,506819
2024-01-24,392.9,400.75,382.5,400.2,1914439
2024-01-25,399.05,404.95,397.05,401.3,589068
2024-01-29,410.0,433.0,406.05,427.85,5996220
2024-01-30,430.0,434.45,423.65,427.95,3356336
2024-01-31,430.0,454.95,430.0,449.45,14931414
2024-02-01,453.0,473.9,447.5,468.85,6065034
2024-02-02,475.0,477.8,461.0,473.15,6280434
2024-02-05,472.0,488.0,451.35,456.0,9783058
2024-02-06,460.0,470.4,434.2,465.1,5212016
2024-02-07,468.75,476.8,462.25,470.25,3413089
2024-02-08,470.45,471.0,453.4,456.7,2008463
2024-02-09,460.0,460.35,435.05,440.5,1960175
2024-02-12,440.5,447.8,412.2,419.4,1477336
2024-02-13,419.7,440.0,418.0,438.45,1257606
2024-02-14,434.9,447.8,421.0,444.4,1072928
2024-02-15,444.55,464.8,444.55,461.95,3009887
2024-02-16,464.0,469.95,451.0,454.45,1057576
2024-02-19,459.0,479.85,457.25,467.6,3965875
2024-02-20,469.95,476.45,467.85,472.05,2847020
2024-02-21,472.05,478.0,462.95,472.85,3063023
2024-02-22,472.85,473.8,455.0,463.6,1237435
2024-02-23,463.6,465.05,448.0,454.35,1683583
2024-02-26,457.0,461.15,453.2,458.5,864065
2024-02-27,458.5,485.0,458.0,470.7,6338421
2024-02-28,483.0,484.0,466.55,472.65,6127254
2024-02-29,472.95,480.0,466.05,473.1,6389749
2024-03-01,473.95,478.4,461.0,465.3,9863210
2024-03-02,467.8,472.0,465.1,471.4,92389
2024-03-04,472.05,473.95,455.0,458.65,2792081
2024-03-05,463.2,467.5,452.85,465.55,1835458
2024-03-06,465.5,465.55,445.0,459.25,2124391
2024-03-07,459.25,463.55,454.05,459.05,1379359
2024-03-11,464.9,467.95,451.4,456.55,2863365
2024-03-12,453.0,454.2,441.1,448.05,830741
2024-03-13,444.35,444.35,417.3,423.45,2246414
2024-03-14,420.05,448.75,415.05,446.0,1046606
2024-03-15,440.05,454.95,433.5,437.85,1392276
2024-03-18,436.05,448.0,436.05,445.45,450129
2024-03-19,445.45,452.55,438.4,450.45,805931
2024-03-20,453.0,469.9,450.15,463.5,3143034
2024-03-21,468.95,475.8,455.55,459.0,2230560
2024-03-22,462.1,465.5,460.3,464.55,432603
2024-03-26,463.1,465.65,438.85,456.95,3562104
2024-03-27,461.0,469.45,450.3,458.7,2434023
2024-03-28,460.1,462.0,443.1,445.55,4231370
2024-04-01,448.9,451.75,438.75,449.65,2007159
2024-04-02,449.0,454.85,440.2,450.05,3411753
2024-04-03,450.05,456.7,445.0,450.1,1513999
2024-04-04,450.7,462.0,448.0,459.95,2171361
2024-04-05,462.95,467.95,458.65,463.35,1430194
2024-04-08,464.95,465.75,452.9,455.0,1922757
2024-04-09,456.2,458.0,442.25,445.4,5089037
2024-04-10,449.0,452.1,441.35,450.2,1156054
2024-04-12,450.0,478.0,449.95,464.5,7096364
2024-04-15,463.05,463.05,446.3,455.75,1813564
2024-04-16,453.1,464.4,451.95,453.7,1592724
2024-04-18,454.0,469.5,448.0,451.55,2250487
2024-04-19,446.1,454.85,444.05,453.3,1087730
2024-04-22,456.95,461.25,447.0,450.1,1301530
2024-04-23,451.95,458.0,444.25,448.4,883174
2024-04-24,464.35,464.4,448.0,448.65,2320047
2024-04-25,454.05,468.8,443.7,459.25,2679455
2024-04-26,464.45,464.8,455.45,457.65,908682
2024-04-29,459.9,460.45,449.1,450.15,920499
2024-04-30,450.15,452.95,447.3,449.0,1117715
2024-05-02,451.0,456.3,447.0,450.25,1338180
2024-05-03,450.9,461.95,450.55,456.85,2839904
2024-05-06,455.7,457.8,448.0,450.0,670956
2024-05-07,450.0,453.95,436.05,447.25,1826902
2024-05-08,447.0,455.95,445.3,453.5,526902
2024-05-09,450.75,453.25,440.45,444.6,456870
2024-05-10,444.8,455.65,443.3,453.3,916040
2024-05-13,454.75,457.95,441.9,450.1,677913
2024-05-14,450.1,457.1,448.15,453.55,369474
2024-05-15,456.0,458.95,444.0,449.0,1059467
2024-05-16,449.95,455.9,447.05,450.3,906119
2024-05-17,452.0,460.95,448.2,453.75,1715487
2024-05-18,455.05,460.0,431.1,434.85,1027013
2024-05-21,434.0,434.0,383.25,389.75,14514155
2024-05-22,396.05,406.0,383.45,403.45,7735990
2024-05-23,408.0,408.0,394.8,404.05,3253750
2024-05-24,404.05,405.95,397.1,404.95,2481506
2024-05-27,406.95,415.0,400.75,413.9,1681537
2024-05-28,410.15,420.0,409.15,416.6,1692630
2024-05-29,418.25,418.25,400.55,403.0,1537078
2024-05-30,402.5,404.95,391.0,392.8,1056960
2024-05-31,395.4,397.7,380.1,385.1,3325964
2024-06-03,399.0,399.0,389.0,389.95,1473107
2024-06-04,390.55,390.95,355.2,360.45,3822206
2024-06-05,365.85,380.55,358.0,378.4,2210716
2024-06-06,383.9,387.65,381.5,382.25,2989987
2024-06-07,383.1,389.0,382.5,385.5,1242470
2024-06-10,390.55,396.7,386.15,390.1,1240148
2024-06-11,394.9,394.9,384.2,386.0,1291365
2024-06-12,390.0,393.95,386.15,388.65,1064641
2024-06-13,394.0,395.5,387.5,393.4,2220747
2024-06-14,394.0,411.0,393.05,406.45,4059146
2024-06-18,406.9,409.4,396.15,398.75,2235588
2024-06-19,400.0,406.45,394.0,400.35,2535998
2024-06-20,404.85,406.85,398.25,400.45,3358655
2024-06-21,404.6,404.6,395.4,399.15,1243049
2024-06-24,398.0,398.0,389.1,392.45,1395681
2024-06-25,397.0,397.75,392.5,395.95,1227436
2024-06-26,396.0,402.7,395.1,398.15,3449588
2024-06-27,398.8,405.75,396.85,400.1,3417305
2024-06-28,399.65,401.35,396.65,400.15,2002593
2024-07-01,400.15,403.0,398.05,399.85,1134672
2024-07-02,401.0,401.85,396.1,398.05,1188718
2024-07-03,401.0,401.0,396.85,399.4,1147716
2024-07-04,399.0,399.7,395.2,398.25,3049295
2024-07-05,403.0,403.0,394.1,395.55,1960552
2024-07-08,397.45,397.8,389.05,394.45,1771791
