date,open,high,low,close,volume
2023-12-26,190.95,192.3,188.1,189.6,1390249
2023-12-27,191.0,193.35,189.4,191.8,1982729
2023-12-28,192.7,195.0,191.1,193.15,2385419
2023-12-29,193.3,194.55,189.9,193.75,1924207
2024-01-01,193.9,194.85,191.45,191.75,1006774
2024-01-02,191.95,192.4,188.7,190.05,933725
2024-01-03,189.95,192.0,188.85,190.45,876505
2024-01-04,190.8,191.3,189.0,189.7,1671244
2024-01-05,189.8,190.6,185.9,186.35,2423940
2024-01-08,186.35,190.3,183.75,186.1,1594386
2024-01-09,187.25,188.35,185.85,186.85,2155948
2024-01-10,187.0,187.7,185.15,186.8,733206
2024-01-11,187.0,190.5,185.0,186.25,1734370
2024-01-12,187.3,188.0,185.45,185.75,722693
2024-01-15,187.25,187.45,184.55,186.0,3885697
2024-01-16,186.7,187.9,185.7,187.2,2110805
2024-01-17,186.95,187.8,185.15,186.7,1417488
2024-01-18,186.7,186.75,179.45,183.4,1695612
2024-01-19,185.0,185.7,182.3,182.75,1141798
2024-01-20,183.35,184.1,181.3,181.8,712431
2024-01-23,182.5,183.4,174.45,176.0,1163114
2024-01-24,176.0,179.2,172.2,176.25,1413443
2024-01-25,175.95,179.2,174.4,178.15,899416
2024-01-29,178.85,178.85,171.05,171.55,3074552
2024-01-30,172.95,177.15,172.55,175.05,2198505
2024-01-31,176.9,183.0,176.15,181.9,2813168
2024-02-01,182.45,184.3,176.0,177.85,2199232
2024-02-02,179.0,181.0,172.0,173.0,4481649
2024-02-05,171.45,171.45,161.5,162.25,4756026
2024-02-06,163.45,163.85,155.8,158.05,5077362
2024-02-07,160.0,160.0,153.75,154.8,5124903
2024-02-08,156.05,157.45,152.25,152.85,3839455
2024-02-09,153.0,155.6,148.15,154.25,3836808
2024-02-12,156.5,156.5,149.85,151.85,1849565
2024-02-13,151.95,152.45,147.2,151.0,1558604
2024-02-14,150.8,154.95,148.55,154.0,1490663
2024-02-15,155.45,155.5,150.05,150.4,1941264
2024-02-16,152.75,162.7,152.0,158.75,11288044
2024-02-19,160.7,166.25,159.65,165.2,6749622
2024-02-20,166.5,166.5,162.55,165.75,4306340
2024-02-21,171.1,175.0,165.5,167.05,11594032
2024-02-22,171.65,171.65,162.5,164.85,5081188
2024-02-23,165.0,165.2,159.1,160.95,5344243
2024-02-26,163.7,163.7,159.55,162.3,2887215
2024-02-27,161.85,161.85,152.7,157.3,16167611
2024-02-28,157.3,159.25,153.25,154.35,3398707
2024-02-29,153.95,154.95,150.9,153.6,2922792
2024-03-01,155.8,156.0,153.8,154.4,2561687
2024-03-02,154.5,158.95,154.1,157.95,464630
2024-03-04,158.65,158.65,151.8,152.6,3831064
2024-03-05,152.6,155.5,152.5,154.6,2909412
2024-03-06,154.8,155.25,152.25,153.45,2665317
2024-03-07,154.0,157.35,153.7,155.75,4107940
2024-03-11,155.8,155.95,152.7,153.95,1880411
2024-03-12,154.0,154.35,150.1,150.85,2308485
2024-03-13,151.4,152.25,142.25,147.85,7209190
2024-03-14,147.65,152.9,144.65,151.15,2944321
2024-03-15,150.0,154.85,149.1,154.1,2431549
2024-03-18,154.15,158.4,152.75,157.05,3465313
2024-03-19,158.15,158.2,153.3,156.6,2508736
2024-03-20,158.0,160.4,154.1,156.95,2886643
2024-03-21,159.9,159.9,155.2,156.1,1468914
2024-03-22,156.1,157.4,154.6,155.2,1242134
2024-03-26,155.2,156.0,153.15,155.05,1365824
2024-03-27,155.45,156.7,151.0,151.75,2184051
2024-03-28,153.0,154.6,147.15,150.45,1341863
2024-04-01,151.0,155.9,151.0,155.3,923902
2024-04-02,155.15,157.3,154.25,155.9,4264437
2024-04-03,155.85,155.85,152.8,154.15,3671291
2024-04-04,155.1,155.85,153.35,155.1,1468497
2024-04-05,155.0,157.65,154.55,156.5,1434136
2024-04-08,157.9,159.7,155.5,159.15,2839527
2024-04-09,160.2,167.9,158.75,164.85,7337195
2024-04-10,166.4,167.45,161.4,165.85,5305139
2024-04-12,165.0,168.0,163.4,164.05,3404005
2024-04-15,160.0,160.9,156.4,158.0,2240199
2024-04-16,156.0,161.4,155.65,159.5,1818118
2024-04-18,160.3,164.75,160.3,162.05,1888991
2024-04-19,162.0,162.9,159.0,161.05,1271482
2024-04-22,162.35,163.6,159.8,163.0,2253086
2024-04-23,163.95,166.75,163.45,166.5,3180201
2024-04-24,168.4,168.8,166.0,166.55,1466311
2024-04-25,166.55,169.2,165.45,169.0,1903654
2024-04-26,170.25,170.7,167.75,168.65,2435039
2024-04-29,169.9,169.9,165.75,166.6,1685651
2024-04-30,167.5,168.4,166.0,166.35,1642341
2024-05-02,166.5,168.3,164.6,165.15,2518276
2024-05-03,166.0,167.75,163.6,165.55,647989
2024-05-06,166.45,167.45,162.3,162.85,707627
2024-05-07,163.55,168.85,161.15,161.95,2477043
2024-05-08,162.1,163.65,160.65,162.3,740927
2024-05-09,162.3,163.45,160.15,161.4,1337611
2024-05-10,162.05,163.1,160.0,161.2,932478
2024-05-13,163.4,163.4,155.0,155.35,1954212
2024-05-14,157.0,158.0,149.7,156.9,8684255
2024-05-15,158.0,158.05,150.4,150.85,6129826
2024-05-16,151.3,152.15,149.4,151.25,2070734
2024-05-17,151.55,152.9,150.1,152.2,2644528
2024-05-18,152.85,153.4,151.75,152.35,314435
2024-05-21,152.55,153.0,151.4,152.5,968909
2024-05-22,152.7,154.0,151.9,152.9,3440065
2024-05-23,153.5,153.9,151.55,152.55,965197
2024-05-24,152.55,153.15,151.5,151.8,854424
2024-05-27,151.85,153.5,150.7,152.1,1388615
2024-05-28,150.9,152.35,150.9,151.4,721960
2024-05-29,151.2,153.05,150.8,151.15,1270488
2024-05-30,151.25,152.2,149.75,151.75,1647394
2024-05-31,152.25,155.85,150.25,154.0,3169043
2024-06-03,157.0,157.0,151.35,152.95,2928833
2024-06-04,153.1,153.55,142.45,149.1,1654846
2024-06-05,150.0,162.5,145.3,161.3,6305243
2024-06-06,161.55,172.0,161.0,170.85,9294305
2024-06-07,170.85,176.9,168.9,172.05,4646002
2024-06-10,173.05,180.95,172.05,177.03,5571883
2024-06-11,178.99,179.2,177.1,178.53,1987120
2024-06-12,178.53,180.75,178.0,180.05,2344293
2024-06-13,180.05,180.2,177.05,179.98,1855620
2024-06-14,180.0,180.0,177.01,178.39,1660818
2024-06-18,178.48,178.5,172.8,174.42,2650677
2024-06-19,174.54,175.95,170.0,171.61,2415639
2024-06-20,170.9,171.81,167.7,168.27,1457834
2024-06-21,171.64,174.59,170.01,171.39,6710169
2024-06-24,171.2,171.2,167.9,170.07,750819
2024-06-25,170.0,172.1,167.0,167.43,923196
2024-06-26,166.93,168.1,165.55,166.16,1275177
2024-06-27,165.5,166.85,162.88,163.42,939736
2024-06-28,163.45,165.77,162.5,164.71,1839744
2024-07-01,165.99,170.49,165.02,166.88,1882915
2024-07-02,167.2,168.47,165.1,167.5,1048085
2024-07-03,166.5,168.51,165.45,168.0,1620214
2024-07-04,167.5,169.29,166.7,167.89,686359
2024-07-05,166.78,167.1,164.85,165.29,863278
2024-07-08,165.35,169.4,163.0,164.75,1151236
2024-07-09,165.0,167.0,163.98,166.31,1300680
2024-07-10,166.0,166.28,162.21,163.64,922503
2024-07-11,164.03,164.5,162.4,162.79,748499
2024-07-12,164.0,164.0,161.5,163.03,4737541
2024-07-15,163.95,172.0,162.21,170.07,7714646
2024-07-16,170.98,175.36,170.0,174.37,3119633
2024-07-18,175.5,177.8,170.88,176.08,3208562
2024-07-19,176.08,176.08,171.25,175.22,2131785
2024-07-22,175.0,179.85,172.12,176.2,3414258
2024-07-23,173.0,177.0,168.2,175.59,2453241
2024-07-24,174.15,182.0,174.02,181.11,3213952
2024-07-25,179.05,181.99,176.5,179.34,2700020
2024-07-26,179.18,180.25,175.1,176.94,1493145
2024-07-29,178.0,180.3,175.32,179.98,3374662
2024-07-30,180.0,182.95,179.25,181.32,2396828
2024-07-31,181.32,182.25,178.37,179.34,1463827
2024-08-01,178.0,179.0,173.5,174.11,2952243
2024-08-02,170.11,179.0,170.1,177.85,2202970
2024-08-05,174.1,188.57,167.0,181.27,16601519
2024-08-06,183.0,183.89,174.16,179.95,5615383
2024-08-07,181.0,181.94,175.12,176.8,1991867
2024-08-08,176.85,177.15,173.4,175.0,1799742
2024-08-09,176.0,178.5,172.01,172.55,1086334
2024-08-12,172.5,172.9,167.92,171.46,4111802
2024-08-13,173.0,173.0,167.02,167.68,651473
2024-08-14,169.94,171.2,165.66,170.43,1894617
2024-08-16,170.6,173.45,167.37,170.31,4760837
2024-08-19,171.2,173.9,169.1,169.76,1289807
2024-08-20,170.8,171.62,169.21,169.82,2480219
2024-08-21,170.35,177.0,170.11,175.12,1667483
2024-08-22,176.5,182.95,176.5,181.39,5309649
2024-08-23,182.15,191.33,181.45,184.92,16373728
2024-08-26,185.93,188.5,178.88,179.47,2986986
2024-08-27,180.0,183.6,177.2,177.52,2932597
2024-08-28,179.15,183.3,178.17,178.81,2968757
2024-08-29,179.3,181.9,175.65,175.97,1634434
2024-08-30,177.2,177.94,174.76,175.91,2122411
2024-09-02,177.39,177.67,174.96,175.89,601517
2024-09-03,175.9,179.8,175.9,179.06,1105575
2024-09-04,177.0,182.6,176.5,180.32,1712449
2024-09-05,181.3,184.4,180.01,182.97,1868090
2024-09-06,184.0,188.8,182.12,183.48,4210460
2024-09-09,183.35,183.35,178.99,180.78,1603908
2024-09-10,181.75,189.45,181.47,188.82,4544961
2024-09-11,188.0,191.0,187.51,188.94,2620096
2024-09-12,190.2,190.45,184.27,186.68,2152194
2024-09-13,187.75,192.0,186.05,189.91,4955345
2024-09-16,190.5,192.59,187.0,187.55,1293648
2024-09-17,187.5,191.9,185.32,189.98,1630606
2024-09-18,191.15,198.85,191.15,197.35,9484316
2024-09-19,199.0,199.5,191.0,195.99,5316136
2024-09-20,197.4,211.0,195.45,209.88,20851836
2024-09-23,209.88,222.74,204.3,221.58,10526950
2024-09-24,218.19,219.0,214.52,217.31,5949763
2024-09-25,215.6,215.8,207.13,208.69,2900153
2024-09-26,208.69,208.69,199.35,201.77,4859105
2024-09-27,201.85,202.85,194.99,195.6,5025365
2024-09-30,195.0,197.75,192.35,195.76,1803661
2024-10-01,196.3,197.99,192.02,192.93,1156194
2024-10-03,192.64,192.64,183.18,186.74,3301875
2024-10-04,186.95,187.45,177.16,178.45,4246337
2024-10-07,179.39,179.85,169.91,173.01,3197418
2024-10-08,171.0,178.04,170.15,177.5,2908897
2024-10-09,179.1,183.2,177.55,180.05,2441577
2024-10-10,181.39,183.58,177.6,180.13,4242219
2024-10-11,180.2,183.89,179.34,182.01,1093304
2024-10-14,183.0,183.7,178.55,179.27,800906
2024-10-15,179.97,181.99,177.5,181.34,2127150
2024-10-16,181.23,182.59,178.57,182.01,1153019
2024-10-17,181.98,181.98,175.35,176.48,792980
2024-10-18,175.81,177.29,173.01,174.98,676020
2024-10-21,175.99,176.84,171.67,172.88,2156391
2024-10-22,171.75,172.97,165.77,166.97,1609776
2024-10-23,167.0,172.6,165.97,169.52,1836874
2024-10-24,169.9,169.9,165.03,166.1,1257958
2024-10-25,165.85,166.39,160.31,163.38,1822955
2024-10-28,163.5,167.0,160.45,164.57,756491
2024-10-29,165.0,166.9,162.3,163.97,1203111
2024-10-30,164.4,168.95,163.77,168.2,968075
2024-10-31,168.2,170.65,167.41,169.57,799912
2024-11-01,170.0,171.95,170.0,170.97,141799
2024-11-04,170.97,170.97,167.2,168.14,433556
2024-11-05,168.92,173.2,167.61,172.1,1150001
2024-11-06,172.1,174.34,171.8,173.17,629936
2024-11-07,173.17,174.79,171.4,171.98,387878
