date,open,high,low,close,volume
2023-12-26,4024.8,4069.65,4012.0,4040.4,475107
2023-12-27,4068.0,4134.95,4042.1,4120.0,385941
2023-12-28,4120.0,4130.0,4080.9,4091.9,450475
2023-12-29,4099.95,4178.0,4094.0,4143.5,673952
2024-01-01,4145.0,4145.0,4030.0,4038.35,763454
2024-01-02,4010.1,4010.75,3882.35,3892.5,1221148
2024-01-03,3894.05,3928.95,3878.45,3887.6,435449
2024-01-04,3887.5,3915.0,3848.5,3861.0,425702
2024-01-05,3864.05,3918.7,3860.0,3877.05,402103
2024-01-08,3890.0,3960.4,3877.5,3884.25,401263
2024-01-09,3909.25,3923.95,3850.6,3870.45,411462
2024-01-10,3870.45,3873.0,3790.65,3842.55,577499
2024-01-11,3868.8,3924.7,3852.45,3888.8,378237
2024-01-12,3890.2,3899.0,3850.0,3870.85,220410
2024-01-15,3875.0,3884.65,3811.0,3832.1,364325
2024-01-16,3790.0,3828.1,3741.5,3792.3,519197
2024-01-17,3731.0,3772.0,3720.0,3751.1,585284
2024-01-18,3751.1,3761.55,3661.0,3691.15,583931
2024-01-19,3700.0,3787.85,3658.0,3699.45,894473
2024-01-20,3709.9,3737.9,3675.1,3697.6,122046
2024-01-23,3702.05,3744.0,3606.05,3616.7,823427
2024-01-24,3629.0,3648.95,3562.45,3635.0,1318897
2024-01-25,3680.0,3680.0,3597.05,3616.45,699432
2024-01-29,3621.1,3681.0,3590.05,3669.05,936432
2024-01-30,3675.0,3729.9,3673.9,3704.75,612064
2024-01-31,3716.0,3852.15,3701.1,3839.6,759817
2024-02-01,3843.0,3965.85,3843.0,3933.2,1313981
2024-02-02,3900.0,3900.0,3811.25,3825.55,872011
2024-02-05,3850.0,3918.4,3837.0,3889.95,592181
2024-02-06,3900.0,3950.75,3890.0,3944.6,470713
2024-02-07,3975.0,3990.0,3907.95,3927.65,416774
2024-02-08,3953.0,3957.3,3791.75,3807.3,404899
2024-02-09,3820.0,3847.95,3761.6,3840.95,396729
2024-02-12,3869.9,3903.05,3817.2,3871.85,237343
2024-02-13,3894.65,3936.15,3765.45,3854.2,633019
2024-02-14,3833.0,3932.35,3726.6,3901.55,919714
