date,open,high,low,close,volume
2023-12-26,565.8,566.45,560.0,564.95,457210
2023-12-27,566.0,568.4,561.35,565.25,604952
2023-12-28,566.2,572.0,562.6,570.15,325046
2023-12-29,569.8,574.5,554.5,556.9,674053
2024-01-01,559.0,565.1,558.0,560.55,285351
2024-01-02,563.0,563.1,552.65,559.9,411064
2024-01-03,561.5,572.0,557.95,570.1,813114
2024-01-04,571.05,579.5,570.3,575.75,922545
2024-01-05,579.95,591.3,570.0,574.45,925916
2024-01-08,574.6,578.15,566.9,570.9,424532
2024-01-09,573.2,585.0,568.65,578.35,461201
2024-01-10,577.0,581.8,574.45,580.75,499105
2024-01-11,580.75,588.0,577.95,584.6,284082
2024-01-12,586.5,589.0,581.0,585.85,267200
2024-01-15,588.3,588.3,576.15,579.6,204477
2024-01-16,580.3,584.8,573.65,580.55,269105
2024-01-17,580.0,581.8,570.2,576.65,294534
2024-01-18,572.6,576.9,553.35,564.9,488321
2024-01-19,568.0,572.5,555.0,567.85,197455
2024-01-20,569.9,569.9,561.0,561.9,95690
2024-01-23,565.0,585.5,560.4,579.85,779416
2024-01-24,585.0,612.0,580.0,591.7,1413237
2024-01-25,600.5,624.5,593.8,616.8,1320387
2024-01-29,623.9,635.65,618.0,627.4,593051
2024-01-30,627.15,632.1,618.1,623.05,717004
2024-01-31,626.0,630.95,614.15,624.75,1322800
2024-02-01,625.55,663.0,625.55,657.7,1561835
2024-02-02,658.65,661.45,637.3,641.6,1800915
2024-02-05,641.0,657.6,634.1,646.7,941855
2024-02-06,650.95,652.95,625.15,635.25,1358270
2024-02-07,600.0,614.4,590.6,600.9,2344158
2024-02-08,614.0,614.0,589.9,600.75,1433459
2024-02-09,600.75,610.55,579.0,581.75,1272680
2024-02-12,583.75,599.6,572.0,583.6,1120722
2024-02-13,589.95,591.35,576.0,579.95,394105
2024-02-14,574.15,596.5,572.25,589.75,315106
2024-02-15,593.85,600.3,584.15,587.25,421997
2024-02-16,587.5,599.5,587.5,597.2,707022
2024-02-19,600.75,608.9,595.0,599.55,219480
