date,open,high,low,close,volume
2023-12-26,446.0,473.85,441.1,470.1,1775758
2023-12-27,472.5,475.0,465.65,469.5,488644
2023-12-28,473.0,474.0,466.0,468.8,342056
2023-12-29,468.8,484.0,461.0,463.5,1028718
2024-01-01,466.5,472.45,464.5,468.7,294968
2024-01-02,470.1,472.5,452.5,459.6,497088
2024-01-03,460.0,464.5,458.4,460.9,238060
2024-01-04,462.95,470.6,458.5,464.2,311282
2024-01-05,468.0,472.4,463.3,467.4,377874
2024-01-08,471.0,514.0,471.0,495.75,5181882
2024-01-09,502.55,513.5,498.5,502.5,1504926
2024-01-10,504.5,504.7,492.5,501.45,638364
2024-01-11,503.55,516.95,500.0,507.0,1144594
2024-01-12,510.05,513.8,503.4,510.3,671596
2024-01-15,513.75,546.8,511.45,536.8,1915458
2024-01-16,537.0,545.0,502.6,516.6,1020288
2024-01-17,512.5,521.0,505.0,509.4,580380
2024-01-18,508.5,514.0,478.8,508.1,889816
2024-01-19,512.5,545.5,511.3,542.8,1327940
2024-01-20,546.5,549.5,531.5,537.9,321480
2024-01-23,548.2,550.0,502.5,505.3,970296
2024-01-24,500.0,533.85,497.5,529.55,857026
2024-01-25,533.3,559.95,512.9,518.1,2579856
2024-01-29,525.0,542.0,519.5,532.1,1046178
2024-01-30,535.7,561.0,533.55,542.9,1616894
2024-01-31,545.0,554.5,531.6,550.3,936096
2024-02-01,553.1,554.6,532.4,534.9,639054
2024-02-02,537.6,549.0,530.0,533.65,571380
2024-02-05,538.3,544.5,529.1,533.9,565780
2024-02-06,535.0,537.2,521.5,524.0,313370
2024-02-07,527.0,534.5,522.9,528.4,246202
2024-02-08,530.5,530.5,520.0,521.3,232792
2024-02-09,521.0,524.25,498.2,507.1,425696
2024-02-12,507.1,507.6,490.5,492.6,290614
2024-02-13,492.6,507.4,485.7,502.95,228058
2024-02-14,495.1,523.9,495.1,519.2,349352
2024-02-15,522.3,532.0,511.8,513.2,308460
2024-02-16,517.2,525.0,505.55,510.1,334224
2024-02-19,515.2,529.95,511.0,521.7,378832
2024-02-20,522.5,526.6,509.0,510.8,261668
2024-02-21,515.9,518.0,493.0,499.7,392552
2024-02-22,498.5,504.8,495.5,498.65,251754
2024-02-23,502.5,514.35,499.5,509.45,315512
2024-02-26,512.0,513.0,497.5,499.6,236244
2024-02-27,500.0,503.45,466.5,475.5,658530
2024-02-28,483.0,485.5,462.0,469.4,407968
2024-02-29,471.7,506.95,455.5,501.1,1109074
2024-03-01,499.45,504.9,493.0,494.95,225424
2024-03-02,493.5,503.5,490.0,499.45,29472
2024-03-04,499.7,500.8,487.7,495.5,222376
2024-03-05,499.0,499.5,488.0,490.85,267442
2024-03-06,490.55,491.1,466.5,471.3,479178
2024-03-07,472.9,482.95,465.2,481.2,355400
2024-03-11,481.2,481.5,460.5,471.4,574230
2024-03-12,465.0,476.0,429.5,435.1,842848
2024-03-13,440.0,442.35,397.55,404.9,1131824
2024-03-14,411.5,430.0,395.15,422.0,717054
2024-03-15,427.65,446.7,420.5,436.5,3864478
2024-03-18,435.0,439.25,421.25,424.2,442180
2024-03-19,428.25,428.25,416.0,419.55,226890
2024-03-20,423.0,430.0,412.5,420.4,275906
2024-03-21,427.5,452.7,427.15,444.9,469570
2024-03-22,444.5,462.35,440.6,460.1,547266
2024-03-26,460.1,474.35,452.7,471.6,492480
2024-03-27,474.95,485.5,464.05,480.1,621252
2024-03-28,485.0,487.2,466.95,474.4,246362
2024-04-01,479.2,489.85,477.4,488.8,210674
2024-04-02,490.75,494.3,481.1,486.5,150130
2024-04-03,488.25,491.0,480.0,488.9,201590
2024-04-04,493.8,497.7,486.6,491.65,202458
2024-04-05,491.65,507.7,486.5,502.6,280296
2024-04-08,507.55,516.05,505.5,511.9,347430
2024-04-09,514.0,516.0,497.5,500.65,305544
