date,open,high,low,close,volume
2023-12-26,2988.0,2989.25,2951.3,2976.7,341072
2023-12-27,2980.45,3007.75,2943.1,2956.7,223734
2023-12-28,2969.5,2981.4,2940.0,2959.3,415223
2023-12-29,2970.0,3027.25,2931.0,2983.1,276647
2024-01-01,2996.0,3019.0,2956.0,2966.35,318161
2024-01-02,2968.0,2977.0,2875.0,2887.65,378020
2024-01-03,2871.0,2913.1,2860.0,2869.85,338355
2024-01-04,2875.0,2884.95,2794.95,2858.45,932890
2024-01-05,2858.45,2881.85,2800.0,2804.85,433569
2024-01-08,2805.0,2867.8,2804.85,2854.15,338266
2024-01-09,2874.0,2879.0,2790.0,2823.4,346390
2024-01-10,2824.9,2861.45,2815.0,2835.0,276966
2024-01-11,2840.0,2878.2,2836.0,2862.85,293794
2024-01-12,2865.0,2890.0,2843.95,2876.35,259618
2024-01-15,2891.0,2905.05,2876.05,2901.45,267855
2024-01-16,2909.0,2964.9,2901.15,2957.85,537904
2024-01-17,2915.0,2969.4,2890.0,2900.6,225541
2024-01-18,2894.9,2926.0,2820.0,2907.8,260512
2024-01-19,2920.0,2990.0,2915.5,2979.9,236803
2024-01-20,3000.0,3007.15,2922.95,2936.8,98482
2024-01-23,2939.95,2959.0,2823.3,2836.8,369423
2024-01-24,2828.0,2915.0,2820.0,2906.35,372671
2024-01-25,2914.95,2957.0,2911.65,2945.3,206334
2024-01-29,2950.0,3040.45,2948.2,3023.2,299823
2024-01-30,3040.0,3058.8,3001.65,3018.25,272247
2024-01-31,3030.0,3043.1,2976.35,2983.25,204360
2024-02-01,3023.95,3045.0,2875.0,2881.95,506690
2024-02-02,2875.0,2979.9,2875.0,2944.55,230152
2024-02-05,2964.4,2995.0,2929.0,2967.85,124224
2024-02-06,2975.0,2985.0,2931.1,2948.35,114429
2024-02-07,2956.0,2970.8,2908.5,2930.4,92051
2024-02-08,2964.0,2978.0,2860.05,2932.7,457664
2024-02-09,2905.0,2905.0,2648.4,2807.25,2056922
2024-02-12,2807.2,2874.95,2783.3,2815.9,395080
2024-02-13,2830.0,2830.0,2747.0,2786.5,837938
2024-02-14,2750.0,2820.0,2747.05,2809.75,141089
2024-02-15,2820.0,2929.5,2818.0,2904.6,481769
2024-02-16,2933.6,2987.95,2908.6,2927.0,332193
2024-02-19,2953.95,2977.7,2909.05,2960.85,173904
2024-02-20,2951.05,2973.5,2903.55,2927.85,158657
2024-02-21,2944.0,2949.0,2897.0,2914.15,102824
2024-02-22,2938.95,2938.95,2887.0,2925.4,91902
2024-02-23,2927.5,2962.35,2900.0,2911.0,148019
2024-02-26,2916.45,2924.65,2851.35,2890.85,152335
2024-02-27,2890.85,2925.0,2846.25,2855.55,88135
2024-02-28,2856.05,2878.95,2802.6,2825.2,261600
2024-02-29,2826.7,2869.45,2803.3,2856.45,159625
2024-03-01,2845.05,2927.0,2825.2,2898.55,370420
2024-03-02,2919.8,2924.0,2892.1,2904.9,8722
2024-03-04,2895.0,2936.95,2871.05,2918.85,167158
2024-03-05,2930.0,2966.35,2859.05,2865.75,223995
2024-03-06,2865.75,2865.75,2802.2,2842.1,141990
2024-03-07,2840.6,2887.15,2813.0,2849.9,340248
2024-03-11,2868.0,2873.55,2831.15,2838.1,142570
2024-03-12,2843.0,2847.95,2800.05,2816.35,124111
2024-03-13,2805.1,2830.75,2700.55,2712.9,186399
2024-03-14,2705.3,2755.75,2700.0,2746.2,156419
2024-03-15,2755.3,2773.95,2682.5,2702.55,204337
2024-03-18,2722.95,2722.95,2670.55,2701.4,123514
2024-03-19,2692.2,2753.05,2680.05,2713.55,212248
2024-03-20,2739.0,2774.1,2699.05,2740.1,188614
2024-03-21,2750.0,2774.8,2730.35,2763.15,117971
2024-03-22,2760.0,2776.5,2741.55,2750.65,116383
2024-03-26,2750.0,2775.0,2743.3,2751.25,100227
2024-03-27,2751.25,2829.55,2749.15,2798.7,249879
2024-03-28,2799.95,2812.35,2754.55,2777.3,227259
2024-04-01,2779.0,2869.4,2768.3,2858.5,284176
2024-04-02,2870.0,2883.0,2834.0,2874.65,99272
2024-04-03,2875.5,3017.45,2852.0,3006.3,743351
2024-04-04,3015.15,3039.55,2992.0,3020.25,282496
2024-04-05,3020.0,3020.0,2992.95,2998.35,120186
2024-04-08,3000.6,3086.4,2950.05,3072.25,404732
2024-04-09,3099.0,3099.0,3001.0,3022.1,223935
2024-04-10,3039.0,3065.1,3009.0,3031.0,122771
2024-04-12,3024.75,3076.0,3015.65,3023.95,218307
2024-04-15,3000.0,3019.9,2922.45,2999.25,278258
2024-04-16,2980.0,3079.9,2962.5,3063.15,383358
2024-04-18,3075.0,3142.9,2988.15,3018.25,611352
2024-04-19,2972.0,3139.95,2961.2,3106.7,962091
2024-04-22,3115.05,3195.0,3115.05,3175.4,469842
2024-04-23,3185.05,3225.0,3144.0,3212.55,315757
2024-04-24,3216.0,3256.0,3196.0,3250.65,271132
2024-04-25,3275.0,3275.0,3223.8,3250.65,161514
2024-04-26,3250.7,3307.3,3200.05,3291.7,228661
2024-04-29,3317.8,3317.8,3271.0,3287.35,117008
2024-04-30,3294.45,3410.0,3291.1,3358.55,588700
2024-05-02,3365.0,3491.85,3331.1,3479.8,430222
2024-05-03,3481.0,3503.35,3397.35,3484.55,548565
2024-05-06,3491.0,3519.85,3441.0,3474.1,199230
2024-05-07,3468.7,3486.95,3413.6,3440.7,242500
2024-05-08,3415.0,3570.0,3407.55,3538.4,411500
2024-05-09,3540.0,3542.0,3410.35,3445.35,426484
2024-05-10,3465.0,3582.0,3443.2,3553.3,949760
2024-05-13,3541.0,3619.0,3510.0,3599.75,346779
2024-05-14,3609.0,3665.0,3530.7,3654.05,287889
2024-05-15,3641.0,3664.95,3594.05,3649.7,258170
2024-05-16,3651.95,3754.4,3640.45,3748.55,303351
2024-05-17,3763.95,3811.7,3725.0,3800.55,214969
2024-05-18,3791.1,3960.0,3776.15,3923.3,75121
2024-05-21,3909.7,3942.25,3838.05,3887.4,339711
2024-05-22,3895.75,3921.6,3823.2,3834.65,223453
2024-05-23,3847.95,3847.95,3774.85,3811.05,165580
2024-05-24,3800.0,3838.0,3768.05,3813.15,227635
2024-05-27,3813.15,3884.6,3805.15,3855.0,211336
2024-05-28,3855.0,3928.9,3810.1,3846.7,350701
2024-05-29,3602.0,3888.0,3602.0,3853.4,331082
2024-05-30,3844.0,3869.8,3793.65,3848.2,139121
2024-05-31,3848.2,3894.0,3792.1,3818.3,155772
2024-06-03,3845.0,3929.2,3818.0,3890.35,196258
2024-06-04,3860.0,3929.25,3556.45,3802.5,339748
2024-06-05,3802.5,4019.9,3753.1,3908.95,483715
2024-06-06,3919.0,4038.85,3910.05,4011.0,407715
2024-06-07,4020.0,4050.0,3974.95,3988.15,224597
2024-06-10,3999.9,4104.0,3966.0,4051.9,269834
2024-06-11,4072.2,4169.6,4055.95,4126.35,372033
2024-06-12,4130.0,4147.05,4062.0,4122.6,180890
2024-06-13,4123.55,4260.45,4123.55,4247.65,368758
2024-06-14,4230.1,4309.95,4140.0,4292.1,288391
2024-06-18,4292.1,4353.2,4272.0,4302.1,255721
2024-06-19,4300.0,4302.0,4204.25,4216.05,98830
2024-06-20,4239.8,4257.5,4180.0,4188.65,130232
2024-06-21,4180.0,4409.55,4180.0,4334.5,668815
2024-06-24,4332.5,4356.5,4243.05,4249.65,215127
2024-06-25,4267.6,4290.25,4165.75,4198.7,191797
2024-06-26,4206.6,4264.8,4156.05,4250.95,167078
2024-06-27,4260.0,4288.95,4129.75,4146.0,442128
2024-06-28,4146.0,4239.9,4132.0,4146.5,193623
2024-07-01,4131.0,4204.2,4110.0,4141.75,229563
2024-07-02,4141.7,4160.6,4087.6,4125.95,218477
2024-07-03,4130.05,4167.9,4096.3,4117.35,170812
2024-07-04,4110.05,4149.75,4095.2,4105.8,98914
2024-07-05,4104.9,4223.0,4090.05,4130.75,193469
2024-07-08,4141.4,4171.2,4024.0,4105.05,202631
2024-07-09,4121.7,4176.9,4080.4,4162.25,88511
2024-07-10,4171.0,4191.75,4025.0,4051.2,155749
2024-07-11,4075.0,4093.55,3972.95,3988.35,201746
2024-07-12,3988.35,4006.15,3902.7,3915.6,160794
2024-07-15,3915.0,3995.0,3880.0,3978.05,645076
2024-07-16,3990.6,4081.9,3953.65,4025.6,1049253
2024-07-18,4040.0,4050.95,3885.3,3993.05,453179
2024-07-19,3993.05,4017.4,3911.0,3922.3,163988
2024-07-22,3921.95,4021.0,3845.3,4014.95,173786
2024-07-23,4014.0,4128.95,3920.05,4120.85,282505
2024-07-24,4134.0,4161.2,4067.85,4145.8,201254
2024-07-25,4100.0,4140.75,4041.0,4056.85,231030
2024-07-26,4053.0,4154.05,4050.95,4145.55,282855
2024-07-29,4185.95,4185.95,4135.05,4145.6,335633
2024-07-30,4158.0,4200.8,4147.35,4156.9,291358
2024-07-31,4145.0,4190.1,4117.55,4173.4,302143
2024-08-01,4200.0,4234.45,4090.5,4150.0,359664
