date,open,high,low,close,volume
2023-12-26,794.65,815.9,790.25,800.8,796785
2023-12-27,804.85,818.45,797.2,803.75,479752
2023-12-28,807.7,843.8,793.8,808.65,2184728
2023-12-29,812.85,820.5,802.0,805.8,554922
2024-01-01,805.8,844.9,802.35,821.5,2516139
2024-01-02,827.0,849.8,810.5,820.85,1829334
2024-01-03,825.0,832.95,815.1,819.85,600545
2024-01-04,823.95,837.05,818.1,821.75,560963
2024-01-05,825.7,827.0,804.0,810.95,501555
2024-01-08,813.55,823.0,802.0,806.55,490944
2024-01-09,810.7,827.9,809.05,811.75,741946
2024-01-10,816.0,819.0,805.0,806.95,249130
2024-01-11,812.45,821.25,807.35,812.15,486349
2024-01-12,816.7,819.0,808.0,809.8,210649
2024-01-15,810.0,819.7,790.0,799.2,739873
2024-01-16,799.15,821.1,793.25,805.85,862674
2024-01-17,799.0,819.5,790.95,805.7,783382
2024-01-18,807.0,843.6,806.4,810.4,3109843
2024-01-19,817.0,838.8,812.75,814.85,1010119
2024-01-20,819.45,883.0,816.7,831.8,3958115
2024-01-23,840.5,855.0,805.2,812.1,1176421
2024-01-24,815.0,828.7,801.3,822.6,588086
2024-01-25,826.0,908.0,825.05,886.85,4922603
2024-01-29,894.9,895.7,848.2,861.65,1346066
2024-01-30,867.9,874.7,836.5,846.15,590893
2024-01-31,851.0,867.0,840.15,862.55,497016
2024-02-01,867.15,879.85,826.05,836.55,1044133
2024-02-02,841.5,846.0,813.15,820.75,530606
2024-02-05,820.0,820.0,777.35,785.8,634597
2024-02-06,786.45,813.55,783.9,806.9,429885
2024-02-07,810.95,817.8,781.35,786.75,408920
2024-02-08,786.75,801.85,776.0,781.35,300506
2024-02-09,782.0,788.65,752.2,763.15,280927
2024-02-12,763.15,805.45,747.05,773.9,985642
2024-02-13,774.95,783.6,761.0,763.3,316869
2024-02-14,758.0,762.7,717.95,744.6,616998
2024-02-15,744.0,793.25,737.65,778.1,817014
2024-02-16,784.0,791.5,771.2,782.9,236530
2024-02-19,791.0,842.9,785.4,831.15,1533443
2024-02-20,836.1,842.5,827.05,833.3,354742
2024-02-21,835.0,873.9,831.2,839.75,1217453
2024-02-22,845.4,845.4,818.15,828.6,274437
2024-02-23,831.6,832.9,788.45,792.3,925244
2024-02-26,794.7,795.1,770.1,773.05,369162
2024-02-27,780.1,786.45,767.0,772.25,271659
2024-02-28,777.0,777.6,737.0,740.55,321134
2024-02-29,740.55,748.0,710.1,715.95,578469
2024-03-01,721.7,729.8,708.0,723.3,466486
2024-03-02,726.65,747.3,721.0,737.7,82244
2024-03-04,735.0,735.0,712.05,720.15,360418
2024-03-05,720.3,729.15,715.0,716.95,216173
2024-03-06,714.95,718.1,690.8,692.8,202823
2024-03-07,692.8,728.9,692.8,711.1,672284
2024-03-11,711.0,711.0,680.05,684.05,235063
2024-03-12,684.05,686.8,648.0,653.4,247179
2024-03-13,654.15,658.5,582.25,593.4,540990
2024-03-14,591.85,686.0,572.6,674.6,1031883
2024-03-15,675.95,708.0,643.0,652.1,971443
2024-03-18,658.0,662.95,620.35,641.3,523628
2024-03-19,643.0,660.8,635.0,639.95,357373
2024-03-20,644.95,647.9,621.9,632.3,364669
2024-03-21,642.0,654.45,633.85,643.85,275221
2024-03-22,644.55,669.7,640.85,657.0,559705
2024-03-26,660.5,667.0,635.0,639.5,397899
2024-03-27,648.9,652.9,635.7,642.35,444341
2024-03-28,647.95,648.9,625.0,627.95,290205
2024-04-01,627.95,670.9,627.55,666.25,805870
2024-04-02,667.0,682.35,655.1,675.15,675566
2024-04-03,670.0,715.0,667.0,695.7,1343758
2024-04-04,701.0,709.4,695.0,698.3,397518
2024-04-05,698.3,707.0,688.0,699.1,354776
2024-04-08,704.0,706.3,683.2,686.7,185869
2024-04-09,686.7,711.7,682.4,687.6,377956
2024-04-10,690.95,703.8,680.25,692.9,387960
2024-04-12,690.0,692.0,665.7,676.95,234141
2024-04-15,637.0,663.2,637.0,652.65,253030
2024-04-16,654.0,676.4,648.1,667.55,363900
2024-04-18,671.75,673.1,647.4,652.7,178776
2024-04-19,647.95,650.95,630.0,641.75,205796
2024-04-22,646.05,673.9,646.0,665.15,486678
2024-04-23,669.95,684.5,663.4,673.4,307749
2024-04-24,678.0,731.8,676.95,711.15,3399661
2024-04-25,715.0,726.0,710.75,716.85,633105
2024-04-26,721.3,734.95,711.05,721.65,983352
2024-04-29,725.0,746.0,715.0,720.4,702967
2024-04-30,724.1,726.4,711.5,715.2,205767
2024-05-02,718.3,730.0,708.05,714.7,265265
2024-05-03,718.25,727.0,708.4,710.75,235909
2024-05-06,714.0,715.0,685.6,691.55,192618
2024-05-07,691.5,691.55,670.0,681.9,166330
2024-05-08,682.65,693.2,674.9,677.2,158133
2024-05-09,680.5,689.15,647.0,651.7,187522
2024-05-10,660.0,664.3,639.1,659.9,140432
2024-05-13,663.75,663.9,632.05,644.0,206031
2024-05-14,649.0,662.3,645.6,660.3,166330
2024-05-15,664.45,709.0,663.0,694.55,976383
2024-05-16,700.25,701.4,652.8,675.85,580338
2024-05-17,675.9,696.5,670.1,691.75,240081
2024-05-18,692.0,707.5,677.1,696.3,56880
2024-05-21,696.3,715.0,687.0,701.45,381407
2024-05-22,705.0,711.9,693.65,699.3,188316
2024-05-23,702.8,706.5,690.0,692.7,115002
2024-05-24,688.7,747.8,687.55,717.05,2839980
2024-05-27,719.0,734.6,705.9,710.65,517043
2024-05-28,716.3,716.7,694.05,698.9,296167
2024-05-29,699.9,708.0,686.55,693.4,265910
2024-05-30,691.7,700.0,680.2,683.15,157753
2024-05-31,686.95,696.0,671.0,674.45,182298
2024-06-03,699.0,712.0,682.1,701.75,440417
2024-06-04,701.0,702.0,579.8,638.25,300298
2024-06-05,644.6,665.5,625.3,656.05,267688
2024-06-06,670.0,705.4,669.95,695.45,399641
2024-06-07,695.95,707.25,690.0,700.05,229651
2024-06-10,705.0,810.0,700.05,802.7,10801714
2024-06-11,805.0,805.0,771.0,776.0,1809814
2024-06-12,778.5,801.5,769.15,772.35,1368136
2024-06-13,777.45,788.35,765.5,772.4,890729
2024-06-14,776.75,803.05,768.0,779.9,1108189
2024-06-18,784.4,885.0,772.0,866.8,9810914
2024-06-19,884.0,942.5,882.0,908.65,9758371
2024-06-20,908.25,1090.35,892.55,1090.35,15399792
2024-06-21,1130.0,1187.0,1062.1,1134.45,11102873
2024-06-24,1071.0,1104.0,1021.0,1021.0,3229907
2024-06-25,1014.75,1042.4,984.0,999.05,1993322
2024-06-26,1008.0,1054.0,990.65,1008.05,2497634
2024-06-27,1015.0,1018.1,950.0,960.05,928994
2024-06-28,973.95,994.95,957.05,986.75,1662740
2024-07-01,993.9,1045.0,981.0,1021.75,1594994
2024-07-02,1028.0,1028.0,992.0,1002.9,512634
2024-07-03,1009.8,1036.65,1005.0,1014.45,951076
2024-07-04,1020.0,1065.4,1007.05,1012.9,2015054
2024-07-05,1013.0,1032.35,1008.0,1017.25,530792
2024-07-08,1025.05,1118.95,1020.0,1111.1,4386234
2024-07-09,1133.35,1171.0,1049.0,1105.35,3629841
2024-07-10,1093.75,1094.0,1022.9,1047.15,1123778
2024-07-11,1060.0,1072.9,1045.0,1049.45,638054
2024-07-12,1056.8,1126.0,1051.15,1089.75,1800518
2024-07-15,1094.0,1123.0,1050.25,1083.85,1632103
2024-07-16,1088.4,1151.95,1078.75,1113.4,1861530
2024-07-18,1113.4,1113.4,1063.65,1074.05,734482
2024-07-19,1075.0,1076.6,1008.0,1015.4,745100
2024-07-22,1007.0,1104.0,996.2,1082.6,2411013
2024-07-23,1076.4,1115.0,981.0,1014.6,2315161
2024-07-24,1020.0,1040.0,1010.05,1026.4,567805
2024-07-25,1010.05,1024.9,1001.6,1007.85,263301
2024-07-26,1019.0,1037.85,1005.1,1013.1,423752
2024-07-29,1021.4,1039.8,1015.0,1017.8,252991
2024-07-30,1023.0,1053.0,1015.0,1035.3,669727
2024-07-31,1042.0,1059.75,1024.25,1027.6,500666
2024-08-01,1027.6,1034.0,1006.0,1011.95,445678
2024-08-02,1004.3,1013.0,980.0,996.85,273573
2024-08-05,950.0,977.45,927.0,934.65,392533
2024-08-06,943.95,973.95,926.6,936.6,282489
2024-08-07,948.0,970.0,932.95,966.2,283063
2024-08-08,970.0,986.0,955.0,959.45,293169
2024-08-09,1039.0,1039.0,972.05,981.95,464644
2024-08-12,970.0,1023.8,963.1,993.2,437561
2024-08-13,985.0,1004.0,920.3,960.95,1061200
2024-08-14,946.55,959.9,916.6,925.35,367941
2024-08-16,926.7,942.75,922.35,927.0,195737
2024-08-19,934.85,940.0,922.65,926.5,109964
2024-08-20,926.8,947.6,925.0,938.5,195329
2024-08-21,938.0,968.8,935.0,952.7,244461
2024-08-22,957.0,1064.15,957.0,1012.6,7413151
2024-08-23,1015.0,1019.25,990.05,993.7,420929
2024-08-26,998.4,999.0,971.0,972.85,300149
2024-08-27,959.05,1023.0,959.05,984.8,960021
2024-08-28,985.0,991.8,976.1,979.3,266522
2024-08-29,984.45,984.45,960.0,965.55,198244
2024-08-30,967.0,1014.8,967.0,981.1,1438637
2024-09-02,982.0,1004.95,972.4,983.7,451218
2024-09-03,983.7,1009.0,980.5,997.55,324741
2024-09-04,994.0,1035.0,980.0,999.75,1240112
2024-09-05,1003.25,1018.25,999.05,1008.0,276122
2024-09-06,1013.0,1016.35,972.0,974.05,309165
2024-09-09,975.05,989.0,946.8,974.2,217530
2024-09-10,977.0,1008.0,977.0,998.65,291991
2024-09-11,1007.0,1028.2,969.0,973.5,714524
2024-09-12,984.9,1008.0,981.9,994.25,265317
2024-09-13,1002.8,1014.0,990.0,996.1,259502
2024-09-16,996.1,996.1,980.0,987.6,192059
2024-09-17,989.6,997.0,975.0,977.15,163561
2024-09-18,981.95,1029.95,974.05,1012.8,942923
2024-09-19,1020.0,1024.0,956.45,975.6,540432
2024-09-20,979.0,984.9,968.3,976.55,239399
2024-09-23,980.4,996.0,976.55,983.2,217891
2024-09-24,983.2,999.45,980.0,984.6,214980
2024-09-25,984.6,988.05,973.0,978.5,115894
2024-09-26,980.1,983.2,962.2,967.5,113620
2024-09-27,969.4,990.0,956.1,960.8,166695
2024-09-30,960.0,970.95,940.0,963.95,191102
2024-10-01,968.7,997.05,964.6,973.0,625152
2024-10-03,959.85,970.0,942.05,950.65,151060
2024-10-04,950.0,956.0,906.85,911.15,282166
2024-10-07,896.0,910.7,842.05,850.2,328815
2024-10-08,850.2,885.0,838.4,875.45,212279
2024-10-09,884.0,901.65,880.0,885.2,168021
2024-10-10,886.75,947.65,884.85,932.35,2032206
2024-10-11,923.8,928.9,903.05,917.5,217792
2024-10-14,926.65,941.85,915.0,918.75,175275
2024-10-15,919.2,933.0,916.05,919.8,121866
2024-10-16,918.3,945.0,917.7,922.85,267081
2024-10-17,931.2,939.4,908.0,913.2,182310
2024-10-18,913.2,915.0,886.55,903.0,103916
2024-10-21,912.75,913.7,879.3,881.1,123910
2024-10-22,885.95,886.8,839.35,843.3,175263
2024-10-23,840.0,865.5,814.05,850.8,269269
2024-10-24,855.0,861.55,832.3,836.65,156487
2024-10-25,837.3,845.2,785.0,791.75,155152
2024-10-28,791.75,835.0,786.55,825.0,258480
2024-10-29,826.0,842.7,811.35,829.15,174557
2024-10-30,829.8,868.95,820.15,863.25,227299
2024-10-31,863.25,875.0,854.0,861.5,105496
