date,open,high,low,close,volume
2023-12-26,694.95,702.45,688.05,696.25,257372
2023-12-27,701.2,714.25,691.4,704.75,485583
2023-12-28,718.15,732.5,708.0,727.1,839853
2023-12-29,732.0,736.2,726.05,734.9,309011
2024-01-01,740.0,741.5,729.25,734.7,145695
2024-01-02,737.1,738.0,722.2,725.3,268560
2024-01-03,722.05,725.35,705.1,723.7,306414
2024-01-04,727.9,735.0,715.0,722.55,199800
2024-01-05,726.0,735.8,725.0,733.95,184113
2024-01-08,734.4,734.4,715.0,722.1,360698
2024-01-09,725.45,733.0,723.0,730.7,280105
2024-01-10,729.0,729.9,722.0,725.55,179455
2024-01-11,729.0,748.8,724.95,744.85,842772
2024-01-12,746.0,748.95,730.0,732.45,192998
2024-01-15,736.1,738.9,725.1,733.9,179705
2024-01-16,732.1,747.6,730.5,742.4,301542
2024-01-17,735.2,739.0,725.5,730.1,301088
2024-01-18,728.0,753.95,726.55,749.9,413556
2024-01-19,753.6,774.05,752.2,769.4,383629
2024-01-20,769.4,769.4,750.0,751.35,64147
2024-01-23,753.4,765.0,742.3,756.15,618686
2024-01-24,758.55,760.05,721.1,737.95,222700
2024-01-25,737.0,755.0,730.0,749.85,419862
2024-01-29,753.6,764.0,746.95,754.35,192152
2024-01-30,754.4,764.8,749.0,758.85,225128
2024-01-31,756.0,783.2,753.05,761.8,533589
2024-02-01,765.6,774.0,750.15,757.1,349027
2024-02-02,767.9,781.95,755.65,775.55,360066
2024-02-05,784.9,787.75,769.65,776.05,557484
2024-02-06,780.25,785.0,770.25,779.45,740210
2024-02-07,780.0,785.7,763.65,771.65,524728
2024-02-08,773.65,783.05,761.05,768.45,646652
2024-02-09,765.65,781.0,765.0,775.45,481404
2024-02-12,776.25,780.0,730.2,745.85,274932
2024-02-13,741.0,765.5,727.95,758.8,303251
2024-02-14,750.0,767.0,740.2,747.45,754508
2024-02-15,751.2,779.75,750.7,766.9,228764
2024-02-16,769.5,784.75,763.6,769.15,333572
2024-02-19,771.95,772.0,736.1,738.8,316087
2024-02-20,740.05,742.5,714.05,718.35,299423
2024-02-21,725.0,727.2,712.25,716.7,212376
2024-02-22,717.4,727.0,710.95,721.75,164659
2024-02-23,724.9,725.0,711.0,720.6,104254
2024-02-26,720.6,726.15,715.65,720.65,199736
2024-02-27,721.85,728.9,701.1,721.65,555964
2024-02-28,722.9,722.9,704.55,709.35,261111
2024-02-29,709.0,717.6,697.5,706.3,852527
2024-03-01,705.0,718.7,700.2,704.6,400197
2024-03-02,710.0,717.0,704.05,710.0,11574
2024-03-04,711.45,711.9,681.0,683.7,429734
2024-03-05,688.75,691.65,669.05,672.2,771372
2024-03-06,672.2,681.6,652.15,659.05,912981
2024-03-07,662.05,681.6,653.3,664.8,652929
2024-03-11,673.95,697.1,661.0,666.3,862161
2024-03-12,669.6,673.95,649.35,652.95,325436
2024-03-13,654.0,663.75,606.2,609.9,333775
2024-03-14,609.9,633.0,600.05,625.95,520720
2024-03-15,629.0,641.15,610.55,617.1,355703
2024-03-18,615.0,649.0,614.0,642.85,484692
2024-03-19,642.9,657.45,633.15,652.4,448710
2024-03-20,659.2,693.95,646.0,679.05,954704
2024-03-21,680.0,706.0,679.05,699.65,353119
2024-03-22,697.05,720.0,694.0,715.75,861786
2024-03-26,714.15,717.2,693.0,697.75,770246
2024-03-27,702.9,737.7,700.85,729.85,719184
2024-03-28,733.25,737.05,711.85,719.45,1466430
2024-04-01,722.9,742.5,718.85,738.65,1398399
2024-04-02,750.0,762.0,733.5,746.4,810384
2024-04-03,747.2,754.6,735.15,742.55,84255
2024-04-04,752.8,767.2,742.3,753.45,265551
2024-04-05,741.3,760.95,741.0,758.7,141901
2024-04-08,762.95,774.85,756.2,760.5,165957
2024-04-09,767.35,769.95,735.05,740.4,6053672
2024-04-10,741.0,748.35,722.25,723.8,149208
2024-04-12,728.0,733.9,705.35,729.5,329005
2024-04-15,715.0,716.95,697.05,703.75,193066
2024-04-16,703.75,708.9,694.0,696.75,321330
2024-04-18,696.95,704.95,684.25,688.9,327505
2024-04-19,684.0,699.0,676.55,691.85,153514
2024-04-22,692.2,705.95,688.2,693.7,214846
2024-04-23,698.5,699.0,677.2,680.55,347626
