date,open,high,low,close,volume
2023-12-26,3601.15,3669.7,3580.05,3605.15,238681
2023-12-27,3624.95,3664.9,3563.35,3590.7,235238
2023-12-28,3585.0,3690.0,3526.8,3586.45,312774
2023-12-29,3629.95,3730.0,3613.2,3699.25,262977
2024-01-01,3699.25,3826.4,3653.0,3812.75,184135
2024-01-02,3824.0,3899.95,3743.0,3871.5,239730
2024-01-03,3920.0,3920.0,3822.8,3892.1,172810
2024-01-04,3872.05,3894.75,3801.2,3824.5,85513
2024-01-05,3824.75,3869.8,3592.05,3625.6,274750
2024-01-08,3600.0,3625.15,3490.35,3516.3,148013
2024-01-09,3517.0,3574.95,3401.5,3427.8,103332
2024-01-10,3425.0,3441.95,3307.1,3371.95,195097
2024-01-11,3385.9,3550.0,3370.0,3528.5,162684
2024-01-12,3549.0,3562.7,3455.0,3485.8,53103
2024-01-15,3485.85,3524.6,3405.0,3418.1,55106
2024-01-16,3418.1,3486.45,3401.0,3411.55,53800
2024-01-17,3380.0,3447.05,3364.55,3404.9,51396
2024-01-18,3404.95,3548.0,3350.0,3515.5,98181
2024-01-19,3519.7,3737.95,3490.0,3726.45,256837
2024-01-20,3736.0,3782.65,3661.1,3729.6,59789
2024-01-23,3799.0,3799.0,3591.1,3639.2,82670
2024-01-24,3677.9,3677.9,3570.55,3617.15,43998
2024-01-25,3607.6,3636.0,3539.0,3569.35,38710
2024-01-29,3577.0,3739.0,3544.75,3706.3,123138
2024-01-30,3706.3,3724.0,3606.0,3616.6,42702
2024-01-31,3635.0,3725.0,3620.05,3684.15,67760
2024-02-01,3710.0,3710.05,3586.0,3650.75,38612
2024-02-02,3634.0,3638.65,3540.05,3552.55,68134
2024-02-05,3520.0,3661.95,3470.0,3609.25,89756
2024-02-06,3600.05,3687.6,3599.5,3647.7,53981
2024-02-07,3647.0,3683.75,3525.0,3615.85,239203
2024-02-08,3600.25,3615.85,3489.85,3507.65,105409
2024-02-09,3492.0,3534.0,3350.05,3520.45,107223
2024-02-12,3535.0,3582.6,3402.25,3425.2,55122
2024-02-13,3425.2,3613.9,3315.0,3574.95,103613
2024-02-14,3549.95,3549.95,3421.0,3465.8,58006
2024-02-15,3521.95,3545.95,3402.0,3517.5,92759
2024-02-16,3517.0,3563.75,3438.3,3456.0,124097
2024-02-19,3465.0,3524.2,3460.0,3484.75,43426
2024-02-20,3479.9,3611.8,3458.0,3529.85,112092
2024-02-21,3529.85,3550.55,3520.0,3536.95,52299
2024-02-22,3522.0,3546.55,3476.1,3513.6,35710
2024-02-23,3503.05,3649.7,3501.35,3591.65,128682
2024-02-26,3623.0,3716.4,3601.1,3698.25,164380
2024-02-27,3710.0,3751.0,3662.0,3683.85,94634
2024-02-28,3683.85,3734.0,3581.25,3711.2,78547
2024-02-29,3710.0,3720.0,3606.5,3701.75,73564
2024-03-01,3704.2,3834.5,3642.45,3670.3,130083
2024-03-02,3650.0,3757.0,3650.0,3673.2,4535
2024-03-04,3641.05,3665.95,3461.0,3491.05,90351
2024-03-05,3499.0,3610.0,3482.35,3600.55,138300
2024-03-06,3578.95,3650.0,3405.0,3592.0,121270
2024-03-07,3606.9,3606.9,3518.85,3537.0,30376
2024-03-11,3525.1,3606.35,3420.0,3435.85,34550
2024-03-12,3430.0,3467.6,3330.05,3365.8,81260
2024-03-13,3367.05,3367.05,3151.65,3227.45,91064
