date,open,high,low,close,volume
2023-12-26,185.0,187.0,183.8,186.2,1225048
2023-12-27,186.4,189.15,183.25,183.85,1021749
2023-12-28,184.85,186.8,181.6,185.1,1214063
2023-12-29,185.0,186.85,182.9,184.85,956353
2024-01-01,185.1,186.35,183.1,185.15,981796
2024-01-02,185.25,186.3,181.8,184.15,1626019
2024-01-03,183.0,186.75,182.15,186.0,1096851
2024-01-04,186.25,192.55,186.25,189.15,3189972
2024-01-05,189.0,198.45,188.45,193.25,6971072
2024-01-08,194.35,195.3,187.25,188.15,1490456
2024-01-09,190.1,192.3,188.45,190.4,1366251
2024-01-10,191.65,194.1,189.25,190.55,1428349
2024-01-11,191.75,192.1,189.05,190.1,862480
2024-01-12,193.0,217.0,193.0,209.9,54201317
2024-01-15,210.6,213.3,206.75,209.05,7330786
2024-01-16,209.0,209.5,199.75,201.85,4156094
2024-01-17,200.0,205.7,197.05,199.95,3842796
2024-01-18,200.8,201.0,188.85,197.75,3882847
2024-01-19,198.8,205.7,198.65,204.75,4003241
2024-01-20,206.0,207.05,200.2,201.5,1304205
2024-01-23,202.6,204.2,189.4,190.55,2677773
2024-01-24,192.0,197.6,191.45,195.35,1675776
2024-01-25,196.8,198.6,194.0,194.8,1188550
2024-01-29,194.8,196.85,191.55,195.25,1869281
2024-01-30,196.2,208.4,196.2,201.5,9294910
2024-01-31,202.15,206.35,198.25,204.6,3243597
2024-02-01,205.65,205.65,200.0,202.0,1058832
2024-02-02,203.1,205.0,198.1,199.5,1631602
2024-02-05,200.3,205.0,199.9,201.6,1930715
2024-02-06,202.85,211.0,201.2,209.95,6927634
2024-02-07,211.15,212.65,198.4,206.7,6549084
2024-02-08,211.15,221.5,208.6,216.65,11892908
2024-02-09,219.25,220.2,205.05,205.85,6050185
2024-02-12,206.0,209.0,196.0,199.25,3282187
2024-02-13,200.0,200.0,190.5,197.75,2993774
2024-02-14,195.0,200.25,193.1,199.05,2388114
2024-02-15,202.3,202.7,199.15,200.65,2674635
2024-02-16,199.6,202.0,196.15,199.45,2429371
2024-02-19,200.45,202.35,197.0,198.2,1300819
2024-02-20,199.4,207.9,198.55,203.45,3365046
2024-02-21,204.6,205.0,196.25,198.7,1545186
2024-02-22,200.0,206.9,198.9,200.55,3015644
2024-02-23,201.0,205.55,199.5,201.55,2060012
2024-02-26,202.55,208.5,202.0,205.45,2295126
2024-02-27,205.5,209.4,204.2,206.95,1776909
2024-02-28,208.35,209.2,201.8,205.05,2678081
2024-02-29,204.55,206.85,200.7,205.7,2243266
2024-03-01,207.0,208.2,204.55,205.35,1316418
2024-03-02,205.55,206.65,203.0,203.6,144511
2024-03-04,203.5,206.9,200.4,205.85,1740755
2024-03-05,206.0,206.8,201.55,202.25,635122
2024-03-06,200.8,201.25,192.4,196.1,2373492
2024-03-07,198.1,199.6,195.6,197.9,1067902
2024-03-11,197.0,197.0,191.0,193.45,1198227
2024-03-12,193.45,197.2,187.55,189.5,1512968
2024-03-13,190.75,192.5,178.4,182.05,2871244
2024-03-14,182.6,195.75,179.8,194.25,1807786
2024-03-15,192.0,195.5,188.85,194.3,1684759
2024-03-18,194.25,194.25,187.25,190.2,1585669
2024-03-19,189.85,189.95,183.55,185.45,1193050
2024-03-20,186.0,187.95,179.4,186.95,1249238
2024-03-21,189.0,192.75,187.45,191.25,1096091
2024-03-22,188.0,194.0,182.55,192.45,1164446
2024-03-26,190.5,196.25,188.05,194.95,1056560
2024-03-27,197.0,198.95,193.5,198.05,1726889
2024-03-28,199.65,200.7,196.7,197.65,913903
2024-04-01,197.65,201.5,197.05,200.15,1005499
2024-04-02,201.0,202.7,198.55,200.6,953729
2024-04-03,200.0,204.4,199.05,202.05,1644349
2024-04-04,202.55,204.85,201.9,203.3,1036901
2024-04-05,200.5,203.0,199.5,202.3,942077
2024-04-08,202.0,203.7,197.15,198.95,1462873
2024-04-09,200.75,208.2,199.0,204.55,2858421
2024-04-10,205.9,208.45,203.8,204.5,1288174
2024-04-12,204.5,206.95,201.8,203.5,1181423
2024-04-15,197.0,203.0,193.0,202.1,1578200
