date,open,high,low,close,volume
2023-12-26,141.6,146.65,140.58,143.09,44403657
2023-12-27,144.01,144.44,139.96,141.02,15311946
2023-12-28,141.6,147.76,140.83,146.08,37181228
2023-12-29,148.63,153.01,146.99,150.89,57370272
2024-01-01,152.44,157.88,151.42,154.85,40952729
2024-01-02,155.71,156.19,147.04,152.77,40801901
2024-01-03,152.73,153.11,149.59,150.94,22338899
2024-01-04,151.09,154.36,151.04,151.91,16795469
2024-01-05,154.65,155.71,150.7,152.39,36182162
2024-01-08,154.03,154.03,149.16,149.55,16705187
2024-01-09,150.7,151.52,148.58,149.88,21668343
2024-01-10,149.74,150.22,146.65,148.87,21435177
2024-01-11,148.68,149.93,144.87,147.96,37761286
2024-01-12,149.64,153.54,148.29,151.18,31798366
2024-01-15,152.44,155.42,150.32,153.88,26896883
2024-01-16,154.03,156.77,151.62,155.52,33401828
2024-01-17,154.17,157.54,152.34,152.82,31113706
2024-01-18,152.82,153.83,146.7,152.29,20299367
2024-01-19,153.74,157.74,153.11,156.87,21251240
2024-01-20,158.75,160.24,154.17,155.09,26069183
2024-01-23,156.58,156.87,144.78,146.17,30341132
2024-01-24,147.62,153.79,145.21,153.26,18968981
2024-01-25,154.65,155.76,153.26,154.07,16725897
2024-01-29,156.53,163.04,154.17,160.19,58433818
2024-01-30,163.32,165.25,159.95,160.43,57303068
2024-01-31,161.4,162.84,158.84,161.01,29140358
2024-02-01,162.36,163.81,159.76,162.07,31663125
2024-02-02,164.19,168.14,163.42,166.12,41748419
2024-02-05,168.14,174.41,166.17,169.68,57505480
2024-02-06,172.0,176.33,169.3,174.94,33761541
2024-02-07,176.09,178.65,171.76,172.43,31684715
2024-02-08,174.36,175.56,171.52,173.15,19018617
2024-02-09,173.35,173.54,162.02,166.79,36193339
2024-02-12,166.79,168.34,161.4,162.65,18334992
2024-02-13,163.13,166.02,160.29,164.14,13204257
2024-02-14,162.84,170.31,161.16,169.83,15132347
2024-02-15,170.55,179.71,169.25,177.54,43688826
2024-02-16,178.65,178.89,175.13,175.95,19961823
2024-02-19,176.33,181.01,175.51,177.15,19606057
2024-02-20,176.81,179.22,175.9,177.3,11867776
2024-02-21,177.97,178.69,172.77,173.73,13671880
2024-02-22,174.41,176.53,171.23,175.61,11766044
2024-02-23,176.33,176.43,172.57,173.35,8219010
2024-02-26,173.44,176.81,171.23,175.47,14909208
2024-02-27,175.37,176.57,172.33,173.92,9486385
2024-02-28,174.26,175.18,170.21,172.82,12659946
2024-02-29,172.24,177.2,169.88,175.61,19475687
2024-03-01,178.21,179.18,175.56,177.44,17823470
2024-03-02,178.16,179.22,177.49,177.68,1173873
2024-03-04,179.22,185.87,178.26,183.9,52923468
2024-03-05,185.49,189.2,184.33,187.03,26849239
2024-03-06,186.98,187.03,178.89,183.51,20285523
2024-03-07,184.19,185.44,180.77,181.68,7718111
2024-03-11,181.15,181.15,175.32,176.57,14087639
2024-03-12,176.57,177.87,172.19,173.35,16435560
2024-03-13,173.35,173.59,160.24,162.55,22832224
2024-03-14,161.88,170.17,160.0,169.68,22996586
2024-03-15,170.17,170.21,159.52,167.47,42241333
2024-03-18,168.14,171.52,166.84,169.49,10899780
2024-03-19,169.44,170.07,166.12,166.65,9713217
2024-03-20,166.7,168.48,162.55,167.66,8692031
2024-03-21,168.72,170.84,167.47,168.67,13773426
2024-03-22,168.62,169.59,166.5,167.76,12396239
2024-03-26,167.76,174.65,165.78,173.92,22741278
2024-03-27,176.19,177.01,173.1,173.73,13833150
2024-03-28,174.74,175.75,173.1,174.45,10519502
2024-04-01,174.79,177.78,174.12,175.71,8712471
2024-04-02,176.33,177.59,171.03,176.62,17194544
2024-04-03,177.3,184.76,175.75,182.21,40868454
2024-04-04,183.51,183.51,178.12,179.71,16507602
2024-04-05,179.42,184.48,177.59,183.8,15022150
2024-04-08,184.09,194.5,184.09,193.44,56272730
2024-04-09,195.6,199.36,193.15,196.42,37997348
2024-04-10,197.05,202.25,194.26,194.83,27923078
2024-04-12,196.57,197.53,192.09,193.77,30179782
2024-04-15,189.82,201.0,189.44,196.28,44962181
2024-04-16,195.6,202.45,193.77,198.35,31636637
2024-04-18,200.42,205.87,194.88,196.13,30645258
2024-04-19,195.6,196.57,190.06,194.59,22533995
