date,open,high,low,close,volume
2023-12-26,6141.2,6163.95,6091.7,6100.05,10504
2023-12-27,6150.0,6159.25,6071.05,6111.3,24950
2023-12-28,6164.95,6632.0,6100.0,6550.0,79070
2023-12-29,6500.05,6510.0,6420.0,6482.75,22772
2024-01-01,6500.0,6550.0,6430.0,6475.25,10527
2024-01-02,6475.25,6497.8,6350.95,6476.25,109330
2024-01-03,6475.0,6688.0,6468.5,6626.95,29016
2024-01-04,6650.0,6695.0,6502.6,6549.55,53622
2024-01-05,6560.0,6671.75,6551.05,6650.45,14420
2024-01-08,6690.0,7335.65,6652.45,7091.55,87007
2024-01-09,7135.0,7135.0,6755.1,6801.35,36689
2024-01-10,6850.0,6999.95,6835.55,6887.25,27018
2024-01-11,6928.2,7070.0,6727.55,6926.3,19576
2024-01-12,7000.3,7024.0,6776.05,6801.4,150577
2024-01-15,6900.0,6945.0,6736.0,6761.7,44993
2024-01-16,6775.0,6799.0,6526.0,6605.5,26665
2024-01-17,6549.95,6689.95,6510.3,6568.95,45663
2024-01-18,6550.0,6619.0,6475.0,6554.0,19171
2024-01-19,6584.0,6644.85,6518.0,6581.25,8899
2024-01-20,6599.9,6649.0,6555.0,6624.3,4344
2024-01-23,6632.85,6657.75,6487.65,6522.85,15508
2024-01-24,6550.0,6550.0,6481.0,6526.65,11329
2024-01-25,6549.0,6570.0,6453.0,6506.2,9998
2024-01-29,6506.0,6556.35,6465.0,6484.95,19671
2024-01-30,6490.0,7299.0,6473.65,6689.05,78761
2024-01-31,6699.9,6791.0,6544.0,6585.9,37332
2024-02-01,6599.0,6642.55,6572.85,6590.9,10906
2024-02-02,6645.0,6670.0,6530.0,6566.8,24065
2024-02-05,6600.05,6666.0,6580.05,6651.4,20258
2024-02-06,6690.0,6860.0,6653.8,6796.9,50443
2024-02-07,6796.95,6923.9,6796.95,6894.15,40246
2024-02-08,6870.0,6890.0,6800.05,6838.5,18852
2024-02-09,6812.15,6847.45,6650.0,6809.2,13679
2024-02-12,6788.7,6829.6,6620.05,6660.5,13373
2024-02-13,6660.5,6674.4,6520.6,6566.1,10371
2024-02-14,6500.0,6770.0,6500.0,6739.1,15021
2024-02-15,6739.1,6795.0,6652.1,6744.1,7648
2024-02-16,6830.0,6830.0,6657.05,6688.65,8387
2024-02-19,6728.0,6728.6,6580.1,6597.1,10228
2024-02-20,6631.6,6631.6,6501.1,6514.55,8258
2024-02-21,6548.15,6575.75,6485.0,6509.9,12760
2024-02-22,6500.0,6580.0,6480.0,6543.3,6546
2024-02-23,6543.3,6543.3,6500.0,6507.1,4260
2024-02-26,6501.1,6516.3,6408.55,6458.1,8682
2024-02-27,6490.4,6490.4,6381.5,6417.65,10157
2024-02-28,6417.65,6537.0,6408.55,6481.65,19596
2024-02-29,6481.65,6530.9,6401.0,6507.9,15462
2024-03-01,6476.0,6649.0,6476.0,6565.7,10574
2024-03-02,6565.7,6646.1,6522.1,6534.15,722
2024-03-04,6529.95,6646.0,6502.1,6588.75,10692
2024-03-05,6585.4,6610.0,6478.65,6509.45,9227
2024-03-06,6510.0,6510.0,6383.2,6481.25,8574
2024-03-07,6481.0,6575.0,6466.6,6517.8,5754
2024-03-11,6511.25,6529.0,6351.0,6400.45,19132
2024-03-12,6399.6,6598.0,6351.1,6532.4,11016
2024-03-13,6502.1,6524.15,6329.3,6374.7,10314
2024-03-14,6330.0,6448.0,6330.0,6371.25,8256
2024-03-15,6409.95,6588.0,6317.65,6510.95,12368
2024-03-18,6449.0,6726.95,6440.2,6695.35,15507
2024-03-19,6719.35,6750.0,6565.6,6605.45,9382
2024-03-20,6605.0,6621.1,6478.0,6582.5,17466
2024-03-21,6616.5,6710.45,6581.4,6684.95,11407
2024-03-22,6711.25,6809.0,6642.8,6674.8,33220
2024-03-26,6794.1,6799.95,6579.15,6591.75,6838
2024-03-27,6638.8,6662.8,6517.05,6553.2,4431
2024-03-28,6554.0,6655.75,6497.0,6519.6,5778
2024-04-01,6522.2,6697.95,6522.2,6662.3,6996
2024-04-02,6695.65,6742.0,6590.1,6614.4,8436
2024-04-03,6649.95,6670.0,6510.0,6559.4,11361
2024-04-04,6599.0,6631.1,6577.25,6616.8,6177
2024-04-05,6640.0,6681.4,6559.65,6622.15,8146
2024-04-08,6656.3,6656.35,6580.0,6591.7,7017
2024-04-09,6620.0,6638.4,6546.7,6598.4,5818
2024-04-10,6578.6,6625.45,6540.0,6571.35,5899
2024-04-12,6571.35,6599.0,6391.2,6409.05,13303
2024-04-15,6390.0,6600.0,6301.0,6488.45,13730
2024-04-16,6520.9,6548.45,6425.25,6442.9,6956
2024-04-18,6442.9,6509.0,6442.9,6488.4,4752
2024-04-19,6450.0,6492.65,6407.15,6445.45,4030
2024-04-22,6460.0,6570.0,6417.6,6457.5,19965
2024-04-23,6470.0,6517.8,6337.1,6351.65,36566
2024-04-24,6361.25,6406.6,6295.0,6300.3,13556
2024-04-25,6320.0,6367.8,6195.05,6207.15,35272
2024-04-26,6245.0,6325.05,6236.9,6257.6,16610
2024-04-29,6257.6,6378.55,6191.0,6207.2,35680
2024-04-30,6394.0,6859.0,6305.0,6667.9,347032
2024-05-02,6650.0,6820.0,6585.05,6771.6,49288
2024-05-03,6701.5,6825.6,6631.0,6696.75,14954
2024-05-06,6755.75,6755.75,6548.1,6618.5,16262
2024-05-07,6619.0,6867.3,6600.0,6802.75,175429
2024-05-08,6859.0,7089.9,6764.6,6967.9,76913
2024-05-09,6970.0,7110.0,6863.75,6911.85,50025
2024-05-10,6914.7,6960.45,6774.6,6798.9,13932
2024-05-13,6839.0,7074.0,6770.0,6888.55,32576
2024-05-14,6898.8,6951.75,6750.1,6799.95,22091
2024-05-15,6800.0,6864.2,6689.8,6717.65,26223
2024-05-16,6774.95,6859.0,6701.15,6820.15,30212
2024-05-17,6854.3,6918.75,6738.2,6874.0,24801
2024-05-18,6807.05,6915.7,6807.0,6820.3,1350
2024-05-21,6820.3,6890.0,6767.3,6808.3,25053
2024-05-22,6801.0,7002.0,6794.2,6945.85,23816
2024-05-23,6980.15,6990.0,6840.0,6973.5,16857
2024-05-24,6990.0,7031.2,6832.55,6892.3,19785
2024-05-27,6899.0,7190.0,6879.65,7136.05,66549
2024-05-28,7164.55,7180.0,6839.2,6876.25,38005
2024-05-29,6910.65,7099.15,6862.6,7076.1,60063
2024-05-30,7075.65,7185.45,6971.0,7146.15,25944
2024-05-31,7146.15,7250.0,7070.25,7138.7,169149
2024-06-03,7200.15,7240.0,7072.3,7210.5,41887
2024-06-04,7152.0,7245.7,6710.5,7123.05,28631
2024-06-05,7175.0,7550.0,7102.05,7490.5,95384
2024-06-06,7500.0,7675.9,7439.95,7486.5,31055
2024-06-07,7529.0,7547.0,7456.0,7519.0,31865
2024-06-10,7519.0,7695.0,7519.0,7648.35,15712
2024-06-11,7645.3,7999.0,7599.95,7843.85,64914
2024-06-12,7838.55,7948.1,7725.3,7784.2,20831
2024-06-13,7795.7,7909.95,7761.85,7777.8,38516
2024-06-14,7785.1,7899.3,7695.0,7710.15,13519
2024-06-18,7725.0,7889.95,7710.15,7833.4,18169
2024-06-19,7894.15,7894.15,7530.0,7551.15,47756
2024-06-20,7614.95,7614.95,7344.15,7399.25,30231
2024-06-21,7390.1,7577.0,7346.75,7536.95,27600
2024-06-24,7593.0,7625.0,7390.0,7458.0,33267
2024-06-25,7499.0,7540.0,7470.0,7499.2,9838
2024-06-26,7537.1,7537.1,7395.0,7429.7,12878
2024-06-27,7458.0,7500.0,7231.5,7355.65,14401
2024-06-28,7360.0,7405.0,7222.65,7244.85,12876
2024-07-01,7285.0,7460.0,7250.0,7308.25,75118
2024-07-02,7347.9,7422.6,7202.0,7317.7,16938
2024-07-03,7340.0,7345.0,7262.5,7289.9,14110
2024-07-04,7326.8,7327.4,7220.0,7228.8,12179
2024-07-05,7274.95,7278.0,7175.2,7203.55,12937
2024-07-08,7203.55,7449.0,7152.75,7390.0,22191
2024-07-09,7477.5,7477.5,7331.0,7397.65,14764
2024-07-10,7423.0,7464.95,7293.0,7392.8,15483
2024-07-11,7431.85,7450.0,7340.1,7383.4,13471
2024-07-12,7427.9,7427.9,7302.6,7363.35,33181
2024-07-15,7363.35,7790.0,7363.3,7675.9,46263
2024-07-16,7720.0,7826.6,7682.35,7732.5,22710
2024-07-18,7771.6,8099.0,7676.05,7974.45,59095
2024-07-19,7950.0,7984.95,7635.0,7683.9,18191
2024-07-22,7683.9,7750.0,7612.0,7663.95,7571
2024-07-23,7663.95,7888.0,7550.05,7699.1,21365
2024-07-24,7700.0,7937.95,7677.05,7851.1,16297
2024-07-25,7800.0,7833.35,7725.0,7807.3,9601
2024-07-26,7827.3,7938.9,7775.05,7787.65,9711
2024-07-29,7866.0,7927.6,7770.0,7834.25,11781
2024-07-30,7833.0,7962.65,7800.15,7820.25,9609
2024-07-31,7820.25,7900.0,7797.9,7824.7,6189
2024-08-01,7815.15,7981.0,7705.0,7941.95,12352
2024-08-02,7941.95,8195.0,7872.1,7981.9,56172
2024-08-05,7966.0,7966.0,7551.2,7595.3,25352
2024-08-06,7611.1,7759.95,7560.0,7652.3,9760
2024-08-07,7675.0,7918.7,7674.95,7850.1,17226
2024-08-08,7850.1,8075.0,7850.0,8018.75,20541
2024-08-09,8040.0,8139.25,7951.2,8029.95,12986
2024-08-12,8029.95,8033.15,7850.0,7877.25,7750
