date,open,high,low,close,volume
2023-12-26,408.0,416.45,404.4,411.4,2755320
2023-12-27,415.5,427.4,407.35,409.7,4420928
2023-12-28,411.7,420.0,408.0,409.9,4058354
2023-12-29,410.75,414.25,405.0,407.0,2641585
2024-01-01,409.45,439.95,407.9,432.75,15590376
2024-01-02,435.5,447.0,422.35,433.6,9875294
2024-01-03,435.8,445.0,430.05,432.35,6910138
2024-01-04,434.95,445.0,433.5,439.0,5650960
2024-01-05,451.0,461.35,441.3,450.05,10605503
2024-01-08,452.2,464.2,448.6,451.75,6089195
2024-01-09,465.0,502.9,465.0,478.9,20523197
2024-01-10,481.8,486.5,475.0,480.6,4966901
2024-01-11,480.6,484.7,463.05,466.85,4518847
2024-01-12,470.0,473.75,465.6,467.7,2232857
2024-01-15,470.4,472.1,453.6,461.65,2918894
2024-01-16,463.95,477.3,454.0,465.9,5077699
2024-01-17,462.65,469.15,455.4,463.45,2551196
2024-01-18,463.15,465.45,441.25,456.6,2805327
2024-01-19,458.85,477.5,457.5,473.2,3980629
2024-01-20,476.15,484.0,473.1,475.3,3216167
2024-01-23,480.0,481.7,420.0,440.15,3762330
2024-01-24,440.15,462.45,432.85,458.4,3266554
2024-01-25,458.4,462.8,454.25,457.75,1730375
2024-01-29,460.0,472.55,456.55,464.05,2419054
2024-01-30,465.0,466.4,449.25,451.2,2000205
2024-01-31,454.8,461.0,452.15,458.0,1946720
2024-02-01,455.95,462.95,448.4,453.15,1616284
2024-02-02,455.75,484.4,455.0,472.7,6427405
2024-02-05,477.3,506.0,476.25,489.45,12695652
2024-02-06,494.0,504.0,484.1,495.6,3965032
2024-02-07,498.3,502.9,478.9,482.5,3111504
2024-02-08,486.0,493.75,473.0,480.35,2604090
2024-02-09,482.45,482.6,414.25,429.75,6314045
2024-02-12,412.0,425.9,362.55,374.45,6897223
2024-02-13,384.95,401.0,373.0,398.6,5047553
2024-02-14,394.9,407.9,387.0,406.2,3164478
2024-02-15,407.2,423.45,406.25,417.85,3027600
2024-02-16,420.45,420.45,406.15,407.8,1952386
2024-02-19,409.55,419.4,397.85,408.2,3215993
2024-02-20,410.0,417.85,403.65,411.0,1760192
2024-02-21,411.0,413.9,398.05,401.25,1312646
2024-02-22,403.0,420.9,391.85,415.55,3169660
2024-02-23,415.25,419.8,411.0,414.5,1634815
2024-02-26,410.0,414.9,402.95,404.4,1245336
2024-02-27,404.0,413.0,399.05,402.0,1528795
