date,open,high,low,close,volume
2023-12-26,548.0,556.0,546.4,548.9,78001
2023-12-27,551.0,555.7,544.0,545.8,77131
2023-12-28,546.2,549.4,541.2,544.6,117916
2023-12-29,544.6,572.35,543.0,557.45,643611
2024-01-01,557.0,566.25,553.25,557.3,149419
2024-01-02,557.3,574.95,554.35,564.0,328840
2024-01-03,564.0,573.4,560.1,561.25,254362
2024-01-04,565.0,575.65,562.65,568.8,335643
2024-01-05,569.95,572.9,560.1,564.65,130305
2024-01-08,565.0,567.75,551.3,553.35,113497
2024-01-09,555.1,559.4,547.45,549.3,114372
2024-01-10,550.75,560.0,537.1,542.0,176080
2024-01-11,543.95,551.95,538.25,543.4,141149
2024-01-12,543.4,577.1,543.4,562.05,669930
2024-01-15,565.0,569.65,555.4,559.95,146270
2024-01-16,558.9,564.25,549.5,551.3,190809
2024-01-17,546.95,558.95,543.5,546.2,141788
2024-01-18,546.0,549.4,533.45,542.7,148835
2024-01-19,545.0,549.75,538.45,542.15,95523
2024-01-20,542.65,547.2,539.55,542.45,72202
2024-01-23,545.0,545.0,525.55,530.05,102154
2024-01-24,526.0,537.45,522.45,528.0,95634
2024-01-25,528.5,540.0,528.15,534.3,99663
2024-01-29,534.3,539.8,528.05,531.2,138592
2024-01-30,531.2,547.75,531.2,537.5,156986
2024-01-31,542.85,557.5,538.55,555.85,249789
2024-02-01,575.95,579.0,563.0,566.45,991723
2024-02-02,550.0,555.0,540.05,541.45,344709
2024-02-05,546.4,546.4,526.0,529.1,149343
2024-02-06,529.1,542.05,526.8,538.1,120313
2024-02-07,542.05,544.0,534.0,537.8,97882
2024-02-08,535.15,540.0,532.5,534.65,99767
2024-02-09,534.65,535.35,516.05,523.45,136186
2024-02-12,523.45,526.6,514.9,519.35,129121
2024-02-13,521.9,523.35,504.0,520.05,138392
2024-02-14,515.0,519.3,511.3,513.3,105824
2024-02-15,515.9,517.0,510.5,511.4,229286
2024-02-16,512.0,522.55,511.6,516.8,138833
2024-02-19,516.8,527.9,515.15,518.35,106263
2024-02-20,520.95,523.8,514.15,516.3,131568
2024-02-21,516.3,522.65,511.05,513.1,109672
2024-02-22,515.7,519.9,510.05,514.35,103449
2024-02-23,515.0,524.15,515.0,522.1,119768
2024-02-26,525.0,525.0,514.25,516.65,79105
2024-02-27,516.0,522.0,514.05,517.75,284322
2024-02-28,519.0,520.0,509.1,512.85,114203
2024-02-29,511.25,516.0,505.0,513.55,78229
2024-03-01,516.15,531.0,516.15,526.85,182343
2024-03-02,527.3,529.95,521.35,527.0,15205
2024-03-04,530.8,532.45,518.0,519.8,61329
2024-03-05,519.8,521.15,513.55,515.95,48876
2024-03-06,518.5,518.5,509.55,512.2,106587
2024-03-07,512.2,518.55,512.2,515.45,56163
2024-03-11,518.9,522.75,510.0,512.5,241771
2024-03-12,515.1,515.1,493.0,500.05,135100
