date,open,high,low,close,volume
2023-12-26,147.55,149.75,146.8,148.7,840400
2023-12-27,148.95,149.75,144.85,145.7,1412604
2023-12-28,146.4,152.5,144.95,150.4,3347039
2023-12-29,150.85,157.5,150.15,153.05,6032817
2024-01-01,153.65,161.5,152.05,158.6,6785151
2024-01-02,159.8,160.25,154.7,158.75,4375827
2024-01-03,158.05,159.0,156.5,156.7,1626505
2024-01-04,158.0,160.15,157.3,159.15,2746947
2024-01-05,159.9,160.6,154.0,157.15,2994748
2024-01-08,157.45,160.0,155.1,156.2,2115753
2024-01-09,157.7,159.15,155.65,155.95,1441170
2024-01-10,155.9,158.9,153.2,156.75,2299271
2024-01-11,158.0,168.95,157.7,165.1,19660916
2024-01-12,166.75,168.6,163.85,165.35,5904920
2024-01-15,167.3,170.2,164.5,166.5,5318053
2024-01-16,167.3,168.35,160.8,164.85,2999249
2024-01-17,161.95,165.6,160.0,161.25,2618189
2024-01-18,159.9,161.25,153.0,160.35,2899688
2024-01-19,161.0,163.3,159.05,159.85,2238562
2024-01-20,160.9,167.7,160.8,163.2,2794070
2024-01-23,164.0,169.9,156.95,159.3,6100159
2024-01-24,159.3,162.1,154.6,159.0,3005522
2024-01-25,160.0,165.0,158.7,163.6,4550196
2024-01-29,165.0,170.5,163.15,168.35,8326637
2024-01-30,170.85,175.0,168.2,169.9,12820218
2024-01-31,171.4,177.0,170.3,176.2,8435095
2024-02-01,178.7,185.45,177.0,180.65,16614006
2024-02-02,183.6,190.0,180.55,182.35,9540327
2024-02-05,183.8,193.8,183.1,184.9,7268200
2024-02-06,186.45,188.9,180.5,182.25,3382644
2024-02-07,183.65,183.8,176.4,178.7,2571353
2024-02-08,179.45,185.7,178.25,180.6,4632310
2024-02-09,180.8,181.55,169.5,178.85,3931073
2024-02-12,179.9,179.9,166.75,170.75,3628681
2024-02-13,183.0,184.7,172.55,174.35,11492226
2024-02-14,171.3,177.8,171.0,173.95,3391200
2024-02-15,174.0,196.9,173.45,191.15,26323153
2024-02-16,193.75,204.8,187.5,198.35,26873955
2024-02-19,201.0,215.5,201.0,208.55,21294333
2024-02-20,209.9,209.9,202.35,205.7,9223521
2024-02-21,204.95,207.8,197.55,198.4,7531950
2024-02-22,199.65,211.35,194.25,208.2,17421886
2024-02-23,212.0,217.95,209.35,213.55,14151559
2024-02-26,214.4,215.95,202.5,203.6,6883815
2024-02-27,204.0,212.5,200.9,209.8,7258329
2024-02-28,211.7,214.35,200.0,202.5,7411362
2024-02-29,201.85,213.9,198.1,209.2,7210814
2024-03-01,215.0,218.8,211.7,214.1,7700519
2024-03-02,215.0,217.3,214.0,215.65,790823
2024-03-04,216.6,217.45,206.05,207.35,3981365
2024-03-05,208.8,211.8,206.8,208.3,3880922
2024-03-06,208.3,209.1,198.5,201.35,5185356
2024-03-07,202.95,207.75,201.6,206.9,3314534
2024-03-11,208.0,208.0,194.55,196.3,3174755
2024-03-12,196.3,196.8,187.95,191.3,5810827
2024-03-13,192.0,193.2,171.0,174.4,6641901
2024-03-14,173.1,186.5,168.8,184.4,7577198
2024-03-15,183.8,209.95,178.45,205.85,12708758
2024-03-18,204.95,206.4,194.25,195.5,7535973
2024-03-19,195.7,199.4,190.0,191.55,4073334
2024-03-20,192.9,200.9,186.65,192.85,7009831
2024-03-21,196.0,204.3,195.1,198.55,7469185
2024-03-22,198.55,201.5,195.65,197.9,3791688
2024-03-26,197.8,218.65,195.4,216.3,27927981
2024-03-27,217.55,224.35,215.35,217.45,19613495
2024-03-28,217.5,221.5,207.0,212.55,7303255
