date,open,high,low,close,volume
2023-12-26,822.0,884.75,820.0,872.2,3921279
2023-12-27,878.05,904.5,862.0,871.15,3060990
2023-12-28,875.35,881.8,854.1,860.85,968297
2023-12-29,865.0,893.0,860.25,873.25,1448171
2024-01-01,874.0,886.8,870.0,873.8,604835
2024-01-02,878.65,878.65,851.1,865.0,465924
2024-01-03,865.0,877.0,860.05,868.05,537995
2024-01-04,872.4,889.9,860.1,863.7,952233
2024-01-05,867.9,877.0,856.75,863.6,422997
2024-01-08,865.0,875.75,854.9,864.7,480205
2024-01-09,869.05,882.15,860.4,862.7,861695
2024-01-10,866.3,910.75,863.1,905.5,4321529
2024-01-11,907.0,916.9,880.25,885.05,1696471
2024-01-12,890.0,891.75,875.0,876.2,497315
2024-01-15,877.0,909.9,870.85,893.25,1136044
2024-01-16,894.0,924.7,872.15,883.7,2148923
2024-01-17,881.0,921.5,870.1,897.0,2319823
2024-01-18,897.05,911.0,861.0,881.65,1055131
2024-01-19,886.1,897.0,881.0,888.4,578086
2024-01-20,892.85,948.0,889.7,919.15,2745029
2024-01-23,928.0,946.4,885.05,896.4,1538702
2024-01-24,896.4,912.0,865.05,898.35,818922
2024-01-25,903.4,951.0,903.35,909.9,1313121
2024-01-29,916.0,918.45,900.0,905.2,442791
2024-01-30,908.0,917.5,900.0,902.9,780334
2024-01-31,930.0,943.75,911.05,930.95,1162408
2024-02-01,936.2,947.35,910.7,920.1,950915
2024-02-02,924.75,924.75,886.6,890.95,651993
2024-02-05,895.9,897.6,871.0,878.05,580336
2024-02-06,880.2,882.0,863.25,870.45,428511
2024-02-07,874.8,880.7,872.5,875.95,216028
2024-02-08,878.95,903.8,865.5,892.1,946511
2024-02-09,897.15,897.15,855.55,868.7,536664
2024-02-12,863.0,864.05,755.0,773.75,1088054
2024-02-13,794.0,810.95,750.0,797.6,806840
2024-02-14,795.0,819.0,775.0,811.25,497558
2024-02-15,819.9,829.5,810.1,814.5,324876
2024-02-16,824.2,833.65,788.0,790.45,582627
2024-02-19,801.0,847.45,801.0,839.65,889120
2024-02-20,839.65,839.65,817.1,825.25,380066
2024-02-21,829.3,829.35,803.1,807.9,285878
2024-02-22,811.05,828.0,792.35,814.8,403678
2024-02-23,813.0,837.15,808.35,823.0,376052
2024-02-26,822.0,828.8,808.9,812.6,255474
2024-02-27,812.6,824.0,796.6,800.85,251978
2024-02-28,806.95,859.65,798.05,805.9,2278219
2024-02-29,809.0,816.45,799.0,813.75,396407
2024-03-01,816.0,827.0,814.0,817.85,238069
2024-03-02,817.9,827.0,812.85,816.7,47343
2024-03-04,817.7,838.2,810.1,819.4,408001
2024-03-05,828.0,849.45,821.75,835.25,1086883
2024-03-06,834.95,834.95,796.05,806.55,533247
2024-03-07,810.7,827.0,806.5,808.9,287030
2024-03-11,812.4,813.45,795.0,796.55,252136
2024-03-12,796.95,799.45,763.7,768.85,344117
2024-03-13,765.05,780.0,673.45,685.8,895016
2024-03-14,686.2,733.25,683.35,726.95,574460
2024-03-15,732.55,767.45,718.9,760.75,994227
2024-03-18,760.75,772.85,757.0,762.0,300605
2024-03-19,755.2,774.7,753.65,761.55,365847
2024-03-20,764.0,768.1,744.0,751.25,285204
2024-03-21,760.0,776.2,757.05,762.35,370356
2024-03-22,762.35,793.35,757.0,780.9,707306
2024-03-26,791.5,796.7,775.5,790.6,350818
2024-03-27,794.9,798.75,768.0,776.9,437350
2024-03-28,782.0,788.85,762.15,764.7,471323
2024-04-01,798.0,823.0,779.45,807.4,1656396
2024-04-02,809.7,829.5,802.0,825.05,994021
2024-04-03,822.05,904.0,820.1,882.75,7045898
2024-04-04,887.0,893.0,864.0,887.95,1389343
2024-04-05,886.7,929.8,880.1,898.15,3229226
2024-04-08,902.5,930.0,894.0,914.7,2491544
2024-04-09,919.0,920.25,888.5,897.25,731085
2024-04-10,897.25,901.75,878.2,881.4,515399
2024-04-12,880.75,911.0,877.65,881.9,714124
2024-04-15,858.1,878.45,836.05,859.8,675890
2024-04-16,849.65,901.75,845.2,884.55,1227987
2024-04-18,891.0,898.5,860.65,864.65,448847
2024-04-19,850.0,886.0,848.6,870.45,876663
2024-04-22,885.0,887.0,861.15,868.65,403899
2024-04-23,869.8,969.0,869.8,958.0,7171326
2024-04-24,974.5,1018.5,970.2,983.55,4223795
2024-04-25,985.0,1077.85,970.75,1023.75,7794493
2024-04-26,1029.0,1042.4,991.05,998.85,1569294
2024-04-29,1009.35,1017.65,986.15,1001.2,844804
2024-04-30,1005.0,1019.7,985.0,989.05,697236
2024-05-02,990.0,1019.0,971.3,990.65,1319033
2024-05-03,994.4,1011.8,971.1,1002.05,952374
2024-05-06,1010.0,1010.2,950.0,954.65,883018
2024-05-07,958.4,976.0,906.75,913.4,1352680
2024-05-08,914.8,948.0,908.25,929.95,1108353
2024-05-09,933.0,939.8,881.0,900.65,782695
2024-05-10,902.0,924.0,890.5,912.55,671588
2024-05-13,914.85,928.0,891.0,906.9,702634
2024-05-14,913.05,991.95,911.0,985.4,2828234
2024-05-15,980.0,987.8,960.2,979.45,1153889
2024-05-16,982.15,995.75,973.0,990.9,1010615
2024-05-17,996.0,1094.8,995.05,1084.35,5745300
2024-05-18,1087.0,1135.0,1083.05,1129.75,856671
2024-05-21,1134.9,1235.0,1093.05,1213.35,6509026
2024-05-22,1213.35,1236.0,1177.0,1192.6,2816054
2024-05-23,1314.0,1431.1,1300.0,1425.6,14603622
2024-05-24,1400.0,1508.0,1372.0,1459.7,8164728
2024-05-27,1475.0,1522.45,1404.05,1421.55,3695547
2024-05-28,1419.9,1430.55,1358.05,1403.1,1751271
2024-05-29,1390.0,1460.0,1369.45,1444.75,2864671
2024-05-30,1439.05,1457.3,1403.2,1411.3,1218185
2024-05-31,1415.0,1421.3,1357.0,1369.4,1287442
2024-06-03,1485.0,1485.0,1396.05,1417.35,1117229
2024-06-04,1399.05,1399.05,1275.65,1275.65,1383908
2024-06-05,1259.95,1259.95,1148.1,1180.15,2970705
2024-06-06,1217.0,1298.15,1213.15,1298.15,1834439
2024-06-07,1327.0,1408.0,1320.2,1353.5,2693039
2024-06-10,1368.9,1373.8,1317.0,1325.0,844779
2024-06-11,1340.0,1386.45,1322.15,1328.35,1075126
2024-06-12,1335.0,1371.0,1328.4,1365.3,1088153
2024-06-13,1379.0,1573.0,1353.5,1535.05,5663976
2024-06-14,1579.8,1686.95,1526.0,1630.0,11892498
2024-06-18,1645.0,1888.0,1641.2,1847.55,14576795
2024-06-19,1858.0,1903.5,1750.0,1770.4,5457899
2024-06-20,1775.0,1805.8,1726.1,1761.2,2538518
2024-06-21,1738.0,1769.6,1632.75,1644.25,3005182
2024-06-24,1724.1,1819.3,1720.0,1753.1,7499773
2024-06-25,1763.85,2065.0,1753.1,1946.05,20215533
2024-06-26,1970.0,2162.0,1970.0,2087.5,19131293
2024-06-27,2105.0,2174.7,2065.05,2122.1,10068220
2024-06-28,2134.0,2153.65,2051.0,2099.1,3398709
2024-07-01,2127.7,2309.0,2127.7,2306.5,9513296
2024-07-02,2337.0,2473.95,2331.3,2405.55,7084172
2024-07-03,2450.0,2478.4,2325.0,2459.1,5490800
2024-07-04,2460.0,2697.0,2419.0,2668.8,10822653
2024-07-05,2676.9,2833.8,2546.05,2710.65,8211761
2024-07-08,2716.9,2785.45,2581.55,2600.65,3972546
2024-07-09,2630.0,2670.0,2480.05,2546.15,2412591
2024-07-10,2568.9,2622.0,2426.15,2471.2,2128812
2024-07-11,2515.0,2594.75,2515.0,2594.75,3098954
2024-07-12,2660.0,2677.0,2568.0,2588.2,1644765
2024-07-15,2594.0,2598.7,2488.0,2496.1,1089181
2024-07-16,2503.9,2590.85,2447.0,2562.55,1868013
2024-07-18,2589.45,2618.0,2442.85,2532.45,2144098
2024-07-19,2533.0,2604.0,2421.55,2455.35,1858841
2024-07-22,2425.0,2578.1,2380.2,2568.25,2893707
2024-07-23,2578.0,2635.0,2439.85,2441.2,3762141
2024-07-24,2441.0,2470.0,2370.0,2378.95,1236916
2024-07-25,2328.0,2359.55,2260.0,2260.0,1686099
2024-07-26,2230.0,2308.2,2205.0,2212.75,1406510
2024-07-29,2248.0,2323.35,2210.6,2323.35,1683330
2024-07-30,2366.95,2439.5,2342.0,2439.5,1214676
2024-07-31,2488.0,2510.5,2384.05,2405.55,1348238
2024-08-01,2448.0,2474.0,2330.0,2350.3,793156
2024-08-02,2295.0,2388.8,2285.0,2326.6,753818
2024-08-05,2216.1,2266.0,2210.3,2210.3,1044477
2024-08-06,2206.0,2263.95,2099.8,2099.8,1283335
2024-08-07,2132.0,2224.95,1963.95,2178.95,2791493
2024-08-08,2178.0,2208.95,2071.0,2086.45,1771919
2024-08-09,2134.9,2160.0,2031.8,2055.05,1740077
2024-08-12,2024.95,2053.25,1986.0,2009.15,1043546
2024-08-13,2030.0,2034.6,1940.45,1951.3,799969
2024-08-14,1960.95,2006.8,1891.3,1966.7,1400895
2024-08-16,1999.0,2004.4,1936.25,1966.65,801430
2024-08-19,1960.0,2012.6,1916.0,1921.65,791411
2024-08-20,1904.9,1917.95,1751.55,1776.05,2942955
2024-08-21,1740.0,1864.9,1732.0,1801.35,2650000
2024-08-22,1828.7,1828.7,1747.0,1751.15,1214323
2024-08-23,1750.0,1845.85,1743.25,1764.75,1833693
2024-08-26,1815.0,1815.85,1759.0,1789.25,749700
2024-08-27,1790.1,1812.0,1772.4,1777.75,604641
2024-08-28,1788.8,1812.0,1770.0,1773.5,646857
2024-08-29,1778.4,1788.95,1741.1,1757.05,521154
2024-08-30,1770.05,1877.95,1733.35,1811.0,2480956
2024-09-02,1818.0,1862.6,1790.0,1831.3,1183854
2024-09-03,1879.2,1974.8,1857.05,1913.15,5277573
2024-09-04,1920.0,1994.95,1920.0,1961.45,2998200
2024-09-05,1976.7,1984.8,1887.0,1901.3,1446809
2024-09-06,1899.85,1899.9,1824.0,1831.5,978980
2024-09-09,1834.0,1852.75,1771.0,1787.75,843188
2024-09-10,1796.7,1820.0,1776.9,1789.9,546974
2024-09-11,1793.95,1795.95,1755.0,1757.15,364803
2024-09-12,1767.9,1782.2,1743.05,1750.7,465123
2024-09-13,1759.0,1799.95,1744.0,1779.3,607275
2024-09-16,1789.45,1789.45,1747.0,1751.55,363350
2024-09-17,1765.0,1780.0,1717.6,1726.7,503350
2024-09-18,1731.5,1772.0,1704.0,1717.1,608544
2024-09-19,1810.05,1812.95,1670.25,1700.95,2151421
2024-09-20,1709.5,1871.0,1672.0,1855.6,5810787
2024-09-23,1855.65,1874.2,1794.0,1801.05,1447221
2024-09-24,1800.0,1800.0,1750.15,1755.95,680934
2024-09-25,1755.0,1795.05,1711.0,1718.85,791630
2024-09-26,1724.0,1733.3,1690.05,1705.35,600097
2024-09-27,1709.0,1735.35,1691.7,1698.2,516282
2024-09-30,1693.0,1732.5,1671.1,1722.35,736079
2024-10-01,1724.0,1733.1,1701.1,1708.1,318718
2024-10-03,1670.0,1694.3,1655.0,1658.4,499934
2024-10-04,1658.4,1697.0,1597.45,1659.65,1207497
2024-10-07,1660.0,1674.0,1501.0,1538.15,1218102
2024-10-08,1532.0,1684.8,1511.2,1664.1,2039399
2024-10-09,1672.45,1706.35,1626.1,1636.35,885531
2024-10-10,1655.0,1788.8,1651.85,1742.8,4985663
2024-10-11,1753.7,1775.0,1724.0,1748.15,1370623
2024-10-14,1747.6,1754.95,1688.05,1698.05,650845
2024-10-15,1698.95,1838.8,1682.05,1773.85,3354735
2024-10-16,1772.8,1809.0,1742.1,1778.75,1081766
2024-10-17,1787.65,1790.0,1735.0,1744.7,595787
2024-10-18,1744.7,1829.0,1684.4,1764.65,3006209
2024-10-21,1800.0,1870.0,1793.0,1804.1,2590482
2024-10-22,1800.0,1800.0,1462.4,1573.7,3426226
2024-10-23,1591.95,1652.95,1535.1,1609.75,1470667
2024-10-24,1599.95,1657.35,1578.0,1586.5,843328
2024-10-25,1585.0,1587.6,1489.05,1505.3,951494
2024-10-28,1510.0,1564.4,1469.4,1521.6,641421
2024-10-29,1526.15,1573.7,1517.3,1549.35,498413
2024-10-30,1565.0,1625.0,1565.0,1605.95,671898
2024-10-31,1609.55,1625.0,1575.55,1614.5,380591
2024-11-01,1618.0,1628.85,1605.0,1610.5,170192
2024-11-04,1608.0,1621.4,1540.0,1542.85,439869
2024-11-05,1540.0,1579.9,1510.55,1548.65,691343
2024-11-06,1557.5,1605.0,1556.95,1589.15,517034
2024-11-07,1595.0,1614.0,1570.05,1575.7,343180
2024-11-08,1575.0,1579.9,1520.8,1526.15,260980
2024-11-11,1518.05,1529.0,1487.5,1496.15,275218
2024-11-12,1499.95,1523.0,1458.15,1462.55,273441
2024-11-13,1454.0,1457.3,1370.0,1384.2,703813
2024-11-14,1438.4,1470.0,1375.0,1406.4,828483
2024-11-18,1428.85,1432.95,1371.1,1387.4,500890
2024-11-19,1422.0,1456.0,1401.4,1409.25,411727
2024-11-21,1422.0,1424.9,1377.6,1381.65,394303
2024-11-22,1391.9,1398.0,1371.0,1375.3,336103
2024-11-25,1434.85,1450.0,1415.0,1443.05,463461
2024-11-26,1449.7,1579.0,1438.35,1539.8,2342205
2024-11-27,1549.0,1700.0,1535.6,1666.65,1960221
2024-11-28,1700.0,1736.0,1680.0,1721.35,1448899
2024-11-29,1719.95,1719.95,1640.45,1679.25,1003122
2024-12-02,1669.0,1720.65,1646.25,1662.4,744250
2024-12-03,1670.0,1740.0,1644.35,1704.45,995063
2024-12-04,1769.95,1815.35,1740.05,1776.45,1605248
2024-12-05,1784.0,1785.35,1745.45,1760.25,529803
2024-12-06,1775.0,1828.8,1770.0,1780.25,1050474
2024-12-09,1787.0,1792.8,1750.0,1754.85,447763
2024-12-10,1757.7,1774.0,1710.0,1751.25,464724
2024-12-11,1756.55,1765.0,1730.0,1733.7,349094
2024-12-12,1738.6,1806.0,1711.0,1770.15,790300
2024-12-13,1760.0,1765.0,1701.85,1720.3,508368
2024-12-16,1720.0,1767.8,1714.65,1745.7,453397
2024-12-17,1738.9,1791.2,1722.0,1755.2,1086085
2024-12-18,1749.5,1752.0,1687.75,1696.25,547477
2024-12-19,1625.1,1669.7,1625.1,1654.75,365402
2024-12-20,1661.75,1667.5,1560.2,1572.2,442865
2024-12-23,1598.9,1603.55,1525.15,1557.7,406117
