date,open,high,low,close,volume
2023-12-26,445.25,455.75,440.0,445.8,1552398
2023-12-27,446.5,455.0,443.1,452.8,1595311
2023-12-28,455.0,465.95,444.55,445.55,1568307
2023-12-29,445.55,447.9,433.6,436.4,1399264
2024-01-01,437.8,444.0,433.5,435.75,979687
2024-01-02,438.55,456.0,428.9,452.45,1916773
2024-01-03,455.5,464.7,455.5,458.8,1607462
2024-01-04,461.75,467.1,453.0,455.65,1449081
2024-01-05,458.35,461.1,450.25,453.85,1055711
2024-01-08,455.7,458.95,441.1,445.85,906989
2024-01-09,449.6,453.0,441.2,443.5,929155
2024-01-10,439.1,453.8,436.0,451.35,1377409
2024-01-11,454.25,470.0,451.0,457.95,2380828
2024-01-12,460.0,469.85,456.0,461.1,1078908
2024-01-15,465.7,476.5,460.05,464.3,1849169
2024-01-16,467.25,474.9,440.85,459.85,1466628
2024-01-17,449.95,465.75,449.0,461.65,1008156
2024-01-18,461.45,489.1,460.2,478.6,2899015
2024-01-19,484.9,502.0,479.0,488.35,3052003
2024-01-20,492.05,493.7,480.05,483.0,905454
2024-01-23,486.8,498.0,444.0,454.7,2109080
2024-01-24,456.0,485.1,456.0,480.7,1543673
2024-01-25,482.0,498.0,482.0,488.95,1405835
2024-01-29,492.4,515.65,482.65,494.95,2278099
2024-01-30,500.95,512.75,498.0,504.05,1325324
2024-01-31,507.3,540.0,505.5,537.25,2438181
2024-02-01,542.0,544.5,520.15,530.05,1957401
2024-02-02,535.3,541.55,524.45,530.75,1049074
2024-02-05,533.0,533.35,506.05,518.95,1135816
2024-02-06,523.3,538.0,520.45,536.0,1029892
2024-02-07,539.9,565.0,529.25,550.9,3023711
2024-02-08,562.9,611.0,562.65,591.8,4694787
2024-02-09,597.7,612.0,572.0,593.7,2503336
2024-02-12,595.5,596.4,527.0,535.6,3435660
2024-02-13,538.0,549.5,453.45,524.05,3627628
2024-02-14,512.3,558.0,502.25,551.5,2070649
2024-02-15,555.0,564.75,552.1,558.15,1130365
2024-02-16,560.8,560.8,533.0,538.35,1069760
2024-02-19,540.05,547.25,520.3,528.35,1344369
2024-02-20,530.55,538.0,520.0,529.45,698971
2024-02-21,532.1,537.6,506.5,513.3,1245256
2024-02-22,517.0,522.75,500.5,515.1,983462
2024-02-23,517.7,524.45,511.5,513.25,586582
2024-02-26,515.85,518.4,501.0,506.2,764779
2024-02-27,506.0,517.0,506.0,513.6,704788
2024-02-28,514.95,519.1,491.8,504.1,947700
2024-02-29,509.0,529.75,501.55,520.9,1548940
2024-03-01,526.05,535.0,522.0,525.8,709753
2024-03-02,528.0,528.3,515.0,517.6,155694
2024-03-04,520.0,520.8,506.5,510.5,579662
2024-03-05,511.05,515.9,506.05,508.3,530221
2024-03-06,509.65,509.7,481.1,488.85,1112053
2024-03-07,491.15,498.45,465.0,466.65,1755020
2024-03-11,460.0,464.9,422.0,448.9,4486777
2024-03-12,449.9,468.0,432.65,441.6,2502859
2024-03-13,446.0,457.25,391.3,401.4,3838599
2024-03-14,400.05,444.0,378.2,438.75,3162062
2024-03-15,439.0,478.4,428.55,472.55,5651645
2024-03-18,475.05,483.4,455.8,462.05,1595528
2024-03-19,465.0,468.8,446.4,448.45,915190
2024-03-20,451.85,452.9,437.5,444.45,792186
2024-03-21,450.0,462.0,450.0,454.85,713666
2024-03-22,455.0,478.55,451.05,465.0,1168347
2024-03-26,465.0,469.45,451.1,453.3,750641
2024-03-27,456.0,465.55,454.0,461.4,1037981
2024-03-28,467.0,467.95,451.0,454.0,709828
2024-04-01,454.0,466.0,454.0,458.65,739605
2024-04-02,464.4,467.0,457.7,460.15,729017
2024-04-03,461.0,494.8,454.0,490.45,2636450
2024-04-04,495.4,505.0,485.0,496.7,1626011
2024-04-05,496.55,498.45,487.0,490.45,702641
2024-04-08,494.9,510.0,492.45,502.25,1636090
2024-04-09,505.1,507.9,488.35,492.85,850355
2024-04-10,494.85,494.85,480.25,483.2,669718
2024-04-12,482.0,482.6,467.0,468.95,844935
2024-04-15,442.0,461.0,436.15,449.55,1241604
2024-04-16,448.85,474.5,445.55,458.7,1241302
2024-04-18,466.9,472.0,451.0,455.15,1010208
2024-04-19,445.0,460.0,441.65,450.8,907164
