date,open,high,low,close,volume
2023-12-26,3221.5,3290.45,3188.0,3195.45,575586
2023-12-27,3229.0,3249.3,3202.25,3214.4,362690
2023-12-28,3220.0,3234.9,3195.0,3213.95,610253
2023-12-29,3215.0,3225.0,3189.0,3205.0,290086
2024-01-01,3205.0,3228.7,3181.5,3221.3,151964
2024-01-02,3230.0,3270.0,3203.5,3260.95,374265
2024-01-03,3260.0,3277.7,3227.0,3237.25,183450
2024-01-04,3245.0,3352.25,3237.25,3326.35,604988
2024-01-05,3339.0,3339.0,3288.0,3303.6,304963
2024-01-08,3275.0,3374.0,3275.0,3350.15,448252
2024-01-09,3382.85,3449.0,3344.0,3415.25,466109
2024-01-10,3419.95,3445.0,3363.4,3418.9,460729
2024-01-11,3430.0,3542.5,3413.1,3501.7,1119142
2024-01-12,3545.0,3560.0,3411.0,3454.75,1118837
2024-01-15,3480.0,3535.35,3461.0,3502.1,581351
2024-01-16,3514.8,3514.8,3418.1,3436.0,518644
2024-01-17,3392.0,3398.8,3282.55,3334.4,385317
2024-01-18,3311.0,3416.6,3256.0,3402.55,650351
2024-01-19,3420.0,3489.0,3401.25,3478.7,401717
2024-01-20,3499.0,3510.9,3395.4,3405.85,150014
2024-01-23,3397.05,3463.55,3333.0,3367.1,916650
2024-01-24,3353.6,3445.95,3328.4,3435.75,401915
2024-01-25,3431.0,3494.0,3406.3,3428.65,325275
2024-01-29,3428.0,3539.2,3406.3,3510.1,704595
2024-01-30,3524.95,3534.0,3478.0,3510.4,574863
2024-01-31,3528.0,3612.0,3523.1,3581.5,753317
2024-02-01,3581.5,3601.2,3535.05,3587.95,187326
2024-02-02,3597.9,3616.6,3551.85,3566.85,214708
2024-02-05,3574.0,3606.0,3513.15,3558.15,562156
2024-02-06,3570.0,3630.0,3551.0,3624.25,349467
2024-02-07,3630.95,3659.85,3610.0,3643.0,259724
2024-02-08,3660.0,3674.75,3621.05,3643.35,177808
2024-02-09,3667.8,3690.0,3577.7,3636.65,255781
2024-02-12,3642.0,3684.85,3574.2,3636.25,819227
2024-02-13,3649.9,3779.0,3623.2,3764.8,715541
2024-02-14,3750.0,3797.3,3681.05,3778.25,374796
2024-02-15,3778.3,3819.3,3724.0,3783.0,317483
2024-02-16,3814.7,3879.95,3783.0,3875.4,268252
2024-02-19,3885.05,3889.75,3690.0,3734.5,1062065
2024-02-20,3746.0,3830.0,3725.15,3774.5,656485
2024-02-21,3780.0,3809.8,3726.0,3741.35,235442
2024-02-22,3753.0,3792.95,3715.05,3782.95,203416
2024-02-23,3784.0,3838.3,3776.0,3817.85,190415
2024-02-26,3819.9,3909.95,3742.5,3880.9,1154419
2024-02-27,3911.0,4066.5,3861.1,3903.85,1439510
2024-02-28,3903.85,3918.95,3827.0,3836.8,269883
2024-02-29,3815.0,3827.25,3712.25,3753.0,1582874
2024-03-01,3753.0,3808.0,3723.0,3784.75,251727
2024-03-02,3804.95,3860.0,3746.5,3767.45,40998
2024-03-04,3770.0,3876.3,3770.0,3856.5,509995
2024-03-05,3852.95,3855.6,3770.0,3794.7,258471
2024-03-06,3792.7,3815.75,3732.1,3763.1,172798
2024-03-07,3770.0,3787.95,3730.0,3745.8,145755
2024-03-11,3750.0,3834.65,3725.0,3768.1,555584
2024-03-12,3746.0,3770.0,3659.95,3689.1,393444
2024-03-13,3689.1,3750.9,3586.05,3636.05,339324
2024-03-14,3585.05,3779.0,3582.35,3755.05,310419
2024-03-15,3750.0,3831.45,3680.0,3818.65,639465
2024-03-18,3819.95,3824.7,3715.55,3741.35,528247
2024-03-19,3724.9,3730.0,3646.0,3666.15,382067
2024-03-20,3660.0,3695.65,3586.4,3611.4,232662
2024-03-21,3630.15,3682.0,3622.05,3671.25,208790
2024-03-22,3671.25,3819.0,3668.0,3773.4,843004
2024-03-26,3774.25,3858.0,3747.7,3810.85,494806
2024-03-27,3810.6,3837.05,3778.0,3795.55,152937
2024-03-28,3799.95,3809.75,3744.15,3754.1,331246
2024-04-01,3799.0,3824.45,3772.0,3785.1,742410
2024-04-02,3812.0,3812.0,3656.9,3756.7,717419
2024-04-03,3749.95,3781.0,3722.05,3743.8,180279
2024-04-04,3754.0,3758.0,3690.0,3699.35,224551
2024-04-05,3699.35,3705.45,3661.25,3674.7,255932
2024-04-08,3670.8,3687.0,3616.25,3660.35,715618
2024-04-09,3670.15,3725.95,3651.0,3703.9,365878
2024-04-10,3718.95,3755.45,3697.75,3705.75,526428
2024-04-12,3705.75,3732.0,3660.0,3680.2,474609
2024-04-15,3630.0,3705.3,3597.6,3646.9,600630
2024-04-16,3649.85,3775.6,3649.85,3728.95,1467286
2024-04-18,3735.05,3825.0,3730.0,3772.4,602634
2024-04-19,3768.05,3768.05,3645.05,3708.45,486522
2024-04-22,3730.0,3751.0,3625.3,3647.5,766944
2024-04-23,3649.95,3697.9,3636.05,3645.75,329932
2024-04-24,3646.0,3666.95,3598.15,3660.4,399163
2024-04-25,3660.0,3705.0,3636.05,3687.6,337566
2024-04-26,3695.0,3786.2,3695.0,3717.7,358702
2024-04-29,3732.0,3786.0,3708.1,3770.85,318775
2024-04-30,3788.0,3943.95,3781.0,3894.65,1716768
2024-05-02,3920.0,3950.1,3893.0,3938.4,234196
2024-05-03,3940.0,3983.85,3895.8,3917.95,265654
2024-05-06,3949.9,3949.9,3872.55,3887.7,223516
2024-05-07,3887.7,3932.05,3750.6,3764.8,514033
2024-05-08,3783.8,3783.8,3707.05,3715.75,226763
2024-05-09,3729.9,3738.45,3601.9,3616.4,217795
2024-05-10,3627.0,3700.0,3616.4,3639.6,169244
2024-05-13,3639.6,3692.7,3528.0,3673.15,472970
2024-05-14,3685.0,3721.9,3643.2,3677.9,176441
2024-05-15,3678.0,3768.45,3676.2,3762.05,146451
2024-05-16,3779.0,3860.0,3765.05,3854.95,259920
2024-05-17,3854.95,3874.85,3775.05,3784.5,283809
2024-05-18,3806.0,3806.0,3762.2,3786.6,24097
2024-05-21,3786.6,3810.0,3760.0,3796.5,224822
2024-05-22,3797.5,3825.0,3767.6,3798.8,247535
2024-05-23,3803.45,3835.0,3761.55,3827.05,172636
2024-05-24,3840.0,3845.0,3802.25,3816.35,154427
2024-05-27,3834.0,4020.0,3792.0,3919.9,1144740
2024-05-28,3925.95,4041.0,3911.65,4011.6,847226
2024-05-29,3980.55,3998.85,3880.55,3893.45,321050
2024-05-30,3871.0,3872.0,3726.05,3748.75,607555
2024-05-31,3770.0,3904.95,3764.0,3884.3,634966
2024-06-03,4000.0,4186.95,4000.0,4090.2,1475143
2024-06-04,4075.05,4077.95,3415.55,3457.4,1583847
2024-06-05,3508.0,3741.45,3441.25,3705.4,958419
2024-06-06,3749.0,3809.0,3701.1,3760.5,451506
2024-06-07,3798.9,3840.0,3735.45,3823.2,313435
2024-06-10,3864.0,3895.0,3741.15,3790.8,933057
2024-06-11,3810.0,3849.65,3735.0,3816.85,586984
2024-06-12,3827.8,4029.7,3816.85,4004.1,638951
2024-06-13,4030.0,4089.95,3974.9,3996.15,469787
2024-06-14,3999.0,4025.0,3955.05,4014.4,394196
2024-06-18,3945.0,3971.05,3916.05,3961.05,378174
2024-06-19,3966.6,3990.45,3885.65,3900.3,168844
2024-06-20,3902.5,3929.95,3866.45,3892.2,198919
2024-06-21,3915.0,3948.35,3885.0,3912.8,196607
2024-06-24,3865.0,3995.0,3806.05,3968.9,581378
2024-06-25,3995.0,4127.9,3985.25,4113.6,1452164
2024-06-26,4128.0,4152.55,4030.05,4044.35,515829
2024-06-27,4021.5,4066.95,3990.0,4043.9,303793
2024-06-28,4027.1,4092.4,3983.85,3993.3,272580
