date,open,high,low,close,volume
2023-12-26,3755.7,3881.6,3741.25,3870.35,1149831
2023-12-27,3866.95,3899.1,3826.0,3867.25,683058
2023-12-28,3867.25,3988.9,3857.35,3973.55,1714818
2023-12-29,3976.25,3993.2,3913.35,3940.65,383687
2024-01-01,3940.65,3981.5,3887.45,3920.2,392408
2024-01-02,3915.8,3920.6,3829.1,3890.6,507848
2024-01-03,3804.55,3864.95,3776.95,3794.65,896596
2024-01-04,3802.1,3810.55,3736.1,3752.8,630734
2024-01-05,3765.5,3840.65,3759.4,3795.1,593042
2024-01-08,3819.1,3853.3,3798.25,3813.8,508360
2024-01-09,3851.3,3949.65,3834.9,3914.3,1043602
2024-01-10,3896.45,3977.2,3888.55,3939.2,511944
2024-01-11,3975.25,4189.85,3962.6,4138.35,2133475
2024-01-12,4041.25,4189.85,4041.25,4178.3,905401
2024-01-15,4178.3,4207.95,4133.45,4167.85,490217
2024-01-16,4136.3,4243.55,4136.3,4179.8,972808
2024-01-17,4142.05,4224.0,4137.2,4166.3,443836
2024-01-18,4130.35,4206.1,4094.15,4188.9,570816
2024-01-19,4189.85,4234.6,4169.4,4194.5,383901
2024-01-20,4204.5,4219.8,4180.1,4196.35,111872
2024-01-23,4196.35,4350.85,4196.35,4237.85,1399043
2024-01-24,4223.05,4247.05,4107.85,4227.6,596736
2024-01-25,4242.4,4272.85,4173.8,4235.85,664356
2024-01-29,4241.55,4414.25,4220.45,4383.5,418127
2024-01-30,4416.2,4450.35,4370.4,4378.5,709726
2024-01-31,4358.15,4425.85,4310.0,4410.9,645505
2024-02-01,4411.0,4504.8,4365.45,4376.9,660378
2024-02-02,4387.9,4555.0,4380.15,4504.3,994506
2024-02-05,4506.9,4559.95,4487.4,4532.9,425966
2024-02-06,4532.8,4577.15,4519.6,4568.8,261001
2024-02-07,4575.2,4601.8,4516.8,4578.45,265821
2024-02-08,4581.0,4609.05,4550.25,4592.65,444060
2024-02-09,4624.0,4705.9,4577.25,4691.15,718094
2024-02-12,4730.35,4730.35,4416.75,4475.2,1321957
2024-02-13,4514.7,4614.1,4493.55,4531.1,938269
2024-02-14,4494.25,4609.35,4449.45,4598.65,735284
2024-02-15,4614.4,4638.4,4572.35,4601.5,530347
2024-02-16,4614.2,4702.0,4614.2,4676.95,848705
2024-02-19,4710.75,4725.45,4627.75,4636.25,524294
2024-02-20,4636.25,4664.95,4441.55,4451.65,1153742
2024-02-21,4482.2,4506.85,4397.65,4423.85,1112050
2024-02-22,4448.35,4466.75,4331.95,4385.1,1441798
2024-02-23,4424.0,4492.25,4375.3,4408.65,819122
2024-02-26,4413.2,4419.1,4360.75,4386.05,605090
2024-02-27,4391.6,4408.4,4300.1,4321.6,830187
2024-02-28,4331.3,4350.05,4242.6,4267.95,569688
2024-02-29,4271.8,4345.0,4243.55,4318.15,1548190
2024-03-01,4350.75,4414.25,4341.1,4396.8,510674
2024-03-02,4458.2,4482.55,4440.9,4469.3,156722
2024-03-04,4477.6,4516.65,4451.3,4498.8,570306
2024-03-05,4498.75,4531.05,4459.95,4477.65,442519
2024-03-06,4467.9,4535.2,4425.05,4521.85,353334
2024-03-07,4536.2,4588.85,4507.7,4539.0,684934
2024-03-11,4584.95,4609.35,4487.95,4557.35,644170
2024-03-12,4552.1,4582.05,4519.6,4544.85,312738
2024-03-13,4532.3,4572.05,4367.0,4401.65,700123
2024-03-14,4345.95,4567.55,4345.95,4560.85,708629
2024-03-15,4541.05,4566.3,4390.5,4473.05,1278695
2024-03-18,4448.85,4470.35,4416.75,4442.75,232124
2024-03-19,4442.55,4485.05,4399.2,4430.6,388757
2024-03-20,4430.85,4476.65,4370.35,4400.05,418716
2024-03-21,4416.95,4433.75,4336.4,4409.25,633619
2024-03-22,4427.7,4620.4,4407.0,4569.35,902115
2024-03-26,4569.35,4608.9,4520.15,4556.8,551123
2024-03-27,4577.15,4583.0,4448.4,4460.65,693528
2024-03-28,4491.3,4633.75,4471.0,4606.7,1086607
2024-04-01,4624.0,4662.75,4548.0,4566.2,664163
2024-04-02,4536.2,4570.75,4411.3,4449.15,1342779
2024-04-03,4472.7,4490.6,4415.7,4445.65,681469
2024-04-04,4472.75,4477.65,4353.5,4412.25,1378250
2024-04-05,4370.85,4453.85,4359.0,4414.15,605460
2024-04-08,4428.9,4496.05,4414.35,4482.65,711580
2024-04-09,4502.05,4558.85,4394.75,4411.0,945922
2024-04-10,4440.3,4440.3,4366.35,4384.9,515061
2024-04-12,4398.65,4412.1,4322.55,4332.1,438331
2024-04-15,4321.55,4331.85,4262.0,4273.95,645166
2024-04-16,4237.65,4337.6,4183.1,4217.1,719918
2024-04-18,4251.35,4291.0,4128.0,4147.25,1103254
2024-04-19,4147.2,4147.2,4066.15,4110.55,674079
2024-04-22,4136.05,4228.9,4103.95,4206.35,619635
2024-04-23,4231.8,4261.95,4181.95,4238.7,547228
2024-04-24,4253.3,4297.5,4229.0,4285.8,658601
2024-04-25,4293.3,4404.5,4260.0,4388.2,1103462
2024-04-26,4399.85,4429.65,4357.15,4381.65,497777
2024-04-29,4419.1,4419.1,4336.8,4348.6,590104
2024-04-30,4355.7,4475.9,4355.7,4431.85,828084
2024-05-02,4511.8,4511.8,4439.9,4449.85,808478
2024-05-03,4465.45,4467.85,4406.3,4441.3,347594
2024-05-06,4460.05,4470.55,4356.2,4399.35,241049
2024-05-07,4418.1,4423.45,4323.7,4367.15,456294
2024-05-08,4382.7,4547.9,4306.6,4500.95,1313834
2024-05-09,4541.05,4801.5,4520.45,4648.25,3589872
2024-05-10,4671.4,4833.1,4657.95,4758.0,1520297
2024-05-13,4787.85,4789.75,4614.8,4765.95,624906
2024-05-14,4794.6,4927.35,4785.0,4920.0,1335266
2024-05-15,4934.2,4978.1,4897.85,4933.5,882851
2024-05-16,4941.0,5028.75,4918.3,5015.5,1296732
2024-05-17,5009.3,5042.1,4948.7,4964.65,609690
2024-05-18,4992.75,5009.8,4970.3,4984.8,21635
2024-05-21,4950.8,4997.4,4906.15,4930.15,480490
2024-05-22,4926.4,4943.9,4843.45,4873.65,422368
2024-05-23,4877.6,5029.25,4841.55,5019.25,644911
2024-05-24,4980.15,5070.9,4955.7,4993.0,458258
2024-05-27,5000.55,5003.25,4926.4,4959.45,380940
2024-05-28,4960.5,5097.1,4921.5,5057.05,727224
2024-05-29,5044.5,5074.8,4981.05,5017.85,409279
2024-05-30,5003.45,5060.0,4970.0,5010.3,457454
2024-05-31,5048.35,5062.9,4881.05,4994.3,1905070
2024-06-03,5150.75,5183.95,5028.45,5034.3,962485
2024-06-04,5038.6,5218.05,4799.8,5180.7,1945233
2024-06-05,5184.9,5633.85,5184.9,5520.0,2058534
2024-06-06,5516.7,5595.05,5338.4,5398.8,1498100
2024-06-07,5447.2,5499.4,5402.45,5445.2,637134
2024-06-10,5448.3,5643.4,5444.45,5582.15,1018162
2024-06-11,5589.75,5703.3,5565.35,5644.95,1015127
2024-06-12,5658.05,5715.6,5635.2,5648.45,668529
2024-06-13,5677.75,5697.05,5590.7,5673.65,547596
2024-06-14,5680.45,5721.2,5620.55,5662.15,573273
2024-06-18,5681.45,5750.25,5596.3,5614.0,527069
2024-06-19,5633.45,5638.35,5487.3,5509.45,447054
2024-06-20,5530.25,5530.25,5361.5,5369.85,840321
2024-06-21,5346.85,5477.55,5299.05,5318.55,669719
2024-06-24,5258.05,5398.55,5258.05,5389.25,464982
2024-06-25,5429.65,5443.25,5339.5,5375.15,1118588
2024-06-26,5393.65,5408.3,5295.15,5319.55,384494
2024-06-27,5326.25,5375.15,5288.3,5350.95,874237
2024-06-28,5365.4,5468.05,5318.65,5443.05,539635
2024-07-01,5458.05,5588.1,5448.3,5465.95,1018344
2024-07-02,5531.2,5535.1,5365.4,5430.85,689851
2024-07-03,5462.85,5490.2,5417.15,5443.2,329072
2024-07-04,5457.1,5466.8,5395.25,5422.3,676316
2024-07-05,5422.3,5460.0,5250.85,5422.0,613329
2024-07-08,5429.4,5492.2,5353.25,5367.25,478557
2024-07-09,5389.8,5462.4,5370.3,5452.35,570084
2024-07-10,5458.05,5511.7,5336.7,5373.9,354244
2024-07-11,5394.65,5424.4,5368.3,5391.0,491353
2024-07-12,5398.45,5462.95,5370.4,5411.15,265681
2024-07-15,5411.25,5501.0,5393.3,5469.1,249438
2024-07-16,5479.5,5520.5,5425.85,5441.55,336317
2024-07-18,5409.75,5441.45,5284.5,5367.5,841644
2024-07-19,5384.85,5392.45,5239.55,5294.85,370397
2024-07-22,5289.3,5355.6,5258.05,5329.45,415035
2024-07-23,5350.75,5521.3,5199.25,5378.6,908996
2024-07-24,5378.05,5378.05,5272.7,5285.15,723617
2024-07-25,5268.8,5316.9,5222.0,5270.95,438831
2024-07-26,5277.6,5410.45,5265.25,5344.8,517306
2024-07-29,5370.5,5397.25,5265.2,5291.6,418301
2024-07-30,5321.5,5412.2,5278.15,5311.05,412385
2024-07-31,5319.45,5400.65,5272.9,5354.1,870466
2024-08-01,5353.15,5353.15,5195.05,5240.35,868140
2024-08-02,5194.65,5242.55,5108.3,5145.1,402666
2024-08-05,5053.25,5118.55,4997.6,5057.0,439371
2024-08-06,5072.95,5126.45,5031.75,5047.15,552856
2024-08-07,5102.0,5184.65,5095.35,5112.85,515480
2024-08-08,5106.85,5123.45,5020.9,5032.65,243559
2024-08-09,5077.55,5118.25,5063.7,5079.75,333635
2024-08-12,5087.15,5194.65,5058.1,5181.85,569618
2024-08-13,5219.05,5274.95,5088.35,5117.1,1042924
2024-08-14,5150.75,5167.95,4868.85,4948.3,2185163
2024-08-16,4994.7,5013.15,4897.15,5002.6,679493
2024-08-19,5022.95,5096.15,4982.55,5061.9,714915
2024-08-20,5071.75,5219.05,5062.95,5116.05,962948
2024-08-21,5116.05,5175.35,5087.35,5155.35,612911
2024-08-22,5155.65,5251.25,5134.6,5199.5,761731
2024-08-23,5199.55,5310.55,5184.9,5253.1,757678
2024-08-26,5277.6,5292.2,5196.6,5212.95,553070
2024-08-27,5222.95,5264.85,5195.65,5225.45,672259
2024-08-28,5233.7,5251.45,5137.1,5181.4,688591
2024-08-29,5170.25,5255.45,5161.4,5242.95,516725
2024-08-30,5267.85,5382.95,5254.0,5321.85,1569946
2024-09-02,5399.5,5491.25,5381.95,5441.65,1054947
2024-09-03,5464.9,5559.5,5414.05,5508.3,805935
2024-09-04,5467.8,5550.05,5467.8,5544.65,532554
2024-09-05,5550.75,5657.05,5511.7,5593.85,817503
2024-09-06,5580.0,5629.05,5511.4,5603.15,683920
2024-09-09,5603.2,5629.1,5546.95,5604.65,469914
2024-09-10,5655.1,5720.6,5519.75,5530.9,775935
2024-09-11,5558.55,5568.95,5465.2,5516.05,592210
2024-09-12,5560.5,5675.6,5516.6,5661.1,855863
2024-09-13,5684.3,5704.0,5628.75,5653.95,332581
2024-09-16,5638.5,5680.0,5586.8,5638.0,333195
2024-09-17,5658.05,5838.45,5622.55,5815.3,1250736
2024-09-18,5838.8,5995.5,5783.0,5818.75,1446956
2024-09-19,5853.15,5911.65,5833.75,5859.05,532623
2024-09-20,5900.7,5942.9,5839.25,5866.05,993542
2024-09-23,5901.9,6058.0,5857.35,6039.0,887240
2024-09-24,6039.45,6093.35,5960.75,5976.35,631130
2024-09-25,5993.6,6017.4,5886.15,5939.3,341785
2024-09-26,5858.6,5916.55,5759.6,5903.35,1255943
2024-09-27,5919.55,5940.25,5795.1,5811.55,718197
2024-09-30,5745.85,5745.85,5551.2,5572.6,1346723
2024-10-01,5572.6,5652.2,5526.35,5609.35,742940
2024-10-03,5593.0,5593.0,5484.4,5524.15,1219791
2024-10-04,5508.85,5511.65,5349.75,5385.7,943922
2024-10-07,5433.6,5471.15,5303.05,5366.9,682783
2024-10-08,5328.3,5409.3,5278.55,5394.5,473756
2024-10-09,5405.4,5451.2,5394.65,5418.65,439340
2024-10-10,5451.2,5458.0,5311.7,5322.55,579335
2024-10-11,5326.85,5354.0,5306.85,5342.25,303034
2024-10-14,5369.3,5438.55,5365.25,5419.35,407147
2024-10-15,5428.8,5450.9,5330.25,5370.9,302887
2024-10-16,5370.9,5383.9,5255.15,5266.05,504211
2024-10-17,5231.8,5231.8,4975.15,5089.75,1947589
2024-10-18,5089.75,5159.2,5020.1,5088.5,427617
2024-10-21,5088.5,5125.25,4960.6,5113.95,740720
2024-10-22,5134.2,5145.3,5028.8,5049.1,531833
2024-10-23,5049.1,5150.75,4995.2,5019.75,411524
2024-10-24,5033.75,5103.15,4968.9,4988.45,349453
2024-10-25,4994.7,5018.75,4755.7,4851.55,709797
2024-10-28,4851.55,4893.1,4776.2,4807.2,419927
2024-10-29,4807.25,4838.55,4628.85,4670.25,953917
2024-10-30,4628.85,4914.2,4624.1,4789.15,1039340
2024-10-31,4816.15,4904.45,4799.55,4867.4,897452
2024-11-01,4916.35,4919.55,4887.5,4897.6,49631
2024-11-04,5002.0,5002.0,4610.8,4688.4,1676556
2024-11-05,4700.05,4758.9,4644.35,4702.7,673746
2024-11-06,4739.1,4799.55,4722.5,4773.05,602657
2024-11-07,4796.6,4796.6,4670.85,4698.1,373373
2024-11-08,4711.8,4713.75,4620.05,4652.15,333494
2024-11-11,4646.4,4669.0,4602.1,4641.05,424955
2024-11-12,4641.05,4678.8,4587.7,4608.55,310558
