date,open,high,low,close,volume
2023-12-26,226.25,240.35,223.55,235.1,21655452
2023-12-27,235.0,237.3,230.35,233.55,19716266
2023-12-28,236.15,269.95,233.9,257.45,57375486
2023-12-29,245.65,252.45,243.8,244.95,29294128
2024-01-01,249.65,250.0,244.4,245.4,8701509
2024-01-02,246.55,253.0,241.05,251.45,12324552
2024-01-03,251.7,261.35,249.35,260.2,19759922
2024-01-04,257.0,257.75,253.7,255.95,11684829
2024-01-05,256.65,263.65,256.45,259.0,14570676
2024-01-08,261.65,271.0,260.45,265.25,21847068
2024-01-09,271.0,273.25,266.35,271.9,11090032
2024-01-10,269.0,270.0,262.75,266.15,8980550
2024-01-11,269.0,277.3,267.95,276.0,13717158
2024-01-12,276.9,281.15,271.35,279.55,11439837
2024-01-15,280.65,281.4,275.75,278.75,6912682
2024-01-16,278.6,285.25,277.7,280.85,11116167
2024-01-17,279.65,284.85,276.35,278.4,12987159
2024-01-18,278.35,287.0,271.95,282.05,9661436
2024-01-19,284.75,291.35,281.0,289.5,5983178
2024-01-20,292.35,295.65,288.45,291.45,6503176
2024-01-23,296.85,297.0,270.35,272.65,13018228
2024-01-24,275.65,283.5,273.0,280.7,9089022
2024-01-25,283.0,283.95,256.65,266.05,26530120
2024-01-29,267.65,284.75,265.75,280.55,20708088
2024-01-30,283.15,302.55,282.15,293.45,25892997
2024-01-31,295.25,297.35,285.75,287.85,9025434
2024-02-01,290.95,292.55,283.0,289.55,7832594
2024-02-02,294.35,312.85,292.95,304.9,28635609
2024-02-05,310.35,323.9,305.65,317.95,27456336
2024-02-06,322.35,339.65,315.75,336.2,28853270
2024-02-07,338.35,344.15,333.1,338.05,17541222
2024-02-08,338.2,347.95,335.75,339.1,19069318
2024-02-09,339.65,339.95,315.2,329.15,14684276
2024-02-12,327.05,329.15,313.6,323.6,14235303
2024-02-13,324.35,327.5,317.25,323.45,7641726
2024-02-14,319.0,355.0,316.7,351.2,21203626
2024-02-15,354.85,375.45,347.35,372.35,26550160
2024-02-16,374.35,385.55,361.55,366.15,22269525
2024-02-19,367.0,368.75,357.35,358.8,15202254
2024-02-20,358.8,367.35,348.25,364.4,13374788
2024-02-21,365.0,368.35,343.65,351.15,9993580
2024-02-22,351.0,355.7,341.4,348.4,9478065
2024-02-23,346.35,348.65,337.05,340.75,8613266
2024-02-26,340.75,351.35,329.65,350.1,24162310
2024-02-27,350.2,354.0,337.35,342.25,12715461
2024-02-28,342.25,342.45,325.3,327.15,16233910
2024-02-29,325.7,332.35,323.7,328.6,14603768
2024-03-01,333.0,339.65,332.55,333.75,10267491
2024-03-02,334.0,336.35,331.95,334.85,786030
2024-03-04,333.65,340.95,332.7,339.05,12281475
2024-03-05,339.65,343.3,336.7,341.05,7153845
2024-03-06,340.0,342.2,325.15,333.8,11296346
2024-03-07,332.8,334.65,324.6,328.0,6370131
2024-03-11,326.35,337.0,320.65,330.25,13126310
2024-03-12,330.35,336.65,327.15,331.85,9137031
2024-03-13,332.05,333.65,308.05,311.6,11735006
2024-03-14,312.35,325.65,309.4,322.4,11317566
2024-03-15,315.55,315.55,289.75,301.55,47569515
2024-03-18,301.6,305.55,295.25,296.45,12216914
2024-03-19,293.6,294.3,284.35,286.0,9912508
2024-03-20,288.35,293.1,286.2,291.45,10448274
2024-03-21,295.95,304.95,294.65,304.0,7801534
2024-03-22,305.15,311.45,302.8,304.65,7611104
2024-03-26,301.6,307.55,298.0,304.05,9326937
2024-03-27,307.0,311.8,301.7,303.05,6988608
2024-03-28,305.7,308.55,302.4,306.1,7216713
2024-04-01,306.35,308.0,300.1,301.55,9094608
2024-04-02,302.55,312.15,300.65,310.45,7687869
2024-04-03,308.25,311.0,304.05,305.35,7073594
2024-04-04,305.65,309.0,295.65,296.7,10008146
2024-04-05,293.65,297.6,288.5,296.45,11510322
2024-04-08,299.0,303.45,292.75,297.6,9532318
2024-04-09,298.3,298.95,293.25,294.9,5474667
2024-04-10,295.35,315.0,295.35,313.95,21499953
2024-04-12,313.65,313.9,306.85,307.85,10106094
2024-04-15,303.65,307.15,294.55,300.65,15292358
2024-04-16,297.35,308.95,294.65,301.35,10663104
2024-04-18,308.5,318.35,305.05,307.2,19510576
2024-04-19,300.25,309.35,294.15,307.95,15891542
2024-04-22,313.65,323.0,313.05,317.05,16166055
2024-04-23,319.0,319.65,310.05,311.05,7308573
2024-04-24,312.6,315.9,308.5,313.95,6410241
2024-04-25,313.65,317.8,311.65,316.45,5505240
2024-04-26,315.65,320.65,312.65,316.4,5441872
2024-04-29,318.6,329.6,317.05,326.1,13011374
2024-04-30,329.25,332.7,316.15,319.25,9751020
2024-05-02,327.0,346.85,325.35,344.65,32543126
2024-05-03,349.0,349.6,341.75,345.05,8668202
2024-05-06,347.75,347.75,330.75,331.55,6891572
2024-05-07,340.9,345.45,329.0,331.7,19101260
2024-05-08,335.05,342.35,332.0,337.8,9974296
2024-05-09,340.95,341.0,320.3,323.0,16768836
2024-05-10,329.0,331.95,315.75,323.35,11140683
