date,open,high,low,close,volume
2023-12-26,994.6,1013.5,954.2,959.05,461949
2023-12-27,969.0,972.5,955.2,960.7,162997
2023-12-28,966.0,971.85,935.8,941.4,218649
2023-12-29,950.3,950.3,924.95,930.1,241007
2024-01-01,931.0,943.75,927.4,932.35,84437
2024-01-02,938.0,964.95,921.15,957.8,280010
2024-01-03,955.0,963.5,944.0,955.35,79189
2024-01-04,963.05,979.0,936.0,941.75,154023
2024-01-05,946.7,959.0,938.0,949.6,95585
2024-01-08,948.0,948.75,932.6,936.2,70863
2024-01-09,940.8,948.95,930.75,937.05,70069
2024-01-10,938.95,949.0,932.7,942.55,81322
2024-01-11,935.1,983.8,935.1,971.65,162234
2024-01-12,970.7,987.15,970.0,974.9,121349
2024-01-15,970.0,983.8,959.0,965.75,156103
2024-01-16,967.95,976.2,951.15,956.05,79460
2024-01-17,954.0,978.05,943.65,965.0,141973
2024-01-18,965.0,1003.0,957.85,983.95,396608
2024-01-19,990.0,1061.0,989.0,1009.15,1157175
2024-01-20,1011.9,1012.8,982.5,985.05,71688
2024-01-23,985.0,1002.75,969.0,990.35,193562
2024-01-24,999.0,1001.9,965.05,997.1,176320
2024-01-25,999.0,1002.8,952.0,964.5,153851
2024-01-29,973.0,1009.75,970.3,986.35,381114
2024-01-30,991.15,992.5,958.0,973.2,105453
2024-01-31,979.85,992.5,975.2,984.7,150608
2024-02-01,984.7,999.95,978.55,990.0,90222
2024-02-02,1004.0,1010.0,962.55,981.75,216725
2024-02-05,981.95,981.95,960.1,971.6,251927
2024-02-06,974.0,989.5,955.5,969.3,290013
2024-02-07,970.0,1011.0,970.0,995.3,199725
2024-02-08,999.0,1009.45,992.05,998.9,194364
2024-02-09,1000.0,1005.0,972.0,983.55,187150
2024-02-12,983.55,987.0,930.15,953.1,105958
2024-02-13,953.0,961.5,947.3,954.3,68800
2024-02-14,940.0,961.55,932.5,935.3,82008
2024-02-15,936.0,949.25,922.1,929.15,128796
2024-02-16,937.0,950.9,935.0,939.0,100965
2024-02-19,945.0,945.0,876.0,882.9,483580
2024-02-20,892.0,937.0,889.05,928.9,585925
2024-02-21,929.8,939.95,907.0,915.4,159677
2024-02-22,935.0,954.0,926.0,946.9,288732
2024-02-23,947.0,963.0,943.4,959.1,283608
2024-02-26,949.6,955.0,920.1,928.25,137929
2024-02-27,925.2,930.0,896.9,901.6,118601
2024-02-28,903.0,909.45,884.5,888.25,162050
2024-02-29,889.0,896.0,863.25,868.2,340553
2024-03-01,874.0,916.1,869.55,906.7,204677
2024-03-02,909.0,919.95,906.1,910.4,6483
2024-03-04,908.2,919.9,891.0,893.95,73485
2024-03-05,880.55,893.55,862.0,866.4,158730
2024-03-06,868.8,868.8,825.0,830.1,250100
2024-03-07,835.9,907.65,835.9,868.8,599086
2024-03-11,868.75,868.95,848.3,853.2,117550
2024-03-12,858.0,865.0,833.15,844.55,133710
2024-03-13,847.05,875.0,816.0,818.0,120968
2024-03-14,815.05,841.15,813.05,815.4,257196
2024-03-15,817.45,836.55,811.55,823.25,173997
2024-03-18,823.25,852.2,817.0,844.2,148398
2024-03-19,850.0,876.4,837.15,847.15,232684
2024-03-20,851.35,878.0,850.55,873.2,125606
2024-03-21,873.85,890.5,863.05,866.55,172153
2024-03-22,871.9,886.0,866.55,880.55,90422
2024-03-26,890.0,908.0,880.0,896.25,157290
2024-03-27,898.0,922.0,892.05,915.55,94120
2024-03-28,922.0,922.0,879.1,897.8,373031
2024-04-01,915.0,932.95,908.55,919.75,120059
2024-04-02,926.6,951.0,910.0,945.45,88573
2024-04-03,936.9,945.8,923.05,930.0,251122
2024-04-04,940.0,982.35,928.4,953.25,299418
2024-04-05,955.0,964.55,947.4,960.05,156564
2024-04-08,960.0,982.95,948.5,951.05,126699
2024-04-09,951.05,961.95,931.55,936.45,54681
2024-04-10,930.0,938.1,895.0,899.8,145644
2024-04-12,899.8,908.8,883.8,898.75,258292
2024-04-15,864.0,904.0,854.0,897.1,112130
2024-04-16,900.0,905.0,880.55,886.3,200314
2024-04-18,882.0,894.95,870.0,881.3,236063
2024-04-19,874.95,884.6,866.2,880.25,95856
2024-04-22,882.2,891.45,857.25,865.85,194581
2024-04-23,871.95,877.85,854.55,857.45,176205
2024-04-24,862.4,886.9,862.05,876.2,297082
2024-04-25,875.5,881.25,862.0,866.4,325820
2024-04-26,871.15,882.0,867.75,872.8,75908
2024-04-29,876.45,890.4,875.0,885.2,321538
2024-04-30,887.9,916.5,879.9,912.55,212456
2024-05-02,910.05,920.0,883.0,890.3,106011
2024-05-03,901.0,907.45,884.05,901.6,160032
2024-05-06,901.6,914.95,893.1,898.3,80111
2024-05-07,898.3,900.0,868.85,878.05,96428
2024-05-08,875.2,899.9,873.85,891.85,62892
2024-05-09,896.25,899.0,845.8,849.15,368175
2024-05-10,864.0,864.0,816.0,817.7,473184
2024-05-13,820.0,824.25,783.0,791.1,323891
2024-05-14,808.0,832.6,781.0,827.65,325911
2024-05-15,832.5,843.95,823.05,829.6,108313
2024-05-16,834.0,844.65,805.1,828.15,298442
2024-05-17,840.55,849.45,830.0,841.15,119031
2024-05-18,846.15,846.15,833.0,841.65,7715
2024-05-21,843.8,850.0,816.0,819.45,98881
2024-05-22,831.75,831.75,815.6,820.4,121513
2024-05-23,819.5,828.0,815.0,817.95,66620
2024-05-24,819.0,828.75,801.0,803.35,133549
2024-05-27,804.95,830.7,804.95,818.5,178164
2024-05-28,820.0,822.55,805.3,808.55,230618
2024-05-29,810.0,819.0,807.0,814.9,102364
2024-05-30,815.0,819.65,800.55,813.4,115171
2024-05-31,818.0,822.5,805.0,817.95,145599
2024-06-03,840.0,846.7,807.95,816.95,468324
2024-06-04,829.2,835.0,776.65,815.6,249126
2024-06-05,815.65,829.0,778.05,811.25,210209
2024-06-06,828.0,878.95,828.0,866.85,861284
2024-06-07,862.0,865.0,844.05,854.35,260560
2024-06-10,867.1,874.95,851.15,864.6,232333
2024-06-11,890.0,963.0,873.25,924.5,3003065
2024-06-12,932.8,973.0,913.35,966.45,849302
2024-06-13,970.5,1063.8,966.55,1022.1,3309271
2024-06-14,1022.1,1084.55,1020.0,1072.3,842274
2024-06-18,1063.0,1092.5,1051.85,1069.2,806619
2024-06-19,1060.0,1083.0,1051.65,1074.65,365914
2024-06-20,1080.0,1080.0,1031.05,1042.45,246316
2024-06-21,1042.45,1063.0,1025.0,1050.05,157540
2024-06-24,1008.0,1050.75,999.65,1011.95,100170
2024-06-25,1012.0,1047.0,998.5,1012.55,123520
2024-06-26,1021.8,1054.95,1015.5,1047.35,167018
2024-06-27,1049.95,1068.0,1014.05,1020.05,133983
2024-06-28,1022.95,1045.3,1010.05,1035.5,159329
2024-07-01,1045.1,1195.0,1029.55,1126.3,1323585
2024-07-02,1135.9,1135.9,1090.25,1098.5,271265
2024-07-03,1107.65,1139.0,1088.05,1121.5,227910
2024-07-04,1109.9,1116.4,1060.0,1068.7,242931
2024-07-05,1067.0,1091.75,1035.9,1055.7,146109
2024-07-08,1056.0,1086.95,1040.1,1049.25,179096
2024-07-09,1086.7,1086.7,1032.25,1039.65,95409
2024-07-10,1048.3,1112.0,1038.4,1054.85,440293
2024-07-11,1045.0,1075.45,1045.0,1054.55,114621
2024-07-12,1060.1,1070.0,1039.0,1060.25,89911
2024-07-15,1060.15,1103.0,1055.0,1098.6,200092
2024-07-16,1100.9,1135.95,1066.95,1074.45,277055
2024-07-18,1081.55,1109.9,1076.0,1099.45,302204
2024-07-19,1100.0,1100.0,1068.95,1078.1,159237
2024-07-22,1075.0,1128.0,1065.35,1099.5,188601
2024-07-23,1105.25,1142.3,1044.9,1062.9,433955
2024-07-24,1073.5,1085.15,1031.05,1041.6,154813
2024-07-25,1040.0,1055.4,1022.05,1030.1,124439
2024-07-26,1049.0,1140.0,1030.0,1061.5,2050775
2024-07-29,1051.7,1095.95,1051.7,1077.25,214328
2024-07-30,1087.0,1089.35,1049.75,1054.35,118674
2024-07-31,1055.7,1065.7,1035.35,1040.1,166680
2024-08-01,1050.0,1057.2,1008.3,1025.35,199708
2024-08-02,1009.7,1035.0,1003.05,1026.1,180512
2024-08-05,1006.0,1039.95,977.15,981.2,293358
2024-08-06,1007.25,1049.0,1006.3,1040.75,479674
2024-08-07,1041.85,1041.85,1007.05,1011.55,173516
2024-08-08,1011.65,1042.0,1011.65,1027.35,170924
2024-08-09,1033.65,1052.0,1031.6,1044.2,178090
2024-08-12,1001.0,1030.0,995.25,1015.55,205399
2024-08-13,1028.85,1028.85,998.65,1012.05,64442
2024-08-14,1019.95,1027.8,990.0,992.65,203010
2024-08-16,999.65,1022.55,999.65,1006.45,57146
2024-08-19,1022.0,1045.95,1012.5,1019.15,176999
2024-08-20,1027.05,1046.0,1020.2,1032.95,565890
2024-08-21,1041.4,1088.2,1040.0,1044.9,352289
