date,open,high,low,close,volume
2023-12-26,106.1,106.8,104.7,105.5,7790552
2023-12-27,106.0,115.25,106.0,114.0,63321401
2023-12-28,115.8,136.8,115.5,128.0,234662818
2023-12-29,128.0,130.45,124.0,125.95,47498850
2024-01-01,126.0,133.95,122.75,129.1,59160163
2024-01-02,129.8,130.4,125.4,127.15,21117216
2024-01-03,127.1,130.5,125.75,126.8,17954305
2024-01-04,127.6,132.35,126.65,128.6,24596544
2024-01-05,129.35,130.2,124.7,127.7,14924792
2024-01-08,128.1,128.35,123.7,124.2,9038812
2024-01-09,125.3,128.35,123.6,125.7,13926169
2024-01-10,125.65,125.75,122.7,123.95,7714596
2024-01-11,124.6,131.75,124.05,126.85,33901416
2024-01-12,127.65,128.1,126.25,126.65,7612136
2024-01-15,127.5,136.85,127.4,132.9,58742842
2024-01-16,133.6,139.05,128.15,131.55,30753838
2024-01-17,129.45,140.4,127.05,137.75,52876313
2024-01-18,137.95,139.5,129.4,137.7,29996826
2024-01-19,138.6,163.0,138.6,159.4,129698708
2024-01-20,161.3,178.3,160.3,167.8,73289549
2024-01-23,169.45,169.7,148.0,149.9,44763598
2024-01-24,149.9,168.2,145.55,165.75,46968738
2024-01-25,165.95,169.2,161.0,163.55,26833648
2024-01-29,164.85,173.75,164.8,167.8,23711910
2024-01-30,169.4,172.9,162.2,164.35,20469228
2024-01-31,165.45,176.0,162.7,172.35,39070997
2024-02-01,173.55,206.8,172.05,205.9,185298230
2024-02-02,217.9,226.45,205.0,208.0,96631232
2024-02-05,209.55,217.9,190.95,201.35,34846849
2024-02-06,202.65,207.15,191.6,201.65,24221574
2024-02-07,202.6,208.0,196.55,197.9,12481080
2024-02-08,199.0,202.9,194.0,198.1,13945384
2024-02-09,198.7,206.6,182.45,200.15,31922898
2024-02-12,201.0,204.3,180.15,180.15,20600803
2024-02-13,170.0,185.75,164.55,180.15,40771765
2024-02-14,175.4,198.15,174.2,198.15,35168331
2024-02-15,203.1,207.8,194.1,203.6,32388546
2024-02-16,203.8,204.8,197.4,198.7,13102776
2024-02-19,199.6,199.6,191.75,193.1,12086690
2024-02-20,194.55,201.3,190.85,198.45,17562475
2024-02-21,199.1,206.4,194.7,195.85,27955586
2024-02-22,197.4,198.9,189.65,195.5,15918399
2024-02-23,196.55,205.8,195.3,199.35,20644507
2024-02-26,200.0,213.8,197.95,203.45,43236849
2024-02-27,204.5,209.25,197.0,199.0,16020371
2024-02-28,200.2,202.55,187.55,191.4,15185497
2024-02-29,191.3,193.3,183.35,191.15,15237395
2024-03-01,192.9,197.0,192.9,194.4,6756575
2024-03-02,194.9,197.7,193.1,195.9,1677525
2024-03-04,196.75,198.8,192.1,195.6,7112998
2024-03-05,195.5,205.6,195.05,200.15,17553782
2024-03-06,200.1,204.5,191.3,195.9,11305930
2024-03-07,197.0,205.0,196.6,202.45,18374013
2024-03-11,203.25,203.9,194.3,195.45,8877092
2024-03-12,196.0,196.55,181.5,182.35,13617314
2024-03-13,182.65,186.5,164.15,164.15,15252429
2024-03-14,155.3,180.55,152.55,180.55,24873815
2024-03-15,175.0,192.1,169.1,188.8,42797939
2024-03-18,190.0,194.0,180.0,180.5,14403349
2024-03-19,181.2,185.3,176.0,177.15,10179360
2024-03-20,179.6,181.35,170.8,175.65,8318414
2024-03-21,178.85,187.3,178.5,182.15,11998276
2024-03-22,182.7,186.5,181.05,183.15,6769707
2024-03-26,183.85,187.95,180.35,184.15,7962081
2024-03-27,185.4,190.5,184.65,186.95,10128325
2024-03-28,188.5,193.55,186.3,187.25,9626885
2024-04-01,188.05,201.95,188.05,200.9,15528366
2024-04-02,200.35,202.8,197.3,199.25,9954698
2024-04-03,198.6,206.4,197.85,201.7,14065030
2024-04-04,203.25,209.35,197.75,207.15,19053118
2024-04-05,208.5,212.7,205.4,206.4,24370150
2024-04-08,208.0,212.4,204.05,209.1,16359041
2024-04-09,210.5,218.45,207.15,211.7,26137483
2024-04-10,212.7,214.35,209.2,210.85,8968226
2024-04-12,210.35,212.6,204.0,204.55,7643086
2024-04-15,197.7,202.95,191.25,196.5,14064634
2024-04-16,194.8,199.5,193.6,195.05,6773607
2024-04-18,197.0,201.7,190.45,193.2,7656553
2024-04-19,192.0,197.7,188.9,194.9,12272559
2024-04-22,197.3,199.4,194.7,195.55,5288133
2024-04-23,196.6,199.6,194.55,197.65,9209141
2024-04-24,199.0,203.8,198.0,198.55,10427616
2024-04-25,199.0,205.3,198.1,203.05,9578881
2024-04-26,204.0,234.3,202.0,228.1,108844118
2024-04-29,231.15,242.7,227.2,228.7,33917998
2024-04-30,230.0,231.95,223.3,224.5,19538954
2024-05-02,225.75,228.15,221.3,222.0,9352082
2024-05-03,223.25,227.75,215.55,219.55,12540727
2024-05-06,221.0,221.4,208.0,213.8,17399161
2024-05-07,214.2,215.95,203.7,208.05,21166495
2024-05-08,205.9,228.6,203.45,223.75,38018443
2024-05-09,223.75,229.8,212.2,214.3,18266065
2024-05-10,216.25,219.5,206.65,214.1,12442587
2024-05-13,217.0,219.9,208.0,216.35,14047717
2024-05-14,217.5,235.8,217.3,233.8,33048809
2024-05-15,231.55,236.6,228.4,229.65,13812157
2024-05-16,232.2,245.0,231.05,234.85,29076077
2024-05-17,235.2,242.8,233.2,241.6,16258736
2024-05-18,242.65,248.4,242.35,244.6,5947358
2024-05-21,245.5,273.95,240.05,270.0,50735869
2024-05-22,271.9,275.5,262.7,265.1,17398365
2024-05-23,265.45,277.9,263.05,267.5,23133025
2024-05-24,268.5,272.0,249.0,258.7,24832821
2024-05-27,261.15,267.6,254.6,263.1,17603980
2024-05-28,263.9,264.65,248.55,250.1,16057140
2024-05-29,250.05,269.75,246.0,262.5,27316333
2024-05-30,262.5,272.5,259.9,261.95,21039153
2024-05-31,264.0,275.0,257.4,273.8,38669277
2024-06-03,299.5,300.0,283.65,287.1,29107839
2024-06-04,286.15,286.15,229.7,229.7,49414908
2024-06-05,230.0,240.0,203.3,233.05,37620614
2024-06-06,238.0,260.0,238.0,249.65,31703565
2024-06-07,251.85,257.5,246.75,248.6,20195677
2024-06-10,251.0,269.65,245.05,267.3,40162176
2024-06-11,282.0,289.9,279.25,280.85,47711695
2024-06-12,282.45,283.5,276.25,279.2,15033857
2024-06-13,280.55,285.85,276.55,279.0,14470406
2024-06-14,279.0,286.7,275.55,282.55,15520181
2024-06-18,284.05,284.7,280.0,280.7,7123891
2024-06-19,282.1,289.8,271.8,283.15,21763762
2024-06-20,283.25,288.55,279.0,282.3,13975757
2024-06-21,283.45,293.25,280.0,281.05,21575510
2024-06-24,276.8,280.45,272.9,275.3,9998174
2024-06-25,276.95,283.7,274.15,275.15,10220519
2024-06-26,276.45,289.4,273.45,285.2,32849276
2024-06-27,285.2,294.9,280.6,284.05,24258154
2024-06-28,285.5,285.8,278.3,281.2,10878171
2024-07-01,281.35,286.5,279.5,281.25,9394107
2024-07-02,282.4,285.9,277.0,278.35,9503086
2024-07-03,280.2,304.0,280.0,301.95,73328474
2024-07-04,308.0,327.8,308.0,325.05,90297808
2024-07-05,323.9,339.45,318.85,328.45,49354323
2024-07-08,330.05,349.7,329.3,333.05,39998055
2024-07-09,336.0,342.0,323.5,329.05,20427634
2024-07-10,330.2,337.8,319.0,329.35,22645799
2024-07-11,331.0,345.5,326.55,342.2,32754852
2024-07-12,344.1,353.7,331.75,334.0,44226856
2024-07-15,336.45,338.0,326.6,335.75,20045456
2024-07-16,336.15,346.8,333.65,335.3,28114492
2024-07-18,335.9,336.7,318.0,322.45,21811736
2024-07-19,319.7,327.6,309.0,318.0,23028906
2024-07-22,317.0,329.4,310.5,323.6,24374797
2024-07-23,327.05,328.9,271.15,307.3,62191875
2024-07-24,308.35,323.8,298.1,313.3,65099839
2024-07-25,312.4,325.0,308.3,316.65,32845784
2024-07-26,318.8,319.95,313.4,314.25,11528689
2024-07-29,316.05,319.65,311.35,317.1,15123187
2024-07-30,318.0,321.35,314.65,315.3,8676497
2024-07-31,316.9,317.05,311.5,312.25,6477202
2024-08-01,315.0,316.1,304.35,306.05,8439723
2024-08-02,299.95,312.2,296.5,306.2,10251946
2024-08-05,291.15,299.35,286.3,290.15,15959538
2024-08-06,298.6,304.15,284.1,285.8,13874339
2024-08-07,295.0,299.7,287.3,298.5,9510995
2024-08-08,297.5,299.4,288.0,289.3,9655442
2024-08-09,292.5,299.0,288.0,292.2,11136585
2024-08-12,295.0,312.9,293.35,300.1,28812166
2024-08-13,309.7,309.7,285.0,287.55,15275331
2024-08-14,293.05,294.0,286.0,288.0,7373985
2024-08-16,290.6,294.2,286.0,291.8,7591926
2024-08-19,292.0,297.8,289.0,289.9,7519534
2024-08-20,291.25,291.85,282.15,283.95,6249016
2024-08-21,284.5,289.45,283.05,285.15,5274462
2024-08-22,287.1,292.7,284.4,285.45,8212130
2024-08-23,286.65,287.1,283.25,284.35,3954334
2024-08-26,286.0,286.4,277.5,278.4,6022543
2024-08-27,279.0,282.8,277.45,278.65,4550366
2024-08-28,280.35,299.7,278.8,289.95,38822559
2024-08-29,289.9,297.7,285.2,293.65,13623996
2024-08-30,296.55,297.5,277.0,280.65,24250054
2024-09-02,279.95,281.8,273.2,274.5,9681245
2024-09-03,274.5,276.8,272.6,273.45,4970658
2024-09-04,269.0,271.45,265.0,266.5,7348737
2024-09-05,267.75,269.45,261.3,262.0,6606159
2024-09-06,262.0,264.45,253.1,254.1,8964703
2024-09-09,253.95,258.6,246.3,251.9,10430112
2024-09-10,253.1,256.1,250.75,253.2,7061118
2024-09-11,254.35,257.3,245.0,245.95,7044646
2024-09-12,247.35,256.9,246.05,254.1,12471133
2024-09-13,253.8,255.95,249.2,252.45,6741004
2024-09-16,253.5,254.7,246.25,247.25,4579642
2024-09-17,247.5,252.25,242.55,245.1,8323237
2024-09-18,244.4,248.3,240.05,240.8,5257991
2024-09-19,242.15,243.5,228.05,230.5,10794462
2024-09-20,232.25,252.85,231.6,251.05,39836437
2024-09-23,251.25,252.85,241.0,243.45,11856109
2024-09-24,244.4,246.8,241.55,242.25,4447954
2024-09-25,242.0,242.15,236.05,236.95,3634199
2024-09-26,237.2,241.9,232.15,234.6,5795169
2024-09-27,235.0,240.0,233.05,238.45,8279160
2024-09-30,238.0,243.1,234.0,241.8,6274873
2024-10-01,240.71,241.38,234.0,235.94,4872035
2024-10-03,230.0,232.93,227.3,228.48,4070807
2024-10-04,228.0,230.9,220.0,224.33,4954299
2024-10-07,224.32,224.94,206.56,210.31,10268119
2024-10-08,210.0,230.6,208.38,228.88,10573811
2024-10-09,230.05,232.56,225.41,226.45,4619112
2024-10-10,226.88,228.78,224.36,225.19,2933364
2024-10-11,223.25,226.0,221.0,223.1,3152506
2024-10-14,223.1,226.98,222.05,224.0,2928109
2024-10-15,224.3,227.7,222.97,224.61,2912901
2024-10-16,223.8,228.52,223.05,223.56,2123389
2024-10-17,223.2,225.7,216.5,217.12,2123323
2024-10-18,216.3,216.32,209.9,215.06,2960108
2024-10-21,216.15,217.55,207.55,208.62,2496700
2024-10-22,208.1,210.7,198.0,199.07,7033623
2024-10-23,199.05,205.8,194.0,200.42,5688379
2024-10-24,201.99,208.85,198.34,204.36,5572035
2024-10-25,204.36,205.0,193.0,193.99,5587616
2024-10-28,194.99,205.79,192.11,204.06,6266692
2024-10-29,204.18,221.43,201.3,216.43,11164019
