date,open,high,low,close,volume
2023-12-26,1423.0,1439.35,1403.0,1416.1,398150
2023-12-27,1419.8,1432.0,1410.65,1415.0,326744
2023-12-28,1429.0,1441.0,1416.3,1437.0,239294
2023-12-29,1427.95,1427.95,1410.05,1420.1,289414
2024-01-01,1429.0,1443.4,1420.0,1437.2,156358
2024-01-02,1443.0,1448.95,1415.55,1419.4,491395
2024-01-03,1417.05,1419.4,1373.7,1378.0,701759
2024-01-04,1380.05,1398.0,1375.0,1393.2,581309
2024-01-05,1394.8,1398.55,1385.4,1395.6,296418
2024-01-08,1395.0,1405.75,1379.0,1395.65,659991
2024-01-09,1396.55,1420.0,1384.0,1395.0,855991
2024-01-10,1395.0,1395.0,1377.4,1388.05,639538
2024-01-11,1388.0,1398.75,1385.3,1393.25,302118
2024-01-12,1391.05,1396.85,1381.0,1394.1,446952
2024-01-15,1411.0,1417.15,1370.7,1372.8,781961
2024-01-16,1372.8,1383.2,1353.5,1374.2,1288819
2024-01-17,1410.05,1476.0,1410.05,1454.45,5235862
2024-01-18,1454.0,1462.15,1423.0,1440.05,503202
2024-01-19,1454.95,1502.0,1434.9,1486.95,1134043
2024-01-20,1490.0,1490.0,1456.2,1473.15,177982
2024-01-23,1490.0,1499.75,1450.6,1479.2,1546007
2024-01-24,1475.0,1513.0,1472.25,1508.5,594375
2024-01-25,1508.5,1509.95,1476.05,1482.2,324540
2024-01-29,1482.2,1495.85,1468.8,1488.85,374957
2024-01-30,1492.8,1520.5,1484.9,1499.7,805250
2024-01-31,1499.7,1505.0,1489.85,1497.1,506409
2024-02-01,1498.55,1517.5,1494.1,1512.35,339207
2024-02-02,1524.0,1524.0,1492.3,1499.05,335712
2024-02-05,1500.0,1521.3,1500.0,1518.6,379612
2024-02-06,1522.0,1595.4,1519.1,1590.95,1019177
2024-02-07,1599.9,1627.1,1595.15,1624.6,1029393
2024-02-08,1624.6,1640.45,1612.0,1620.7,831036
2024-02-09,1620.6,1644.2,1607.1,1638.4,626195
2024-02-12,1650.0,1659.55,1611.55,1615.3,644401
2024-02-13,1614.95,1647.1,1604.3,1630.65,669899
