date,open,high,low,close,volume
2023-12-26,28.55,28.6,28.0,28.15,15151450
2023-12-27,28.3,28.55,27.65,27.95,14386232
2023-12-28,28.15,29.5,27.65,28.75,32473451
2023-12-29,28.85,29.7,28.6,29.15,23833955
2024-01-01,29.3,29.55,28.8,29.0,16660307
2024-01-02,29.05,29.35,28.25,28.75,21173457
2024-01-03,28.8,29.9,28.55,29.0,27380111
2024-01-04,29.2,30.4,29.15,29.65,37495592
2024-01-05,29.8,30.65,29.5,29.8,32264770
2024-01-08,29.95,31.55,29.45,30.25,66110574
2024-01-09,30.55,30.8,29.65,29.8,28684302
2024-01-10,29.9,30.0,29.3,29.65,21250264
2024-01-11,29.8,30.25,29.5,29.8,16410347
2024-01-12,29.9,31.95,29.75,30.9,68731391
2024-01-15,31.2,33.25,30.7,32.35,73685220
2024-01-16,32.5,33.5,30.8,31.35,59305470
2024-01-17,30.8,32.4,30.6,31.55,38333404
2024-01-18,31.7,32.1,29.95,31.45,37789256
2024-01-19,31.75,32.65,31.7,32.1,28428036
2024-01-20,32.3,38.5,32.25,38.5,127345315
2024-01-23,41.4,44.2,39.15,40.0,178957658
2024-01-24,40.8,48.0,40.25,48.0,130159101
2024-01-25,50.0,52.8,49.45,52.8,45752531
2024-01-29,55.0,58.05,54.0,58.05,27264223
2024-01-30,62.4,63.85,53.45,55.5,135424142
2024-01-31,56.95,61.05,56.5,61.05,48613174
2024-02-01,62.8,64.1,60.0,62.1,103412383
2024-02-02,63.5,63.5,59.3,60.3,44292974
2024-02-05,60.8,63.3,58.8,62.3,52106407
2024-02-06,63.55,65.4,63.05,65.4,38594567
2024-02-07,67.9,68.65,67.0,68.65,32544387
2024-02-08,71.75,71.8,65.25,65.25,24002418
2024-02-09,62.65,63.2,62.0,62.0,9798306
2024-02-12,58.9,58.9,58.9,58.9,1059647
2024-02-13,55.95,55.95,55.95,55.95,1090649
2024-02-14,53.15,55.8,53.15,54.3,74543422
2024-02-15,54.4,55.65,51.6,52.05,101765713
2024-02-16,52.1,54.65,52.05,54.35,45295329
2024-02-19,54.9,55.1,52.3,52.6,14423423
2024-02-20,52.7,53.7,51.35,51.55,15670054
2024-02-21,51.65,53.15,49.0,49.0,25135234
2024-02-22,48.0,48.95,46.7,48.4,20427895
2024-02-23,48.9,50.45,46.55,46.85,18897771
2024-02-26,46.85,49.15,45.6,48.6,29105645
2024-02-27,49.25,49.3,46.2,46.2,12797642
2024-02-28,45.6,46.2,43.9,43.9,11417609
2024-02-29,42.45,46.05,41.8,45.9,34456744
2024-03-01,47.0,47.0,45.1,45.5,10266169
2024-03-02,45.85,46.8,45.4,45.75,1960645
2024-03-04,45.95,46.0,43.65,43.8,6295502
2024-03-05,43.5,45.35,43.0,44.45,10543233
2024-03-06,44.45,44.75,42.25,42.25,7986273
2024-03-07,42.25,43.0,41.55,41.95,9292759
2024-03-11,41.95,42.4,39.85,39.85,9570017
2024-03-12,39.2,41.8,37.85,39.6,30821939
2024-03-13,39.85,40.1,37.65,37.65,10617982
2024-03-14,36.35,39.5,35.8,39.5,19496479
2024-03-15,40.4,41.35,37.8,39.05,14572171
2024-03-18,39.5,40.15,38.35,38.6,6758897
2024-03-19,38.75,39.35,37.3,37.6,6017615
2024-03-20,39.0,39.05,37.25,37.8,7545286
2024-03-21,38.55,39.65,38.4,39.65,4216926
2024-03-22,38.9,40.8,38.55,39.85,9518928
2024-03-26,40.0,40.15,38.65,38.8,6665225
2024-03-27,39.1,40.7,38.9,40.4,16151231
2024-03-28,41.0,41.3,39.55,39.65,7861316
2024-04-01,40.2,41.6,40.2,41.6,2974284
2024-04-02,42.3,43.65,42.1,43.65,2790810
2024-04-03,45.8,45.8,44.0,45.8,29756158
2024-04-04,46.65,47.8,44.35,45.2,17236417
2024-04-05,45.4,47.4,44.4,47.05,22459287
2024-04-08,47.7,48.9,47.25,47.65,13489636
2024-04-09,48.0,48.0,45.85,46.45,8360424
2024-04-10,46.4,47.4,45.15,46.25,8958423
2024-04-12,46.5,46.9,45.05,45.15,5703789
2024-04-15,44.0,44.0,41.65,42.0,19163012
2024-04-16,41.9,44.0,41.7,42.55,11328064
2024-04-18,43.3,43.5,41.7,41.95,8707014
2024-04-19,41.1,42.15,40.3,41.3,9281163
2024-04-22,42.0,42.65,41.8,41.95,6288193
2024-04-23,42.5,46.1,42.2,46.1,27766452
2024-04-24,47.9,48.55,46.6,47.1,27072994
2024-04-25,47.1,47.25,45.6,45.9,8788930
2024-04-26,46.2,47.1,45.5,46.0,10608220
2024-04-29,46.5,47.0,45.45,45.9,9410612
2024-04-30,46.45,47.15,45.1,45.5,10117711
2024-05-02,49.15,50.05,47.6,50.05,36498357
2024-05-03,52.0,55.05,51.7,52.5,93147890
2024-05-06,54.8,54.9,51.7,52.95,34998720
2024-05-07,52.9,52.9,48.0,49.0,25134925
2024-05-08,49.2,53.3,48.5,52.4,31988876
2024-05-09,52.8,54.15,50.2,50.55,29365396
2024-05-10,51.4,52.9,49.05,52.2,25386387
2024-05-13,52.7,52.7,49.7,50.8,17975068
2024-05-14,51.3,54.1,51.2,53.35,28877357
2024-05-15,53.7,54.8,53.0,54.05,23618512
2024-05-16,54.6,57.55,54.4,55.9,47911080
2024-05-17,56.4,61.45,55.45,61.45,76586296
2024-05-18,62.0,64.3,61.75,63.6,17261151
2024-05-21,63.9,63.9,60.5,60.9,35852266
2024-05-22,61.45,62.5,58.5,59.35,31166728
2024-05-23,59.7,61.85,58.4,60.75,31886227
2024-05-24,61.05,62.3,59.55,59.95,19388112
2024-05-27,60.8,60.95,57.5,58.8,18848092
2024-05-28,59.4,59.4,56.7,57.25,14318815
2024-05-29,57.05,60.45,56.0,59.0,20811003
2024-05-30,59.3,59.9,57.4,57.7,15456809
2024-05-31,58.3,59.2,55.9,58.1,19668959
2024-06-03,63.0,63.0,60.05,60.9,26001551
2024-06-04,60.9,60.9,54.85,54.85,31657453
2024-06-05,53.05,54.2,49.4,52.85,48011874
2024-06-06,53.5,57.6,53.5,56.4,23030403
2024-06-07,57.35,58.25,56.4,57.6,20192976
2024-06-10,58.4,62.3,57.21,60.75,50644744
2024-06-11,61.4,67.29,60.5,66.26,111889023
2024-06-12,67.0,67.35,64.4,64.74,48016651
2024-06-13,65.4,66.48,63.8,64.21,31869718
2024-06-14,64.45,66.0,63.0,64.79,32637847
2024-06-18,65.02,66.94,64.5,64.68,35197722
2024-06-19,65.2,65.25,62.21,62.62,25737667
2024-06-20,62.62,64.47,61.82,62.48,21114596
2024-06-21,62.7,63.15,61.0,61.18,18198502
2024-06-24,60.85,62.08,60.27,60.97,15740123
2024-06-25,61.35,63.61,61.2,61.99,27101718
2024-06-26,62.1,65.31,61.65,62.85,31741415
2024-06-27,63.18,63.35,59.0,60.26,23242554
2024-06-28,60.8,62.3,60.79,61.58,19220331
2024-07-01,61.8,62.4,60.61,60.93,10513522
2024-07-02,61.18,61.37,59.35,59.95,12253956
2024-07-03,60.35,61.48,60.03,60.71,11867481
2024-07-04,61.0,62.69,60.66,60.87,15967234
2024-07-05,61.24,61.81,60.7,60.91,11856340
2024-07-08,61.51,67.25,61.5,64.58,82263257
2024-07-09,65.86,65.97,62.67,63.08,26702506
2024-07-10,63.84,63.88,60.5,61.6,20446131
2024-07-11,61.9,63.13,61.46,62.09,16747243
2024-07-12,62.45,72.0,62.31,69.57,200599767
2024-07-15,70.4,78.9,70.2,75.65,176477576
2024-07-16,77.6,78.4,73.52,74.12,61053863
2024-07-18,74.19,74.19,69.6,71.42,50134258
2024-07-19,71.4,73.27,67.8,68.23,48426277
2024-07-22,67.89,73.5,66.56,71.64,54949645
2024-07-23,71.94,72.24,62.52,69.96,60677675
2024-07-24,69.8,83.95,69.2,83.95,161136230
2024-07-25,82.0,91.4,81.55,84.79,209529051
2024-07-26,85.7,89.4,81.65,83.28,81435966
2024-07-29,84.1,86.19,81.32,83.35,54228678
2024-07-30,83.4,88.59,82.85,84.92,69949299
2024-07-31,85.0,90.74,84.98,87.33,70580732
2024-08-01,88.4,88.8,82.79,83.78,45709596
2024-08-02,81.0,83.28,80.03,81.92,33937915
2024-08-05,77.08,79.89,75.02,75.76,49770027
2024-08-06,78.73,79.5,73.08,73.66,38406326
2024-08-07,75.9,77.9,74.11,77.5,36017010
2024-08-08,77.0,78.65,73.3,75.08,32648247
2024-08-09,72.87,74.2,70.3,70.73,42456846
2024-08-12,68.11,76.55,68.11,74.21,69706371
2024-08-13,74.69,75.19,71.21,71.96,26369098
2024-08-14,72.45,72.62,69.73,70.37,19795330
2024-08-16,71.3,73.38,71.21,71.64,19240909
2024-08-19,72.1,73.45,71.7,71.85,16744408
2024-08-20,72.25,72.63,71.05,71.75,15473756
2024-08-21,71.7,74.55,71.19,71.77,21260762
2024-08-22,72.18,73.33,71.56,71.88,17713118
2024-08-23,71.98,73.2,71.56,71.74,15845616
2024-08-26,72.0,72.68,71.41,71.68,11190686
2024-08-27,71.85,71.99,70.5,70.65,9350042
2024-08-28,72.3,79.9,72.12,76.75,120501533
2024-08-29,77.3,80.83,76.1,77.66,59149921
2024-08-30,78.0,78.05,74.55,74.93,23875005
2024-09-02,74.99,75.28,72.52,73.0,12937691
2024-09-03,72.99,75.75,72.5,73.8,21539551
2024-09-04,73.0,74.78,72.5,73.4,12169964
2024-09-05,73.73,74.78,72.26,72.67,12199940
2024-09-06,72.79,73.1,70.32,70.83,13322201
2024-09-09,70.94,70.99,68.19,68.48,17578691
2024-09-10,68.8,69.61,68.18,69.24,15432744
2024-09-11,69.55,72.1,69.53,70.22,20264233
2024-09-12,70.8,71.68,69.03,69.77,12502660
2024-09-13,70.1,71.21,69.45,70.27,12733122
2024-09-16,72.7,75.38,71.25,74.37,45430347
2024-09-17,74.6,74.65,71.52,71.98,13984144
2024-09-18,71.85,73.75,70.83,71.54,20445526
2024-09-19,72.0,72.49,67.9,69.55,20284019
2024-09-20,70.0,73.44,68.93,71.1,22692979
2024-09-23,71.01,71.66,70.16,70.67,9393657
2024-09-24,70.8,70.95,69.0,69.35,7909636
2024-09-25,69.35,69.57,67.45,67.92,8187118
2024-09-26,68.2,68.25,65.51,65.82,10772099
2024-09-27,65.3,68.0,65.3,67.34,11589150
2024-09-30,66.98,67.24,65.31,66.1,7055253
2024-10-01,66.0,67.64,65.0,65.1,7630821
2024-10-03,63.45,64.25,61.5,61.98,8275099
2024-10-04,61.37,62.94,59.18,61.5,9471604
2024-10-07,62.6,65.7,60.16,61.0,18968275
2024-10-08,61.0,63.8,59.5,63.33,9614135
2024-10-09,64.01,64.72,63.36,63.62,5427930
2024-10-10,63.9,64.2,61.3,61.46,5394829
2024-10-11,61.0,61.22,59.8,60.54,6350586
2024-10-14,61.21,61.53,60.0,60.12,4166745
2024-10-15,60.21,60.68,58.74,59.37,5312214
2024-10-16,59.45,62.14,59.02,61.8,10419132
2024-10-17,62.0,62.2,60.06,60.29,4236860
2024-10-18,59.98,59.98,57.32,59.29,6037974
2024-10-21,59.1,59.48,56.6,56.98,7869534
2024-10-22,56.95,56.95,53.42,53.71,9353742
2024-10-23,53.98,55.47,52.36,54.53,7665718
2024-10-24,54.9,55.2,52.81,53.46,7077617
2024-10-25,53.25,53.6,50.09,50.98,10190886
2024-10-28,51.09,53.9,49.72,52.89,10113032
2024-10-29,53.1,53.8,51.5,53.33,5289406
2024-10-30,53.45,58.4,52.66,57.48,13113329
2024-10-31,57.45,58.4,56.25,57.76,8303968
2024-11-01,58.1,59.34,58.0,58.95,2786474
2024-11-04,58.92,58.92,56.62,57.12,4698936
2024-11-05,57.2,58.46,55.86,57.66,5195850
2024-11-06,57.51,68.0,57.11,65.22,23480546
2024-11-07,66.9,69.5,65.11,66.89,37484549
2024-11-08,66.4,66.54,61.25,61.59,15172860
2024-11-11,60.81,67.4,59.79,63.43,38246395
2024-11-12,64.45,66.25,62.7,63.23,18803457
2024-11-13,62.5,62.9,59.1,59.44,13129685
2024-11-14,59.44,61.69,57.1,57.78,18464657
2024-11-18,57.8,61.77,56.51,60.71,19096071
2024-11-19,61.25,62.73,59.55,60.55,11343846
2024-11-21,59.9,61.38,58.69,59.22,10609446
2024-11-22,59.0,60.8,57.09,58.0,15789293
2024-11-25,63.0,66.79,62.0,64.55,51938489
2024-11-26,64.8,65.25,61.2,63.66,21791425
2024-11-27,63.55,64.43,62.16,63.64,15147439
2024-11-28,63.95,65.97,63.36,64.56,13071672
2024-11-29,64.6,65.33,63.32,63.87,6936737
2024-12-02,63.44,64.4,62.7,63.79,8957198
2024-12-03,63.79,67.1,63.75,65.55,13337521
2024-12-04,65.8,67.2,65.0,65.91,11634994
2024-12-05,66.0,66.28,64.8,65.15,7456672
2024-12-06,65.14,68.4,64.43,67.14,23390523
2024-12-09,67.01,68.27,65.82,66.41,12187858
2024-12-10,66.3,66.45,64.78,65.23,6060924
2024-12-11,65.26,65.62,64.18,64.49,6466469
2024-12-12,64.65,64.71,62.61,62.93,6167471
2024-12-13,62.5,64.4,61.36,64.01,9393502
2024-12-16,63.9,65.22,63.52,63.8,6665125
2024-12-17,63.69,64.14,62.4,62.66,4214314
2024-12-18,62.64,62.82,60.87,61.05,4741090
2024-12-19,59.0,64.7,59.0,63.9,22302975
2024-12-20,64.18,64.33,60.71,60.97,7895071
2024-12-23,62.6,63.0,59.86,61.41,6190317
2024-12-24,61.54,61.88,60.66,60.94,3323049
2024-12-26,61.1,61.44,59.93,60.24,3702119
2024-12-27,60.49,61.56,60.0,60.46,4588950
