date,open,high,low,close,volume
2023-12-26,417.0,417.55,408.0,409.7,2693304
2023-12-27,413.45,420.0,409.7,415.75,4205855
2023-12-28,420.0,425.0,416.25,421.9,4067165
2023-12-29,423.8,423.8,415.85,420.9,3208031
2024-01-01,422.0,424.7,419.15,422.0,2159907
2024-01-02,423.0,423.8,408.6,416.3,3268709
2024-01-03,419.0,423.0,415.2,421.3,4194188
2024-01-04,422.0,434.2,422.0,432.4,3583823
2024-01-05,435.0,441.95,432.0,434.4,3117731
2024-01-08,436.0,436.0,422.3,426.4,1008837
2024-01-09,429.4,432.7,418.2,421.3,1885357
2024-01-10,422.0,428.55,418.25,423.05,1348886
2024-01-11,424.2,429.95,422.55,427.0,1332381
2024-01-12,429.65,435.8,424.85,433.65,1861260
2024-01-15,437.0,443.15,425.7,434.2,4268473
2024-01-16,437.95,444.0,434.3,440.3,2810788
2024-01-17,435.0,443.5,430.05,441.5,2939256
2024-01-18,435.2,444.75,433.6,443.55,1509859
2024-01-19,450.0,450.0,440.15,443.3,1347568
2024-01-20,445.0,463.6,442.75,459.95,2482400
2024-01-23,460.0,472.3,440.0,445.1,2654966
2024-01-24,448.45,451.45,431.5,441.6,4682160
2024-01-25,445.1,479.0,443.25,460.6,11615214
2024-01-29,462.9,481.9,455.55,480.5,4451584
2024-01-30,482.1,498.0,475.55,494.05,4511747
2024-01-31,495.2,507.0,489.05,498.85,3871355
2024-02-01,498.85,530.0,494.0,523.95,5616874
2024-02-02,528.15,553.95,526.4,545.95,5033223
2024-02-05,550.0,568.4,528.8,560.2,4727662
2024-02-06,560.2,561.85,538.2,542.45,2202935
2024-02-07,549.35,549.35,533.3,542.85,2078318
2024-02-08,549.7,573.75,545.25,551.8,4488235
2024-02-09,551.8,556.15,521.25,531.65,2626837
2024-02-12,533.95,536.5,484.5,499.55,2322608
2024-02-13,499.55,503.85,483.1,494.65,2380743
2024-02-14,490.75,529.0,485.05,525.9,3553333
2024-02-15,527.05,533.6,515.4,525.5,3209442
2024-02-16,530.25,543.6,515.0,517.75,3863145
2024-02-19,524.95,545.5,521.5,543.2,2308799
2024-02-20,543.15,543.15,535.1,537.15,1223512
2024-02-21,537.2,552.0,526.8,539.2,4497405
2024-02-22,542.8,548.5,525.0,527.4,2387581
2024-02-23,532.1,536.6,521.65,525.25,930577
2024-02-26,521.0,529.0,519.0,521.65,844688
2024-02-27,525.0,539.55,522.0,536.75,2107003
2024-02-28,539.9,539.9,510.4,529.5,2187555
2024-02-29,530.0,532.1,512.15,525.15,1456017
2024-03-01,526.4,531.8,519.45,526.15,1531632
2024-03-02,530.0,530.5,526.0,529.0,93269
2024-03-04,532.0,533.95,520.55,526.15,1607290
2024-03-05,526.3,535.4,521.9,530.25,2693783
2024-03-06,532.25,550.0,517.05,538.65,3919897
2024-03-07,539.2,548.9,538.0,545.45,1588868
2024-03-11,551.65,562.85,540.6,548.0,2215712
