date,open,high,low,close,volume
2023-12-26,2881.0,2938.3,2864.0,2921.1,707097
2023-12-27,2930.0,2948.2,2913.65,2927.5,516482
2023-12-28,2941.0,2947.95,2900.6,2927.0,1094620
2023-12-29,2935.1,2975.0,2925.1,2967.1,501880
2024-01-01,3000.0,3049.95,2970.0,2978.5,615820
2024-01-02,2980.0,2989.9,2918.6,2925.7,439889
2024-01-03,2933.9,3000.0,2929.35,2990.45,655799
2024-01-04,2995.05,3005.75,2966.0,2995.85,416938
2024-01-05,3008.4,3025.0,2945.55,2954.95,715186
2024-01-08,2970.0,2991.95,2942.75,2952.25,451446
2024-01-09,2992.95,3042.0,2975.0,3012.9,831003
2024-01-10,3012.9,3090.0,2973.45,3082.15,839629
2024-01-11,3094.8,3094.8,3027.25,3052.0,891708
2024-01-12,3056.05,3086.35,3031.0,3072.6,583998
2024-01-15,3074.1,3128.3,3071.25,3119.5,638566
2024-01-16,3079.0,3132.0,3045.0,3051.6,568486
2024-01-17,3000.0,3083.3,2995.1,3058.75,771661
2024-01-18,3025.8,3072.9,3013.95,3052.6,925829
2024-01-19,3068.6,3112.15,3017.85,3029.55,586989
2024-01-20,3050.0,3064.2,3031.0,3044.65,73015
2024-01-23,3068.0,3068.0,2900.0,2911.8,1061598
2024-01-24,2939.95,2949.95,2895.4,2910.15,1244427
2024-01-25,2910.55,2922.55,2847.0,2863.05,1096039
2024-01-29,2889.9,2921.4,2851.75,2896.0,1539851
2024-01-30,2919.0,2966.75,2910.0,2929.0,1253067
2024-01-31,2940.0,2969.95,2912.0,2961.35,1571722
2024-02-01,2982.0,3081.9,2972.1,3066.6,1610034
2024-02-02,3099.95,3150.0,3072.4,3127.1,1104594
2024-02-05,3225.05,3300.0,3154.55,3171.15,3430174
2024-02-06,3190.05,3191.1,3070.75,3137.85,1007663
2024-02-07,3169.0,3189.0,3106.5,3114.55,636345
2024-02-08,3140.0,3168.55,3115.0,3132.4,762163
2024-02-09,3130.0,3157.5,2984.2,3105.95,1667210
2024-02-12,3123.0,3130.55,3052.8,3063.0,410580
2024-02-13,3050.0,3073.8,3006.05,3041.45,414063
2024-02-14,3049.9,3099.55,3011.7,3094.3,347614
2024-02-15,3128.7,3128.7,3021.25,3028.85,544154
2024-02-16,3064.8,3064.8,3010.5,3045.3,727944
2024-02-19,3062.0,3088.5,3040.25,3068.05,547439
2024-02-20,3080.0,3136.35,3053.9,3114.9,745295
2024-02-21,3135.0,3135.0,3083.0,3095.65,481341
2024-02-22,3110.0,3134.15,3082.65,3128.3,397181
2024-02-23,3142.0,3215.35,3136.1,3179.0,873751
2024-02-26,3198.0,3201.95,3135.25,3184.05,417096
2024-02-27,3190.0,3198.75,3153.05,3183.0,460969
2024-02-28,3190.0,3202.05,3098.05,3125.9,506498
2024-02-29,3134.4,3169.5,3079.0,3155.35,3097349
2024-03-01,3155.4,3171.75,3130.3,3157.35,210443
2024-03-02,3160.0,3174.8,3127.65,3159.8,15485
2024-03-04,3174.0,3202.8,3153.3,3171.1,484126
2024-03-05,3171.15,3215.0,3152.15,3186.4,341136
2024-03-06,3196.9,3196.9,3026.0,3069.8,1168268
2024-03-07,3083.0,3126.7,3081.0,3105.7,340788
2024-03-11,3033.05,3262.0,3020.0,3218.55,9136024
2024-03-12,3220.95,3317.0,3197.4,3242.95,3251109
2024-03-13,3242.0,3258.5,3090.1,3112.55,2053050
2024-03-14,3110.0,3187.25,3079.35,3176.6,1379775
2024-03-15,3176.6,3215.9,3135.0,3203.1,2268294
2024-03-18,3200.0,3255.75,3160.0,3249.2,890781
2024-03-19,3260.0,3342.0,3223.05,3233.0,3389294
2024-03-20,3234.05,3260.0,3180.9,3213.65,1147219
2024-03-21,3258.45,3297.4,3245.0,3290.15,727852
2024-03-22,3300.0,3327.05,3266.8,3286.8,681688
2024-03-26,3324.0,3507.95,3302.35,3492.05,2463948
2024-03-27,3514.95,3561.55,3471.6,3546.65,1246756
2024-03-28,3546.0,3573.8,3516.0,3548.65,1102586
2024-04-01,3569.95,3606.2,3525.25,3548.95,756301
2024-04-02,3615.0,3645.0,3550.5,3567.8,936798
2024-04-03,3522.0,3563.7,3480.0,3490.85,992280
2024-04-04,3525.0,3525.0,3460.0,3484.05,628441
2024-04-05,3515.0,3518.5,3462.0,3499.55,702689
2024-04-08,3548.0,3612.0,3504.9,3599.8,792454
2024-04-09,3614.0,3651.0,3572.75,3634.0,667654
2024-04-10,3679.7,3812.85,3672.1,3795.3,2692686
2024-04-12,3830.0,3830.45,3670.15,3693.25,2751797
2024-04-15,3670.3,3693.25,3552.0,3595.65,1767191
2024-04-16,3589.7,3636.75,3512.9,3570.05,701956
2024-04-18,3647.0,3677.5,3573.25,3590.1,962322
2024-04-19,3505.05,3598.0,3441.05,3560.2,1244645
2024-04-22,3620.05,3739.95,3616.9,3727.0,1274812
