date,open,high,low,close,volume
2023-12-26,113.75,120.0,113.6,116.55,8316144
2023-12-27,117.0,119.45,113.5,118.35,6138324
2023-12-28,118.75,122.25,114.75,121.35,6048680
2023-12-29,121.35,125.5,118.0,124.95,9749668
2024-01-01,126.0,134.0,126.0,131.1,9775540
2024-01-02,131.0,134.0,126.4,131.9,8283284
2024-01-03,131.45,135.05,126.3,128.6,9212656
2024-01-04,129.2,130.5,126.3,129.5,6200020
2024-01-05,129.65,131.45,126.35,127.55,4008640
2024-01-08,127.25,127.5,114.8,123.9,15286400
2024-01-09,125.0,128.25,117.25,118.6,4913796
2024-01-10,118.75,120.0,108.1,113.95,13208336
2024-01-11,116.15,117.2,111.5,113.0,3001196
2024-01-12,112.5,114.5,107.6,110.0,5107340
2024-01-15,110.75,115.4,108.75,112.9,4656376
2024-01-16,113.0,114.85,108.5,109.6,2710676
2024-01-17,109.6,111.25,106.0,106.7,2031312
2024-01-18,106.7,113.25,102.5,111.2,5370380
2024-01-19,112.25,114.5,109.8,112.55,3501780
2024-01-20,112.4,112.6,108.55,108.95,1945744
2024-01-23,107.5,111.6,106.25,107.65,2394472
2024-01-24,107.8,112.1,106.25,109.85,3108780
2024-01-25,110.4,119.7,110.4,117.35,8196764
2024-01-29,118.5,123.5,118.25,122.6,5287288
2024-01-30,123.65,123.7,116.6,117.7,2806456
2024-01-31,117.75,121.5,117.7,119.5,2712784
2024-02-01,119.65,122.5,115.4,119.6,6578652
2024-02-02,120.0,130.0,120.0,127.2,12686356
2024-02-05,130.9,135.75,128.95,133.75,10815588
2024-02-06,135.25,136.7,128.75,132.2,6582484
2024-02-07,133.0,136.25,131.75,135.65,4503736
2024-02-08,142.5,144.7,135.85,138.1,9739476
2024-02-09,139.1,140.5,124.5,128.05,6834940
2024-02-12,132.75,135.5,121.25,123.0,8553116
2024-02-13,125.0,130.25,110.7,128.65,6597060
2024-02-14,125.0,133.0,125.0,131.3,18388340
2024-02-15,133.2,144.4,133.0,143.6,14896444
2024-02-16,145.0,150.5,144.5,147.75,12129512
2024-02-19,149.0,161.15,148.8,157.35,10247196
2024-02-20,159.0,160.85,150.85,155.9,5159556
2024-02-21,156.75,158.5,148.1,149.5,4695428
2024-02-22,150.5,151.75,142.8,148.05,3062192
2024-02-23,151.0,155.45,150.3,152.9,4723304
2024-02-26,153.95,160.5,150.5,157.7,4083056
2024-02-27,158.5,162.0,155.3,156.95,3983092
2024-02-28,157.0,157.4,149.1,150.95,3847200
2024-02-29,150.95,153.75,144.6,150.7,8805652
2024-03-01,152.5,155.55,143.8,146.25,2438848
2024-03-02,149.15,151.0,144.5,145.4,486928
2024-03-04,138.15,139.2,138.15,138.15,5461500
2024-03-05,131.25,131.25,131.25,131.25,1567128
2024-03-06,124.7,124.7,124.7,124.7,561432
2024-03-07,118.75,130.9,118.75,130.9,13469088
2024-03-11,130.9,133.1,124.4,124.4,5562284
2024-03-12,124.5,129.6,118.2,118.6,6433424
2024-03-13,115.75,119.85,112.7,112.7,7571436
2024-03-14,108.3,115.25,107.05,113.0,7953684
2024-03-15,114.25,118.5,112.9,117.2,12678168
2024-03-18,117.85,118.5,111.35,116.6,3334372
2024-03-19,115.25,118.2,112.75,114.0,1551496
2024-03-20,114.7,117.1,110.1,111.6,1430480
2024-03-21,113.1,117.15,113.1,117.15,741660
2024-03-22,118.0,123.0,117.0,120.2,4500496
2024-03-26,121.1,126.2,117.55,126.2,2524824
2024-03-27,127.5,132.5,126.25,132.5,4711140
2024-03-28,133.0,138.2,127.25,130.4,4471252
2024-04-01,131.25,134.9,128.5,131.2,1906000
2024-04-02,131.75,132.75,128.0,128.65,1988780
2024-04-03,128.7,135.1,127.5,134.6,4253272
2024-04-04,137.5,139.75,131.9,135.1,3074808
2024-04-05,136.25,137.4,131.05,132.3,3018480
2024-04-08,135.7,144.7,134.5,138.3,5605444
2024-04-09,139.45,143.25,137.15,139.75,5000740
2024-04-10,139.4,140.0,134.1,135.45,2531548
2024-04-12,135.45,141.5,134.4,139.6,3271424
2024-04-15,135.0,139.7,132.5,135.5,3572056
2024-04-16,134.5,141.75,133.8,137.2,3664948
2024-04-18,136.9,143.0,135.0,136.1,4124268
2024-04-19,134.5,144.5,130.45,142.25,7280476
2024-04-22,145.7,149.75,142.25,148.1,5600232
2024-04-23,157.5,161.5,147.5,149.9,13973120
2024-04-24,152.45,153.0,149.25,150.7,4375724
2024-04-25,151.2,164.6,151.0,161.4,27359848
2024-04-26,164.15,165.75,159.25,160.15,8770260
2024-04-29,161.75,165.15,155.75,157.75,4319584
2024-04-30,159.0,161.2,156.0,156.9,2874504
2024-05-02,157.9,160.6,155.9,156.9,2775328
2024-05-03,158.5,159.05,149.0,153.9,4845420
2024-05-06,159.55,161.25,149.0,151.4,10276252
2024-05-07,152.8,153.55,138.3,142.5,9498544
2024-05-08,142.5,143.75,138.35,140.0,6276008
2024-05-09,140.5,142.15,138.5,138.8,3891592
2024-05-10,142.0,142.2,134.65,135.7,3083548
2024-05-13,135.25,139.0,131.25,138.45,4782708
2024-05-14,139.9,142.5,137.7,141.5,3225820
2024-05-15,143.25,145.5,138.8,139.85,2549608
2024-05-16,141.25,153.8,139.5,152.6,9850124
2024-05-17,154.9,154.9,148.25,152.4,5786224
2024-05-18,153.45,158.6,152.4,157.2,1276752
2024-05-21,158.75,160.5,151.75,153.0,6489168
2024-05-22,153.75,154.5,149.0,150.0,5845400
2024-05-23,151.15,157.25,150.25,151.3,4628848
2024-05-24,160.0,166.4,157.0,165.0,9291096
2024-05-27,166.1,177.0,161.65,164.15,8136940
2024-05-28,155.0,157.0,147.75,147.75,90807517
2024-05-29,138.0,146.8,133.0,143.4,36882298
2024-05-30,142.6,148.8,142.0,145.4,13009758
2024-05-31,146.7,149.6,142.6,148.95,8802413
2024-06-03,157.0,157.7,149.15,153.35,12946497
2024-06-04,153.0,153.0,138.05,138.05,13501101
2024-06-05,137.3,141.7,124.25,139.8,13024190
2024-06-06,143.25,153.0,141.6,146.4,5891704
2024-06-07,148.8,152.0,145.55,150.2,4599930
2024-06-10,153.0,154.04,147.6,149.64,3770996
2024-06-11,151.48,154.6,149.15,151.26,2784349
2024-06-12,153.16,154.25,149.09,149.62,2568549
2024-06-13,149.6,150.55,145.66,146.31,4431161
2024-06-14,146.9,149.39,143.51,145.4,5905026
2024-06-18,145.55,149.4,142.8,144.26,4725606
2024-06-19,144.9,146.68,138.2,139.08,5302856
2024-06-20,145.3,145.79,140.2,140.89,10625978
2024-06-21,141.9,143.25,139.1,141.01,3892174
2024-06-24,141.0,141.79,138.21,139.24,3136054
2024-06-25,139.39,144.6,139.01,142.92,4673843
2024-06-26,143.25,145.5,139.66,142.69,5996309
2024-06-27,144.5,144.5,139.19,140.12,3958146
2024-06-28,140.13,142.9,139.53,141.86,2853655
2024-07-01,144.0,144.0,140.3,143.37,5531382
