date,open,high,low,close,volume
2023-12-26,1065.0,1074.9,1055.15,1058.6,221122
2023-12-27,1060.1,1066.95,1053.75,1059.05,333776
2023-12-28,1064.0,1113.4,1056.55,1099.75,1535682
2023-12-29,1096.0,1116.1,1090.05,1113.15,314635
2024-01-01,1104.3,1125.85,1103.95,1119.35,254640
2024-01-02,1119.35,1142.9,1110.05,1113.35,443895
2024-01-03,1114.9,1122.8,1107.1,1110.25,164353
2024-01-04,1110.2,1120.0,1105.15,1109.85,106228
2024-01-05,1108.0,1119.0,1092.15,1113.4,190888
2024-01-08,1120.0,1126.2,1080.15,1088.1,192371
2024-01-09,1092.8,1107.2,1082.4,1103.05,116079
2024-01-10,1103.05,1123.0,1098.05,1116.25,265183
2024-01-11,1125.0,1148.8,1119.1,1144.35,683798
2024-01-12,1156.0,1156.0,1128.45,1135.35,236286
2024-01-15,1138.75,1147.55,1133.0,1139.55,272849
2024-01-16,1140.0,1140.95,1121.8,1134.55,219948
2024-01-17,1130.0,1136.25,1112.2,1123.5,219441
2024-01-18,1120.0,1123.5,1062.4,1081.4,408875
2024-01-19,1080.8,1105.0,1075.9,1099.95,314207
2024-01-20,1100.0,1107.5,1072.0,1077.7,119400
2024-01-23,1075.0,1093.25,1061.05,1082.0,525982
2024-01-24,1065.0,1109.0,1062.15,1098.45,326644
2024-01-25,1093.0,1120.85,1079.2,1115.45,931856
2024-01-29,1116.25,1135.05,1111.0,1132.6,689193
2024-01-30,1134.9,1141.0,1098.1,1103.7,154768
2024-01-31,1103.5,1129.2,1102.9,1120.25,253038
2024-02-01,1124.7,1124.7,1097.4,1114.45,158837
2024-02-02,1114.0,1120.3,1103.0,1108.75,87784
2024-02-05,1110.0,1146.5,1103.2,1134.35,463804
2024-02-06,1134.35,1203.95,1134.35,1199.15,2350648
2024-02-07,1204.0,1232.35,1192.85,1225.5,922586
2024-02-08,1230.0,1263.95,1210.0,1215.75,820166
2024-02-09,1219.8,1224.0,1190.0,1195.6,256840
2024-02-12,1198.9,1201.9,1151.35,1168.2,576271
2024-02-13,1182.35,1182.35,1146.85,1160.65,334482
2024-02-14,1144.0,1207.5,1134.05,1154.7,1103355
2024-02-15,1164.5,1192.0,1145.0,1152.35,777977
2024-02-16,1155.8,1247.55,1155.0,1241.45,2036820
2024-02-19,1248.05,1260.55,1225.4,1235.95,305423
2024-02-20,1241.45,1249.35,1208.2,1235.4,267316
2024-02-21,1240.0,1246.85,1213.3,1220.35,191023
2024-02-22,1225.0,1236.0,1213.35,1230.7,180032
2024-02-23,1235.0,1235.7,1214.4,1217.7,89570
2024-02-26,1217.7,1224.05,1206.05,1214.5,163516
2024-02-27,1215.0,1224.7,1190.6,1194.85,212369
2024-02-28,1195.0,1208.7,1174.35,1188.3,314291
2024-02-29,1184.0,1202.2,1168.55,1193.25,448113
2024-03-01,1199.5,1201.85,1186.1,1193.05,114577
2024-03-02,1198.95,1207.0,1177.15,1198.95,9111
2024-03-04,1202.05,1220.0,1198.3,1201.8,236014
2024-03-05,1200.0,1207.75,1182.15,1189.7,112283
2024-03-06,1189.7,1211.5,1168.45,1198.7,270547
2024-03-07,1171.15,1207.4,1171.15,1187.55,134051
2024-03-11,1194.9,1217.0,1184.0,1189.65,218941
2024-03-12,1185.0,1194.0,1157.05,1177.25,265483
2024-03-13,1168.1,1181.55,1122.25,1133.25,189961
2024-03-14,1147.95,1216.1,1145.1,1183.2,1341365
2024-03-15,1183.2,1194.9,1143.9,1165.6,231007
2024-03-18,1168.55,1180.85,1153.0,1165.05,254407
2024-03-19,1161.05,1165.05,1135.75,1144.15,191008
2024-03-20,1140.6,1167.95,1129.15,1160.95,241592
2024-03-21,1172.0,1178.8,1140.8,1174.15,309808
2024-03-22,1176.4,1209.15,1170.2,1196.05,748972
2024-03-26,1186.0,1219.0,1186.0,1200.9,484695
2024-03-27,1205.0,1220.95,1185.0,1205.3,383672
2024-03-28,1205.4,1245.0,1202.35,1237.4,668011
2024-04-01,1241.0,1257.45,1221.5,1241.05,349243
2024-04-02,1247.6,1247.6,1225.3,1233.55,198825
2024-04-03,1240.0,1240.0,1215.85,1224.35,1653542
2024-04-04,1230.8,1281.95,1224.0,1276.15,1879382
2024-04-05,1289.9,1321.6,1272.4,1314.55,2753390
2024-04-08,1319.9,1338.0,1285.0,1294.5,1531611
2024-04-09,1306.5,1336.9,1286.5,1322.15,1078562
2024-04-10,1330.0,1345.0,1316.3,1330.85,453328
2024-04-12,1320.0,1348.1,1320.0,1339.0,623680
2024-04-15,1322.0,1336.0,1306.65,1327.65,443344
2024-04-16,1326.7,1360.75,1316.05,1341.5,719341
2024-04-18,1354.55,1374.6,1335.0,1352.3,985533
2024-04-19,1330.6,1347.5,1324.1,1337.95,243803
2024-04-22,1337.95,1353.3,1324.1,1328.95,269676
2024-04-23,1335.9,1335.9,1310.55,1323.95,260533
2024-04-24,1322.15,1356.3,1319.25,1347.25,564608
2024-04-25,1348.95,1354.0,1322.0,1328.45,209171
2024-04-26,1330.0,1343.95,1330.0,1338.5,196893
2024-04-29,1345.4,1350.0,1324.55,1334.0,384574
2024-04-30,1335.3,1363.0,1331.65,1339.5,358148
2024-05-02,1340.0,1355.0,1332.6,1351.0,291150
2024-05-03,1358.0,1359.05,1324.05,1337.7,278430
2024-05-06,1332.25,1351.9,1324.6,1336.3,194153
2024-05-07,1336.3,1344.45,1273.75,1293.3,360488
2024-05-08,1250.0,1328.35,1250.0,1316.45,532186
2024-05-09,1316.45,1335.0,1280.0,1284.25,117602
2024-05-10,1284.25,1319.9,1283.95,1312.95,316687
2024-05-13,1301.0,1314.3,1291.45,1298.3,417644
2024-05-14,1300.05,1305.05,1280.0,1289.95,280228
2024-05-15,1295.0,1295.0,1266.5,1276.3,139522
2024-05-16,1284.65,1293.9,1269.8,1287.5,87052
2024-05-17,1293.95,1306.65,1276.85,1301.7,160999
2024-05-18,1308.65,1334.7,1299.55,1309.75,31324
2024-05-21,1309.75,1314.85,1283.65,1306.95,321671
2024-05-22,1310.0,1324.7,1293.8,1318.5,173094
2024-05-23,1327.9,1327.9,1301.0,1308.8,170445
2024-05-24,1310.75,1319.05,1285.2,1297.75,318132
2024-05-27,1302.05,1310.9,1291.3,1296.6,132016
2024-05-28,1296.6,1325.7,1286.45,1319.75,422797
2024-05-29,1327.0,1354.5,1276.1,1294.0,2025821
2024-05-30,1291.6,1291.6,1231.15,1249.4,644782
2024-05-31,1232.1,1239.9,1146.6,1152.15,2421958
2024-06-03,1174.4,1174.4,1124.0,1127.3,1217343
2024-06-04,1128.0,1148.15,1073.6,1139.85,1033914
2024-06-05,1145.7,1186.5,1137.5,1176.35,410432
2024-06-06,1178.7,1179.95,1150.0,1161.75,312305
2024-06-07,1170.4,1182.05,1153.5,1169.7,323013
2024-06-10,1169.7,1186.2,1169.7,1176.7,162598
2024-06-11,1180.0,1181.95,1164.1,1173.7,542486
2024-06-12,1179.55,1188.5,1173.0,1179.45,942555
2024-06-13,1185.55,1210.0,1185.0,1199.8,1053240
2024-06-14,1200.0,1213.7,1175.75,1181.35,285975
2024-06-18,1175.0,1187.9,1160.5,1162.85,524432
2024-06-19,1169.0,1171.4,1130.05,1133.4,373279
2024-06-20,1139.4,1139.4,1124.05,1125.45,558269
2024-06-21,1128.0,1143.8,1124.05,1136.4,799558
2024-06-24,1137.4,1142.0,1123.2,1125.4,278691
2024-06-25,1130.0,1137.5,1090.0,1101.75,772609
2024-06-26,1105.7,1119.0,1095.85,1107.3,513552
2024-06-27,1114.3,1114.3,1080.0,1088.15,1755171
2024-06-28,1052.0,1138.85,1052.0,1129.7,1057281
2024-07-01,1137.9,1147.9,1130.8,1135.25,437651
2024-07-02,1136.0,1146.0,1113.3,1131.6,956188
2024-07-03,1132.0,1172.8,1128.0,1153.45,950710
2024-07-04,1162.0,1181.15,1149.0,1177.8,734508
2024-07-05,1175.05,1198.8,1174.5,1192.75,1038443
