date,open,high,low,close,volume
2023-12-26,41.85,42.25,41.3,41.85,12750085
2023-12-27,42.05,42.1,40.85,41.75,16119184
2023-12-28,42.15,42.15,41.2,41.35,11815914
2023-12-29,41.5,42.0,40.8,41.55,20739600
2024-01-01,41.55,42.5,41.5,41.85,20165348
2024-01-02,41.95,42.0,41.1,41.3,13407529
2024-01-03,41.3,41.8,41.05,41.55,12161090
2024-01-04,41.6,43.6,41.55,43.15,47299270
2024-01-05,43.35,43.5,42.0,42.45,20810476
2024-01-08,42.65,43.4,41.7,42.15,22206153
2024-01-09,43.5,47.25,43.5,46.0,171494774
2024-01-10,46.0,47.5,45.15,45.8,58437846
2024-01-11,46.4,47.45,45.65,46.1,34441866
2024-01-12,46.5,46.9,45.85,46.05,21115082
2024-01-15,46.6,47.0,46.1,46.6,21616947
2024-01-16,46.85,47.65,45.2,46.3,26567865
2024-01-17,45.75,46.05,44.85,45.5,22197819
2024-01-18,45.55,47.35,45.0,46.9,45405014
2024-01-19,47.35,48.25,46.65,47.25,36216844
2024-01-20,47.6,49.6,47.4,49.25,36551594
2024-01-23,50.0,51.45,47.4,47.9,64100446
2024-01-24,48.05,49.7,47.6,49.15,29902836
2024-01-25,49.6,51.0,49.3,50.7,31690503
2024-01-29,52.3,60.8,52.2,59.95,193249563
2024-01-30,63.2,69.0,60.35,68.0,272853553
2024-01-31,68.65,69.15,64.1,66.1,63999206
2024-02-01,68.8,69.6,64.4,65.1,60845497
2024-02-02,66.45,69.0,66.2,66.75,38530998
2024-02-05,67.5,72.0,67.3,70.05,62417172
2024-02-06,71.0,71.7,67.3,70.05,27312713
2024-02-07,70.7,70.95,68.0,68.9,19014537
2024-02-08,70.0,70.8,68.6,69.85,21906789
2024-02-09,70.0,70.0,64.1,68.45,28112918
2024-02-12,68.45,69.2,61.6,61.6,27204198
2024-02-13,60.45,61.7,55.9,60.6,25839432
2024-02-14,59.75,66.65,58.55,66.65,27709690
2024-02-15,67.4,68.35,64.35,66.05,21938423
2024-02-16,66.55,68.1,65.8,67.1,14907399
2024-02-19,67.5,67.95,66.3,66.5,7905253
2024-02-20,66.7,66.75,65.2,65.85,6145605
2024-02-21,66.1,67.9,65.0,65.6,12325814
2024-02-22,66.1,67.5,63.45,67.15,14367255
2024-02-23,67.5,67.75,66.3,66.55,12155205
2024-02-26,66.85,69.3,65.95,67.1,23600950
2024-02-27,67.3,68.15,65.7,66.15,16748936
2024-02-28,66.5,66.5,62.75,63.85,15401272
2024-02-29,63.0,64.0,62.1,62.85,17545354
2024-03-01,63.5,65.75,63.5,63.9,11785960
2024-03-02,63.95,64.85,63.9,64.35,1320385
2024-03-04,64.8,64.9,62.5,62.65,10189006
2024-03-05,62.65,63.1,61.7,62.0,7518960
2024-03-06,61.9,61.95,59.05,60.75,14619538
2024-03-07,63.1,63.8,61.1,61.3,12180543
2024-03-11,61.5,61.6,58.85,59.2,10811086
2024-03-12,59.3,59.6,55.65,56.55,18801756
2024-03-13,56.55,58.15,50.9,50.95,32853939
2024-03-14,50.0,56.0,49.4,56.0,22659199
2024-03-15,56.0,60.2,55.0,57.3,36564735
2024-03-18,57.7,57.9,54.4,55.1,18875893
2024-03-19,55.4,56.0,53.85,54.1,11004826
2024-03-20,54.5,55.5,53.15,53.95,11503320
2024-03-21,54.9,59.3,54.85,58.9,41411701
2024-03-22,59.85,60.2,58.45,59.4,21976043
2024-03-26,59.6,59.9,57.8,58.3,9747610
2024-03-27,58.55,59.95,58.4,58.9,17913769
2024-03-28,59.45,60.0,58.1,58.55,10126639
2024-04-01,58.8,61.95,58.7,61.3,23178098
2024-04-02,61.5,64.9,60.85,63.75,27692371
2024-04-03,64.0,64.4,62.9,63.5,14624101
2024-04-04,64.0,65.3,62.5,63.15,15416408
2024-04-05,63.25,67.9,63.0,67.2,61806407
2024-04-08,67.8,73.1,67.65,70.0,97754754
2024-04-09,70.75,72.0,69.1,70.4,41770958
2024-04-10,70.1,70.1,66.85,69.35,31257424
2024-04-12,69.35,70.25,67.65,68.05,21734964
2024-04-15,64.9,67.5,63.05,65.5,33350965
2024-04-16,64.6,67.5,64.55,65.85,22049532
2024-04-18,67.15,67.55,65.0,65.3,16692921
2024-04-19,63.75,67.0,63.4,66.15,25533696
2024-04-22,67.05,67.55,66.35,67.05,12180791
2024-04-23,67.5,69.5,67.25,68.35,18131130
