date,open,high,low,close,volume
2023-12-26,167.2,173.0,165.7,171.2,16634258
2023-12-27,172.05,174.6,166.9,169.0,12189508
2023-12-28,170.0,172.0,168.3,169.2,8792706
2023-12-29,169.9,173.9,167.75,171.4,19662037
2024-01-01,172.2,176.0,171.8,174.55,17625826
2024-01-02,175.75,177.7,169.8,174.3,13412685
2024-01-03,175.0,189.7,172.75,187.1,86311747
2024-01-04,188.9,190.85,184.25,185.9,24310822
2024-01-05,186.5,187.65,181.1,184.15,11878159
2024-01-08,185.0,185.0,178.9,179.5,12952130
2024-01-09,180.7,185.4,179.4,181.4,14322902
2024-01-10,181.4,196.0,178.8,192.85,46481232
2024-01-11,195.05,198.9,193.25,194.75,31303764
2024-01-12,195.7,199.4,193.3,195.05,16351033
2024-01-15,196.45,209.7,195.55,202.45,65424970
2024-01-16,204.2,212.0,201.5,205.35,46823798
2024-01-17,202.9,212.95,199.9,208.35,42531427
2024-01-18,209.5,211.7,192.95,204.05,34552809
2024-01-19,204.7,230.85,204.65,227.8,104577928
2024-01-20,231.0,271.0,225.8,267.1,151475224
2024-01-23,275.05,280.85,225.0,229.65,116933725
2024-01-24,232.3,247.0,215.15,241.25,62497168
2024-01-25,243.55,252.3,241.35,247.25,39965524
2024-01-29,251.05,254.7,242.5,244.2,24473592
2024-01-30,245.7,248.0,227.2,234.7,32498855
2024-01-31,235.8,241.5,229.55,237.35,31089532
2024-02-01,239.75,245.1,227.0,228.6,43609906
2024-02-02,231.1,239.45,226.55,232.5,26433112
2024-02-05,233.55,233.7,222.0,223.6,16336679
2024-02-06,223.6,234.9,214.75,231.8,23406595
2024-02-07,233.9,235.4,227.65,230.05,10611193
2024-02-08,231.25,235.7,227.55,228.55,10958886
2024-02-09,232.0,234.9,216.8,222.35,19748341
2024-02-12,223.0,224.6,190.35,194.25,29233268
2024-02-13,196.75,213.45,191.8,210.9,40733195
2024-02-14,207.4,224.35,203.4,222.65,22356740
2024-02-15,223.4,234.0,222.1,231.9,19833844
2024-02-16,232.4,232.4,223.5,225.7,12932855
2024-02-19,226.75,240.2,226.25,231.35,24436698
2024-02-20,232.4,233.25,227.8,230.55,9532010
2024-02-21,231.05,233.45,225.5,227.95,10790142
2024-02-22,229.0,230.4,220.15,225.7,9939240
2024-02-23,227.55,234.45,227.35,228.75,10815089
2024-02-26,230.7,237.45,228.05,231.9,15858772
2024-02-27,233.0,238.65,230.55,231.55,16544325
