date,open,high,low,close,volume
2023-12-26,13.3,14.3,13.1,13.95,92067632
2023-12-27,14.0,14.2,13.6,13.8,64271882
2023-12-28,13.8,13.8,13.4,13.45,37369611
2023-12-29,13.55,14.05,13.35,13.95,79579254
2024-01-01,14.0,14.95,13.95,14.75,155062165
2024-01-02,14.8,16.2,14.45,16.15,527261650
2024-01-03,16.35,16.5,15.75,15.85,162656874
2024-01-04,16.0,17.1,16.0,17.0,219420858
2024-01-05,17.1,17.8,16.5,16.85,267897270
2024-01-08,17.0,17.45,16.85,16.95,111028540
2024-01-09,17.15,17.25,16.3,16.45,108325769
2024-01-10,16.45,16.6,15.9,16.35,67494698
2024-01-11,16.45,16.95,16.35,16.45,53829719
2024-01-12,16.6,17.25,16.3,16.7,107626978
2024-01-15,16.95,17.15,16.4,17.0,95411519
2024-01-16,17.1,17.3,16.15,16.2,128035935
2024-01-17,15.95,16.35,15.7,16.0,78461141
2024-01-18,16.0,16.25,15.25,15.95,60325029
2024-01-19,16.05,16.25,15.85,15.95,41278650
2024-01-20,16.0,16.7,15.8,16.7,95895749
2024-01-23,16.9,17.2,15.9,15.9,69884760
2024-01-24,15.85,16.1,15.5,15.9,59726528
2024-01-25,15.95,16.35,15.8,16.1,47437000
2024-01-29,16.3,16.9,16.25,16.9,139819219
2024-01-30,17.7,17.7,17.35,17.7,119392640
2024-01-31,18.55,18.55,17.45,18.55,247906550
2024-02-01,18.65,19.2,17.85,18.15,181998773
2024-02-02,18.5,19.05,18.4,19.0,114086397
2024-02-05,19.4,19.95,19.35,19.9,144472834
2024-02-06,20.8,20.85,20.4,20.85,115216681
2024-02-07,21.75,21.85,21.65,21.85,101364593
2024-02-08,22.8,22.9,20.75,22.65,347090025
2024-02-09,23.4,23.5,21.55,23.25,225205254
2024-02-12,23.6,24.0,22.1,22.1,167566133
2024-02-13,21.2,21.5,21.0,21.0,45001188
2024-02-14,19.95,21.7,19.95,21.35,215702918
2024-02-15,21.9,21.9,20.45,21.05,31019112
2024-02-16,21.05,21.05,20.25,20.35,21915785
2024-02-19,20.55,21.0,20.2,20.9,18889161
2024-02-20,21.1,21.1,20.25,20.4,17558718
2024-02-21,20.45,21.05,19.6,19.8,24844375
2024-02-22,20.0,20.45,18.85,20.25,27552330
2024-02-23,20.25,20.4,19.35,19.45,28206112
2024-02-26,19.6,19.6,18.95,19.05,22554222
2024-02-27,18.1,18.9,18.1,18.25,42360496
2024-02-28,18.0,18.2,17.35,17.35,30645051
2024-02-29,16.8,18.2,16.6,18.2,43575581
2024-03-01,18.6,18.7,18.0,18.3,20345289
2024-03-02,18.6,19.1,17.9,18.75,8536875
2024-03-04,19.1,19.15,18.0,18.15,16519506
2024-03-05,18.2,18.3,17.4,17.65,18799045
2024-03-06,17.6,17.95,16.8,17.5,32347306
2024-03-07,17.55,17.6,17.1,17.2,13684398
2024-03-11,17.25,17.5,16.55,16.65,18902676
2024-03-12,16.65,16.7,15.85,15.9,27161864
2024-03-13,15.8,15.85,15.1,15.1,20862359
2024-03-14,14.35,15.7,14.35,15.6,42129817
2024-03-15,15.5,16.3,15.0,16.2,34119382
2024-03-18,16.2,16.3,15.5,15.75,20985134
2024-03-19,15.7,15.7,15.1,15.1,13864080
2024-03-20,15.0,15.45,14.6,14.95,18522272
2024-03-21,15.2,15.6,15.05,15.4,22115784
2024-03-22,15.5,15.9,15.45,15.7,20495475
2024-03-26,15.85,15.95,15.0,15.15,19732353
2024-03-27,15.45,15.6,15.0,15.1,29237817
