date,open,high,low,close,volume
2023-12-26,551.4,559.95,544.0,557.15,807502
2023-12-27,561.6,565.0,550.1,559.3,1180065
2023-12-28,559.0,578.0,556.5,571.3,3071393
2023-12-29,561.0,577.95,561.0,572.1,1962919
2024-01-01,575.5,580.3,565.15,573.5,1272725
2024-01-02,577.0,600.0,573.5,596.3,3060686
2024-01-03,600.0,604.8,595.5,597.05,1918651
2024-01-04,596.4,610.2,593.5,601.4,2224961
2024-01-05,605.0,619.9,600.0,606.2,1989855
2024-01-08,611.9,618.5,594.3,607.35,2244909
2024-01-09,610.0,620.0,606.05,617.35,2254092
2024-01-10,622.5,622.5,608.05,615.8,1105438
2024-01-11,619.0,619.0,603.05,613.9,1873800
2024-01-12,613.95,617.75,607.5,610.85,1050960
2024-01-15,610.9,612.05,585.55,590.15,1703312
2024-01-16,591.9,606.95,588.75,604.6,1412873
2024-01-17,590.2,605.8,581.0,583.9,3683949
2024-01-18,583.0,589.55,562.6,567.3,5393895
2024-01-19,572.0,606.5,557.25,582.65,7530335
2024-01-20,584.9,586.0,572.15,575.15,436905
2024-01-23,575.0,576.15,514.6,529.95,10460489
2024-01-24,520.25,553.25,513.5,548.5,7251008
2024-01-25,547.9,559.0,531.1,538.35,3130536
2024-01-29,538.65,565.5,536.0,553.0,2451277
2024-01-30,559.2,583.6,555.0,571.85,2111062
2024-01-31,572.05,585.5,567.4,576.8,1553754
2024-02-01,568.2,572.65,553.1,564.6,2175277
2024-02-02,572.6,610.0,568.55,596.55,4018844
2024-02-05,605.6,626.4,593.75,606.6,3229617
2024-02-06,606.6,638.0,603.0,616.1,2219382
2024-02-07,624.8,639.0,612.45,628.95,3925907
2024-02-08,631.25,634.95,614.3,627.65,1667942
2024-02-09,627.0,634.0,596.55,607.35,1764826
2024-02-12,616.25,619.8,581.7,590.25,2220595
2024-02-13,564.0,595.4,527.1,575.2,7243293
2024-02-14,562.0,584.9,560.1,568.6,2459593
2024-02-15,574.0,606.5,572.1,599.25,2339196
2024-02-16,606.4,643.3,601.3,631.25,3648096
2024-02-19,633.95,639.0,622.0,635.8,1565189
2024-02-20,635.8,651.85,631.25,642.85,2014831
2024-02-21,648.0,649.0,631.1,637.9,3027198
2024-02-22,638.0,654.0,635.75,642.35,2052775
2024-02-23,642.35,646.35,639.9,642.8,747457
2024-02-26,636.15,669.4,636.15,662.25,1770691
2024-02-27,669.9,673.95,657.85,663.2,1478526
2024-02-28,665.9,667.75,653.0,660.1,911248
2024-02-29,658.05,664.05,628.2,640.55,1553314
2024-03-01,655.9,662.9,647.0,650.35,877113
2024-03-02,656.35,664.25,654.1,662.9,85414
2024-03-04,662.05,685.45,658.0,681.9,1991820
2024-03-05,684.8,693.9,675.3,684.7,2376664
2024-03-06,687.4,707.95,669.45,699.1,3387928
2024-03-07,703.85,704.55,687.0,691.75,1758365
2024-03-11,691.75,707.5,678.8,688.3,1151264
2024-03-12,678.35,687.9,641.35,658.25,2603383
2024-03-13,656.8,656.8,601.55,618.75,2974280
2024-03-14,618.7,666.0,612.3,657.9,1323985
2024-03-15,655.0,680.0,639.2,664.55,5161002
2024-03-18,663.7,672.95,648.3,671.7,900857
2024-03-19,669.65,670.0,643.4,667.4,1932179
2024-03-20,669.9,672.0,648.15,663.65,1098545
2024-03-21,670.0,689.85,662.1,680.7,1376605
2024-03-22,680.2,695.0,678.0,693.05,1064038
2024-03-26,695.0,717.85,690.75,709.7,2139681
2024-03-27,715.0,715.75,699.0,702.85,996432
2024-03-28,706.8,712.7,685.75,694.45,1192965
2024-04-01,704.95,724.0,699.4,719.55,1185130
2024-04-02,722.0,725.95,713.0,715.8,1071239
2024-04-03,715.0,721.0,707.1,713.35,1075532
2024-04-04,712.9,715.7,681.05,707.25,2550633
2024-04-05,707.0,711.15,700.0,702.8,906201
2024-04-08,708.0,712.0,686.1,703.2,1138880
2024-04-09,706.95,709.25,695.5,698.95,929889
2024-04-10,700.05,705.0,694.25,698.4,1080351
2024-04-12,696.1,704.0,678.0,682.9,1458540
2024-04-15,678.0,704.0,652.35,693.8,1841612
2024-04-16,688.5,701.25,669.2,673.45,1243355
2024-04-18,683.0,691.25,665.2,674.9,2336033
2024-04-19,670.1,694.9,666.1,692.6,1069195
2024-04-22,700.0,718.8,697.1,712.65,1638191
2024-04-23,720.0,732.2,715.3,724.85,1747763
2024-04-24,731.85,748.0,720.5,737.75,1552507
2024-04-25,736.9,741.6,723.45,729.7,1020024
2024-04-26,729.9,731.3,698.5,701.15,934551
2024-04-29,709.9,724.6,691.85,699.85,1451408
2024-04-30,701.15,718.3,697.4,706.95,1448948
2024-05-02,724.95,739.9,707.45,734.2,2232161
2024-05-03,736.0,740.0,725.2,732.85,1489456
2024-05-06,738.45,741.15,707.6,722.1,1260392
2024-05-07,722.0,726.95,690.0,700.85,2019542
2024-05-08,697.5,709.75,690.0,693.6,1104959
2024-05-09,698.8,709.85,676.2,679.5,1932844
2024-05-10,684.95,693.6,656.9,687.65,1350872
2024-05-13,687.0,689.3,667.0,680.1,1179463
2024-05-14,680.1,715.4,678.0,711.6,2516471
2024-05-15,713.7,713.7,680.65,682.85,2801684
2024-05-16,625.0,693.0,625.0,683.75,6096361
2024-05-17,682.05,709.9,676.1,707.1,2200760
2024-05-18,706.4,713.0,700.3,704.15,69438
2024-05-21,708.0,708.0,692.5,701.55,1868664
2024-05-22,701.55,723.6,694.0,707.0,2349155
2024-05-23,711.95,724.7,704.9,713.6,1472715
2024-05-24,713.65,732.0,700.8,705.3,2086563
2024-05-27,709.85,727.95,706.0,722.4,2319612
2024-05-28,727.75,729.9,711.15,714.1,2914617
2024-05-29,720.5,724.95,707.05,711.55,2778881
2024-05-30,715.15,722.4,705.0,707.65,2399763
2024-05-31,719.0,837.0,716.05,793.5,44737406
2024-06-03,820.0,830.05,789.0,803.35,2919689
2024-06-04,807.5,814.35,747.0,758.65,4991128
2024-06-05,765.05,785.9,731.4,776.2,2456213
2024-06-06,793.35,797.0,780.0,794.45,1313297
2024-06-07,793.5,803.55,788.2,794.9,872735
2024-06-10,803.55,824.95,795.0,813.9,1175617
2024-06-11,822.6,822.6,790.1,797.25,935522
2024-06-12,800.0,830.0,795.0,823.65,894004
2024-06-13,840.9,841.0,811.1,816.2,842753
2024-06-14,815.25,825.0,800.45,812.4,1189571
2024-06-18,819.95,830.45,802.9,809.3,767287
2024-06-19,814.2,814.2,784.0,793.8,942980
2024-06-20,794.0,817.7,784.35,808.65,1197603
2024-06-21,810.7,810.7,781.0,791.1,2239979
2024-06-24,789.55,809.65,784.35,800.9,550859
2024-06-25,800.0,814.0,799.5,811.95,609163
2024-06-26,815.0,816.75,805.65,813.2,555281
2024-06-27,811.05,826.0,800.0,803.3,980428
2024-06-28,807.9,825.0,804.15,822.5,998535
2024-07-01,826.0,826.0,804.95,811.3,585859
2024-07-02,809.15,819.7,805.2,815.0,455805
2024-07-03,815.6,830.0,810.05,824.7,785117
2024-07-04,830.0,835.5,824.25,833.65,587820
2024-07-05,833.65,845.8,825.0,827.8,454429
2024-07-08,827.0,835.9,815.55,820.2,385933
2024-07-09,824.0,848.0,808.8,810.45,919354
2024-07-10,814.95,818.3,778.05,794.15,938248
2024-07-11,796.35,797.45,778.1,787.65,605970
