date,open,high,low,close,volume
2023-12-26,420.0,423.2,413.1,415.15,3727266
2023-12-27,417.65,420.5,408.8,410.85,1936541
2023-12-28,413.45,413.6,406.5,408.05,1233428
2023-12-29,408.55,415.0,407.4,409.05,2226096
2024-01-01,412.9,413.6,408.85,410.05,1840554
2024-01-02,410.05,414.0,404.15,408.95,1835815
2024-01-03,409.55,422.8,407.8,411.25,3138198
2024-01-04,413.35,428.05,411.05,426.3,4618595
2024-01-05,428.5,431.5,416.4,419.95,3640549
2024-01-08,422.05,425.9,417.0,419.45,1594630
2024-01-09,422.0,458.35,420.1,454.85,15022810
2024-01-10,457.0,470.0,457.0,464.8,9076720
2024-01-11,467.15,484.0,455.6,480.7,7777374
2024-01-12,483.6,484.9,472.15,483.5,6100637
2024-01-15,482.95,484.8,470.6,473.45,2006047
2024-01-16,473.45,475.0,456.0,465.6,2560974
2024-01-17,452.0,474.3,451.65,472.1,3771709
2024-01-18,470.8,481.5,457.0,478.75,4329665
2024-01-19,483.0,510.0,483.0,501.4,8422478
2024-01-20,503.0,514.8,501.0,510.65,2664227
2024-01-23,513.0,516.2,474.0,484.9,4062512
2024-01-24,475.0,498.5,467.1,488.8,6192346
2024-01-25,492.85,501.25,481.2,487.65,1873409
2024-01-29,492.45,504.85,490.95,496.3,2296482
2024-01-30,499.0,500.4,487.65,489.95,1725003
2024-01-31,494.5,508.6,491.15,504.75,2885641
2024-02-01,507.5,507.5,490.0,491.65,1925034
2024-02-02,494.8,501.85,477.85,482.9,2771930
2024-02-05,487.8,506.95,485.8,492.9,2921559
2024-02-06,495.2,503.8,487.1,491.65,2051836
2024-02-07,493.9,509.35,491.7,493.95,3369728
2024-02-08,496.9,520.0,496.8,506.85,5703530
2024-02-09,509.0,511.9,484.1,500.2,3188552
2024-02-12,507.65,521.65,494.5,497.2,6118550
2024-02-13,507.45,507.45,484.75,487.05,4131893
2024-02-14,474.0,485.7,474.0,479.7,2319951
2024-02-15,484.5,493.3,483.0,484.15,2197718
2024-02-16,488.4,489.5,479.15,480.45,1131246
2024-02-19,484.1,501.9,480.5,499.25,4573746
2024-02-20,497.75,498.0,486.5,490.6,2420333
2024-02-21,490.6,494.0,480.6,484.65,1545884
2024-02-22,485.9,496.6,482.8,488.0,2107198
2024-02-23,489.75,510.75,486.1,506.85,5304876
2024-02-26,511.5,537.95,510.25,523.7,14220530
2024-02-27,525.45,532.5,500.85,521.85,5937986
2024-02-28,522.5,523.5,503.0,507.6,3249733
2024-02-29,507.0,511.8,490.2,508.3,6047978
2024-03-01,508.3,514.8,501.25,503.65,4229025
2024-03-02,506.5,508.0,503.05,504.95,139887
2024-03-04,506.8,520.7,506.0,516.9,7041914
2024-03-05,517.0,519.8,507.1,509.5,1265026
2024-03-06,512.7,516.4,494.25,512.05,3355263
2024-03-07,514.0,527.0,510.75,515.25,1551197
2024-03-11,516.0,516.8,501.55,509.0,1647238
2024-03-12,509.0,513.95,491.15,509.3,3644807
2024-03-13,507.8,507.8,460.0,461.05,5554982
2024-03-14,460.0,481.85,452.2,476.85,3198205
2024-03-15,481.0,499.5,472.55,497.9,5941930
2024-03-18,500.0,502.15,481.0,495.4,2663154
2024-03-19,487.95,495.9,475.0,482.8,1848152
2024-03-20,482.0,494.9,478.65,489.15,1667394
2024-03-21,494.5,507.0,492.8,504.55,2459438
2024-03-22,504.8,517.5,500.05,515.45,2676903
2024-03-26,520.95,528.7,509.45,513.2,2405945
2024-03-27,513.3,527.0,513.3,516.65,3169799
2024-03-28,524.95,533.5,521.6,528.9,4207650
2024-04-01,533.0,537.85,515.2,518.45,2547243
2024-04-02,519.55,543.0,519.55,542.2,4041053
2024-04-03,547.0,583.9,542.65,581.35,17570174
2024-04-04,582.0,604.0,577.1,583.05,8023364
2024-04-05,583.8,600.0,582.5,599.1,3623564
2024-04-08,602.0,632.1,601.95,627.5,6476004
2024-04-09,630.0,630.65,596.35,613.1,8876328
2024-04-10,615.5,630.0,612.05,616.05,3433168
2024-04-12,617.0,627.4,609.6,616.45,3756080
2024-04-15,591.2,616.0,588.35,609.5,2834063
2024-04-16,606.0,612.0,596.5,602.05,4629977
2024-04-18,602.05,633.0,602.05,628.5,5774203
2024-04-19,622.0,638.7,611.65,626.7,3564737
2024-04-22,650.0,650.0,607.05,611.45,4322386
2024-04-23,616.25,624.25,609.0,616.35,3430025
2024-04-24,619.95,625.9,595.0,600.4,3340579
2024-04-25,603.0,613.65,602.1,604.7,1539624
