date,open,high,low,close,volume
2023-12-26,325.0,332.8,318.65,320.3,4217799
2023-12-27,324.9,326.0,315.0,321.1,670011
2023-12-28,324.95,324.95,313.5,316.6,632866
2023-12-29,316.6,324.5,313.3,318.95,652447
2024-01-01,318.95,324.9,318.95,319.9,608036
2024-01-02,320.55,322.4,314.55,318.3,426125
2024-01-03,318.25,319.9,315.0,317.8,466491
2024-01-04,318.0,333.65,316.5,330.9,2437670
2024-01-05,339.5,345.0,337.0,342.8,3475002
2024-01-08,352.8,358.8,345.85,350.25,3167555
2024-01-09,355.0,357.7,337.45,343.3,1246578
2024-01-10,343.7,344.85,336.0,338.9,945730
2024-01-11,342.3,355.0,342.25,354.0,1632293
2024-01-12,357.0,361.9,353.0,354.2,1284178
2024-01-15,362.0,371.9,356.0,371.9,2228301
2024-01-16,381.0,390.45,361.4,384.3,5174237
2024-01-17,379.85,400.4,370.0,387.8,4344414
2024-01-18,396.0,396.0,368.45,385.65,1877703
2024-01-19,391.9,403.4,387.0,399.1,2970304
2024-01-20,410.0,419.05,407.6,419.05,2862988
2024-01-23,433.0,434.0,398.1,398.1,2207494
2024-01-24,388.95,403.7,378.2,387.8,2524882
2024-01-25,388.95,398.25,388.9,394.05,1090559
2024-01-29,404.95,404.95,391.55,393.3,1040643
2024-01-30,396.0,399.45,383.05,385.15,787592
2024-01-31,388.4,404.4,385.15,404.0,1792383
2024-02-01,404.0,414.4,393.45,395.9,2431274
2024-02-02,415.65,415.65,404.0,405.45,3392742
2024-02-05,409.9,414.8,390.65,393.35,1558675
2024-02-06,396.9,398.5,387.0,391.75,747600
2024-02-07,405.0,405.0,388.5,390.4,1130961
2024-02-08,395.0,396.95,375.15,378.7,2643378
2024-02-09,380.8,383.0,365.0,373.3,1244919
2024-02-12,373.5,379.5,340.0,344.3,1586600
2024-02-13,343.85,357.0,337.35,346.4,1407483
2024-02-14,337.6,355.8,333.4,350.75,1008958
2024-02-15,354.8,380.85,354.8,367.75,1939557
2024-02-16,375.0,378.5,363.55,368.85,811233
2024-02-19,378.5,396.05,378.5,386.15,2032239
2024-02-20,391.5,397.7,382.2,384.4,1591082
2024-02-21,386.35,393.0,374.0,376.0,927685
2024-02-22,378.0,384.2,369.25,380.85,625309
2024-02-23,382.7,390.0,381.55,385.05,547044
2024-02-26,386.8,393.0,375.0,376.05,1152870
2024-02-27,378.0,382.0,366.45,370.1,546930
2024-02-28,370.05,373.1,353.0,355.45,689090
2024-02-29,355.5,375.0,348.1,371.85,1226902
2024-03-01,375.7,379.55,365.25,367.45,409254
2024-03-02,368.85,374.85,365.0,366.9,87132
2024-03-04,368.8,371.95,361.25,367.3,518434
2024-03-05,367.75,385.0,365.8,378.25,1615038
2024-03-06,378.25,379.45,358.05,362.05,979845
2024-03-07,398.0,398.0,368.0,369.9,4594745
2024-03-11,373.5,376.3,357.5,363.0,1222648
2024-03-12,370.0,372.0,339.0,340.55,1982186
2024-03-13,341.9,345.0,306.5,308.5,3480618
2024-03-14,310.95,339.35,300.5,338.95,1754971
2024-03-15,335.0,355.0,326.6,342.55,4756050
2024-03-18,346.0,357.0,339.0,343.15,1924307
2024-03-19,343.0,346.0,336.7,339.0,574878
2024-03-20,338.95,345.0,329.85,333.45,1109519
2024-03-21,344.0,349.0,342.0,344.15,626899
2024-03-22,345.0,357.2,344.5,355.3,883582
2024-03-26,355.3,371.4,352.75,365.8,1156759
2024-03-27,367.8,372.4,363.0,369.6,1176595
2024-03-28,370.95,378.55,367.55,374.15,1093981
2024-04-01,377.9,383.95,374.15,380.8,804839
2024-04-02,381.4,392.0,379.8,386.6,937556
